sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,604,1486,2356,3670,241,279,366,452
0.015,571,1475,2365,3652,263,309,341,431
0.025,654,1486,2461,3744,264,284,318,419
0.035,709,1607,2460,3789,245,290,330,411
0.045,728,1602,2463,3790,250,273,349,422
0.055,785,1553,2476,3853,279,290,351,443
0.065,816,1591,2384,3831,251,293,358,438
0.075,742,1610,2293,3865,237,304,347,425
0.085,694,1543,2316,3872,239,288,370,440
0.095,752,1530,2370,3932,245,285,367,453
0.105,796,1444,2407,3876,242,320,365,449
0.115,750,1536,2359,3843,226,299,361,469
0.125,710,1561,2364,3740,246,298,359,434
0.135,753,1558,2423,3712,260,298,353,391
0.145,780,1590,2503,3773,203,293,376,441
0.155,824,1607,2482,3748,225,332,378,440
0.165,724,1639,2505,3787,228,285,393,412
0.175,773,1625,2602,3816,222,298,391,430
0.185,764,1673,2603,3855,214,324,379,446
0.195,749,1677,2625,3831,275,325,374,445
0.205,754,1715,2612,3854,265,327,352,452
0.215,749,1713,2610,3792,269,330,348,458
0.225,815,1666,2647,3790,277,346,344,466
0.235,830,1724,2625,3735,285,335,347,465
0.245,901,1691,2597,3745,303,345,340,441
0.255,804,1617,2541,3800,323,341,299,412
0.265,674,1581,2541,3854,338,365,265,423
0.275,450,1537,2543,3912,311,379,252,422
0.285,302,1556,2533,3978,207,364,248,417
0.295,292,1568,2515,3996,221,357,235,411
0.305,292,1537,2480,3986,236,320,322,405
0.315,302,1518,2505,4035,231,299,356,407
0.325,672,1518,2505,3983,213,306,347,414
0.335,691,1470,2505,3949,221,305,350,418
0.345,767,1449,2505,3876,224,321,355,433
0.355,796,1461,2505,3841,219,305,350,433
0.365,815,1461,2505,3788,224,305,350,440
0.375,824,1451,2505,3764,220,312,356,431
0.385,834,1470,2515,3747,212,308,358,443
0.395,824,1461,2505,3743,213,309,361,442
0.405,853,1461,2534,3733,210,305,363,440
0.415,862,1470,2524,3718,204,306,365,425
0.425,853,1480,2534,3729,205,310,378,406
0.435,853,1461,2524,3715,212,312,387,409
0.445,835,1461,2534,3667,203,320,385,404
0.455,824,1461,2493,3612,201,312,387,414
0.465,778,1451,2534,3747,182,306,352,472
0.475,758,1461,2521,3825,185,355,318,488
0.485,606,1432,2629,4026,231,302,324,484
0.495,292,1413,2762,4204,252,320,296,439
0.505,264,1385,2771,4235,238,303,286,413
0.515,254,1375,2762,4185,192,291,289,407
0.525,264,1385,2752,4176,202,303,327,408
0.535,273,1394,2705,4265,212,332,363,396
0.545,302,1385,2581,4294,224,328,290,407
0.555,292,1413,2521,4345,249,310,322,429
0.565,302,1404,2486,4299,275,331,331,421
0.575,311,1385,2468,4311,275,340,322,390
0.585,311,1309,2406,4295,274,319,322,433
0.595,292,1280,2467,4278,226,308,328,447
0.605,311,1242,2458,4313,210,305,337,442
0.615,321,1204,2496,4274,241,313,370,448
0.625,359,1176,2107,4361,272,313,405,488
0.635,387,1166,1869,4393,215,307,436,534
0.645,416,1176,1736,4379,182,295,441,489
0.655,482,1176,1660,4364,131,299,440,523
0.665,492,1166,1670,4355,159,320,413,506
0.675,511,1185,1717,4367,172,348,414,514
0.685,530,1207,1727,4425,150,352,407,505
0.695,549,1233,1841,4484,177,343,377,488
0.705,549,1252,2097,4520,173,327,357,490
0.715,587,1261,2258,4554,175,291,332,460
0.725,634,1261,2382,4467,193,289,325,453
0.735,653,1204,2486,4394,220,283,317,490
