sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,526,1476,2448,3701,254,283,362,425
0.015,597,1442,2441,3769,279,290,371,414
0.025,674,1492,2512,3783,291,288,373,413
0.035,674,1556,2609,3842,276,284,376,442
0.045,732,1533,2584,3876,275,303,353,448
0.055,776,1580,2596,3862,279,308,374,485
0.065,815,1626,2639,3818,233,285,373,482
0.075,932,1581,2666,3892,240,303,389,502
0.085,998,1562,2610,3888,232,311,332,484
0.095,981,1641,2642,3927,233,286,325,476
0.105,985,1708,2605,3974,243,322,344,495
0.115,958,1752,2633,3940,260,331,340,480
0.125,847,1795,2675,3897,278,314,349,455
0.135,804,1822,2724,3995,283,310,375,473
0.145,864,1777,2741,4041,323,306,364,448
0.155,875,1754,2758,4143,309,303,363,452
0.165,891,1733,2674,4137,261,316,372,447
0.175,921,1817,2622,4078,271,344,344,457
0.185,789,1789,2659,4061,281,328,376,477
0.195,589,1738,2621,4047,277,340,347,483
0.205,422,1619,2545,4059,276,364,349,463
0.215,381,1533,2568,4038,209,354,371,486
0.225,333,1525,2488,3965,182,387,365,465
0.235,295,1501,2444,3930,149,377,348,471
0.245,257,1501,2387,3826,154,373,311,489
0.255,248,1520,2385,3822,185,319,352,466
0.265,248,1558,2375,3698,229,307,307,461
0.275,238,1615,2394,3556,228,314,279,426
0.285,257,1739,2442,3538,219,309,308,413
0.295,257,1824,2518,3498,214,278,350,428
0.305,276,1967,2660,3452,216,275,372,424
0.315,305,2014,2774,3484,216,264,385,410
0.325,305,2090,2774,3564,227,248,376,398
0.335,333,2062,2736,3686,210,262,349,441
0.345,352,2005,2708,3782,232,262,377,453
0.355,381,1976,2698,3903,199,233,396,415
0.365,409,1957,2584,3985,193,241,379,423
0.375,447,1938,2575,4071,195,276,373,435
0.385,476,1919,2575,4187,184,286,371,440
0.395,542,1862,2537,4300,177,288,358,424
0.405,552,1824,2527,4373,191,312,324,399
0.415,571,1815,2499,4362,208,294,333,372
0.425,580,1786,2499,4400,208,302,316,358
0.435,580,1796,2499,4415,221,300,333,357
0.445,592,1786,2499,4456,216,293,336,339
0.455,580,1853,2480,4381,208,286,343,340
0.465,571,1900,2489,4401,206,280,331,372
0.475,507,1929,2480,4377,224,314,316,359
0.485,476,1967,2460,4292,253,335,306,365
0.495,457,1900,2480,4374,253,345,286,388
0.505,457,1843,2470,4335,247,365,263,434
0.515,438,1682,2461,4371,228,367,290,429
0.525,438,1615,2442,4300,211,356,279,415
0.535,438,1606,2356,4254,169,344,322,420
0.545,438,1492,2233,4203,175,361,344,425
0.555,459,1298,2161,4151,228,351,316,426
0.565,438,1340,2045,4129,246,325,320,427
0.575,409,1198,1957,4111,214,326,316,422
0.585,333,1217,1900,4126,228,282,323,411
0.595,305,1264,1872,4174,231,273,325,408
0.605,333,1302,1853,4148,222,263,337,387
0.615,333,1406,1891,4133,229,255,314,377
0.625,324,1511,1967,4125,225,264,285,389
0.635,333,1568,1982,4081,219,314,324,407
0.645,343,1596,2062,4103,219,324,313,388
0.655,333,1663,2157,4151,219,320,297,386
0.665,333,1672,2185,4171,230,328,316,399
0.675,295,1672,2233,4139,201,353,326,409
0.685,305,1625,2138,4154,219,348,336,402
0.695,257,1046,2128,4195,216,337,354,402
0.705,229,960,2109,4190,219,337,354,413
0.715,200,913,2109,4126,222,312,324,418
0.725,200,913,2109,4148,212,291,357,477
0.735,229,884,2109,4148,204,303,341,472
0.745,229,884,2109,4228,212,296,326,439
0.755,267,884,2128,4274,220,315,331,404
0.765,343,903,2157,4369,218,333,324,389
0.775,400,922,2176,4360,223,307,284,361
0.785,409,922,2195,4337,198,330,310,375
0.795,419,903,2195,4393,225,336,342,323
0.805,428,932,2204,4391,227,332,344,300
0.815,466,960,2185,4447,246,295,342,305
0.825,476,989,2176,4329,224,285,334,308
0.835,504,1027,2166,4472,232,317,296,314
0.845,504,1074,2147,4398,235,332,283,271
0.855,495,1122,2128,4388,220,348,277,316
0.865,495,1283,2109,4427,245,329,275,331
0.875,466,1349,2090,4502,254,343,288,322
0.885,447,1463,2119,4586,243,343,310,321
0.895,459,1558,2150,4674,191,310,326,359
0.905,428,1644,2195,4793,201,306,334,388
0.915,428,1729,2347,4868,191,307,348,406
0.925,428,1853,2423,4956,207,294,351,401
0.935,438,1891,2461,4968,202,299,356,417
0.945,447,1938,2499,4985,199,302,344,413
0.955,447,2005,2546,4918,213,294,340,385
0.965,447,2033,2596,4862,199,289,338,416
0.975,466,2052,2565,4809,176,278,342,410
0.985,438,2062,2546,4750,210,293,327,432
0.995,466,2052,2565,4698,195,296,336,458
1.005,466,2052,2546,4630,208,238,358,447
1.015,466,2073,2565,4520,206,252,348,433
1.025,466,2043,2565,4386,221,315,308,443
1.035,466,2010,2575,4333,175,286,334,436
1.045,523,1931,2556,4342,188,275,324,433
1.055,554,1882,2565,4280,202,293,326,478
1.065,523,1862,2565,4142,212,281,328,423
1.075,540,1767,2565,4097,211,310,317,416
1.085,523,1701,2565,3988,199,308,322,437
1.095,548,1634,2556,3900,238,299,350,455
1.105,512,1577,2556,3942,226,294,378,481
1.115,466,1485,2537,3903,223,277,355,477
1.125,390,1473,2537,3950,242,287,377,484
1.135,381,1463,2515,3961,266,306,381,481
1.145,400,1449,2490,4030,298,306,351,472
1.155,428,1463,2488,4110,310,340,367,484
1.165,438,1463,2539,4231,332,325,357,464
1.175,447,1463,2518,4147,292,341,375,426
1.185,438,1463,2461,4130,282,325,377,404
1.195,438,1482,2375,4173,282,335,361,445
1.205,438,1492,2347,4216,277,348,349,453
1.215,419,1501,2347,4135,290,321,314,465
1.225,381,1520,2299,4236,270,286,344,437
1.235,381,1511,2214,4428,284,274,342,426
1.245,371,1511,2185,4482,282,265,334,379
1.255,371,1530,2147,4387,257,253,350,344
1.265,371,1549,2090,4341,250,246,341,429
1.275,352,1549,2100,4178,214,242,330,449
1.285,352,1549,2090,4234,224,266,339,460
1.295,362,1473,2043,4207,231,278,335,464
1.305,362,1454,2052,4209,209,303,365,457
1.315,381,1435,2052,4173,202,310,364,438
1.325,362,1406,2052,4198,220,325,357,441
1.335,364,1378,2062,4234,238,343,370,457
1.345,384,1340,2062,4211,225,334,344,441
1.355,349,1292,2062,4211,228,329,349,423
1.365,352,1273,2062,4240,213,318,337,439
1.375,367,1264,2071,4257,205,324,329,436
1.385,411,1245,2109,4256,219,292,318,415
1.395,390,1292,2138,4145,226,300,336,422
1.405,466,1349,2157,3986,229,300,326,442
1.415,466,1397,2204,3788,234,309,304,466
1.425,485,1435,2299,3670,263,303,316,467
1.435,504,1492,2356,3642,260,333,362,433
1.445,485,1492,2432,3629,234,363,367,455
1.455,400,1434,2432,3541,237,296,365,431
1.465,381,1473,2436,3509,266,302,341,448
1.475,381,1454,2418,3472,296,321,321,450
1.485,362,1473,2366,3498,265,318,316,419
1.495,352,1511,2394,3544,315,305,295,423
1.505,343,1558,2394,3631,299,309,285,409
1.515,333,1596,2394,3626,298,347,291,428
1.525,333,1634,2366,3729,223,319,307,432
1.535,333,1644,2366,3728,189,298,330,436
1.545,333,1653,2356,3763,230,316,305,422
1.555,333,1653,2423,3906,179,329,308,458
1.565,333,1625,2432,4097,242,324,311,484
1.575,362,1596,2432,4240,239,316,313,463
1.585,333,1539,2366,4255,204,303,331,433
1.595,333,1492,2366,4191,230,313,356,412
1.605,286,1444,2347,4208,204,290,354,456
1.615,286,1387,2404,4211,211,288,315,449
1.625,295,1359,2423,4222,223,289,296,448
1.635,295,1254,2451,4199,254,269,290,456
1.645,295,1178,2470,4252,236,267,286,480
1.655,295,1093,2499,4272,220,324,325,495
1.665,295,1045,2518,4304,225,311,340,501
1.675,295,950,2508,4249,232,321,339,485
1.685,267,922,2508,4236,175,350,346,459
1.695,295,865,2508,4176,210,312,389,487
1.705,295,846,2508,4061,227,352,362,477
1.715,324,817,2499,3932,213,346,375,490
1.725,305,827,2447,3781,224,334,386,474
1.735,333,846,2489,3637,197,307,395,486
1.745,305,903,2499,3637,232,271,337,443
1.755,333,960,2508,3787,252,288,310,428
1.765,381,1007,2499,3875,237,313,333,432
1.775,419,1083,2470,3992,251,309,340,435
1.785,445,1148,2413,4115,252,322,365,420
1.795,445,1131,2385,4230,242,333,346,419
1.805,438,1159,2309,4281,243,301,345,395
1.815,438,1235,2261,4294,262,273,324,409
1.825,409,1226,2204,4247,265,318,305,446
1.835,400,1283,2176,4211,261,324,312,431
1.845,371,1311,2138,4221,247,336,329,433
1.855,371,1349,2119,4159,289,346,329,424
1.865,371,1406,2138,4091,274,306,319,452
1.875,381,1425,2119,4117,302,308,321,442
1.885,362,1444,2128,4190,312,243,379,464
1.895,381,1539,2109,4210,288,265,369,458
1.905,381,1539,2100,4257,332,289,342,401
1.915,409,1530,2109,4411,249,299,366,425
1.925,457,1498,2148,4485,243,308,344,357
1.935,495,1470,2138,4449,243,326,295,327
1.945,504,1452,2138,4414,247,317,292,369
1.955,504,1452,2157,4397,236,321,297,408
1.965,514,1438,2138,4375,199,316,308,456
1.975,514,1385,2166,4405,165,309,327,504
1.985,533,1366,2176,4535,173,329,293,542
1.995,533,1353,2214,4726,168,314,294,518
2.005,551,1321,2242,4827,196,309,332,450
2.015,533,1264,2261,4846,240,340,325,435
2.025,551,1226,2280,4593,222,306,343,452
2.035,523,1207,2328,4401,215,328,332,465
2.045,525,1197,2356,4315,248,315,339,486
2.055,535,1264,2404,4276,267,323,344,468
2.065,606,1302,2479,4266,229,319,359,442
2.075,599,1349,2494,4289,273,326,354,405
2.085,644,1425,2515,4201,288,329,307,415
2.095,685,1435,2510,4199,284,302,313,441
2.105,673,1482,2539,4200,308,331,315,427
2.115,715,1493,2522,4183,316,328,325,433
2.125,630,1585,2518,4153,275,316,348,425
2.135,629,1657,2467,4197,306,318,337,439
