sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,597,1526,2426,3658,245,317,368,450
0.015,679,1440,2400,3674,263,328,315,435
0.025,729,1380,2307,3695,314,324,310,418
0.035,749,1431,2316,3712,266,305,331,432
0.045,779,1456,2478,3799,282,298,334,429
0.055,863,1381,2519,3841,311,313,321,426
0.065,954,1450,2531,3747,295,318,326,463
0.075,942,1595,2485,3719,236,303,344,462
0.085,945,1652,2455,3732,252,297,349,422
0.095,863,1755,2498,3844,207,325,306,420
0.105,731,1775,2505,3834,199,319,314,399
0.115,690,1796,2441,3882,245,329,320,402
0.125,629,1929,2482,3936,258,334,312,409
0.135,618,1990,2482,3889,237,320,330,437
0.145,618,2021,2512,3912,227,305,304,420
0.155,649,2062,2543,3881,174,287,320,368
0.165,659,2052,2553,3850,183,295,316,374
0.175,598,2041,2615,3819,199,285,299,368
0.185,557,2021,2594,3878,186,282,311,357
0.195,569,2062,2615,3897,208,296,307,351
0.205,558,2093,2656,3880,211,309,313,350
0.215,539,2113,2675,3903,205,300,313,347
0.225,501,2113,2686,3942,200,307,303,345
0.235,434,2123,2697,3977,212,298,300,365
0.245,373,2103,2697,3895,215,323,315,420
0.255,301,2093,2625,3936,201,344,350,428
0.265,260,2031,2471,3973,227,368,349,479
0.275,311,1949,2492,4015,250,371,349,507
0.285,332,1878,2533,4060,315,342,323,452
0.295,393,1908,2553,4032,319,320,323,422
0.305,475,2000,2656,3981,327,333,342,418
0.315,475,1949,2676,3924,328,331,363,433
0.325,454,1908,2666,3903,337,336,351,429
0.335,352,1867,2666,3783,334,320,362,418
0.345,301,1878,2666,3820,354,327,351,401
0.355,291,1826,2666,3842,356,336,307,405
0.365,291,1847,2666,3749,366,309,328,397
0.375,301,1898,2666,3779,350,325,384,370
0.385,321,1939,2666,3832,299,321,371,383
0.395,321,2000,2656,3878,237,306,333,366
0.405,342,1990,2615,3803,223,272,344,343
0.415,352,2031,2656,3829,221,251,372,324
0.425,352,2062,2686,3817,222,252,377,323
0.435,362,2123,2686,3828,221,270,375,320
0.445,362,2185,2686,3831,243,249,373,338
0.455,362,2215,2676,3821,229,242,372,327
0.465,362,2164,2727,3820,233,251,375,347
0.475,373,2134,2726,3796,229,242,381,332
0.485,373,2134,2656,3815,220,243,389,347
0.495,342,2093,2604,3748,231,261,358,340
0.505,321,2000,2502,3714,241,281,342,351
0.515,321,1919,2430,3647,292,333,360,364
0.525,301,1683,2389,3553,286,344,360,377
0.535,188,1584,2297,3531,291,346,345,348
0.545,178,1499,2287,3550,267,347,329,353
0.555,178,1489,2277,3519,224,344,330,358
0.565,199,1448,2246,3492,214,330,367,361
0.575,219,1458,2215,3504,205,344,352,370
0.585,188,1458,2256,3573,220,361,299,359
0.595,209,1489,2349,3633,224,400,289,348
0.605,260,1837,2441,3656,239,362,327,353
0.615,260,2031,2656,3715,248,286,341,346
0.625,352,2123,2779,3777,247,278,321,350
0.635,321,2154,2891,3810,230,301,317,352
0.645,342,2154,2871,3791,240,282,319,348
0.655,342,2134,2809,3806,233,305,308,342
0.665,342,2113,2779,3794,246,280,322,361
0.675,332,2103,2707,3798,248,301,326,370
0.685,352,2052,2635,3825,237,292,330,355
0.695,352,2011,2594,3839,225,301,351,342
0.705,352,1970,2512,3847,219,276,353,341
0.715,373,1908,2482,3831,211,310,359,326
0.725,363,1857,2471,3775,211,296,344,314
0.735,346,1785,2420,3735,218,304,328,321
0.745,321,1765,2410,3782,219,316,320,319
0.755,250,1652,2359,3814,205,316,298,292
0.765,250,1693,2359,3901,208,324,304,291
0.775,260,1806,2461,3872,218,319,320,314
0.785,290,1980,2625,3810,225,290,321,341
0.795,290,2133,2696,3769,223,267,321,334
0.805,290,2174,2778,3771,214,275,321,348
0.815,290,2215,2829,3702,217,271,327,351
0.825,280,2277,2860,3643,224,288,318,376
0.835,311,2318,2860,3604,228,285,316,385
0.845,321,2246,2840,3596,241,286,324,362
0.855,321,2143,2829,3559,250,291,331,356
0.865,342,2010,2696,3509,246,302,335,356
0.875,352,1928,2604,3490,271,307,322,366
0.885,352,1806,2389,3483,260,304,314,364
0.895,301,1662,2358,3475,266,303,302,375
0.905,301,1570,2348,3494,248,308,307,367
0.915,311,1560,2358,3495,234,305,302,358
0.925,352,1560,2369,3487,233,309,307,355
0.935,413,1591,2471,3478,223,296,309,352
0.945,475,1601,2492,3459,222,290,305,340
0.955,536,1570,2471,3452,254,309,300,343
0.965,577,1519,2471,3361,244,321,301,340
0.975,577,1468,2471,3379,212,322,276,325
0.985,577,1396,2471,3351,207,325,306,321
0.995,567,1355,2481,3387,216,342,293,306
1.005,546,1283,2471,3371,226,339,304,296
1.015,546,1253,2481,3441,225,316,291,327
1.025,505,1222,2481,3439,230,303,299,316
1.035,464,1171,2512,3488,231,283,297,315
1.045,403,1109,2522,3568,232,301,302,354
1.055,403,1068,2522,3596,239,288,314,404
1.065,383,1028,2522,3620,215,344,346,406
1.075,352,1022,2522,3623,221,320,354,413
1.085,352,976,2543,3655,194,354,374,456
1.095,383,956,2458,3751,165,364,356,441
1.105,393,915,2502,3823,167,365,323,423
1.115,444,864,2492,3965,190,313,322,442
1.125,444,935,2477,4003,206,313,337,453
1.135,516,1028,2525,4015,235,288,336,454
1.145,516,1099,2667,4042,252,299,366,435
1.155,526,1222,2676,4054,276,282,350,436
1.165,577,1442,2595,4137,304,303,336,473
1.175,536,1407,2597,4201,328,293,328,425
1.185,418,1588,2577,4224,317,284,331,422
1.195,374,1604,2628,4281,306,273,352,469
1.205,393,1562,2698,4251,294,292,352,463
1.215,382,1496,2642,4212,290,314,330,447
1.225,483,1583,2652,4173,275,319,362,419
