sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,682,1437,2482,3484,238,293,345,427
0.015,703,1551,2485,3530,191,324,329,428
0.025,718,1601,2463,3551,186,334,329,429
0.035,660,1587,2470,3521,225,327,343,428
0.045,737,1581,2479,3498,252,338,340,421
0.055,765,1550,2441,3592,248,360,328,410
0.065,752,1613,2444,3495,277,326,336,450
0.075,750,1649,2521,3463,290,299,373,429
0.085,745,1653,2578,3482,276,297,358,414
0.095,769,1605,2635,3589,296,310,370,404
0.105,852,1740,2606,3589,243,348,343,382
0.115,935,1790,2664,3563,233,367,315,353
0.125,905,1866,2664,3547,249,350,322,385
0.135,759,1923,2635,3599,266,345,305,378
0.145,568,1952,2578,3644,274,333,285,365
0.155,432,1999,2578,3644,238,288,301,372
0.165,463,1999,2531,3579,201,271,294,423
0.175,446,1999,2521,3568,210,300,285,404
0.185,432,1980,2578,3693,234,357,281,470
0.195,407,1800,2616,3805,232,349,259,496
0.205,403,1752,2583,3846,228,350,259,507
0.215,413,1733,2592,3903,220,359,253,507
0.225,376,1762,2569,3940,226,366,268,494
0.235,380,1762,2535,3899,208,371,272,503
0.245,381,1759,2491,3854,207,388,274,487
0.255,460,1762,2531,3827,197,403,294,473
0.265,398,1762,2521,3902,197,396,285,439
0.275,442,1752,2531,3864,212,342,301,455
0.285,489,1733,2540,3897,213,307,297,425
0.295,489,1762,2522,3990,291,361,323,436
0.305,536,1800,2806,4069,332,331,370,436
0.315,546,1790,2806,4157,327,308,349,435
0.325,555,1762,2806,4103,322,306,325,414
0.335,584,1781,2778,3976,257,272,323,427
0.345,593,1790,2759,3896,232,306,333,449
0.355,631,1743,2692,3821,248,322,323,437
0.365,669,1610,2673,3771,200,316,296,419
0.375,660,1543,2635,3706,194,324,313,440
0.385,660,1448,2597,3601,200,313,329,417
0.395,650,1353,2550,3494,196,325,313,429
0.405,641,1315,2540,3417,202,315,302,406
0.415,603,1296,2540,3374,208,305,302,381
0.425,612,1287,2483,3410,214,312,313,389
0.435,612,1315,2483,3414,218,303,323,386
0.445,603,1325,2474,3433,215,308,341,376
0.455,603,1325,2484,3452,226,315,347,374
0.465,603,1334,2439,3448,236,318,345,365
0.475,622,1363,2455,3433,241,311,344,367
0.485,612,1391,2445,3404,248,308,352,362
0.495,622,1420,2445,3362,247,307,353,398
0.505,603,1458,2455,3328,251,287,355,393
0.515,574,1499,2445,3284,250,274,351,403
0.525,574,1515,2445,3276,240,277,341,408
0.535,574,1553,2464,3235,236,308,328,407
0.545,517,1504,2440,3183,239,283,322,418
0.555,517,1654,2445,3125,208,295,343,392
0.565,451,1730,2445,3125,197,291,352,369
0.575,470,1746,2426,3120,208,295,349,367
0.585,422,1716,2398,3132,211,294,314,371
0.595,422,1655,2360,3165,216,315,305,403
0.605,422,1576,2234,3248,232,315,280,434
0.615,422,1495,2208,3255,224,301,290,449
0.625,403,1421,2189,3268,220,295,285,452
0.635,422,1364,2180,3323,209,295,287,459
0.645,469,1332,2151,3355,184,291,326,455
0.655,479,1334,2151,3580,180,301,313,463
0.665,466,1378,2208,3650,211,314,308,422
0.675,498,1469,2284,3610,271,309,281,420
0.685,489,1582,2426,3600,326,321,276,421
0.695,479,1679,2559,3619,365,334,297,453
0.705,517,1738,2550,3691,368,323,312,425
0.715,508,1772,2569,3731,346,314,320,395
0.725,517,1796,2578,3734,360,320,324,394
0.735,536,1829,2559,3893,371,320,288,400
0.745,527,1889,2521,3896,383,314,313,404
0.755,508,1866,2512,3900,355,289,330,409
0.765,489,1866,2493,3907,343,319,308,402
0.775,470,1857,2483,3776,339,315,301,430
0.785,442,1857,2493,3549,270,238,317,473
0.795,346,1819,2483,3354,211,237,332,424
0.805,318,1876,2474,3288,233,202,381,391
0.815,299,1838,2445,3323,228,218,400,399
0.825,318,1800,2379,3432,235,307,398,428
0.835,337,1714,2322,3489,228,325,355,445
0.845,308,1619,2237,3574,236,334,311,449
0.855,299,1591,2151,3574,266,312,317,439
0.865,261,1486,2094,3603,258,300,345,411
0.875,242,1410,2018,3585,288,313,345,422
0.885,242,1334,1933,3609,266,329,312,429
0.895,251,1334,1866,3615,291,296,314,445
0.905,308,1334,1819,3561,269,281,351,465
0.915,318,1344,1828,3470,248,246,414,448
0.925,346,1372,1828,3372,198,233,424,451
0.935,384,1429,1847,3292,196,278,371,437
0.945,384,1467,1866,3288,205,297,314,439
0.955,394,1505,1876,3392,205,310,323,444
0.965,403,1547,1914,3597,217,313,351,423
0.975,403,1524,1980,3728,254,329,379,396
0.985,375,1544,2047,3851,268,313,390,408
0.995,403,1524,2189,3978,306,323,322,437
1.005,356,1534,2265,4068,283,334,331,470
1.015,327,1505,2313,4194,255,330,315,457
1.025,308,1486,2369,4323,253,340,360,412
1.035,346,1401,2398,4284,207,318,365,434
1.045,384,1382,2436,4115,219,282,355,462
1.055,460,1353,2417,4043,215,303,325,460
1.065,460,1382,2417,3848,231,309,356,465
1.075,460,1477,2426,3671,251,298,359,457
1.085,460,1515,2407,3570,265,274,338,418
1.095,479,1553,2417,3551,264,303,317,397
1.105,460,1581,2417,3586,239,278,328,381
1.115,470,1562,2407,3608,255,292,332,390
1.125,441,1524,2407,3568,266,301,336,400
1.135,460,1515,2407,3596,260,279,346,407
1.145,422,1496,2424,3724,256,305,319,416
1.155,403,1476,2445,3795,262,327,269,462
1.165,394,1410,2464,3887,226,326,274,454
1.175,337,1334,2455,3976,232,316,292,450
1.185,308,1438,2474,4102,252,293,326,479
1.195,337,1334,2445,4313,277,346,335,475
1.205,318,1391,2455,4390,249,367,348,464
1.215,346,1572,2455,4463,287,351,337,425
