sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,485,1484,2433,3609,253,294,328,442
0.015,517,1488,2443,3614,261,313,306,459
0.025,507,1370,2451,3564,301,314,311,454
0.035,498,1453,2513,3527,272,307,322,437
0.045,517,1489,2452,3534,266,315,312,398
0.055,433,1532,2477,3554,288,305,324,410
0.065,544,1521,2474,3539,252,299,347,433
0.075,511,1491,2530,3535,294,303,348,414
0.085,536,1556,2473,3604,279,320,337,425
0.095,589,1571,2499,3582,298,320,334,461
0.105,682,1551,2478,3612,262,348,315,461
0.115,699,1568,2489,3567,254,325,317,435
0.125,681,1595,2498,3559,234,328,314,434
0.135,663,1518,2457,3612,262,319,317,399
0.145,440,1570,2405,3596,223,272,300,410
0.155,403,1619,2430,3479,186,259,320,383
0.165,403,1668,2430,3487,199,258,350,387
0.175,415,1681,2430,3497,183,247,336,384
0.185,452,1700,2442,3559,180,244,333,376
0.195,452,1681,2455,3602,190,258,328,386
0.205,464,1656,2381,3608,196,259,323,388
0.215,464,1582,2221,3512,194,252,345,417
0.225,489,1521,2147,3529,196,258,318,394
0.235,489,1472,2086,3576,193,274,307,387
0.245,452,1374,1963,3619,228,293,300,393
0.255,415,1312,1865,3670,265,299,333,394
0.265,366,1275,1779,3742,289,303,365,421
0.275,366,1226,1791,3793,257,333,382,442
0.285,342,1226,1742,3804,263,296,368,437
0.295,366,1202,1705,3827,250,313,353,435
0.305,366,1226,1736,3797,214,288,308,387
0.315,354,1288,1814,3741,217,275,335,384
0.325,354,1521,1896,3771,205,257,299,386
0.335,317,1632,1988,3764,214,274,312,389
0.345,329,1693,2098,3755,213,306,298,341
0.355,317,1791,2172,3716,209,316,313,350
0.365,305,1853,2246,3678,214,308,307,347
0.375,280,1976,2430,3708,220,317,325,334
0.385,305,2061,2528,3794,222,313,326,349
0.395,268,2086,2627,3789,216,327,347,391
0.405,268,2086,2651,3768,223,322,362,393
0.415,268,2086,2663,3768,253,348,325,392
0.425,206,2098,2700,3756,276,360,313,356
0.435,206,2086,2713,3813,330,353,305,413
0.445,219,2098,2713,3870,346,345,309,390
0.455,206,2103,2713,3842,324,381,311,355
0.465,206,2086,2725,4028,336,389,324,363
0.475,231,2049,2700,4056,296,384,297,377
0.485,268,2018,2663,3994,236,314,335,404
0.495,305,1951,2627,3880,216,302,352,406
0.505,305,1966,2602,3784,222,319,333,381
0.515,305,1877,2614,3810,212,328,290,346
0.525,292,1853,2602,3869,217,332,299,361
0.535,280,1767,2613,3866,217,341,317,351
0.545,292,1754,2577,3940,207,312,313,369
0.555,292,1705,2577,3987,198,296,331,379
0.565,292,1681,2577,4082,220,332,378,418
0.575,305,1668,2627,4235,273,336,393,478
0.585,378,1632,2749,4473,264,320,374,479
0.595,329,1644,2835,4555,271,325,365,452
