sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,518,1507,2538,3635,241,305,361,456
0.015,517,1512,2500,3652,282,319,346,443
0.025,509,1509,2471,3665,314,308,315,453
0.035,560,1506,2523,3757,279,316,304,462
0.045,507,1498,2423,3839,319,310,295,446
0.055,511,1568,2408,3892,310,323,323,456
0.065,544,1508,2416,3899,317,329,327,466
0.075,566,1476,2418,3921,304,321,317,446
0.085,644,1486,2446,3964,303,339,307,462
0.095,670,1532,2519,4033,288,322,327,467
0.105,731,1554,2458,4023,257,329,320,475
0.115,765,1559,2514,3930,263,320,320,470
0.125,775,1592,2523,3876,250,327,326,459
0.135,597,1569,2557,3861,240,301,351,462
0.145,600,1559,2500,3720,235,317,333,446
0.155,535,1555,2502,3642,244,304,317,418
0.165,475,1510,2575,3516,229,306,323,340
0.175,506,1510,2502,3487,228,312,313,349
0.185,467,1567,2479,3489,239,305,323,345
0.195,494,1635,2479,3515,237,303,304,357
0.205,455,1647,2479,3574,218,285,300,352
0.215,441,1681,2434,3644,196,276,343,360
0.225,426,1681,2377,3583,207,278,323,367
0.235,392,1715,2354,3530,215,299,345,364
0.245,358,1704,2354,3504,231,304,370,366
0.255,346,1692,2365,3554,213,306,360,326
0.265,319,1681,2354,3575,204,325,337,312
0.275,350,1658,2354,3532,204,301,318,329
0.285,312,1647,2377,3475,209,313,332,310
0.295,312,1647,2388,3487,203,311,361,294
0.305,289,1704,2434,3508,197,309,343,292
0.315,312,1715,2445,3494,207,313,338,300
0.325,346,1704,2468,3506,211,317,332,330
0.335,372,1715,2468,3470,212,316,342,320
0.345,358,1692,2468,3455,195,315,345,287
0.355,358,1624,2479,3497,203,329,343,282
0.365,358,1621,2468,3529,212,319,363,331
0.375,335,1544,2457,3520,217,290,388,406
0.385,301,1521,2394,3576,223,319,356,397
0.395,278,1510,2402,3873,250,339,275,449
0.405,221,1521,2400,4006,266,332,278,453
0.415,255,1490,2377,4106,231,336,291,461
0.425,255,1474,2434,4129,215,347,263,484
0.435,266,1521,2514,4063,209,318,282,469
0.445,278,1521,2628,3896,207,297,291,425
0.455,301,1533,2662,3846,215,306,299,415
0.465,358,1521,2662,3809,230,294,305,388
0.475,529,1476,2685,3755,251,311,311,399
0.485,620,1430,2708,3672,250,304,302,400
0.495,609,1407,2708,3590,209,309,256,396
0.505,586,1407,2696,3533,193,315,261,410
0.515,609,1384,2696,3528,207,318,269,410
0.525,609,1361,2708,3506,190,321,284,409
0.535,609,1361,2708,3512,191,323,277,412
0.545,609,1377,2719,3549,194,314,271,421
0.555,609,1361,2708,3610,208,300,278,420
0.565,609,1384,2685,3690,218,291,298,422
0.575,593,1430,2650,3843,222,281,293,421
0.585,563,1498,2593,3913,216,290,298,406
0.595,449,1510,2559,3872,217,303,290,389
0.605,301,1521,2559,4041,230,330,292,391
0.615,266,1521,2502,4220,237,341,314,409
0.625,255,1533,2487,4241,228,381,258,408
0.635,266,1521,2479,4253,272,358,256,427
0.645,255,1533,2479,4302,300,322,208,401
0.655,278,1498,2457,4380,293,297,235,414
0.665,301,1509,2457,4438,225,349,292,388
0.675,312,1480,2457,4379,239,349,295,392
0.685,346,1476,2457,4140,244,312,285,424
0.695,415,1476,2457,3804,257,310,297,419
0.705,563,1505,2434,3585,258,321,308,399
0.715,586,1476,2457,3614,233,329,329,387
0.725,597,1429,2457,3638,226,329,329,410
0.735,586,1418,2468,3625,220,336,359,422
0.745,574,1396,2491,3618,211,322,380,405
0.755,586,1350,2491,3632,214,315,380,407
0.765,574,1293,2502,3668,216,321,369,419
0.775,563,1259,2536,3663,224,327,363,408
0.785,551,1259,2536,3681,229,331,346,426
0.795,540,1247,2559,3681,223,325,343,414
0.805,517,1213,2536,3692,213,324,338,425
0.815,517,1167,2525,3692,223,299,326,428
0.825,517,1167,2536,3649,222,306,325,434
0.835,494,1145,2514,3587,228,305,320,440
0.845,460,1145,2434,3532,242,306,351,435
0.855,426,1122,2400,3505,238,302,351,413
0.865,437,1099,2354,3438,230,287,348,397
0.875,415,1088,2297,3389,231,307,359,386
0.885,380,1065,2274,3352,219,288,378,404
0.895,380,1042,2285,3275,215,276,345,419
