sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,581,1509,2388,3588,254,323,375,426
0.015,610,1515,2422,3550,285,302,343,430
0.025,616,1524,2455,3499,293,288,316,422
0.035,589,1551,2556,3563,266,303,340,430
0.045,562,1549,2498,3618,289,321,351,425
0.055,602,1544,2463,3586,293,306,332,413
0.065,605,1528,2503,3629,305,309,336,416
0.075,592,1510,2525,3646,317,299,331,442
0.085,599,1609,2476,3680,275,321,344,419
0.095,637,1631,2490,3732,230,320,344,413
0.105,637,1663,2510,3742,240,313,342,424
0.115,637,1726,2580,3865,206,303,379,439
0.125,624,1663,2552,3967,236,316,397,462
0.135,599,1637,2612,3999,221,324,364,423
0.145,561,1701,2702,4139,214,297,369,432
0.155,510,1751,2879,4144,209,291,348,400
0.165,498,1724,2879,4049,211,307,327,380
0.175,434,1777,2819,4052,208,325,303,360
0.185,422,1716,2866,4036,191,297,284,365
0.195,396,1751,2841,4071,196,295,273,383
0.205,371,1726,2815,4066,212,307,262,406
0.215,346,1663,2815,4094,193,294,263,414
0.225,320,1574,2815,4141,215,314,319,411
0.235,346,1511,2828,4310,242,322,323,421
0.245,346,1447,2828,4370,278,359,332,403
0.255,346,1435,2841,4332,300,317,332,410
0.265,371,1435,2866,4371,292,330,387,432
0.275,358,1473,2820,4445,282,317,339,439
0.285,346,1549,2866,4425,288,320,323,441
0.295,384,1523,2853,4448,262,331,344,470
0.305,409,1536,2828,4471,241,337,339,466
0.315,447,1529,2777,4501,248,328,321,451
0.325,434,1536,2765,4377,267,308,339,446
0.335,396,1536,2777,4270,259,335,321,446
0.345,409,1485,2765,4291,285,305,352,430
0.355,422,1511,2765,4303,273,318,372,401
0.365,409,1570,2739,4202,296,345,324,380
0.375,422,1599,2726,4214,238,307,325,392
0.385,434,1612,2790,4133,203,284,320,381
0.395,422,1625,2803,3897,178,262,292,390
0.405,447,1625,2762,3792,159,252,261,392
0.415,472,1625,2744,3814,161,259,272,361
0.425,498,1650,2692,3798,168,272,269,346
0.435,523,1650,2661,3798,167,272,305,336
0.445,585,1625,2602,3845,160,259,289,344
0.455,574,1637,2537,3841,155,252,306,333
0.465,561,1637,2461,3991,151,232,346,363
0.475,574,1713,2435,4110,164,240,338,353
0.485,536,1713,2359,4055,197,293,330,390
0.495,432,1713,2285,4096,214,322,322,429
0.505,333,1709,2334,4154,283,387,316,466
0.515,320,1624,2334,4165,288,382,279,461
0.525,333,1436,2359,4189,281,357,316,464
0.535,358,1295,2410,4257,280,324,303,449
0.545,346,1169,2448,4341,246,334,286,426
0.555,384,1093,2517,4375,233,327,283,411
0.565,434,1093,2486,4386,229,343,309,392
0.575,434,1093,2499,4373,267,344,330,385
0.585,485,1080,2524,4459,282,339,309,403
0.595,485,1118,2587,4440,232,373,274,396
0.605,447,1156,2625,4365,225,369,262,374
0.615,422,1371,2587,4319,249,340,266,375
0.625,396,1523,2689,4365,266,325,248,383
0.635,384,1625,2727,4245,254,337,274,371
0.645,422,1713,2727,4086,210,408,344,383
0.655,434,1967,2828,4027,205,430,330,422
0.665,434,2005,2853,3926,264,414,305,427
0.675,434,2043,2866,3862,267,417,268,398
0.685,447,2106,2904,3872,281,414,274,369
0.695,434,2131,2866,3879,267,399,230,364
0.705,434,2220,2879,3940,255,370,272,355
0.715,404,2245,2815,3956,224,331,294,349
0.725,434,2271,2752,3990,211,304,322,361
0.735,434,2339,2765,4072,205,284,321,375
0.745,409,2309,2739,4126,208,298,318,377
0.755,396,2283,2739,4152,216,314,325,427
0.765,384,2271,2739,4155,216,334,343,437
0.775,346,2233,2739,4182,245,352,345,460
0.785,346,2220,2727,4109,287,354,361,463
0.795,346,2182,2727,4165,337,350,348,464
0.805,333,2169,2727,4283,325,355,345,462
0.815,320,2157,2727,4358,338,343,340,459
0.825,308,2144,2727,4414,294,315,345,452
0.835,320,2144,2727,4508,295,342,305,480
0.845,346,2144,2727,4550,246,378,267,452
0.855,434,2131,2727,4489,227,379,278,470
0.865,460,2093,2701,4208,257,329,328,454
0.875,422,2081,2701,3944,197,300,335,413
0.885,396,1992,2714,3851,196,302,320,362
0.895,422,1941,2701,3897,204,321,312,354
0.905,396,1865,2701,3985,215,332,304,368
0.915,384,1777,2701,4086,211,328,290,365
0.925,384,1726,2714,4222,193,295,280,384
0.935,384,1625,2727,4315,204,316,290,393
0.945,415,1625,2790,4381,221,314,324,424
0.955,384,1561,2790,4350,263,388,352,447
0.965,371,1585,2777,4279,304,377,380,488
0.975,346,1574,2765,4346,284,355,390,465
0.985,358,1637,2754,4340,288,333,393,445
0.995,384,1688,2752,4225,259,313,369,444
1.005,384,1701,2750,4094,289,328,353,417
1.015,396,1764,2777,3939,290,320,358,445
1.025,396,1815,2815,3808,298,318,377,468
1.035,333,1789,2828,3805,323,319,302,441
1.045,346,1802,2841,3710,341,335,277,426
1.055,308,1802,2858,3632,321,372,292,414
1.065,333,1802,2815,3632,323,408,299,408
1.075,384,1789,2828,3592,323,379,294,409
1.085,371,1802,2803,3659,314,372,292,390
1.095,384,1815,2815,3687,296,348,293,431
1.105,358,1802,2752,3743,256,340,314,405
1.115,384,1789,2739,3739,237,334,313,388
1.125,460,1764,2701,3711,206,329,303,390
1.135,485,1764,2676,3720,213,337,304,384
1.145,510,1764,2651,3729,197,330,308,372
1.155,561,1751,2651,3713,184,322,317,354
1.165,599,1764,2663,3777,177,318,316,340
1.175,626,1751,2663,3768,174,313,308,351
1.185,650,1764,2701,3780,169,318,306,371
1.195,650,1777,2752,3749,185,331,325,394
1.205,662,1815,2841,3677,258,339,349,409
1.215,619,1853,2917,3626,306,346,393,422
1.225,599,1929,3043,3583,312,356,415,416
1.235,599,1992,3094,3588,313,372,425,390
1.245,574,2030,3145,3598,296,369,405,389
1.255,561,2068,3145,3696,284,368,384,401
1.265,548,2144,3119,3726,248,378,361,369
1.275,548,2245,3183,3757,246,358,303,393
1.285,536,2311,2993,3784,248,294,321,417
1.295,498,2334,2752,3778,242,255,364,387
