sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,581,1532,2534,3573,214,255,367,418
0.015,648,1527,2581,3562,235,272,383,439
0.025,691,1540,2611,3652,247,288,370,447
0.035,766,1597,2622,3642,254,307,400,450
0.045,778,1543,2675,3637,247,296,405,421
0.055,633,1493,2812,3643,251,295,381,433
0.065,583,1407,2894,3510,342,302,393,389
0.075,563,1370,2885,3619,360,284,386,409
0.085,553,1451,2901,3738,313,296,337,441
0.095,543,1439,2850,3722,255,349,360,438
0.105,513,1369,2883,3722,201,386,377,471
0.115,454,1207,3051,3671,167,395,371,466
0.125,414,1085,3121,3782,163,335,295,500
0.135,374,861,3154,3794,217,343,280,515
0.145,354,911,3228,3740,197,317,256,496
0.155,295,1025,3189,3700,242,304,271,456
0.165,324,971,3149,3734,263,291,300,442
0.175,344,1050,2860,3803,270,280,337,404
0.185,354,1122,2801,3919,256,291,362,415
0.195,364,1140,2751,3898,251,287,408,413
0.205,394,1239,2751,3956,244,288,362,424
0.215,392,1269,2771,3978,218,289,332,415
0.225,384,1309,2771,4061,233,296,331,421
0.235,394,1388,2771,4087,232,298,308,444
0.245,384,1349,2771,4102,263,309,322,425
0.255,423,1398,2831,4153,260,295,343,438
0.265,483,1478,2841,4150,204,281,310,396
0.275,414,1558,2860,4173,172,277,284,397
0.285,384,1647,2841,4112,170,276,276,378
0.295,404,1607,2771,4135,175,272,284,366
0.305,434,1568,2771,4119,184,283,298,385
0.315,454,1518,2771,4092,213,298,307,364
0.325,464,1478,2761,4100,232,288,305,372
0.335,493,1478,2781,4037,220,290,283,404
0.345,523,1468,2791,4105,238,289,275,391
0.355,523,1428,2860,4135,243,305,293,392
0.365,523,1419,2860,4159,244,305,294,415
0.375,523,1408,2791,4230,233,334,289,425
0.385,513,1329,2731,4319,204,333,282,457
0.395,523,1299,2691,4442,223,341,284,469
0.405,523,1269,2632,4539,232,329,297,425
0.415,523,1200,2592,4518,263,316,331,415
0.425,374,1030,2582,4510,287,300,337,420
0.435,275,1011,2542,4521,280,298,323,419
0.445,255,1011,2562,4516,237,273,291,430
0.455,265,1011,2562,4501,243,275,292,434
0.465,255,1039,2562,4507,241,276,299,431
0.475,255,1011,2592,4429,227,273,296,446
0.485,255,1011,2592,4425,232,259,322,457
0.495,295,1011,2602,4440,245,261,369,492
0.505,354,1021,2622,4383,246,264,339,530
0.515,454,1100,2711,4272,236,274,296,501
0.525,493,1150,2751,4153,245,249,290,521
0.535,523,1190,2761,3969,243,247,302,513
0.545,513,1170,2771,3757,229,259,317,445
0.555,523,1183,2801,3650,216,271,336,398
0.565,523,1219,2771,3615,207,267,311,364
0.575,523,1229,2781,3647,228,282,325,389
0.585,513,1198,2771,3671,227,260,309,390
0.595,523,1219,2761,3731,252,262,300,357
0.605,523,1249,2747,3802,259,258,309,365
0.615,533,1249,2751,3855,245,258,318,361
0.625,533,1259,2711,3856,235,254,331,353
0.635,533,1249,2672,3799,212,244,327,350
0.645,533,1209,2681,3788,223,276,326,403
0.655,503,1150,2691,3860,228,294,348,422
0.665,354,1160,2681,3963,234,322,392,407
0.675,334,1150,2681,4099,230,331,364,449
0.685,374,1219,2672,4206,225,318,364,452
0.695,493,1289,2681,4257,231,308,373,436
0.705,563,1548,2691,4271,254,268,356,418
0.715,573,1607,2691,4191,251,309,384,408
0.725,454,1597,2681,4225,253,350,356,423
0.735,295,1577,2632,4137,282,314,359,410
0.745,285,1577,2572,3962,305,313,377,450
0.755,285,1568,2552,3849,337,258,351,438
0.765,295,1558,2532,3784,364,241,334,399
0.775,334,1538,2463,3894,300,244,325,382
0.785,394,1518,2496,3942,290,237,374,391
0.795,523,1518,2433,3961,347,240,395,423
0.805,603,1498,2443,3836,321,273,406,488
0.815,643,1458,2473,3692,309,302,415,470
0.825,643,1408,2572,3798,263,332,366,433
0.835,613,1329,2572,3821,219,317,380,415
0.845,543,1289,2652,3778,231,318,350,404
0.855,533,1219,2661,3811,203,293,312,380
0.865,513,1170,2720,3858,196,293,312,353
0.875,503,1130,2760,3954,197,296,328,347
0.885,503,1130,2786,4012,216,313,345,366
0.895,474,1110,2801,3938,222,316,333,401
0.905,474,1080,2806,3950,220,302,338,391
0.915,464,1080,2807,3919,203,321,328,412
0.925,464,1080,2804,3932,209,309,333,407
0.935,464,1050,2802,3927,223,326,338,402
0.945,483,1050,2803,3957,226,301,360,388
0.955,474,1060,2809,3945,234,303,341,398
0.965,474,1050,2815,3902,212,303,318,410
