sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,563,1466,2459,3703,266,305,321,432
0.015,565,1465,2447,3756,279,323,308,438
0.025,572,1553,2396,3782,270,330,302,449
0.035,702,1680,2463,3767,249,324,306,455
0.045,716,1782,2595,3813,204,319,329,450
0.055,636,1763,2629,3772,238,297,346,420
0.065,630,1865,2661,3889,218,290,339,433
0.075,602,1777,2707,3851,228,302,337,435
0.085,590,1714,2636,3836,253,309,373,439
0.095,667,1696,2649,3859,290,306,360,445
0.105,737,1625,2638,3884,325,323,365,434
0.115,717,1702,2657,3866,304,302,372,461
0.125,673,1721,2600,3887,290,312,351,465
0.135,531,1751,2600,3909,265,326,315,446
0.145,452,1777,2613,3972,210,322,307,411
0.155,421,1840,2654,3992,213,334,312,392
0.165,402,1992,2703,4000,184,332,296,383
0.175,377,2017,2701,3959,193,345,281,384
0.185,409,2081,2783,3940,190,342,292,404
0.195,388,2175,2823,3949,182,362,259,387
0.205,345,2157,2815,3849,193,347,261,399
0.215,357,2233,2815,3782,192,339,303,365
0.225,347,2245,2815,3893,206,326,295,385
0.235,334,2261,2841,3898,197,349,302,375
0.245,360,2296,2853,3884,188,313,284,376
0.255,369,2327,2841,3860,199,339,258,380
0.265,359,2283,2777,3864,217,310,264,404
0.275,363,2296,2777,3965,213,296,307,402
0.285,375,2296,2765,3947,216,296,290,388
0.295,369,2271,2739,4154,219,292,320,393
0.305,356,2271,2707,4375,248,283,340,395
0.315,349,2233,2676,4441,225,318,343,441
0.325,358,2195,2651,4538,240,310,382,464
0.335,333,2131,2594,4579,266,318,359,435
0.345,358,2106,2689,4578,307,324,341,440
0.355,417,2043,2727,4585,278,319,335,437
0.365,409,2005,2538,4720,278,321,359,467
0.375,485,1979,2727,4667,292,322,355,410
0.385,472,1941,2739,4664,306,339,358,415
0.395,510,1929,2739,4635,325,323,338,424
0.405,523,1941,2727,4545,315,364,340,407
0.415,548,1929,2727,4511,283,346,340,429
0.425,548,1903,2701,4384,287,314,345,478
0.435,561,1853,2685,4250,340,309,359,476
0.445,523,1827,2651,4220,304,298,368,468
0.455,498,1651,2587,4077,288,303,324,450
0.465,510,1454,2468,3969,296,289,325,456
0.475,536,1280,2374,3928,278,294,318,464
0.485,510,1135,2304,3954,199,318,352,465
0.495,510,1023,2250,3957,177,382,371,464
0.505,485,949,2205,3942,178,403,405,439
0.515,498,907,2160,3952,179,412,386,452
0.525,447,888,2109,4013,136,411,388,441
0.535,434,881,2042,4001,115,398,415,473
0.545,447,875,1953,3968,136,401,410,459
0.555,409,862,1846,3903,162,392,410,451
0.565,396,831,1753,3806,188,366,402,461
0.575,409,966,1706,3773,216,352,379,467
0.585,396,966,1732,3759,239,292,376,477
0.595,409,1194,1807,3767,239,291,363,481
0.605,422,1283,1887,3805,216,282,339,439
0.615,422,1321,1957,3817,218,291,335,425
0.625,422,1359,2043,3751,204,291,304,426
0.635,434,1422,2167,3719,206,321,301,428
0.645,422,1410,2302,3751,252,290,302,422
0.655,422,1440,2405,3736,278,306,341,450
0.665,384,1460,2454,3801,271,290,355,455
0.675,371,1476,2463,3863,238,373,330,450
0.685,371,1460,2448,3864,223,347,346,481
0.695,371,1460,2424,3836,209,342,328,477
0.705,409,1498,2405,3818,245,316,328,511
0.715,409,1460,2398,3848,246,318,337,484
0.725,447,1460,2400,3856,278,284,347,448
0.735,485,1511,2406,3838,290,311,319,450
0.745,460,1480,2411,3708,239,308,313,436
0.755,485,1460,2411,3615,233,316,310,412
0.765,536,1397,2406,3556,212,291,330,401
0.775,548,1397,2394,3540,206,317,312,404
0.785,574,1372,2375,3504,201,308,337,427
0.795,586,1359,2348,3545,212,315,362,419
0.805,637,1334,2314,3645,204,305,364,426
0.815,637,1334,2274,3703,216,332,393,455
0.825,637,1334,2232,3728,214,346,375,458
0.835,637,1296,2193,3713,215,341,351,451
0.845,662,1296,2161,3706,223,341,333,452
0.855,675,1296,2141,3723,232,350,329,463
0.865,662,1296,2136,3705,235,359,332,476
0.875,675,1296,2146,3619,234,332,311,463
0.885,675,1296,2167,3545,220,318,306,445
0.895,688,1296,2196,3519,202,308,334,434
0.905,688,1321,2227,3568,214,315,319,430
0.915,688,1280,2258,3566,208,302,313,427
0.925,688,1334,2286,3506,206,323,319,449
0.935,700,1346,2311,3554,194,316,329,437
0.945,700,1380,2333,3532,186,327,300,429
0.955,688,1384,2354,3560,142,302,325,442
0.965,675,1384,2374,3619,151,332,303,440
0.975,650,1397,2394,3609,169,289,312,411
0.985,637,1410,2416,3639,192,331,325,430
0.995,561,1410,2439,3649,219,302,367,448
1.005,460,1422,2463,3628,263,317,325,441
1.015,409,1397,2486,3610,247,318,318,455
1.025,384,1410,2509,3616,232,317,329,446
1.035,394,1429,2529,3680,259,328,304,461
1.045,320,1448,2547,3742,273,301,306,440
1.055,352,1457,2561,3678,288,315,319,445
1.065,351,1536,2570,3592,285,290,331,470
1.075,346,1701,2574,3463,286,315,353,438
1.085,510,1739,2572,3298,283,361,352,371
1.095,523,1840,2564,3455,248,355,348,372
1.105,485,1929,2549,3448,320,349,361,358
1.115,460,1954,2526,3469,334,326,342,397
1.125,447,1967,2495,3475,302,288,334,417
1.135,409,1903,2456,3428,305,282,325,418
1.145,371,1840,2410,3443,230,286,331,440
1.155,346,1688,2359,3337,186,254,371,440
1.165,333,1650,2305,3295,217,290,352,431
1.175,333,1549,2249,3211,227,324,354,421
1.185,333,1473,2193,3311,202,310,351,427
1.195,320,1397,2140,3392,193,272,374,414
1.205,333,1245,2092,3492,214,313,341,428
1.215,308,1171,2050,3444,222,285,318,437
1.225,333,1182,2016,3425,215,300,337,440
1.235,320,1220,1992,3427,237,300,319,430
1.245,333,1245,1980,3407,212,285,322,433
1.255,333,1258,1983,3467,179,224,378,466
1.265,333,1397,1998,3554,179,199,383,465
1.275,346,1448,2021,3635,166,168,403,473
1.285,384,1511,2046,3631,180,213,363,461
1.295,447,1524,2069,3654,200,256,359,462
1.305,485,1574,2087,3698,195,265,383,470
1.315,523,1587,2101,3672,178,244,387,467
1.325,570,1574,2111,3609,161,222,412,464
1.335,523,1609,2118,3569,172,205,416,485
1.345,546,1511,2123,3534,192,243,405,477
1.355,447,1460,2126,3663,218,286,378,446
1.365,384,1473,2127,3699,226,317,344,457
1.375,371,1422,2127,3624,260,320,315,457
1.385,371,1384,2127,3520,255,299,329,432
1.395,346,1321,2128,3448,274,270,357,443
1.405,346,1270,2129,3498,296,304,346,428
1.415,358,1245,2132,3550,306,315,330,418
1.425,358,1258,2138,3672,261,335,316,423
1.435,371,1283,2146,3692,309,318,310,463
1.445,384,1346,2157,3741,279,265,325,489
1.455,384,1435,2173,3757,265,284,326,479
1.465,396,1536,2193,3858,230,257,308,456
1.475,371,1600,2220,3923,217,254,298,434
1.485,467,1676,2253,3926,218,269,273,432
1.495,371,1726,2294,3938,230,286,298,436
1.505,371,1802,2342,3965,237,312,349,479
1.515,332,1751,2400,3879,224,348,330,417
1.525,346,1739,2467,3792,225,345,381,419
1.535,358,1714,2541,3941,226,399,335,386
1.545,354,1701,2613,4043,228,376,317,382
1.555,341,1663,2674,4193,216,354,350,350
1.565,371,1625,2715,4286,243,362,359,390
1.575,396,1549,2734,4376,262,367,344,389
1.585,396,1587,2738,4359,285,348,363,436
1.595,434,1590,2729,4286,293,346,402,458
1.605,472,1594,2711,4285,224,344,389,451
1.615,485,1638,2690,4235,262,321,398,444
1.625,472,1638,2668,4146,232,300,376,435
1.635,434,1663,2651,4091,209,307,321,386
1.645,422,1714,2642,4077,247,327,287,368
1.655,434,1802,2645,3957,229,318,313,388
1.665,498,1840,2638,3920,209,317,303,395
1.675,498,1840,2663,3926,204,309,333,389
1.685,485,1878,2651,3917,192,308,308,377
1.695,447,1878,2689,3933,173,294,307,364
1.705,485,1878,2689,3866,182,311,301,373
1.715,460,1878,2689,3857,197,282,329,405
1.725,447,1840,2689,3921,188,292,308,409
1.735,422,1863,2689,3899,211,297,302,440
1.745,447,1751,2689,3886,174,295,273,455
1.755,434,1726,2699,3902,258,352,283,477
1.765,384,1701,2613,3970,223,325,297,460
1.775,358,1731,2283,4028,217,295,324,473
1.785,384,1638,2195,3970,198,290,332,462
1.795,358,1562,2043,3992,201,280,353,468
1.805,358,1448,2017,3898,212,281,352,463
1.815,384,1359,1903,3903,222,312,341,492
1.825,371,1321,1941,3895,182,319,329,501
1.835,346,1245,1891,3915,209,318,345,483
1.845,371,1194,1954,3940,216,303,340,492
1.855,320,1182,1941,3959,213,321,348,481
1.865,372,1156,1954,4018,260,298,312,487
1.875,338,1182,1992,4043,261,331,290,484
1.885,333,1334,2030,3981,241,307,316,454
1.895,333,1410,2119,3927,217,275,338,416
1.905,333,1574,2131,3880,224,254,354,414
1.915,346,1739,2220,3821,232,264,337,421
1.925,372,1967,2321,3774,227,291,336,397
1.935,333,2005,2549,3713,233,310,327,391
1.945,364,2081,2600,3723,245,274,319,369
1.955,329,2106,2651,3747,240,267,314,368
1.965,320,2106,2663,3754,216,274,292,364
1.975,295,2119,2689,3736,218,291,283,368
1.985,295,2106,2689,3785,204,313,281,369
1.995,282,2093,2689,3724,225,317,317,371
2.005,270,2068,2660,3784,219,325,315,395
2.015,232,2005,2689,3848,240,344,350,434
2.025,206,1941,2685,3931,211,368,349,439
2.035,194,1941,2696,3922,206,351,353,458
2.045,206,1929,2687,3912,206,357,351,460
2.055,206,1903,2719,3856,235,380,341,472
2.065,232,1916,2807,3749,245,393,373,467
2.075,232,1926,2901,3679,243,423,350,405
2.085,257,1916,2879,3649,256,391,346,381
2.095,270,2017,2866,3801,270,382,315,390
2.105,270,2081,2853,3883,285,384,279,401
2.115,282,2245,2790,3900,294,382,279,422
2.125,282,2192,2777,3919,318,409,305,412
2.135,282,2182,2752,3935,256,357,314,402
2.145,295,2131,2714,3998,236,305,312,409
2.155,295,2093,2689,4028,216,275,298,405
2.165,320,2030,2701,4024,213,301,300,406
2.175,358,1992,2689,3977,219,290,315,404
2.185,396,2005,2701,3943,231,277,320,405
2.195,409,1967,2689,4027,217,289,301,412
2.205,396,1992,2689,4046,207,271,299,418
2.215,384,1992,2663,4045,207,286,288,409
2.225,384,1979,2625,3963,213,300,275,384
2.235,346,1967,2613,3940,221,287,276,404
2.245,308,1945,2587,4004,224,315,304,415
2.255,308,2017,2549,4131,230,334,353,410
2.265,295,1992,2537,4236,218,347,300,397
2.275,308,2017,2530,4219,212,358,302,381
2.285,295,2017,2568,4143,213,342,308,396
2.295,333,1957,2562,4106,244,317,281,407
2.305,333,1865,2511,4066,208,279,269,393
2.315,371,1764,2423,4112,210,258,295,402
2.325,396,1701,2321,4131,220,266,304,409
2.335,409,1650,2207,4154,224,264,306,402
2.345,460,1536,2106,4182,229,254,313,412
2.355,559,1511,2030,4193,232,261,322,413
2.365,523,1473,1967,4187,244,272,343,432
2.375,498,1435,1941,4160,268,265,349,432
2.385,434,1384,1891,4146,254,232,345,422
2.395,422,1359,1891,4145,252,245,338,421
2.405,422,1346,1891,4153,235,267,350,438
2.415,422,1359,1891,4087,215,287,324,433
2.425,396,1359,1878,3992,223,293,292,413
2.435,422,1371,1891,3964,205,272,279,408
2.445,422,1422,1941,3991,193,242,296,404
2.455,422,1460,1941,4041,187,212,295,416
2.465,447,1498,2068,4088,208,221,325,441
2.475,447,1688,2144,4109,218,244,342,438
2.485,460,1802,2258,4053,208,251,358,437
2.495,472,1929,2372,4036,190,253,327,454
2.505,447,2005,2448,4013,200,250,350,445
2.515,460,2055,2511,4006,211,252,375,440
2.525,460,2081,2575,4018,211,268,355,421
2.535,447,2068,2663,3991,206,271,360,412
2.545,503,2093,2663,3936,218,274,348,406
2.555,447,2068,2714,3878,215,287,335,399
2.565,409,2068,2714,3797,217,295,322,394
2.575,358,2081,2727,3743,236,303,357,413
2.585,358,2043,2752,3799,219,309,360,433
2.595,371,2055,2777,3852,207,315,363,458
2.605,282,2106,2749,3898,230,350,341,450
2.615,270,2106,2790,3989,226,353,310,422
2.625,282,2182,2851,3885,215,349,278,373
2.635,320,2220,2853,3913,204,293,244,390
2.645,320,2245,2853,3870,198,278,267,382
2.655,308,2283,2891,3863,209,267,279,379
2.665,295,2283,2942,3897,211,289,288,381
2.675,320,2283,2955,3815,218,264,280,403
2.685,333,2321,2955,3789,200,287,261,384
2.695,346,2352,2967,3791,216,267,291,401
2.705,333,2334,2967,3960,238,311,369,451
2.715,308,2334,2917,4080,220,353,313,434
2.725,282,2195,2828,4144,229,367,287,429
2.735,308,2093,2727,4168,223,380,276,403
2.745,308,1891,2739,4225,242,395,277,390
2.755,333,1806,2651,4303,260,389,307,408
2.765,358,1802,2638,4229,250,390,298,415
2.775,333,1726,2613,4204,245,374,293,420
2.785,358,1701,2613,4186,248,377,242,425
2.795,358,1701,2613,4122,278,367,267,409
2.805,434,1650,2613,4201,311,330,284,430
2.815,434,1612,2613,4286,280,327,275,421
2.825,434,1599,2613,4318,313,305,311,404
2.835,447,1584,2613,4278,342,329,286,423
2.845,472,1599,2613,4170,349,268,299,426
2.855,523,1612,2603,4061,317,293,306,441
2.865,523,1599,2620,3920,315,302,323,418
2.875,548,1599,2620,3837,276,303,360,441
2.885,574,1621,2562,3773,276,336,381,463
2.895,536,1536,2487,3683,210,326,375,460
2.905,548,1511,2369,3603,223,341,351,470
2.915,574,1444,2289,3536,181,316,337,456
2.925,612,1384,2229,3519,196,292,336,420
2.935,649,1398,2188,3581,189,309,335,443
2.945,700,1353,2162,3568,198,276,359,447
2.955,700,1371,2151,3504,209,310,347,455
2.965,776,1384,2151,3497,204,318,323,428
2.975,789,1384,2161,3496,206,319,318,428
2.985,801,1371,2179,3499,212,311,307,440
2.995,814,1409,2203,3473,206,308,298,431
3.005,814,1384,2230,3483,205,280,341,450
3.015,801,1447,2260,3498,196,269,339,472
3.025,751,1549,2288,3416,182,261,376,469
3.035,696,1587,2315,3344,182,282,355,451
3.045,687,1637,2337,3394,171,287,331,439
3.055,649,1675,2353,3428,159,277,328,452
3.065,584,1663,2363,3350,176,265,333,477
3.075,561,1650,2365,3325,195,281,341,482
3.085,569,1625,2360,3271,186,276,347,468
3.095,485,1561,2348,3352,202,287,357,430
3.105,396,1485,2326,3497,211,314,366,432
3.115,358,1118,2292,3562,212,316,360,413
3.125,320,1080,2236,3608,235,306,342,435
3.135,308,1067,2146,3647,205,335,363,446
3.145,270,1055,2012,3728,243,284,332,450
3.155,270,1093,1847,3753,252,293,313,439
3.165,308,1105,1703,3748,274,301,311,453
3.175,358,1118,1613,3806,257,250,354,502
3.185,358,1118,1566,3949,251,270,356,522
3.195,371,1131,1550,4042,222,276,388,491
3.205,371,1143,1550,4049,212,282,393,465
3.215,371,1156,1559,4110,193,253,376,473
3.225,371,1232,1575,4155,197,239,365,452
3.235,371,1270,1597,4216,185,235,372,450
3.245,371,1283,1624,4121,198,242,359,419
3.255,371,1333,1656,4161,207,246,355,454
3.265,371,1384,1694,4184,198,251,334,446
3.275,371,1435,1741,4158,217,242,334,447
3.285,384,1473,1802,4079,205,255,351,429
3.295,371,1536,1879,4124,220,239,342,471
3.305,371,1625,1976,4107,243,274,339,454
3.315,370,1751,2095,4070,280,333,307,442
3.325,371,1903,2229,4003,319,319,290,450
3.335,346,2043,2372,3973,311,301,278,449
3.345,358,2106,2514,3950,284,279,307,432
3.355,455,2144,2648,3991,263,300,280,445
3.365,477,2195,2767,4033,258,377,270,431
3.375,509,2233,2765,4039,247,408,207,483
3.385,529,2283,2967,4127,291,411,215,469
3.395,539,2283,3056,4167,331,391,218,448
3.405,557,2283,3106,4221,329,413,261,410
3.415,558,2283,3094,4312,313,387,263,412
3.425,535,2296,3068,4352,298,412,289,419
3.435,542,2258,3068,4308,316,416,311,412
3.445,538,2233,3031,4318,323,457,353,413
3.455,545,2207,2942,4318,315,409,371,400
3.465,566,2182,2904,4403,301,424,374,403
3.475,579,2131,2879,4300,308,417,376,400
3.485,589,2068,2777,4166,279,441,361,420
3.495,581,2030,2739,4021,310,416,352,378
3.505,595,1992,2562,3990,302,411,311,409
3.515,657,1992,2511,4067,320,386,304,394
3.525,770,1958,2486,4091,267,372,270,430
3.535,870,1979,2435,4072,250,359,294,478
3.545,964,1954,2448,4049,221,353,332,481
3.555,911,1979,2499,4076,189,333,328,472
3.565,913,1954,2486,4057,194,331,351,428
