sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,520,1503,2477,3546,248,316,373,458
0.015,515,1471,2459,3513,273,312,315,459
0.025,537,1428,2456,3511,315,295,311,435
0.035,567,1511,2453,3501,271,301,327,433
0.045,580,1481,2370,3436,288,294,326,428
0.055,562,1538,2460,3499,264,310,339,411
0.065,594,1491,2507,3595,294,297,323,438
0.075,708,1480,2400,3580,267,354,315,420
0.085,680,1504,2464,3640,258,321,335,437
0.095,712,1488,2329,3618,269,319,322,420
0.105,719,1447,2398,3631,211,325,317,430
0.115,740,1479,2497,3680,255,308,306,403
0.125,811,1509,2420,3563,251,337,312,394
0.135,875,1609,2424,3557,227,339,292,393
0.145,847,1759,2414,3645,207,321,300,390
0.155,942,1767,2427,3646,224,306,300,385
0.165,1013,1788,2448,3623,247,308,299,396
0.175,945,1866,2471,3592,240,304,292,372
0.185,951,1891,2514,3654,239,315,321,383
0.195,875,1894,2538,3696,210,305,348,374
0.205,943,1898,2597,3736,236,314,344,373
0.215,964,1916,2665,3857,231,319,305,390
0.225,969,1914,2670,3794,220,325,333,396
0.235,1050,2019,2807,3742,276,339,349,458
0.245,947,1957,2765,3919,303,272,367,458
0.255,869,1892,2713,4067,272,257,380,462
0.265,855,1836,2727,4027,256,255,349,441
0.275,824,1831,2739,4007,269,255,360,434
0.285,896,1815,2771,3980,287,248,384,467
0.295,890,1742,2825,3881,248,265,398,459
0.305,845,1744,2912,3797,233,292,395,467
0.315,855,1671,2970,3739,218,294,355,477
0.325,821,1628,2993,3695,226,289,339,460
0.335,848,1601,3062,3741,257,301,340,441
0.345,771,1591,2936,3784,243,268,317,434
0.355,823,1570,2885,3778,238,361,362,437
0.365,863,1520,2860,3751,173,391,345,473
0.375,939,1520,2841,3685,198,397,372,460
0.385,978,1500,2803,3830,221,375,360,446
0.395,930,1520,2773,3877,215,385,350,427
0.405,905,1500,2804,3863,238,342,362,450
0.415,841,1510,2757,3802,206,337,395,456
0.425,789,1510,2630,3861,221,305,363,390
0.435,678,1510,2523,3800,194,291,320,367
0.445,678,1510,2513,3845,169,294,340,352
0.455,658,1540,2513,3941,183,280,299,363
0.465,547,1517,2566,3912,224,311,283,366
0.475,487,1560,2573,3825,207,310,280,429
0.485,247,1550,2573,3821,202,302,284,428
0.495,207,1562,2583,3844,209,324,311,424
0.505,217,1577,2573,3805,216,347,350,436
0.515,247,1540,2584,3780,217,330,362,440
0.525,237,1530,2533,3726,217,351,344,441
0.535,287,1488,2548,3739,244,318,339,450
0.545,317,1540,2533,3710,284,314,343,435
0.555,337,1502,2533,3702,295,322,348,428
0.565,367,1530,2515,3822,278,333,313,426
0.575,397,1540,2533,3976,253,314,324,433
0.585,457,1540,2533,3950,164,328,303,396
0.595,487,1580,2634,3825,154,301,355,410
0.605,557,1570,2521,3670,165,325,372,408
0.615,628,1530,2490,3716,173,358,365,352
0.625,668,1470,2460,3690,183,361,351,318
0.635,698,1420,2432,3727,192,354,344,319
0.645,718,1380,2408,3751,205,329,347,318
0.655,718,1350,2389,3733,205,332,331,343
0.665,708,1350,2376,3786,197,334,315,355
0.675,718,1370,2371,3730,210,328,311,365
0.685,708,1390,2372,3648,214,320,309,373
0.695,678,1460,2373,3648,207,303,310,420
0.705,628,1513,2370,3600,239,283,347,398
0.715,628,1510,2361,3680,296,288,349,418
0.725,598,1580,2349,3831,268,273,340,470
0.735,568,1580,2337,3933,262,272,354,484
0.745,578,1601,2329,3846,243,302,353,484
0.755,578,1611,2326,3790,225,333,343,476
0.765,598,1651,2328,3760,296,309,338,465
0.775,618,1679,2334,3701,289,325,322,474
0.785,608,1671,2342,3726,279,331,308,445
0.795,618,1680,2347,3675,273,324,310,437
0.805,608,1701,2339,3698,241,334,295,451
0.815,598,1671,2312,3706,266,320,313,452
0.825,638,1671,2257,3734,272,316,315,447
0.835,608,1661,2172,3747,309,284,306,408
0.845,557,1621,2073,3809,281,291,332,431
0.855,477,1560,1978,3899,261,295,331,447
0.865,437,1510,1893,3979,243,321,345,489
0.875,437,1440,1821,3958,228,300,357,484
0.885,397,1280,1765,3940,189,336,376,487
0.895,397,1179,1726,3969,185,321,366,457
0.905,387,1079,1705,3962,167,322,349,469
0.915,397,1029,1701,3922,158,338,324,455
0.925,377,979,1714,3924,156,340,347,443
