sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,530,1440,2511,3713,233,270,349,409
0.015,573,1433,2403,3725,258,303,366,430
0.025,639,1442,2360,3742,271,282,353,433
0.035,703,1457,2321,3742,261,310,343,442
0.045,660,1561,2443,3724,237,299,345,443
0.055,689,1591,2519,3726,221,303,378,458
0.065,732,1548,2512,3720,274,319,351,453
0.075,707,1608,2528,3730,251,299,354,449
0.085,737,1671,2533,3765,213,326,356,460
0.095,751,1636,2515,3792,238,339,384,460
0.105,755,1628,2495,3722,222,353,362,438
0.115,790,1585,2622,3783,244,341,338,443
0.125,837,1604,2635,3768,235,364,350,446
0.135,835,1690,2557,3670,259,334,344,424
0.145,877,1820,2492,3701,306,298,359,418
0.155,868,1733,2484,3764,295,280,373,434
0.165,919,1578,2474,3840,309,301,398,432
0.175,1001,1525,2465,3869,271,305,371,450
0.185,979,1545,2467,3813,218,336,360,475
0.195,853,1468,2481,3758,186,352,318,483
0.205,767,1587,2496,3659,223,340,321,456
0.215,770,1613,2541,3531,207,375,306,412
0.225,755,1593,2491,3531,208,349,356,402
0.235,662,1608,2505,3573,192,342,351,435
0.245,663,1623,2472,3625,170,351,356,441
0.255,619,1534,2558,3722,194,361,324,442
0.265,597,1407,2496,3919,121,404,295,437
0.275,568,948,2430,3934,122,409,302,420
0.285,530,957,2354,3922,170,348,275,416
0.295,492,1014,2354,3920,222,309,290,421
0.305,473,1128,2354,3912,214,325,296,453
0.315,407,1280,2382,3842,210,328,271,456
0.325,378,1385,2411,3835,235,297,244,464
0.335,274,1546,2468,3882,274,345,265,467
0.345,264,1546,2515,3925,223,292,267,478
0.355,274,1537,2525,3926,208,315,262,466
0.365,255,1546,2534,3906,206,303,254,467
0.375,264,1527,2591,3935,204,334,262,455
0.385,245,1527,2603,3970,219,310,247,485
0.395,264,1518,2601,4035,222,318,288,431
0.405,264,1508,2601,4068,218,313,336,458
0.415,255,1518,2591,4050,243,292,348,462
0.425,283,1508,2582,4041,278,336,343,472
0.435,283,1584,2496,3940,274,300,313,485
0.445,312,1570,2458,3918,288,298,344,500
0.455,312,1694,2430,3926,283,310,348,482
0.465,321,1736,2287,3919,294,343,318,474
0.475,312,1888,2325,3979,313,369,319,470
0.485,340,1964,2354,4045,271,342,321,451
0.495,340,2002,2458,4089,325,341,333,445
0.505,321,2012,2610,4117,274,361,310,425
0.515,302,2012,2696,4058,214,316,348,420
0.525,293,2021,2762,4110,215,279,348,427
0.535,283,2050,2781,4101,227,271,323,378
0.545,283,2050,2753,4139,228,266,312,372
0.555,283,2069,2724,4094,216,272,303,374
0.565,283,2050,2629,4043,213,259,312,382
0.575,283,2050,2648,4028,211,276,313,393
0.585,312,1945,2667,3994,202,310,308,396
0.595,350,1860,2686,3973,207,338,309,399
0.605,378,1670,2743,3989,240,376,335,396
0.615,397,1527,2781,4006,242,348,307,380
0.625,397,1366,2829,4051,222,322,306,360
0.635,416,1271,2933,4078,215,296,295,350
0.645,416,1195,2966,4105,229,297,314,338
0.655,407,1166,2933,4112,233,291,303,334
0.665,435,1147,2953,4092,237,289,318,339
0.675,435,1176,2933,4123,223,274,312,346
0.685,435,1271,2884,4106,222,294,314,358
0.695,435,1413,2886,4088,214,284,325,349
0.705,426,1575,2857,4092,213,296,334,369
0.715,435,1755,2876,4095,248,328,335,380
0.725,426,1907,2838,4082,238,359,315,387
0.735,435,1955,2800,4048,238,334,333,384
0.745,435,2031,2734,4027,235,331,310,384
0.755,435,2050,2715,4007,213,334,307,396
0.765,435,2031,2696,4036,204,317,318,376
0.775,435,1964,2620,4069,231,310,331,370
0.785,435,1923,2620,4052,219,317,346,361
0.795,464,1898,2610,3998,204,318,338,361
0.805,445,1822,2610,3927,206,311,352,379
