sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,533,1481,2535,3603,225,268,384,417
0.015,642,1487,2589,3704,248,294,383,442
0.025,713,1607,2620,3762,290,273,402,439
0.035,717,1601,2565,3879,262,269,347,423
0.045,725,1640,2618,3897,265,268,364,471
0.055,724,1648,2657,3983,310,256,374,465
0.065,716,1634,2601,3976,245,286,351,446
0.075,722,1540,2570,4047,256,304,308,443
0.085,686,1614,2583,4050,255,266,338,467
0.095,676,1652,2554,4089,279,266,352,493
0.105,575,1610,2613,4078,280,287,356,441
0.115,462,1589,2560,4063,300,295,354,438
0.125,422,1624,2490,4078,279,312,367,443
0.135,429,1677,2492,3965,279,326,366,402
0.145,439,1663,2428,3974,245,314,350,443
0.155,453,1612,2516,4028,292,343,356,408
0.165,474,1579,2469,4055,261,347,374,440
0.175,538,1474,2386,4010,261,332,350,476
0.185,602,1443,2378,3989,283,314,328,466
0.195,703,1368,2389,4023,314,314,336,478
0.205,650,1461,2370,3987,317,327,359,421
0.215,622,1562,2370,3984,308,313,359,449
0.225,574,1632,2370,4040,273,379,276,400
0.235,479,1730,2389,4045,306,379,302,449
0.245,422,1733,2398,4079,308,357,338,481
0.255,365,1771,2415,4156,302,369,323,490
0.265,324,1809,2436,4256,285,310,319,497
0.275,299,1876,2427,4397,235,302,323,450
0.285,318,1914,2427,4475,224,305,314,428
0.295,251,1952,2427,4482,217,308,311,402
0.305,242,1961,2417,4462,214,293,321,380
0.315,251,1971,2417,4468,221,324,329,363
0.325,251,1971,2360,4435,222,308,323,372
0.335,251,1980,2351,4443,220,287,310,376
0.345,251,1990,2351,4410,220,305,316,375
0.355,251,1980,2313,4364,231,337,331,373
0.365,270,1971,2275,4304,255,316,328,392
0.375,280,1923,2265,4264,211,330,333,401
0.385,280,1828,2237,4299,226,335,328,391
0.395,289,1676,2237,4284,235,309,325,380
0.405,318,1591,2227,4276,239,309,326,370
0.415,318,1502,2256,4338,229,317,329,360
0.425,327,1486,2284,4361,221,322,332,379
0.435,365,1433,2284,4381,242,332,324,387
0.445,394,1467,2284,4443,245,319,317,405
0.455,432,1458,2294,4434,259,326,311,374
0.465,479,1496,2313,4513,226,320,335,365
0.475,508,1543,2303,4520,211,300,360,352
0.485,546,1562,2322,4525,189,305,353,388
0.495,584,1600,2322,4498,178,296,339,398
0.505,621,1602,2332,4486,161,297,359,429
0.515,604,1575,2303,4408,136,288,411,459
0.525,536,1600,2294,4436,179,299,384,483
0.535,546,1600,2303,4424,181,290,397,491
0.545,565,1600,2294,4406,174,296,371,471
0.555,584,1610,2303,4383,177,262,369,501
0.565,574,1597,2313,4356,183,296,360,485
0.575,612,1586,2351,4308,191,294,352,497
0.585,622,1560,2341,4242,207,298,350,504
0.595,641,1530,2370,4159,240,302,341,500
0.605,650,1486,2389,4069,218,290,332,510
0.615,650,1460,2389,3993,231,314,340,473
0.625,650,1429,2408,3893,203,284,349,494
0.635,622,1391,2389,3809,242,320,331,502
0.645,622,1344,2265,3705,238,289,320,482
0.655,375,1315,2227,3667,261,308,355,435
0.665,356,1382,2218,3781,263,314,330,411
0.675,346,1401,2218,3851,236,304,332,419
0.685,346,1410,2256,3896,230,302,358,449
0.695,312,1420,2294,3988,218,329,342,461
0.705,299,1477,2313,3995,235,269,294,443
0.715,280,1458,2294,4011,280,314,325,447
0.725,299,1524,2294,4016,266,308,286,458
0.735,280,1572,2303,4004,248,315,285,456
0.745,299,1667,2322,4110,234,305,304,458
0.755,299,1743,2408,4190,228,322,280,437
0.765,299,1819,2436,4220,207,327,293,402
0.775,308,1876,2446,4174,218,332,319,379
0.785,299,1904,2484,4111,200,297,318,360
0.795,299,1971,2512,4150,224,292,303,368
0.805,299,2018,2550,4161,219,316,306,377
0.815,299,2056,2617,4086,223,286,298,392
0.825,299,2075,2645,4094,224,302,304,391
0.835,299,2123,2645,4154,218,292,318,395
0.845,289,2113,2683,4157,216,289,322,400
0.855,299,2123,2740,4200,219,312,329,400
0.865,299,2123,2750,4248,219,294,322,377
0.875,299,2111,2769,4193,215,302,311,379
0.885,289,2104,2750,4195,215,293,313,381
0.895,299,2085,2702,4218,206,296,312,377
0.905,337,2009,2674,4204,199,302,309,376
0.915,375,1923,2588,4189,182,300,322,392
0.925,460,1790,2541,4162,168,292,341,409
0.935,479,1629,2503,4105,185,281,319,425
0.945,498,1581,2474,4001,185,301,296,434
0.955,536,1496,2474,3910,199,311,318,429
0.965,536,1353,2446,3804,205,307,336,415
0.975,546,1230,2427,3717,198,300,354,384
0.985,479,1182,2427,3634,174,310,373,350
0.995,441,1116,2427,3595,152,302,396,354
1.005,451,1021,2408,3586,176,342,345,351
1.015,413,935,2408,3583,167,325,386,350
1.025,394,945,2446,3589,197,320,358,356
1.035,394,926,2465,3610,194,314,362,375
1.045,413,945,2474,3621,184,302,351,394
1.055,451,964,2503,3627,201,343,357,407
1.065,470,992,2550,3628,193,273,353,389
1.075,460,992,2560,3684,206,318,354,412
1.085,451,1002,2512,3715,208,290,352,405
1.095,441,992,2465,3721,222,328,353,409
1.105,432,992,2488,3746,217,311,352,406
1.115,422,954,2417,3807,217,324,342,393
1.125,413,916,2408,3883,214,323,318,377
1.135,413,859,2341,3968,228,322,307,371
1.145,394,831,2332,3974,197,302,311,408
1.155,375,802,2341,3923,198,287,296,441
1.165,375,769,2341,3932,194,307,323,480
1.175,384,793,2389,3943,208,330,340,501
1.185,394,812,2389,3904,168,361,347,491
1.195,384,793,2389,3925,240,353,362,488
1.205,403,802,2379,3924,237,366,330,475
1.215,394,793,2389,3890,218,335,376,481
1.225,394,774,2370,3851,148,358,367,469
1.235,394,764,2341,3877,99,372,368,462
1.245,394,774,2332,3813,96,377,402,444
1.255,384,764,2341,3785,124,351,397,419
1.265,394,755,2332,3778,151,309,373,392
1.275,375,774,2331,3866,172,305,365,383
1.285,422,821,2332,3911,184,305,325,390
1.295,422,869,2332,4016,203,295,301,422
1.305,403,935,2332,4135,236,297,276,457
1.315,422,992,2332,4250,243,283,279,437
1.325,413,1135,2341,4188,234,304,276,403
1.335,422,1230,2351,4072,234,311,281,390
1.345,422,1496,2379,3977,216,355,290,369
1.355,422,1676,2398,3877,245,351,275,364
1.365,432,1828,2398,3878,215,366,309,306
1.375,432,1914,2446,3871,213,332,315,297
1.385,280,1999,2467,3926,199,336,357,350
1.395,280,1961,2455,3950,189,392,301,348
1.405,261,1904,2442,4041,179,367,326,417
1.415,302,1866,2379,4059,210,359,312,411
1.425,280,1847,2303,4071,197,352,295,390
1.435,261,1790,2284,4160,189,356,302,390
1.445,280,1781,2246,4212,190,323,324,378
1.455,299,1743,2227,4275,200,328,284,377
1.465,280,1743,2142,4360,200,326,276,378
1.475,299,1743,2199,4296,212,307,310,381
1.485,299,1705,2237,4208,221,291,304,361
1.495,299,1629,2303,4218,227,299,311,347
1.505,299,1600,2465,4123,231,296,319,346
1.515,299,1562,2493,4058,201,307,313,345
1.525,308,1524,2493,3978,226,315,284,344
1.535,337,1515,2474,3807,242,319,287,387
1.545,365,1467,2484,3880,203,328,293,392
1.555,375,1458,2463,3842,204,333,307,398
1.565,356,1391,2436,3866,209,328,290,399
1.575,346,1344,2398,3979,219,337,322,386
1.585,337,1287,2370,3944,200,298,294,417
1.595,299,1182,1762,3878,241,280,272,432
1.605,280,1154,1705,3996,238,262,338,475
1.615,299,1125,1553,3994,230,306,342,478
1.625,308,1087,1543,4010,191,293,367,476
1.635,346,1068,1505,3997,189,292,381,471
1.645,356,1040,1496,3991,201,284,360,474
1.655,384,1049,1505,3972,211,234,355,479
1.665,413,1059,1543,3932,222,211,395,471
1.675,422,1106,1591,3873,235,196,396,452
1.685,451,1135,1610,3824,223,226,378,427
1.695,460,1211,1695,3805,200,271,340,415
1.705,479,1277,1771,3816,208,302,315,393
1.715,508,1306,1980,3829,194,318,309,397
1.725,508,1344,2028,3903,193,325,294,379
1.735,498,1391,2075,3953,186,320,312,375
1.745,498,1467,2180,3899,178,284,348,407
1.755,517,1515,2256,3901,181,298,361,394
1.765,498,1581,2332,3928,211,311,349,381
1.775,451,1610,2389,3839,238,316,320,400
1.785,413,1619,2389,3718,250,308,285,393
1.795,387,1638,2408,3806,247,292,310,396
1.805,375,1743,2439,3980,226,341,272,368
1.815,318,1800,2474,4060,218,338,293,370
1.825,327,1866,2512,4060,204,336,319,363
1.835,308,1961,2522,4090,215,343,336,355
1.845,318,2028,2508,4137,226,322,348,322
1.855,308,2047,2522,4096,221,325,329,335
1.865,318,2066,2512,4111,210,334,358,344
1.875,308,2108,2481,4081,206,327,362,395
1.885,308,2104,2512,4150,206,326,354,389
1.895,308,2113,2488,4158,212,314,342,398
1.905,299,2075,2501,4234,218,328,343,394
1.915,321,2066,2512,4203,212,356,355,363
1.925,346,2015,2472,4236,222,330,348,383
1.935,413,1983,2522,4269,239,302,335,388
1.945,504,1983,2522,4248,255,297,349,392
1.955,538,1961,2522,4206,248,309,354,416
1.965,626,1964,2531,4228,272,314,369,426
1.975,729,1914,2573,4176,297,290,397,380
1.985,869,1906,2541,4175,294,291,398,429
1.995,901,1828,2541,4149,278,267,388,419
2.005,1009,1781,2550,4078,260,266,379,437
2.015,1001,1733,2560,4060,261,258,390,459
2.025,958,1714,2569,4058,259,280,335,443
2.035,957,1676,2797,4019,241,293,317,453
2.045,931,1638,2901,3967,216,310,336,435
2.055,1000,1629,2987,3952,197,344,320,447
2.065,950,1591,2990,3889,183,342,299,431
2.075,1011,1610,3062,3932,222,306,297,449
2.085,1043,1672,3088,3990,210,301,286,454
2.095,1094,1626,2987,4051,227,319,285,449
2.105,1081,1684,2985,4109,211,336,290,452
2.115,1082,1696,2979,4161,221,321,294,471
2.125,996,1762,2941,4266,199,341,295,467
2.135,1080,1658,2848,4305,204,349,254,492
2.145,1125,1649,2919,4314,208,304,280,477
2.155,1096,1688,2922,4361,214,337,292,472
2.165,1065,1664,3006,4401,206,318,302,471
2.175,1052,1596,3015,4429,217,311,287,482
2.185,1076,1543,2931,4473,234,301,294,488
2.195,1040,1546,3081,4473,236,339,280,486
2.205,1073,1475,3086,4453,214,324,272,435
2.215,1061,1455,3026,4480,237,315,292,462
2.225,1033,1483,2976,4444,242,322,278,418
2.235,974,1524,2946,4443,240,341,287,427
2.245,981,1572,3023,4451,219,354,301,438
2.255,1013,1566,3072,4492,209,319,303,461
2.265,1067,1553,3059,4533,219,308,298,466
2.275,1042,1545,3082,4485,209,347,279,444
2.285,1075,1460,3134,4536,200,327,299,442
2.295,998,1526,3138,4598,190,344,282,442
2.305,1040,1473,3108,4646,196,305,305,456
2.315,1004,1486,3202,4657,201,351,289,450
2.325,976,1445,3171,4561,195,345,292,429
2.335,936,1511,3242,4625,207,354,316,437
2.345,927,1493,3262,4710,199,355,335,422
2.355,976,1446,3230,4773,202,334,315,419
2.365,936,1421,3220,4805,209,340,301,422
2.375,939,1330,3239,4733,214,331,297,394
2.385,877,1361,3192,4697,200,322,272,408
2.395,847,1422,3188,4628,206,342,256,427
2.405,837,1366,3181,4680,199,339,298,436
2.415,812,1392,3105,4671,206,353,329,440
2.425,869,1359,3109,4633,231,322,323,422
2.435,899,1375,3064,4597,219,341,320,427
2.445,824,1357,3077,4520,208,361,338,440
2.455,813,1342,3060,4544,193,376,331,457
2.465,909,1337,3028,4627,217,354,343,471
2.475,894,1315,3131,4577,228,352,364,432
2.485,896,1303,3151,4498,224,364,342,413
