sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,618,1916,2718,3588,246,329,357,434
0.015,579,1927,2729,3565,272,325,329,397
0.025,579,1927,2740,3570,222,334,337,402
0.035,579,1938,2740,3618,261,292,351,403
0.045,568,1938,2740,3689,281,284,352,411
0.055,579,1938,2690,3668,238,298,367,416
0.065,579,1927,2707,3721,223,290,365,433
0.075,579,1971,2696,3864,220,287,359,438
0.085,579,1993,2751,3912,210,280,378,457
0.095,579,1938,2824,3888,211,315,361,463
0.105,579,1866,2806,3902,208,317,349,445
0.115,579,1884,2789,3931,202,321,343,476
0.125,579,1911,2674,3831,223,326,387,466
0.135,579,1827,2679,3849,279,287,390,448
0.145,579,1896,2753,3965,278,275,393,434
0.155,568,1889,2879,4068,275,284,388,443
0.165,579,1987,2929,4166,277,316,373,455
0.175,579,1957,2893,4220,286,331,349,480
0.185,579,1833,2863,4203,289,308,342,464
0.195,568,1926,2780,4188,243,324,337,430
0.205,557,1885,2727,4141,254,339,316,432
0.215,557,1822,2702,4091,261,324,352,432
0.225,557,1845,2717,4094,277,290,372,426
0.235,536,1932,2639,4057,218,330,373,454
0.245,536,1916,2577,4015,258,344,362,468
0.255,525,1810,2671,4090,236,329,377,444
0.265,536,1865,2649,4118,227,328,375,464
0.275,500,1861,2656,4148,217,327,366,479
0.285,526,1757,2744,4141,178,311,322,409
0.295,495,1691,2716,4056,175,284,304,397
0.305,499,1727,2673,4068,183,330,292,411
0.315,497,1698,2678,4088,174,299,285,406
0.325,513,1742,2610,4149,179,289,330,417
0.335,473,1781,2661,4247,179,288,349,432
0.345,464,1777,2716,4331,182,280,356,439
0.355,444,1736,2648,4315,186,294,353,453
0.365,419,1777,2600,4301,240,314,339,457
0.375,451,1781,2591,4343,269,326,322,455
0.385,438,1865,2601,4410,291,328,332,467
0.395,449,1857,2671,4405,355,341,347,452
0.405,460,1908,2714,4465,320,333,373,466
0.415,460,1955,2792,4363,339,300,384,417
0.425,471,1952,2895,4336,294,312,366,428
0.435,481,1998,2968,4333,272,319,351,434
0.445,492,1981,2973,4211,262,341,320,430
0.455,514,1958,2999,4190,258,351,337,419
0.465,503,1894,3010,4203,268,363,329,426
0.475,514,1883,3000,4218,223,382,336,396
0.485,492,1951,3033,4320,173,364,348,406
0.495,504,2011,3100,4287,179,337,340,425
0.505,537,1995,3079,4252,165,328,351,441
0.515,546,1985,2995,4162,170,324,358,421
0.525,541,1980,2912,4120,169,313,377,402
0.535,527,1981,2924,4160,185,313,415,409
0.545,489,1988,2891,4242,212,340,364,442
0.555,448,2004,2859,4266,227,361,323,447
0.565,427,2035,2870,4342,215,361,303,473
0.575,407,2080,2870,4445,221,383,334,504
0.585,394,2136,2859,4590,218,399,313,505
0.595,370,2187,2837,4695,235,399,332,458
0.605,331,2187,2805,4721,206,378,299,455
0.615,378,2155,2815,4636,195,331,337,443
0.625,400,2090,2805,4560,215,357,384,445
0.635,400,2036,2794,4404,233,365,370,440
0.645,479,1906,2815,4359,221,317,360,422
0.655,521,1809,2819,4271,219,302,298,418
0.665,530,1819,2815,4234,205,302,298,395
0.675,530,1765,2809,4174,194,305,282,382
0.685,526,1765,2776,4126,184,315,299,395
0.695,519,1776,2700,4083,171,323,319,394
0.705,518,1754,2635,4053,181,330,308,391
0.715,517,1765,2656,4099,186,333,324,373
0.725,511,1765,2622,4109,179,313,315,372
0.735,504,1754,2705,4088,173,277,313,355
0.745,494,1789,2704,4128,170,277,306,403
0.755,488,1804,2654,4117,170,276,305,429
0.765,484,1798,2667,4077,166,280,320,421
0.775,484,1776,2661,4033,152,274,296,404
0.785,481,1865,2638,4015,172,309,291,380
0.795,480,1884,2620,4036,174,313,299,377
0.805,503,1944,2674,4002,184,333,273,400
0.815,509,1972,2724,4029,191,353,257,407
0.825,504,2026,2703,4074,198,370,243,393
0.835,499,2032,2718,4087,207,377,258,381
0.845,467,1954,2768,4050,199,385,243,393
0.855,479,2126,2825,4069,196,335,302,453
0.865,497,2193,2757,4151,241,361,296,422
0.875,468,2221,2760,4192,286,348,294,397
0.885,485,2233,2828,4130,194,359,299,371
0.895,485,2252,2860,4162,190,351,297,360
0.905,473,2294,2865,4094,181,329,309,375
0.915,469,2330,2883,4086,191,326,299,389
0.925,475,2320,2910,4128,187,315,273,388
0.935,453,2284,2969,4212,200,281,277,378
0.945,353,2255,2931,4185,192,294,293,387
0.955,269,2262,2944,4194,228,322,325,402
0.965,276,2252,2910,4144,212,345,305,420
0.975,308,2317,2906,4121,181,362,231,389
0.985,351,2371,2920,4056,182,373,223,353
0.995,413,2458,3006,3969,182,349,247,388
1.005,409,2545,2950,3943,172,365,240,392
1.015,410,2545,2937,3925,164,367,258,379
1.025,409,2555,2990,3967,173,362,260,361
1.035,403,2588,2958,3959,169,360,261,391
1.045,423,2588,2929,3969,163,365,252,401
1.055,468,2555,2913,3980,169,358,256,416
1.065,471,2481,2924,4016,182,336,308,401
1.075,514,2241,2902,4052,190,334,324,386
1.085,568,2085,2859,4017,170,311,338,374
1.095,622,1985,2848,3998,155,287,340,386
1.105,698,1914,2837,4046,167,254,369,396
1.115,719,1853,2815,4006,171,252,374,425
1.125,775,1812,2783,4054,181,266,381,472
1.135,817,1797,2707,4085,196,287,337,457
1.145,871,1771,2685,4110,202,304,336,435
1.155,893,1699,2599,3994,223,279,312,394
1.165,893,1614,2588,3948,235,285,346,400
1.175,882,1574,2631,3893,235,281,318,392
