sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,667,1534,2335,3522,240,315,361,430
0.015,767,1542,2383,3487,229,336,346,428
0.025,819,1574,2359,3526,212,334,349,420
0.035,879,1576,2323,3568,217,362,329,439
0.045,842,1547,2364,3608,229,347,344,444
0.055,767,1507,2506,3620,246,328,383,460
0.065,739,1560,2543,3590,248,318,353,453
0.075,816,1628,2476,3548,277,319,359,433
0.085,825,1690,2465,3636,257,342,350,446
0.095,830,1645,2508,3670,226,304,352,498
0.105,894,1622,2482,3622,207,317,348,470
0.115,910,1634,2518,3581,215,296,323,436
0.125,960,1693,2509,3565,233,275,330,432
0.135,1027,1740,2580,3566,260,276,316,439
0.145,1045,1705,2665,3477,254,274,339,435
0.155,1050,1745,2622,3365,217,298,335,439
0.165,1043,1821,2660,3424,215,308,325,446
0.175,1022,1805,2653,3415,247,265,357,455
0.185,1090,1784,2598,3496,245,315,326,457
0.195,1050,1779,2636,3518,237,310,315,452
0.205,1001,1783,2758,3683,259,284,322,443
0.215,1001,1791,2728,3716,221,291,344,480
0.225,1034,1794,2619,3796,215,303,319,488
0.235,1045,1786,2538,3882,202,303,280,506
0.245,1066,1762,2551,3899,202,311,310,523
0.255,1066,1733,2543,3855,217,277,356,520
0.265,1055,1715,2470,3891,213,303,342,516
0.275,1023,1702,2456,3968,193,283,311,511
0.285,990,1640,2447,4044,200,337,302,505
0.295,893,1503,2380,4015,278,319,357,452
0.305,763,1389,2404,4053,251,329,351,482
0.315,644,1360,2404,4063,250,317,345,455
0.325,611,1381,2393,4065,283,314,337,458
0.335,579,1417,2393,4125,286,305,356,475
0.345,579,1447,2382,4101,291,319,326,446
0.355,579,1462,2382,4072,282,327,285,446
0.365,566,1461,2361,4137,291,312,291,488
0.375,619,1448,2350,4156,292,308,287,493
0.385,651,1429,2339,4062,253,319,307,495
0.395,688,1408,2328,4042,255,310,329,482
0.405,786,1388,2306,4005,217,325,302,460
0.415,887,1374,2209,3963,243,333,290,455
0.425,862,1366,2227,3991,211,342,291,439
0.435,920,1361,2293,3977,244,313,308,473
0.445,918,1358,2239,3932,227,310,332,466
0.455,850,1355,2201,3889,248,267,353,499
0.465,818,1349,2123,3912,218,318,328,489
0.475,806,1339,1966,3981,218,310,334,486
0.485,796,1324,1895,3989,214,332,294,465
0.495,796,1308,1873,3984,203,312,326,467
0.505,806,1289,1862,4042,209,309,299,475
0.515,785,1270,1862,4035,209,325,310,487
0.525,774,1252,1841,3923,202,324,300,492
0.535,785,1234,1819,3800,198,326,317,468
0.545,774,1218,1819,3793,189,318,319,436
0.555,774,1203,1797,3804,207,310,318,412
0.565,720,1190,1776,3886,213,318,313,419
0.575,703,1178,1754,3802,306,275,343,388
0.585,626,1167,1731,3740,327,247,376,380
0.595,535,1161,1764,3751,336,239,388,372
0.605,420,1161,1827,3696,327,233,380,388
0.615,343,1168,1892,3645,310,233,374,397
0.625,330,1186,2023,3587,282,254,369,398
0.635,318,1215,2169,3448,242,288,344,438
0.645,377,1255,2208,3315,230,300,350,424
0.655,389,1309,2133,3241,237,315,352,396
0.665,364,1375,2220,3208,242,307,318,402
0.675,347,1442,2296,3158,239,336,322,393
0.685,330,1500,2404,3138,240,301,317,399
0.695,394,1536,2458,3219,215,312,333,403
0.705,596,1555,2642,3453,232,298,330,402
0.715,720,1569,2740,3463,235,300,341,421
0.725,817,1595,2859,3442,234,281,357,406
0.735,861,1633,2902,3421,226,306,376,424
0.745,828,1673,2924,3411,228,273,399,420
0.755,839,1703,2935,3361,226,292,393,418
0.765,817,1719,2924,3318,222,269,392,425
0.775,785,1722,2935,3251,214,273,386,422
0.785,785,1714,2935,3228,214,306,379,422
0.795,785,1697,2924,3225,197,291,370,429
0.805,752,1684,2935,3244,203,296,338,421
0.815,741,1684,2956,3323,228,270,380,430
0.825,731,1697,2962,3520,228,295,371,442
0.835,698,1714,2956,3543,261,312,333,424
0.845,676,1730,2989,3509,295,329,300,430
0.855,666,1742,2983,3530,292,286,307,439
0.865,686,1749,2989,3624,301,354,275,404
0.875,678,1752,3000,3684,263,338,288,418
0.885,733,1750,3000,3761,275,329,311,455
0.895,886,1743,3000,3846,252,341,298,491
0.905,845,1730,3000,3897,192,340,298,507
0.915,929,1713,3010,3936,218,355,334,534
0.925,919,1694,3032,3994,206,357,340,525
0.935,890,1673,3032,4063,212,333,313,465
0.945,946,1652,3043,4222,215,327,335,481
0.955,987,1631,3054,4251,205,318,321,443
