sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,486,1470,2669,3612,260,303,341,441
0.015,522,1392,2675,3597,291,319,347,468
0.025,601,1435,2664,3643,288,298,388,486
0.035,624,1551,2664,3746,282,310,327,480
0.045,620,1613,2664,3775,299,329,367,482
0.055,674,1578,2664,3792,259,347,346,468
0.065,730,1508,2664,3778,301,341,338,472
0.075,823,1528,2664,3705,269,341,329,446
0.085,853,1599,2664,3690,243,339,320,440
0.095,883,1663,2664,3680,236,341,326,449
0.105,849,1687,2664,3653,257,346,327,442
0.115,871,1720,2664,3627,292,314,350,434
0.125,872,1750,2635,3641,273,311,363,412
0.135,874,1790,2664,3700,251,336,336,420
0.145,861,1931,2653,3729,278,300,317,404
0.155,850,2021,2653,3734,263,307,315,399
0.165,852,2064,2653,3796,217,302,358,396
0.175,838,1931,2653,3785,228,288,387,400
0.185,898,1818,2653,3937,271,288,309,413
0.195,904,1700,2653,3961,292,275,309,466
0.205,908,1682,2648,3886,318,298,283,479
0.215,887,1688,2653,3832,276,332,315,488
0.225,850,1619,2631,3789,283,339,343,467
0.235,841,1471,2597,3990,246,325,326,494
0.245,864,1404,2617,4154,228,293,314,451
0.255,817,1357,2631,4288,207,317,293,429
0.265,796,1307,2619,4346,188,315,283,424
0.275,780,1254,2599,4351,175,320,309,406
0.285,775,1245,2586,4349,203,300,286,419
0.295,770,1202,2566,4406,238,323,333,450
0.305,718,1172,2532,4353,261,354,324,484
0.315,733,1137,2458,4310,288,338,315,453
0.325,731,1129,2393,4295,284,344,319,439
0.335,731,1126,2361,4171,278,306,321,447
0.345,728,1115,2339,4203,281,305,368,464
0.355,731,1115,2296,4178,239,309,361,452
0.365,731,1107,2274,4105,273,288,380,439
0.375,733,1115,2241,4021,254,308,341,446
0.385,731,1101,2209,3880,262,313,339,470
0.395,739,1115,2171,3881,259,302,354,482
0.405,739,1112,2144,3881,245,330,346,452
0.415,731,1115,2084,3812,223,336,369,465
0.425,741,1112,2036,3811,215,336,363,462
0.435,744,1115,1895,3827,203,359,355,462
0.445,741,1115,1613,3847,146,382,399,442
0.455,778,1083,1554,3999,111,352,447,450
0.465,753,1069,1516,4155,155,287,451,472
0.475,698,1083,1570,4287,178,292,448,465
0.485,695,1093,1602,4365,176,279,440,440
0.495,687,1118,1635,4338,174,280,433,409
0.505,674,1148,1700,4354,175,270,432,378
0.515,674,1234,1787,4291,185,246,412,364
0.525,666,1364,1851,4265,196,246,407,386
0.535,686,1451,1992,4277,186,264,356,386
0.545,648,1527,2079,4224,176,279,292,393
0.555,613,1657,2274,4204,181,273,299,397
0.565,598,1851,2382,4221,191,265,276,393
0.575,608,1938,2469,4216,190,278,264,388
0.585,567,2025,2555,4195,179,307,249,392
0.595,548,2101,2631,4197,178,332,267,402
0.605,547,2201,2750,4239,183,328,281,406
0.615,527,2231,2837,4199,183,356,254,423
0.625,538,2350,2891,4207,184,376,219,444
0.635,517,2407,2945,4143,179,371,221,475
0.645,526,2447,2989,4046,186,374,224,470
0.655,509,2501,3032,4028,184,377,231,459
0.665,473,2499,3075,3976,178,380,229,442
0.675,430,2501,3097,3992,180,371,251,458
0.685,411,2488,3097,3923,204,359,244,474
0.695,403,2469,3064,3885,200,340,273,487
0.705,403,2404,3043,3842,186,326,274,506
0.715,404,2241,2939,3787,185,324,295,489
0.725,363,2144,2935,3748,202,309,311,480
0.735,357,2120,2929,3766,202,340,296,473
0.745,342,2111,2935,3809,209,341,325,442
0.755,381,2092,2924,3840,231,361,327,422
0.765,393,2079,2924,3886,200,333,350,402
0.775,419,2068,2891,3807,189,307,307,414
0.785,451,2032,2880,3716,191,325,302,466
0.795,446,1887,2864,3675,187,346,297,475
0.805,473,1750,2848,3731,181,350,300,493
0.815,462,1730,2848,3786,191,325,326,467
0.825,449,1669,2826,3819,222,317,327,470
0.835,500,1633,2826,3903,248,378,352,473
0.845,543,1620,2826,3929,210,331,320,477
0.855,531,1624,2810,3943,311,284,316,504
0.865,500,1636,2794,4088,312,318,299,470
0.875,514,1606,2788,4165,308,355,351,458
0.885,511,1569,2794,4131,321,328,356,428
0.895,514,1556,2747,4055,345,319,383,442
0.905,525,1585,2735,4116,323,288,380,466
0.915,522,1711,2781,4317,338,277,381,492
0.925,503,1798,2779,4359,311,300,362,460
0.935,481,1794,2821,4341,281,318,352,478
0.945,471,1839,2790,4314,259,344,358,499
0.955,462,1959,2786,4314,229,351,347,464
0.965,449,1988,2750,4284,259,369,283,447
0.975,416,2106,2738,4238,265,420,231,466
0.985,396,2248,2794,4213,242,410,214,445
0.995,381,2317,2815,4187,171,392,212,441
1.005,365,2436,2822,4164,184,337,295,403
1.015,361,2445,2837,4165,194,316,315,413
1.025,396,2501,2821,4234,188,330,319,427
1.035,382,2499,2815,4259,204,320,323,427
1.045,387,2501,2805,4100,195,324,306,417
1.055,405,2512,2777,4105,199,331,316,431
1.065,417,2480,2740,4155,196,329,304,423
1.075,416,2415,2696,4242,182,318,299,416
1.085,426,2352,2669,4221,191,316,304,404
1.095,413,2187,2555,4247,183,320,309,408
1.105,429,1971,2563,4352,182,372,270,418
1.115,465,1646,2555,4425,204,387,268,422
1.125,446,1440,2599,4475,217,382,299,396
1.135,438,1299,2620,4441,221,323,294,384
1.145,438,1158,2696,4403,228,302,302,378
1.155,430,1096,2740,4389,239,288,295,356
1.165,430,1061,2788,4354,236,290,288,342
1.175,438,1018,2815,4358,225,297,267,301
1.185,438,974,2870,4307,238,293,281,270
1.195,441,963,2897,4301,236,294,274,247
1.205,441,950,2913,4335,239,296,283,259
1.215,427,942,2935,4302,239,292,266,251
1.225,430,942,2940,4236,238,297,274,269
1.235,427,942,2945,4238,227,299,282,273
1.245,446,929,2956,4154,243,303,294,294
1.255,454,950,2924,4128,234,299,300,311
1.265,457,953,2888,4102,240,298,318,335
1.275,454,966,2894,4091,235,300,313,350
1.285,457,985,2870,4135,215,290,303,364
1.295,434,1004,2859,4166,215,305,310,366
1.305,442,1116,2848,4071,204,316,312,367
1.315,451,1126,2826,3915,221,325,317,401
1.325,439,1148,2815,3857,219,336,295,406
1.335,420,1178,2826,3860,219,326,299,413
1.345,431,1215,2832,3983,221,337,280,434
1.355,397,1255,2826,3909,231,329,303,425
1.365,402,1296,2826,3860,233,329,284,440
1.375,404,1336,2821,3829,239,340,252,482
1.385,429,1372,2826,3847,242,339,253,469
1.395,416,1401,2826,3841,250,337,298,435
1.405,416,1423,2837,3995,199,330,310,393
1.415,419,1435,2842,4141,196,301,281,386
1.425,416,1441,2848,4250,204,324,293,391
1.435,419,1444,2878,4324,194,315,287,382
1.445,416,1447,2876,4313,193,302,273,402
1.455,428,1454,2864,4270,189,301,265,431
1.465,406,1464,2884,4196,183,304,258,440
1.475,395,1477,2871,4161,186,282,253,402
1.485,388,1491,2862,4153,175,293,268,400
1.495,384,1504,2869,4181,178,290,271,410
1.505,391,1514,2853,4094,182,292,276,411
1.515,386,1521,2842,4056,182,300,273,413
1.525,389,1524,2823,4025,167,289,271,422
1.535,383,1525,2815,4011,173,303,256,424
1.545,373,1523,2823,4030,172,282,272,446
1.555,390,1519,2826,4026,183,305,280,432
1.565,378,1514,2829,4092,192,313,270,459
1.575,378,1508,2841,4070,200,321,276,437
1.585,367,1502,2855,4054,208,321,287,456
1.595,351,1496,2846,4029,208,323,282,457
1.605,337,1489,2799,3984,211,325,281,467
1.615,338,1482,2811,4006,209,316,274,455
1.625,344,1475,2772,4018,208,310,286,438
1.635,347,1470,2764,3954,206,319,283,427
1.645,339,1470,2803,4002,206,323,300,440
1.655,327,1475,2836,4074,203,302,283,430
1.665,327,1488,2774,4047,213,319,279,410
1.675,323,1510,2805,3885,203,296,268,377
1.685,335,1545,2780,3852,205,294,269,367
1.695,318,1604,2794,3796,203,327,288,382
1.705,306,1700,2819,3807,201,290,338,390
1.715,325,1837,2876,3833,206,318,348,401
1.725,335,1987,2859,3917,206,293,337,416
1.735,361,2120,2902,4049,212,326,347,394
1.745,360,2211,2967,4148,230,349,370,392
1.755,362,2241,2983,4136,254,356,390,404
1.765,351,2221,3023,4172,309,331,419,380
1.775,354,2169,2989,4318,298,317,385,402
1.785,362,2104,2989,4404,285,296,398,394
1.795,362,2043,2978,4469,280,280,320,401
1.805,373,1993,2924,4501,194,306,299,413
1.815,376,1949,2910,4523,184,305,302,428
1.825,373,1910,2752,4455,174,342,283,456
1.835,384,1878,2730,4401,176,320,296,464
1.845,392,1857,2704,4338,211,314,332,491
1.855,406,1848,2704,4302,256,319,316,461
1.865,395,1853,2746,4283,289,335,354,447
1.875,408,1867,2741,4165,340,316,364,449
1.885,406,1885,2678,4153,305,343,350,433
1.895,403,1907,2652,4181,262,365,335,438
1.905,395,1936,2643,4246,276,362,296,441
1.915,408,1981,2689,4302,280,384,258,435
1.925,406,2047,2686,4360,301,419,180,479
1.935,408,2133,2745,4364,284,394,212,453
1.945,416,2228,2767,4350,244,385,200,435
1.955,392,2320,2767,4358,194,369,235,455
1.965,394,2390,2744,4197,154,377,267,458
1.975,359,2416,2759,4156,184,346,318,396
1.985,386,2384,2750,4308,200,326,345,417
1.995,395,2305,2734,4393,197,369,292,451
2.005,398,2194,2707,4394,164,335,302,481
2.015,395,2056,2675,4440,198,312,338,449
2.025,408,1885,2626,4422,210,304,356,413
2.035,395,1694,2610,4374,224,339,335,391
2.045,416,1521,2317,4272,210,303,340,379
2.055,430,1400,2111,4171,201,284,330,396
2.065,406,1342,2003,4162,198,290,330,386
2.075,403,1315,1971,4212,194,282,332,364
2.085,406,1294,1971,4140,179,273,331,362
2.095,384,1296,1981,4071,193,289,357,361
2.105,360,1345,2111,4057,227,338,330,410
2.115,319,1467,2371,3997,234,360,339,457
2.125,326,1624,2740,3943,210,341,365,495
2.135,317,1747,2815,3913,207,343,369,501
2.145,335,1865,2862,3968,229,379,375,519
2.155,359,1976,2939,3998,244,397,266,463
2.165,383,2059,2873,4008,239,406,240,429
2.175,370,2104,2886,4047,243,400,257,437
2.185,348,2113,2788,4037,241,334,326,444
2.195,427,2089,2708,4061,209,350,342,442
2.205,416,2034,2544,3958,204,279,357,404
2.215,430,1956,2393,3955,194,283,318,391
2.225,438,1862,2371,3924,209,326,320,403
2.235,473,1760,2339,4019,207,299,333,391
2.245,492,1658,2328,4122,220,290,334,389
2.255,579,1524,2306,4257,222,286,314,373
2.265,655,1474,2317,4296,197,290,348,345
2.275,706,1462,2317,4238,199,297,338,333
2.285,731,1418,2361,4180,187,289,312,337
2.295,774,1388,2393,4068,188,295,307,348
2.305,793,1353,2415,4044,176,295,303,351
2.315,793,1345,2490,4061,175,297,288,370
2.325,785,1332,2518,4050,179,300,284,396
2.335,787,1307,2528,3953,171,276,263,401
2.345,785,1301,2566,3880,171,289,282,417
2.355,804,1280,2534,3885,178,296,268,392
2.365,817,1243,2555,3921,183,295,265,371
2.375,814,1254,2577,3928,186,300,281,385
2.385,817,1237,2631,3998,185,279,303,380
2.395,820,1242,2642,3959,207,291,304,407
2.405,817,1217,2653,4083,212,301,292,395
2.415,793,1251,2664,4149,216,299,280,391
2.425,785,1259,2692,4230,212,279,279,392
2.435,741,1300,2680,4311,214,297,279,390
2.445,744,1288,2637,4332,233,285,294,393
2.455,580,1289,2680,4368,251,284,289,388
2.465,369,1312,2639,4310,274,298,334,398
2.475,312,1392,2538,4287,195,327,356,426
2.485,323,1468,2503,4330,181,329,352,428
2.495,330,1531,2565,4390,161,338,354,437
2.505,349,1708,2567,4495,167,366,315,409
2.515,373,1911,2688,4498,191,368,301,405
2.525,406,2014,2753,4535,196,381,252,405
2.535,429,2079,2773,4520,185,354,263,457
2.545,419,2296,2761,4479,219,377,300,432
2.555,411,2336,2791,4506,266,334,270,429
2.565,425,2415,2853,4638,225,386,241,452
2.575,424,2455,2902,4750,193,390,221,427
2.585,417,2512,2957,4861,179,390,206,422
2.595,408,2577,2924,4822,168,429,190,407
2.605,404,2620,2952,4739,160,437,189,391
2.615,433,2631,2929,4743,150,421,176,373
2.625,413,2610,2889,4688,167,400,177,336
2.635,402,2569,2912,4580,199,334,283,392
2.645,377,2534,2902,4526,206,306,329,452
2.655,328,2296,2870,4468,216,310,360,460
2.665,362,1581,2707,4370,240,326,372,464
2.675,362,1570,2653,4217,285,367,338,450
2.685,349,1556,2637,4184,307,342,326,445
2.695,341,1562,2620,4096,354,352,334,419
2.705,338,1581,2610,4090,334,349,331,445
2.715,341,1602,2642,4072,350,381,298,448
2.725,362,1884,2696,4039,338,377,272,445
2.735,362,2469,2859,4085,306,332,279,446
2.745,331,2523,2840,4207,249,388,287,438
2.755,357,2537,2859,4329,170,393,242,431
2.765,394,2545,2826,4422,204,395,278,428
