sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,519,1261,2446,3562,254,287,341,442
0.015,556,1261,2359,3506,267,317,310,437
0.025,577,1267,2371,3562,275,319,330,409
0.035,493,1294,2366,3628,246,346,351,428
0.045,470,1250,2377,3674,289,332,319,449
0.055,562,1250,2431,3667,292,314,313,444
0.065,615,1272,2479,3634,278,288,316,455
0.075,609,1272,2551,3672,244,316,321,473
0.085,588,1261,2476,3725,289,330,309,435
0.095,527,1261,2442,3776,293,334,322,424
0.105,566,1261,2480,3827,285,329,299,428
0.115,604,1283,2413,3801,265,312,297,398
0.125,559,1283,2451,3916,305,290,280,402
0.135,632,1283,2454,3960,254,308,324,452
0.145,632,1283,2396,4082,235,315,308,476
0.155,655,1252,2415,4063,232,291,320,438
0.165,676,1253,2436,4000,219,294,328,412
0.175,687,1261,2501,3991,204,302,332,402
0.185,687,1256,2566,3977,198,304,336,395
0.195,687,1272,2620,3995,206,314,316,394
0.205,687,1259,2653,4010,203,305,314,404
0.215,674,1250,2718,4117,234,294,302,394
0.225,687,1226,2729,4082,216,290,308,396
0.235,643,1205,2761,4052,232,307,299,423
0.245,634,1189,2772,4025,235,291,291,429
0.255,603,1213,2772,3983,228,263,296,426
0.265,573,1214,2725,3959,218,251,279,423
0.275,556,1198,2739,3935,207,260,267,431
0.285,555,1194,2778,3986,225,277,292,441
0.295,561,1202,2793,3948,215,263,280,445
0.305,546,1211,2788,3924,210,273,284,444
0.315,546,1193,2826,3949,229,267,292,423
0.325,525,1196,2815,3963,244,261,299,419
0.335,514,1196,2826,4036,236,259,286,419
0.345,525,1191,2880,4041,218,267,297,406
0.355,546,1196,2902,4072,215,290,363,408
0.365,525,1169,2902,4094,216,315,420,364
0.375,514,1083,2945,4155,245,291,449,336
0.385,498,1061,2962,4162,243,341,412,314
0.395,489,1083,2978,4273,223,322,368,317
0.405,527,1067,2978,4256,216,331,325,331
0.415,537,1021,2983,4268,198,313,278,368
0.425,566,1028,2989,4322,215,295,264,373
0.435,568,1023,2978,4371,216,309,326,360
0.445,568,1001,2978,4376,225,308,300,372
0.455,568,1001,2972,4307,208,298,323,388
0.465,568,1175,2956,4267,195,309,334,386
0.475,557,1261,2935,4292,192,314,314,388
0.485,546,1348,2903,4331,184,313,319,396
0.495,514,1435,2831,4365,168,289,318,420
0.505,439,1521,2802,4361,180,280,339,453
0.515,372,1554,2772,4237,217,275,343,458
0.525,319,1651,2707,4198,198,282,373,465
0.535,276,1694,2610,4175,236,297,400,455
0.545,287,1684,2593,4205,267,332,363,432
0.555,276,1700,2577,4217,286,326,349,422
0.565,276,1705,2555,4247,295,350,340,457
0.575,276,1737,2545,4248,323,338,346,467
0.585,265,1725,2545,4204,330,329,347,457
0.595,265,1705,2561,4042,321,309,324,473
0.605,319,1727,2501,3989,234,306,334,448
0.615,438,1803,2501,3889,214,306,353,423
0.625,514,1831,2507,3872,205,286,365,428
0.635,557,1753,2501,3862,206,300,320,402
0.645,611,1714,2501,3923,213,303,335,391
0.655,655,1722,2523,3947,223,312,335,385
0.665,679,1694,2550,3976,205,296,334,372
0.675,687,1673,2555,3976,208,302,323,367
0.685,705,1630,2534,3956,204,307,320,371
0.695,709,1555,2501,3934,208,329,319,383
0.705,709,1496,2481,3926,226,340,322,388
0.715,699,1465,2400,3915,240,317,315,388
0.725,675,1458,2384,3893,251,306,314,388
