sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,412,1399,2388,3679,245,290,360,427
0.015,465,1390,2385,3632,262,342,368,446
0.025,503,1434,2361,3639,262,291,308,428
0.035,537,1553,2355,3694,249,302,339,440
0.045,573,1507,2361,3735,282,313,328,427
0.055,548,1561,2361,3829,284,304,319,451
0.065,542,1570,2361,3798,329,297,370,483
0.075,615,1571,2361,3839,302,344,358,464
0.085,589,1635,2361,3895,292,333,366,471
0.095,572,1564,2355,3951,329,340,371,481
0.105,603,1595,2361,3934,293,315,363,478
0.115,584,1569,2333,3916,335,331,302,485
0.125,602,1563,2339,3949,313,347,335,496
0.135,592,1579,2328,3978,302,354,350,515
0.145,599,1571,2328,4020,335,372,367,523
0.155,579,1599,2339,4041,274,415,346,502
0.165,590,1567,2317,3979,302,382,311,501
0.175,561,1551,2303,3823,233,383,289,477
0.185,536,1579,2296,3678,229,415,280,433
0.195,586,1672,2290,3768,194,370,357,434
0.205,590,1624,2285,3898,209,335,350,474
0.215,590,1733,2285,3949,202,381,320,494
0.225,592,1691,2285,3882,207,353,334,463
0.235,601,1638,2285,3951,276,312,310,476
0.245,622,1728,2285,3958,192,369,256,442
0.255,625,1812,2285,3869,202,361,281,430
0.265,633,1783,2285,3891,272,294,310,425
0.275,644,1779,2296,3797,214,280,329,440
0.285,666,1798,2285,3849,190,307,328,443
0.295,701,1694,2274,3914,188,303,329,431
0.305,720,1694,2274,3959,190,287,318,419
0.315,752,1619,2261,3995,186,327,300,436
0.325,762,1543,2263,3972,193,327,307,415
0.335,760,1521,2263,3831,200,323,326,414
0.345,750,1489,2274,3753,209,309,309,397
0.355,742,1424,2285,3742,209,300,332,395
0.365,720,1359,2274,3739,192,314,328,362
0.375,720,1315,2111,3801,194,310,339,358
0.385,706,1272,2090,3868,204,280,372,350
0.395,698,1250,2068,3928,205,294,350,353
0.405,655,1240,2003,3968,222,296,357,350
0.415,644,1272,1884,4048,244,295,352,364
0.425,622,1277,1835,4151,206,292,339,397
0.435,614,1283,1797,4140,209,303,323,400
0.445,588,1294,1787,4113,186,320,290,413
0.455,558,1348,1777,4056,164,332,289,432
0.465,527,1439,1808,4059,152,326,309,436
0.475,492,1542,1862,4003,178,298,333,466
0.485,473,1629,1981,3992,222,292,337,439
0.495,476,1727,2166,4072,244,286,337,427
0.505,453,1770,2306,4145,284,306,321,417
0.515,462,1792,2404,4225,289,300,306,423
0.525,464,1835,2480,4320,276,298,302,433
0.535,501,1846,2534,4366,291,321,297,420
0.545,481,1846,2568,4420,308,339,309,412
0.555,481,1846,2570,4459,306,321,319,392
0.565,484,1857,2629,4397,316,344,309,385
0.575,481,1868,2620,4283,264,346,314,416
0.585,492,1889,2620,4326,231,367,281,377
0.595,492,1879,2640,4407,236,336,274,383
