sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,525,1622,2532,3577,249,321,377,425
0.015,527,1717,2545,3654,253,299,355,426
0.025,525,1737,2545,3705,268,268,376,450
0.035,514,1758,2539,3724,250,299,351,453
0.045,503,1771,2545,3808,266,299,367,454
0.055,525,1774,2523,3868,241,289,373,458
0.065,527,1778,2523,3893,239,306,379,454
0.075,525,1790,2545,3883,237,289,371,427
0.085,525,1714,2550,3914,264,299,366,445
0.095,527,1718,2545,3859,242,268,363,439
0.105,525,1665,2539,3847,243,297,364,456
0.115,525,1638,2525,3821,226,293,353,457
0.125,525,1649,2527,3852,227,319,373,444
0.135,514,1659,2458,3900,216,354,368,442
0.145,525,1699,2486,3901,281,317,384,460
0.155,514,1704,2506,3917,292,316,376,475
0.165,522,1687,2512,3911,285,305,384,475
0.175,525,1706,2518,3881,260,325,377,449
0.185,525,1757,2512,3927,293,306,394,471
0.195,525,1803,2512,3926,244,316,368,468
0.205,514,1868,2512,3925,266,338,390,465
0.215,525,1900,2518,3984,243,350,371,453
0.225,525,1804,2512,4044,258,348,361,438
0.235,525,1788,2512,4120,233,348,332,460
0.245,533,1754,2534,4085,250,340,331,435
0.255,525,1828,2534,3965,272,334,327,409
0.265,503,1928,2517,3889,230,369,279,445
0.275,463,1971,2566,3988,190,319,291,407
0.285,458,2036,2610,4079,177,297,298,419
0.295,451,2079,2664,4091,181,306,270,427
0.305,462,2144,2718,4191,192,322,303,462
0.315,454,2198,2794,4315,194,325,288,442
0.325,434,2296,2848,4392,198,349,303,458
0.335,440,2328,2891,4427,164,392,296,457
0.345,430,2350,2956,4472,175,368,295,438
0.355,331,2361,2972,4436,223,367,280,430
0.365,317,2371,2978,4344,216,338,338,457
0.375,351,2382,3007,4328,232,322,351,447
0.385,349,2382,3131,4420,260,333,336,448
0.395,351,2382,3143,4466,302,346,322,454
0.405,349,2393,3124,4429,262,372,329,464
0.415,341,2393,3170,4426,261,384,332,484
0.425,341,2382,3196,4379,300,372,338,503
0.435,362,2382,3157,4337,277,364,328,475
0.445,360,2361,3139,4248,267,358,339,481
0.455,362,2350,2988,4077,294,375,303,465
0.465,373,2339,2876,3940,318,380,320,446
0.475,387,2306,2833,3898,258,379,303,464
