sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,828,1533,2478,3481,231,277,416,403
0.015,828,1523,2420,3432,284,304,390,382
0.025,828,1574,2399,3405,248,269,399,417
0.035,828,1596,2334,3447,283,286,380,409
0.045,820,1542,2281,3494,236,312,373,408
0.055,861,1538,2193,3451,235,297,395,417
0.065,824,1522,2151,3433,224,300,389,411
0.075,860,1431,2164,3432,255,283,395,427
0.085,839,1429,2274,3480,236,292,376,448
0.095,826,1418,2412,3598,231,335,337,437
0.105,821,1407,2420,3567,276,326,347,447
0.115,820,1407,2481,3584,249,334,323,422
0.125,862,1407,2468,3640,248,346,310,427
0.135,873,1392,2581,3741,228,281,357,445
0.145,894,1435,2706,3834,219,313,377,458
0.155,916,1449,2698,3922,211,324,357,450
0.165,919,1513,2735,3992,218,298,366,426
0.175,894,1558,2820,4045,212,300,322,403
0.185,878,1618,2863,4089,200,316,308,399
0.195,863,1715,2864,4148,186,324,307,409
0.205,808,1886,2878,4118,175,316,316,399
0.215,784,1979,2918,4094,149,331,331,407
0.225,731,2074,2918,4109,166,329,343,397
0.235,720,2110,2913,4175,188,336,316,382
0.245,709,2191,2924,4216,183,347,289,359
0.255,633,2302,2902,4187,170,354,240,352
0.265,503,2305,2880,4132,175,366,291,356
0.275,449,2345,2880,4197,191,350,281,387
0.285,397,2354,2871,4209,214,363,283,397
0.295,384,2353,2919,4209,209,371,297,407
0.305,384,2344,2889,4169,189,375,304,394
0.315,395,2332,2912,4142,167,355,304,374
0.325,406,2321,2920,4174,183,333,328,381
0.335,546,2316,2920,4169,172,320,323,383
0.345,593,2320,2909,4091,157,322,303,391
0.355,599,2333,2892,4022,168,331,303,390
0.365,589,2356,2862,3993,168,336,285,392
0.375,581,2381,2880,4018,168,342,271,390
0.385,592,2393,2837,4018,171,340,271,386
0.395,568,2373,2826,4051,162,339,304,379
0.405,588,2350,2794,4047,173,313,320,373
0.415,536,2380,2783,4079,176,302,334,376
0.425,511,2333,2777,4061,173,328,321,381
0.435,489,2101,2761,4078,184,305,330,390
0.445,482,1940,2765,4163,208,300,327,411
0.455,422,1946,2773,4251,235,309,350,401
0.465,395,2005,2779,4319,238,307,394,421
0.475,380,2008,2689,4325,264,363,377,456
0.485,389,1946,2727,4321,248,325,353,457
0.495,373,1876,2733,4214,214,296,331,454
0.505,457,1838,2767,4211,198,287,334,400
0.515,557,1823,2823,4192,180,308,339,395
0.525,618,1814,2884,4225,170,287,312,393
0.535,628,1799,2886,4133,168,300,297,371
0.545,617,1780,2902,4045,166,286,321,379
0.555,579,1762,2913,3911,176,318,316,407
0.565,536,1750,2902,3820,214,322,292,423
0.575,519,1747,2826,3774,206,326,273,429
0.585,509,1748,2664,3799,195,333,263,442
0.595,492,1750,2620,3871,204,347,277,463
0.605,476,1747,2626,3966,208,370,270,500
0.615,471,1736,2620,4051,197,396,276,483
0.625,476,1723,2588,4204,200,364,273,471
0.635,460,1707,2588,4237,202,356,276,441
0.645,487,1694,2610,4393,242,357,336,445
0.655,494,1685,2696,4443,261,313,331,473
0.665,449,1683,2772,4367,266,341,321,453
0.675,449,1689,2805,4330,284,328,318,422
0.685,444,1700,2837,4269,308,343,326,408
0.695,449,1710,2880,4249,307,357,315,409
0.705,449,1716,2886,4214,321,306,310,442
0.715,460,1715,2880,4235,306,344,290,419
0.725,465,1707,2880,4230,271,349,288,427
0.735,481,1697,2875,4224,243,334,318,419
0.745,525,1685,2870,4289,265,328,324,443
0.755,546,1676,2837,4324,192,317,326,403
0.765,557,1667,2907,4271,166,310,315,413
0.775,630,1654,2868,4275,167,306,301,415
0.785,648,1633,2855,4242,176,305,312,384
0.795,645,1617,2837,4197,167,330,298,376
0.805,650,1621,2821,4099,165,325,306,381
0.815,666,1631,2761,4005,159,347,341,400
0.825,640,1614,2579,3860,158,330,345,403
0.835,655,1535,2477,3759,158,335,317,397
0.845,655,1381,2384,3715,177,315,293,389
0.855,601,1249,2341,3662,209,304,280,399
0.865,655,1190,2299,3563,220,308,304,417
0.875,636,1177,2289,3490,230,298,296,423
0.885,662,1182,2374,3448,226,302,290,410
0.895,651,1179,2328,3396,220,294,310,403
0.905,649,1162,2371,3407,237,281,338,413
0.915,671,1137,2436,3532,220,273,327,409
0.925,660,1108,2545,3671,220,287,328,409
0.935,664,1080,2631,3836,214,296,313,412
0.945,682,1058,2815,3892,213,311,320,407
0.955,663,1045,2902,4035,208,291,320,434
0.965,650,1046,2951,4104,195,297,334,410
0.975,611,1064,2978,4156,186,297,348,417
0.985,633,1104,3043,4260,184,308,350,451
0.995,590,1154,3119,4271,195,333,369,470
1.005,559,1194,3140,4236,255,321,374,465
1.015,546,1229,3129,4152,277,323,384,466
1.025,406,1307,3108,4087,271,311,352,430
1.035,330,1429,3092,4148,281,298,386,461
1.045,341,1530,3075,4255,287,331,389,439
1.055,338,1597,3043,4320,286,337,348,412
1.065,330,1631,3005,4320,283,323,372,405
1.075,330,1653,2967,4195,288,325,358,398
1.085,330,1674,2935,4019,305,308,363,432
1.095,338,1677,2902,3948,332,316,379,416
1.105,351,1638,2848,3854,345,322,338,407
1.115,384,1548,2796,3808,313,341,314,404
1.125,406,1423,2725,3789,260,297,339,415
1.135,419,1285,2672,3729,212,317,342,394
1.145,449,1158,2631,3758,161,337,283,379
1.155,536,1077,2588,3819,153,330,307,384
1.165,606,1061,2551,3836,169,308,321,383
1.175,609,1083,2522,3850,179,280,315,391
1.185,603,1113,2454,3879,190,278,315,395
1.195,601,1147,2436,3869,201,264,303,392
1.205,599,1184,2420,3890,217,255,326,387
1.215,617,1228,2404,3909,222,277,305,373
1.225,604,1282,2361,3845,199,314,296,374
1.235,602,1354,2350,3865,183,316,312,377
1.245,602,1434,2350,3876,189,321,296,383
1.255,592,1513,2328,3877,185,344,301,380
1.265,576,1627,2323,3908,193,345,300,385
1.275,579,1836,2317,3978,186,355,300,396
1.285,587,1993,2382,4108,175,366,277,396
1.295,579,2017,2501,4247,178,348,280,414
1.305,576,2020,2545,4325,213,309,324,454
1.315,525,2018,2588,4369,258,342,322,460
1.325,484,2011,2642,4392,303,331,376,435
1.335,460,1997,2688,4383,309,328,351,451
1.345,384,1974,2691,4414,290,302,338,488
1.355,384,1941,2620,4356,263,341,315,484
1.365,376,2009,2612,4267,231,333,323,492
1.375,384,2003,2655,4242,246,299,340,474
