sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,522,2079,3232,3495,234,325,340,451
0.015,525,2090,3227,3532,203,350,283,460
0.025,525,2095,3238,3555,202,336,323,445
0.035,557,2090,3227,3498,230,327,333,450
0.045,557,2068,3227,3508,208,360,297,432
0.055,557,2079,3227,3543,222,340,337,433
0.065,546,2090,3205,3581,254,305,343,434
0.075,555,2090,3227,3636,268,288,341,448
0.085,546,2090,3216,3662,253,348,375,477
0.095,557,2090,3216,3750,236,338,369,477
0.105,557,2090,3227,3800,237,351,358,485
0.115,568,2090,3222,3764,259,356,328,458
0.125,568,2101,3227,3661,239,358,342,478
0.135,557,2090,3227,3558,254,392,313,462
0.145,568,2115,3238,3428,256,412,344,454
0.155,568,2125,3238,3411,233,421,317,414
0.165,557,2149,3238,3438,249,413,288,417
0.175,568,2181,3238,3413,209,425,316,388
0.185,546,2214,3227,3401,224,400,316,421
0.195,536,2241,3205,3365,208,355,344,403
0.205,514,2255,3205,3348,210,345,349,406
0.215,492,2256,3205,3353,203,320,365,414
0.225,492,2248,3194,3330,185,336,354,414
0.235,514,2235,3194,3326,173,342,368,388
0.245,511,2215,3194,3402,220,345,346,402
0.255,384,2189,3250,3438,232,323,334,414
0.265,319,2160,3267,3497,249,323,329,393
0.275,276,2134,3263,3574,285,301,334,403
0.285,287,2118,3244,3620,245,298,363,414
0.295,297,2119,3216,3498,231,293,374,447
0.305,319,2135,3187,3294,219,321,381,447
0.315,471,2157,3161,3218,196,339,324,422
0.325,536,2177,3136,3161,199,375,291,402
0.335,601,2185,3106,3170,187,410,286,424
0.345,563,2220,3061,3184,193,437,332,419
0.355,532,2333,2824,3284,174,410,293,430
0.365,471,2448,2645,3407,247,409,296,433
0.375,416,2507,2651,3461,232,381,294,417
0.385,406,2518,2654,3514,272,329,299,439
0.395,406,2492,2694,3500,295,294,342,428
0.405,406,2437,2738,3492,284,316,346,440
0.415,406,2343,2770,3448,226,309,349,428
0.425,406,2173,2797,3480,212,335,330,441
0.435,406,2040,2827,3414,226,333,346,431
0.445,406,2014,2867,3477,242,333,338,419
0.455,427,2040,2918,3489,199,343,329,442
0.465,449,2059,2968,3427,232,331,342,454
0.475,481,2053,3004,3442,182,339,335,424
0.485,514,2029,3016,3321,217,333,339,435
0.495,525,1997,3003,3184,151,367,335,396
0.505,536,1964,2978,3175,157,392,333,381
0.515,590,1934,2960,3187,146,383,323,384
0.525,611,1914,2948,3164,135,358,345,398
0.535,622,1908,2942,3146,132,340,362,390
0.545,644,1910,2941,3156,130,339,378,375
0.555,676,1915,2944,3133,127,342,372,370
0.565,698,1918,2951,3141,137,361,352,341
0.575,731,1918,2960,3198,142,375,316,332
0.585,731,1916,2971,3204,162,364,320,333
0.595,731,1914,2983,3289,184,352,323,340
0.605,712,1912,2996,3348,204,323,350,360
0.615,536,1912,3007,3417,215,285,371,400
0.625,492,1915,3018,3523,235,333,327,409
0.635,481,1922,3026,3585,223,333,326,398
0.645,490,1931,3030,3560,225,328,335,410
0.655,460,1939,3031,3544,242,302,348,429
0.665,460,1943,3028,3430,259,319,383,432
0.675,471,1939,3018,3383,222,314,367,405
0.685,471,1926,3002,3388,199,336,380,390
0.695,460,1899,2979,3413,173,319,396,405
0.705,471,1868,2948,3421,145,319,394,426
0.715,481,1847,2909,3472,129,318,391,430
0.725,481,1852,2859,3556,178,318,336,423
0.735,481,1890,2799,3619,161,336,332,426
0.745,471,1938,2730,3718,153,343,328,418
0.755,468,1971,2670,3786,153,337,328,381
0.765,460,1983,2647,3799,167,310,330,394
0.775,471,1976,2668,3785,164,312,328,391
0.785,460,1952,2711,3761,171,293,352,404
0.795,449,1915,2775,3802,181,305,362,405
0.805,449,1878,2868,3880,203,284,396,451
0.815,462,1853,2968,4050,217,311,346,477
0.825,452,1853,3043,4182,272,317,370,483
0.835,427,1878,3093,4236,279,353,356,461
0.845,425,1909,3131,4311,293,371,347,456
0.855,514,1932,3161,4470,248,376,339,480
0.865,538,1951,3179,4526,253,353,345,444
0.875,579,1982,3183,4511,214,374,336,409
0.885,687,2031,3169,4519,194,353,353,455
0.895,687,2075,3136,4458,175,319,345,458
0.905,685,2078,3085,4200,174,308,336,447
0.915,652,2029,3006,4028,157,314,304,413
0.925,626,1934,2884,3920,143,310,298,405
0.935,585,1816,2745,3845,170,295,268,388
0.945,553,1706,2646,3878,214,305,281,368
0.955,536,1630,2598,3865,225,291,287,370
0.965,481,1603,2583,3874,231,294,292,369
0.975,460,1620,2584,3814,222,292,297,379
0.985,471,1666,2589,3836,209,288,304,383
0.995,481,1724,2584,3822,194,276,294,377
1.005,471,1779,2583,3798,208,279,345,402
1.015,460,1827,2728,3782,218,285,375,403
1.025,427,1871,3020,3834,226,332,335,463
1.035,406,1907,3160,3904,211,332,362,422
1.045,351,1923,3175,3963,202,331,340,447
1.055,351,1905,3149,4101,235,332,342,457
1.065,351,1865,3146,4119,253,381,353,454
1.075,351,1850,3158,4183,267,381,358,465
1.085,395,1874,3172,4195,215,300,378,446
1.095,395,1907,3186,4130,184,307,331,428
1.105,514,1917,3197,4059,176,306,316,437
1.115,579,1895,3196,3986,175,286,325,435
1.125,666,1855,3179,4011,182,295,332,425
1.135,752,1811,3141,3990,184,296,334,421
1.145,785,1775,3090,3973,183,286,312,413
1.155,850,1746,3033,3972,201,282,294,412
1.165,882,1723,2978,3948,209,285,308,408
1.175,925,1704,2929,3925,210,294,297,407
1.185,947,1689,2887,3927,209,297,301,405
1.195,936,1682,2852,3954,203,305,281,406
1.205,904,1684,2825,3943,198,313,293,405
1.215,871,1696,2805,3915,213,319,330,427
1.225,839,1713,2790,3934,246,340,380,479
1.235,698,1731,2777,3991,266,347,360,477
1.245,601,1745,2770,3999,258,363,398,470
1.255,438,1752,2773,3970,221,322,389,452
1.265,395,1746,2792,3921,239,339,347,464
1.275,387,1711,2828,3929,232,346,299,448
1.285,384,1765,2880,3929,233,325,380,435
1.295,373,1830,2944,3880,227,291,392,424
1.305,373,1884,3018,3960,200,292,360,411
1.315,395,1949,3099,4053,190,300,319,446
1.325,395,1971,3184,4172,190,307,298,457
1.335,395,1971,3216,4295,191,300,281,473
1.345,362,1971,3249,4477,192,290,254,473
1.355,373,1971,3249,4517,218,293,278,433
1.365,341,1971,3184,4521,204,312,319,466
1.375,319,1971,3097,4459,204,317,369,464
1.385,308,1888,3064,4418,226,358,364,473
1.395,287,1895,3032,4401,249,342,345,447
1.405,276,1886,3032,4382,319,348,347,460
1.415,276,1946,3032,4364,315,352,350,456
1.425,276,1999,3027,4343,311,367,362,441
1.435,284,2067,3032,4369,273,365,366,414
1.445,297,2170,3119,4203,277,352,310,403
1.455,297,2282,3162,4204,231,330,339,399
1.465,319,2325,3173,4198,210,340,334,404
1.475,373,2371,3162,4155,202,308,325,398
1.485,416,2415,3140,4113,194,309,326,401
1.495,460,2436,3108,4061,188,301,329,408
1.505,536,2404,3086,3982,178,306,323,412
1.515,590,2339,3064,3933,180,300,323,409
1.525,655,2252,3032,3928,188,296,327,401
1.535,720,2144,3010,3924,179,303,333,412
1.545,817,1960,2989,3935,193,299,329,425
1.555,893,1895,2978,3941,195,298,324,436
1.565,960,1765,2956,3963,204,292,316,439
1.575,969,1732,2956,3971,215,286,302,423
1.585,969,1700,2956,3962,210,304,290,412
1.595,958,1689,2956,3937,213,334,302,399
1.605,915,1667,2967,3883,196,349,292,433
1.615,817,1646,2962,3946,227,336,338,439
1.625,774,1635,2891,3915,281,324,355,462
1.635,687,1624,2750,3953,317,306,354,451
1.645,633,1602,2707,3914,342,307,350,470
1.655,609,1592,2664,3952,340,328,359,449
1.665,619,1602,2658,4051,315,281,337,447
1.675,564,1624,2653,4044,231,325,368,453
1.685,565,1646,2685,3996,173,307,365,423
1.695,550,1678,2870,4052,172,308,391,441
1.705,518,1776,2989,4110,200,332,390,467
1.715,590,1851,3064,4166,229,347,360,469
1.725,617,1852,3129,4194,252,373,359,449
1.735,590,1916,3173,4311,295,373,356,462
1.745,590,1949,3173,4274,248,395,340,474
1.755,546,1981,3173,4309,259,371,381,476
1.765,503,1992,3162,4325,313,363,406,506
1.775,481,2003,3146,4283,334,368,367,522
1.785,449,2003,3140,4284,300,379,336,527
1.795,449,2003,3140,4308,311,385,327,500
1.805,438,1981,3140,4346,241,357,369,490
1.815,438,2003,3129,4450,241,348,381,473
1.825,435,2003,3113,4445,224,327,410,456
1.835,427,2014,3108,4403,198,321,395,398
1.845,438,2003,3129,4421,182,298,373,362
1.855,438,2025,3146,4399,192,316,366,359
1.865,441,2057,3151,4386,193,302,368,377
1.875,438,2074,3151,4327,177,297,364,395
1.885,438,2068,3151,4220,163,290,356,428
1.895,438,2068,3140,4103,206,286,345,423
1.905,449,2046,3129,4014,199,362,339,452
1.915,471,1992,3129,3952,203,321,380,471
1.925,492,1862,3129,3834,156,277,378,460
1.935,525,1819,3129,3807,234,274,358,483
1.945,544,1646,3108,3928,256,312,315,474
1.955,557,1570,3119,3861,219,287,326,445
1.965,622,1516,3129,3787,211,346,361,436
1.975,655,1440,3162,3795,187,324,362,432
1.985,687,1353,3173,3780,156,333,352,395
1.995,687,1299,3157,3839,149,320,355,404
2.005,687,1245,3151,3921,194,298,325,403
2.015,666,1234,3204,4000,188,316,316,417
2.025,633,1234,3208,4053,195,292,286,411
2.035,601,1256,3249,4090,203,300,275,443
2.045,575,1267,3259,4138,214,303,302,467
2.055,554,1288,3259,4149,269,297,343,452
2.065,546,1364,3216,4144,289,301,394,441
2.075,546,1426,3184,4062,314,326,404,445
2.085,560,1535,3167,4016,302,345,393,472
2.095,576,1539,3162,4043,284,320,405,491
2.105,579,1594,3184,4117,271,326,396,482
2.115,579,1639,3205,4193,261,331,382,478
2.125,590,1751,3173,4190,231,368,375,438
2.135,622,1722,3162,4128,229,352,340,427
2.145,633,1732,3032,3929,211,352,323,440
2.155,637,1722,2935,3786,199,325,330,450
2.165,690,1729,2805,3637,207,309,335,448
2.175,709,1712,2653,3534,198,303,342,414
2.185,726,1693,2555,3501,203,307,338,405
2.195,709,1717,2490,3485,212,315,312,393
2.205,720,1713,2415,3482,211,319,304,393
2.215,717,1713,2393,3498,207,313,295,393
2.225,720,1719,2415,3514,204,316,287,394
2.235,716,1720,2415,3502,207,315,292,390
2.245,707,1732,2404,3488,201,308,273,394
2.255,702,1746,2415,3493,190,309,314,392
2.265,677,1748,2490,3434,185,326,308,421
2.275,642,1751,2534,3384,196,342,329,405
2.285,633,1808,2588,3309,202,356,348,419
2.295,590,1895,2642,3250,198,358,355,397
2.305,579,1906,2815,3275,205,343,357,404
2.315,514,1971,2924,3355,244,331,320,426
2.325,481,1992,3032,3509,260,310,335,421
2.335,438,2036,3119,3486,244,317,344,416
2.345,419,2057,3216,3419,202,318,374,398
2.355,416,2068,3238,3454,226,285,387,377
2.365,427,2111,3216,3542,207,322,347,432
2.375,416,2111,3205,3464,228,323,316,437
2.385,416,2122,3194,3518,184,336,317,420
2.395,427,2122,3205,3531,176,380,271,443
