sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,631,1589,2615,3634,284,298,319,421
0.015,611,1592,2620,3653,218,351,332,407
0.025,617,1602,2618,3774,247,323,345,444
0.035,611,1602,2620,3828,282,338,336,448
0.045,590,1592,2639,3751,281,339,351,443
0.055,587,1581,2643,3694,237,347,338,432
0.065,590,1592,2615,3736,231,356,341,428
0.075,598,1592,2645,3750,241,339,343,417
0.085,611,1586,2687,3827,249,305,355,421
0.095,611,1592,2675,3898,244,324,334,437
0.105,617,1592,2672,3882,262,299,339,450
0.115,611,1592,2675,3843,233,313,402,476
0.125,609,1589,2685,3862,255,346,352,471
0.135,611,1592,2696,3943,240,320,331,453
0.145,611,1592,2699,3957,253,290,277,428
0.155,597,1602,2737,4024,178,312,305,426
0.165,614,1616,2761,4144,161,297,302,430
0.175,574,1629,2826,4249,141,255,282,413
0.185,554,1646,2924,4338,156,257,303,406
0.195,536,1657,3054,4444,166,282,290,411
0.205,525,1667,3104,4479,193,301,274,416
0.215,495,1678,3108,4441,237,323,327,467
0.225,460,1700,3124,4389,218,315,326,466
0.235,424,1708,3140,4318,249,353,309,442
0.245,406,1722,3143,4315,311,376,320,433
0.255,362,1732,3140,4321,295,328,323,451
0.265,354,1754,3140,4249,284,322,340,476
0.275,341,1768,3146,4174,305,313,338,476
0.285,319,1787,3140,4140,300,332,325,440
0.295,308,1819,3135,4073,263,307,310,461
0.305,308,1862,3135,4047,246,315,325,472
0.315,319,1895,3140,4020,244,316,336,479
0.325,330,1922,3151,4117,202,341,370,496
0.335,536,1960,3162,4231,194,337,371,497
0.345,601,2025,3167,4345,208,312,364,446
0.355,634,2090,3162,4411,193,300,376,412
0.365,655,2122,3148,4473,206,304,367,392
0.375,642,2144,3129,4446,200,302,349,390
0.385,639,2198,3073,4372,187,307,323,409
0.395,647,2228,3043,4292,189,333,270,403
0.405,671,2241,3002,4220,172,334,242,425
0.415,695,2250,2978,4164,182,322,277,417
0.425,671,2252,2935,4131,188,326,263,396
0.435,662,2144,2902,4141,213,318,237,377
0.445,647,1938,2845,4145,224,336,261,341
0.455,588,1559,2805,4106,207,316,266,332
0.465,541,1429,2750,4102,212,284,262,328
0.475,516,1321,2686,4127,209,294,279,335
0.485,500,1247,2690,4058,206,295,270,333
0.495,481,1256,2715,4043,209,277,268,364
0.505,462,1234,2697,4044,228,288,263,375
0.515,449,1256,2668,3974,226,295,283,388
0.525,446,1288,2701,3952,209,300,298,391
0.535,438,1386,2711,3882,225,274,323,403
0.545,414,1516,2688,3767,236,292,332,440
0.555,373,1624,2669,3701,221,292,357,461
0.565,357,1743,2653,3773,205,252,383,463
0.575,338,1873,2642,3825,199,285,392,475
0.585,303,1960,2599,3870,182,334,395,492
0.595,314,1965,2585,3812,183,352,406,519
0.605,297,1960,2577,3765,232,353,419,519
0.615,295,1916,2410,3765,256,338,383,510
0.625,297,1895,2241,3719,207,307,369,470
0.635,297,1548,2144,3792,222,304,303,423
0.645,297,1202,2079,3868,239,302,324,429
0.655,308,1223,2071,3897,222,300,321,424
0.665,341,1223,2068,3960,209,284,297,431
0.675,349,1277,2122,3953,166,289,291,411
0.685,351,1581,2209,4059,181,279,282,406
0.695,384,1824,2296,4120,182,290,275,400
0.705,398,1965,2382,4175,169,308,292,411
0.715,406,2144,2534,4261,159,300,304,411
0.725,422,2290,2574,4358,163,327,243,401
0.735,427,2339,2653,4490,172,334,270,418
0.745,452,2398,2707,4530,190,331,272,378
0.755,471,2425,2805,4482,182,333,279,413
0.765,462,2447,2818,4481,211,319,339,427
0.775,460,2231,2826,4455,222,344,339,465
0.785,443,2111,2836,4374,232,329,370,482
0.795,449,2046,2814,4326,298,345,342,477
0.805,395,2009,2820,4321,273,322,350,479
0.815,368,1992,2810,4322,301,358,304,472
0.825,351,1938,2845,4457,316,362,292,462
0.835,308,1994,2859,4542,271,375,315,473
0.845,295,2063,2891,4586,287,405,265,476
0.855,276,2019,2912,4605,239,375,292,439
0.865,265,2003,2933,4650,258,334,347,443
0.875,254,1987,2945,4640,243,323,358,472
0.885,259,1873,2967,4519,200,316,309,469
0.895,229,1862,2967,4398,186,311,283,470
0.905,242,1841,2981,4425,212,331,276,493
0.915,298,1830,2989,4399,177,348,308,491
0.925,328,1841,3010,4369,166,326,298,501
0.935,298,1830,3016,4397,196,369,332,484
