sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,468,942,2526,3660,229,302,386,442
0.015,460,942,2469,3745,274,296,363,440
0.025,460,942,2465,3820,225,328,337,455
0.035,460,942,2506,3869,246,321,344,451
0.045,452,942,2457,3867,200,333,338,454
0.055,460,942,2433,3875,222,324,348,416
0.065,468,931,2420,3773,268,308,336,441
0.075,460,920,2452,3685,266,330,327,446
0.085,449,920,2464,3677,260,338,333,449
0.095,460,920,2451,3677,271,331,353,449
0.105,457,909,2458,3731,289,307,376,444
0.115,449,909,2458,3716,246,333,374,440
0.125,460,888,2451,3742,274,350,375,445
0.135,468,855,2402,3781,212,383,337,435
0.145,460,833,2433,3864,185,342,337,418
0.155,449,823,2458,3966,129,369,363,414
0.165,449,790,2469,3998,119,340,354,402
0.175,449,855,2490,4123,194,280,338,402
0.185,438,1093,2490,4133,195,318,314,400
0.195,416,1310,2501,4165,193,343,273,410
0.205,395,1635,2481,4175,233,377,262,420
0.215,373,1906,2580,4151,269,408,237,430
0.225,369,2122,2580,4138,245,383,278,432
0.235,341,2198,2591,4224,219,336,341,468
0.245,340,2220,2673,4323,209,326,342,460
0.255,373,2198,2675,4349,238,347,362,479
0.265,370,2176,2696,4409,312,337,355,483
0.275,373,2122,2707,4528,353,366,345,465
0.285,395,2090,2718,4606,332,360,339,452
0.295,392,2057,2718,4532,332,345,363,450
0.305,416,2003,2729,4527,329,342,356,460
0.315,425,1971,2740,4500,335,342,343,443
0.325,416,1884,2805,4499,299,345,352,470
0.335,427,1851,2815,4385,328,319,305,491
0.345,449,1787,2837,4355,302,329,303,461
0.355,468,1754,2859,4391,270,331,341,456
0.365,492,1711,2870,4389,238,309,381,438
0.375,514,1608,2891,4352,226,332,371,437
0.385,557,1559,2891,4373,214,325,355,397
0.395,565,1516,2914,4230,213,337,312,378
0.405,590,1472,2903,4103,177,321,272,366
0.415,644,1429,2878,4069,169,294,255,376
0.425,676,1397,2857,4000,191,288,252,372
0.435,731,1380,2837,3981,181,279,264,366
0.445,783,1364,2815,3931,197,295,278,375
0.455,774,1348,2805,3916,213,287,294,371
0.465,818,1332,2783,3972,217,287,279,364
0.475,829,1332,2758,3981,205,297,281,389
0.485,832,1308,2762,4064,195,291,286,391
0.495,831,1368,2747,4125,195,295,274,363
0.505,817,1407,2729,4131,198,286,258,354
0.515,774,1483,2706,4108,191,292,254,365
0.525,758,1505,2723,4124,166,284,254,359
0.535,699,1602,2705,4135,172,298,304,415
0.545,691,1646,2712,4097,178,317,299,391
