sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,452,2296,3124,3558,289,362,312,459
0.015,441,2296,3129,3537,246,398,292,470
0.025,449,2306,3140,3522,201,414,294,457
0.035,441,2306,3162,3559,202,390,294,430
0.045,449,2296,3167,3509,226,381,303,426
0.055,449,2296,3162,3539,252,358,320,416
0.065,441,2306,3162,3638,261,335,327,419
0.075,449,2312,3162,3684,294,296,345,446
0.085,449,2306,3162,3682,291,303,332,455
0.095,452,2328,3184,3672,297,326,330,440
0.105,449,2339,3194,3781,290,340,343,426
0.115,449,2350,3205,3928,265,375,340,433
0.125,449,2361,3205,3918,266,412,344,407
0.135,427,2377,3227,4022,229,417,313,358
0.145,427,2393,3227,4071,252,415,316,359
0.155,427,2415,3238,4050,229,417,321,367
0.165,435,2436,3292,4124,242,408,340,364
0.175,449,2458,3314,4061,235,430,340,382
0.185,441,2469,3324,4100,236,419,320,387
0.195,449,2469,3324,4197,226,415,307,370
0.205,449,2469,3324,4134,212,436,275,409
0.215,423,2501,3341,4109,203,435,333,427
0.225,463,2534,3357,4020,240,403,303,409
0.235,434,2620,3389,3989,245,394,323,413
0.245,427,2664,3400,3976,251,389,287,406
0.255,424,2696,3411,3960,241,390,288,404
0.265,417,2707,3411,3949,249,391,276,415
0.275,420,2696,3357,3939,249,400,287,429
0.285,425,2675,3303,3945,261,410,333,428
0.295,419,2425,3184,4009,239,398,298,444
0.305,383,2025,3021,4055,233,358,305,450
0.315,365,1987,2631,4064,260,336,321,430
0.325,373,1960,2534,4056,301,293,315,457
0.335,373,1938,2501,4043,272,308,323,464
0.345,384,1938,2490,4092,263,309,324,473
0.355,384,1938,2474,4097,297,301,310,477
0.365,384,1933,2549,4083,269,335,310,452
0.375,387,1949,2642,4212,330,314,348,456
0.385,384,1949,2701,4257,309,301,343,435
0.395,416,1992,2793,4287,222,364,308,431
0.405,481,2068,3032,4323,246,332,316,434
0.415,522,2209,3119,4287,206,327,308,405
0.425,557,2295,3140,4319,201,314,316,401
0.435,579,2310,3129,4295,193,319,313,391
0.445,601,2343,3097,4311,195,308,316,385
0.455,591,2415,3064,4306,203,300,325,375
0.465,547,2495,3019,4358,200,312,314,388
0.475,511,2548,3021,4396,200,338,296,395
0.485,504,2556,2978,4490,192,351,299,447
0.495,401,2549,2956,4550,284,275,295,435
0.505,354,2561,2902,4591,279,342,332,451
0.515,406,2552,2859,4539,277,366,329,439
0.525,406,2482,2812,4534,298,347,347,446
0.535,406,2390,2814,4483,339,366,347,468
0.545,406,2330,2802,4404,324,348,370,476
0.555,406,2304,2860,4387,292,322,385,471
0.565,406,2295,2811,4249,280,308,342,467
0.575,406,2285,2772,4192,320,335,347,472
0.585,414,2261,2761,4123,295,334,315,459
0.595,427,2224,2750,4083,278,330,337,450
0.605,481,2181,2750,4066,243,343,348,513
0.615,546,2140,2761,4115,220,323,381,491
0.625,601,2106,2772,4086,280,308,339,447
0.635,650,2077,2815,4025,220,332,357,419
0.645,702,2049,2848,4001,170,330,369,417
0.655,669,2022,2891,3894,153,294,384,418
0.665,677,1992,2902,3844,155,277,383,429
0.675,668,1958,2891,3824,157,284,357,424
0.685,655,1949,2853,3847,157,294,362,422
0.695,640,1895,2815,3855,156,290,351,426
0.705,630,1862,2718,3890,157,285,333,438
0.715,598,1830,2696,3897,204,337,327,433
0.725,557,1808,2664,3908,263,303,352,487
0.735,514,1776,2610,3934,267,333,361,520
0.745,427,1765,2523,3940,288,354,336,455
0.755,406,1743,2430,3933,255,317,334,483
0.765,414,1743,2382,3925,278,301,318,466
0.775,406,1711,2384,3963,273,291,335,472
0.785,395,1694,2444,3961,272,323,319,449
0.795,398,1678,2396,3999,290,311,342,445
0.805,395,1667,2489,4026,311,319,331,465
0.815,406,1657,2488,4026,305,327,327,455
0.825,395,1640,2482,4029,274,311,324,462
0.835,395,1635,2481,4029,237,341,330,454
0.845,408,1631,2624,4078,244,319,345,461
0.855,406,1605,2617,4110,260,310,340,465
0.865,427,1638,2577,4113,226,330,370,450
0.875,446,1606,2586,4110,221,306,383,446
0.885,460,1671,2588,4107,249,295,382,442
0.895,536,1677,2649,4038,161,288,355,434
0.905,568,1678,2610,3877,177,303,324,423
0.915,568,1657,2615,3803,284,361,329,494
0.925,533,1624,2610,3720,255,354,324,476
0.935,460,1592,2566,3677,248,331,304,469
0.945,410,1570,2528,3612,270,306,323,439
0.955,507,1548,2490,3573,284,299,328,455
0.965,530,1527,2457,3588,284,317,332,426
0.975,527,1538,2466,3626,288,299,313,426
0.985,569,1537,2493,3640,314,321,305,453
0.995,672,1563,2458,3623,267,292,305,488
1.005,709,1664,2499,3688,206,350,319,475
1.015,763,1740,2667,3768,202,384,325,472
1.025,806,1819,2672,3826,197,398,327,416
