sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,338,1142,1762,3604,273,303,367,444
0.015,315,1142,1762,3599,270,290,332,458
0.025,315,1142,1756,3588,248,317,310,434
0.035,315,1131,1756,3630,262,310,321,440
0.045,315,1142,1756,3667,268,326,295,414
0.055,303,1142,1756,3620,289,294,314,400
0.065,315,1119,1756,3670,284,308,336,422
0.075,303,1119,1756,3645,268,358,360,438
0.085,303,1107,1762,3631,245,341,364,447
0.095,303,1119,1756,3638,239,349,357,418
0.105,303,1107,1756,3731,237,365,366,443
0.115,303,1107,1746,3748,264,375,370,453
0.125,315,1107,1740,3701,291,360,387,451
0.135,315,1095,1746,3673,247,336,386,454
0.145,315,1095,1746,3684,213,275,395,456
0.155,366,1095,1746,3695,195,296,378,439
0.165,366,1142,1807,3719,189,290,341,420
0.175,379,1353,2002,3680,200,301,309,417
0.185,417,1565,2062,3699,193,304,323,417
0.195,417,1658,2169,3720,196,294,311,411
0.205,457,1811,2258,3785,202,304,317,406
0.215,453,1869,2330,3908,212,313,314,396
0.225,467,1905,2343,3942,211,301,311,395
0.235,455,1893,2409,3955,238,342,319,456
0.245,354,1858,2439,3952,195,352,338,464
0.255,227,1682,2439,3825,189,323,343,481
0.265,227,1447,2409,3797,192,321,350,466
0.275,252,1353,2432,3834,201,312,305,461
0.285,277,1365,2451,3885,189,310,298,454
0.295,290,1365,2407,3880,201,340,297,485
0.305,295,1518,2477,3995,211,379,270,456
0.315,303,1846,2668,4136,241,421,283,438
0.325,467,1998,2740,4229,223,430,284,422
0.335,543,2057,2811,4286,206,404,287,402
0.345,632,2092,2862,4268,194,354,290,387
0.355,683,2104,2873,4195,191,318,287,377
0.365,683,2104,2873,4119,187,302,291,378
0.375,683,2104,2821,4075,203,330,312,384
0.385,695,1963,2760,4031,232,363,309,401
0.395,632,1776,2514,4005,201,289,348,416
0.405,442,1576,2340,3956,186,314,357,441
0.415,366,1551,2176,3970,182,302,342,429
0.425,328,1497,2156,3868,197,301,312,448
0.435,303,1496,2147,3849,185,305,331,446
0.445,300,1447,2125,3979,175,336,360,480
0.455,315,1424,2125,3992,203,308,383,505
0.465,315,1412,2084,3967,230,330,345,457
0.475,315,1412,2074,3933,225,299,341,460
0.485,341,1412,2063,3816,151,263,339,474
0.495,366,1459,2043,3798,170,284,321,420
0.505,379,1518,2043,3815,161,298,318,409
0.515,391,1588,2043,3770,167,295,327,423
0.525,404,1635,2053,3666,165,299,332,416
0.535,417,1647,2063,3683,161,347,292,394
0.545,417,1682,2084,3577,162,318,303,395
0.555,430,1740,2094,3575,168,338,294,366
0.565,429,1765,2156,3607,165,324,319,375
0.575,417,1799,2174,3605,163,312,334,423
0.585,417,1803,2227,3621,210,336,356,442
0.595,404,1811,2248,3703,240,315,366,457
0.605,391,1803,2268,3785,227,339,315,452
0.615,391,1811,2299,3806,249,306,331,459
0.625,379,1811,2371,3762,282,299,339,492
0.635,381,1803,2442,3738,312,311,323,483
0.645,379,1811,2535,3739,304,311,288,434
0.655,379,1823,2627,3854,297,301,296,441
0.665,353,1846,2709,4020,307,341,367,451
0.675,366,1869,2801,4144,263,344,353,456
0.685,353,1905,2842,4236,243,365,352,444
0.695,341,1975,2842,4160,230,362,331,418
0.705,328,1987,2842,4007,221,351,348,416
0.715,315,1987,2824,3868,259,325,342,416
0.725,300,1933,2781,3759,245,316,342,433
0.735,303,1869,2678,3754,210,300,326,426
0.745,328,1764,2606,3709,218,361,282,409
0.755,353,1459,2524,3754,215,337,278,391
0.765,353,1318,2504,3764,218,300,310,375
0.775,379,1294,2494,3748,219,293,314,383
0.785,404,1248,2482,3806,220,304,314,410
0.795,455,1189,2483,3834,217,302,348,427
0.805,455,1154,2473,3815,216,286,364,434
0.815,493,1164,2473,3852,225,285,367,416
0.825,531,1154,2473,3846,233,285,385,411
0.835,556,1154,2461,3831,228,285,397,406
0.845,581,1142,2463,3819,227,285,397,405
0.855,607,1084,2466,3851,235,277,411,397
0.865,609,1025,2463,3913,245,292,427,433
0.875,595,978,2472,3990,249,260,426,458
0.885,556,972,2482,4110,245,295,428,469
0.895,535,1025,2477,4236,239,255,447,466
0.905,533,1077,2483,4307,223,295,443,438
0.915,569,1200,2494,4262,232,306,392,473
0.925,645,1305,2520,4188,210,307,405,487
0.935,679,1451,2524,4067,181,338,392,497
0.945,708,1563,2565,3932,168,318,393,458
0.955,733,1694,2596,3840,157,319,392,452
0.965,746,1812,2627,3803,140,312,396,436
0.975,746,1846,2645,3765,144,308,389,422
0.985,746,1858,2637,3729,144,288,384,427
0.995,771,1883,2650,3650,150,268,399,427
1.005,771,1907,2637,3606,155,262,394,417
1.015,771,1907,2618,3556,163,275,387,410
1.025,771,1907,2576,3510,187,276,381,402
1.035,784,1907,2558,3457,209,300,353,392
1.045,805,1822,2514,3480,214,293,332,406
1.055,780,1761,2453,3517,218,302,359,412
1.065,793,1700,2381,3526,216,283,373,403
1.075,788,1639,2309,3496,221,295,368,406
1.085,807,1517,2248,3497,220,305,361,413
1.095,814,1419,2186,3501,209,294,328,421
1.105,774,1310,2145,3541,208,297,334,426
1.115,774,1175,2125,3530,223,298,347,408
1.125,782,1139,2115,3579,196,274,356,419
1.135,774,1114,2094,3685,207,285,359,444
1.145,774,1151,2110,3734,205,289,385,433
1.155,774,1188,2130,3735,239,270,372,448
1.165,806,1212,2151,3723,272,266,399,478
1.175,806,1240,2168,3764,241,283,394,477
1.185,821,1285,2181,3800,276,299,369,511
1.195,851,1367,2212,3877,225,310,378,516
1.205,871,1429,2243,3924,207,302,378,507
1.215,893,1489,2263,4007,202,308,371,505
1.225,915,1540,2304,4025,207,310,356,500
1.235,904,1602,2468,4004,224,332,367,477
1.245,882,1724,2550,3994,174,362,325,458
1.255,828,1871,2632,4098,179,356,293,453
1.265,774,1956,2735,4254,191,377,279,464
1.275,698,2054,2868,4390,210,378,303,453
1.285,525,2127,2950,4512,244,334,329,447
1.295,427,2166,3011,4432,228,320,350,473
1.305,351,2200,3042,4342,206,334,355,489
1.315,276,2212,3052,4278,220,334,361,491
1.325,276,2209,3052,4348,237,344,325,467
1.335,287,2212,3035,4381,244,361,348,493
1.345,351,2212,3032,4436,285,385,382,488
1.355,383,2212,3013,4401,233,376,379,469
1.365,434,2212,3001,4350,218,330,343,443
1.375,438,2212,2991,4294,213,321,316,411
