sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,492,1968,2419,3573,246,310,356,429
0.015,462,1968,2491,3555,255,314,343,423
0.025,519,1972,2419,3594,263,303,330,438
0.035,566,1968,2424,3614,291,332,303,463
0.045,595,1972,2470,3609,304,329,307,473
0.055,570,1983,2407,3538,281,319,292,455
0.065,572,1981,2385,3478,274,304,304,435
0.075,652,1981,2446,3496,275,287,341,447
0.085,656,1983,2492,3531,255,315,323,444
0.095,676,1981,2444,3644,276,346,304,412
0.105,666,1983,2499,3711,281,345,309,431
0.115,679,1987,2545,3740,269,331,319,423
0.125,701,1994,2533,3723,262,328,335,431
0.135,743,1990,2522,3761,271,348,318,458
0.145,708,1994,2520,3780,271,347,327,462
0.155,728,1981,2547,3826,270,344,340,464
0.165,806,1983,2577,3931,301,328,354,442
0.175,799,1992,2638,3914,309,313,351,435
0.185,814,2004,2696,3875,305,302,327,458
0.195,820,1983,2712,3880,286,300,345,488
0.205,831,1991,2731,3901,236,327,320,480
0.215,865,1989,2753,4026,216,329,315,489
0.225,886,1960,2791,4152,235,355,319,479
0.235,889,1968,2826,4283,218,361,304,457
0.245,882,1987,2823,4343,234,337,322,469
0.255,781,1984,2850,4357,243,290,374,460
0.265,799,1984,2851,4330,249,274,353,422
0.275,820,1961,2812,4346,259,278,359,426
0.285,890,1950,2878,4373,289,277,369,454
0.295,944,1918,2847,4316,287,287,360,442
0.305,974,1946,2860,4321,275,303,348,474
0.315,992,1967,2910,4404,246,293,370,454
0.325,950,1987,2916,4412,215,295,351,447
0.335,873,1937,2949,4356,252,289,364,480
0.345,960,1885,2945,4353,292,287,357,437
0.355,916,1881,2949,4405,259,270,349,440
0.365,975,1915,2970,4443,256,271,359,463
0.375,957,1930,2980,4329,238,281,350,425
0.385,929,1919,3024,4280,227,267,345,416
0.395,997,1860,3022,4242,279,242,329,386
0.405,1019,1817,3018,4217,281,277,333,376
0.415,1020,1889,3022,4301,293,250,340,380
0.425,957,1910,3024,4322,260,254,351,377
0.435,924,1815,3032,4256,263,262,349,392
0.445,956,1747,3022,4211,266,267,333,407
0.455,995,1753,3021,4248,247,275,337,428
0.465,935,1784,3003,4097,234,266,371,421
0.475,986,1788,3001,4168,244,282,362,455
0.485,1056,1790,2960,4181,230,298,385,423
0.495,1053,1729,2918,4213,212,305,376,421
0.505,948,1712,2847,4144,214,294,341,421
0.515,952,1730,2703,4122,212,368,319,447
0.525,912,1806,2694,4116,254,349,359,456
0.535,947,1790,2650,4097,243,348,347,432
0.545,948,1727,2623,4008,237,362,335,447
0.555,897,1747,2586,3966,222,364,374,474
0.565,872,1692,2632,3871,250,314,370,441
0.575,844,1662,2664,3840,250,298,347,442
0.585,822,1664,2682,3814,250,292,343,449
0.595,820,1737,2616,3831,244,356,366,448
0.605,806,1754,2609,3789,247,334,371,440
0.615,788,1793,2541,3739,256,330,374,436
0.625,760,1765,2571,3730,274,307,395,439
0.635,722,1788,2603,3788,256,326,390,456
0.645,690,1832,2630,3832,248,312,369,465
0.655,657,1854,2644,3874,248,345,352,450
0.665,630,1784,2675,3880,267,319,350,456
0.675,614,1757,2625,3811,262,331,341,448
0.685,614,1727,2580,3854,265,337,357,435
0.695,614,1708,2636,4035,230,275,407,491
0.705,614,1694,2665,4264,215,309,399,486
0.715,614,1672,2729,4461,190,301,398,437
0.725,646,1653,2741,4425,175,319,373,407
0.735,710,1613,2643,4425,168,280,374,426
0.745,690,1613,2548,4482,194,303,403,427
0.755,657,1613,2524,4511,227,261,392,458
0.765,690,1602,2478,4495,260,285,362,458
0.775,527,1580,2543,4512,272,323,352,447
0.785,514,1546,2527,4461,305,338,356,442
0.795,506,1527,2446,4425,276,358,369,426
0.805,532,1486,2465,4275,259,338,329,426
0.815,510,1483,2453,4178,264,320,354,438
0.825,567,1462,2370,4178,258,331,334,453
0.835,625,1439,2312,4200,310,292,332,472
0.845,654,1396,2290,4252,274,318,318,451
0.855,670,1367,2320,4148,246,261,353,445
0.865,694,1352,2373,4124,293,291,350,396
0.875,676,1332,2374,4176,248,296,391,414
0.885,679,1309,2392,4126,280,322,373,411
0.895,685,1291,2420,4083,261,282,383,381
0.905,705,1287,2454,4083,257,267,399,381
0.915,727,1309,2480,4068,241,249,374,382
0.925,740,1352,2496,4061,226,244,386,388
0.935,753,1361,2526,4097,229,253,387,383
0.945,731,1372,2593,4077,226,253,396,385
0.955,752,1410,2650,4066,220,257,386,393
0.965,766,1429,2734,4135,206,264,376,393
0.975,777,1440,2805,4178,205,279,351,410
0.985,788,1461,2949,4250,206,307,331,417
0.995,790,1491,3010,4413,189,344,341,443
1.005,777,1504,3035,4425,171,340,344,423
1.015,679,1532,3042,4487,172,329,351,438
1.025,549,1559,3062,4466,156,325,380,448
1.035,533,1570,3073,4404,153,346,374,461
1.045,505,1580,3073,4447,175,336,369,456
1.055,462,1586,3064,4348,238,325,335,456
1.065,451,1597,3053,4258,276,302,331,446
1.075,454,1613,3011,4266,300,321,333,433
1.085,462,1635,2981,4284,326,324,291,423
1.095,462,1651,2970,4303,321,310,285,417
1.105,457,1678,2951,4293,272,328,330,410
1.115,462,1689,2929,4305,266,343,334,411
1.125,462,1766,2932,4272,238,331,334,417
1.135,481,1776,2929,4371,268,327,341,433
1.145,505,1855,2932,4438,251,319,371,436
1.155,527,1944,2929,4376,278,318,373,420
1.165,549,2007,2937,4500,237,297,386,449
1.175,574,2014,2948,4562,217,320,369,449
1.185,592,2056,2960,4658,200,306,365,443
1.195,637,2098,2980,4577,191,303,335,426
1.205,672,2146,2991,4576,197,298,342,425
1.215,668,2189,3002,4515,181,296,321,422
1.225,654,2220,3001,4495,177,296,317,427
1.235,648,2254,2997,4448,170,293,308,426
