sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,438,2063,3083,3556,253,353,364,434
0.015,438,2068,3086,3527,252,409,385,448
0.025,438,2074,3089,3650,262,370,350,432
0.035,431,2079,3101,3628,231,366,378,444
0.045,431,2090,3094,3707,234,350,389,419
0.055,431,2101,3089,3799,215,344,393,421
0.065,433,2103,3089,3921,252,345,367,445
0.075,431,2101,3089,4011,263,315,367,448
0.085,416,2101,3092,4042,247,329,343,452
0.095,419,2114,3089,3997,237,324,355,451
0.105,431,2133,3081,4002,254,334,353,450
0.115,443,2149,3089,4090,240,354,359,445
0.125,444,2155,3089,4170,245,394,351,464
0.135,443,2168,3101,4263,242,383,370,459
0.145,431,2187,3125,4342,248,376,288,458
0.155,431,2241,3148,4318,275,384,240,436
0.165,431,2317,3173,4299,266,384,288,445
0.175,432,2389,3186,4261,229,394,277,461
0.185,433,2420,3197,4188,214,406,282,467
0.195,404,2447,3227,4171,202,397,248,448
0.205,359,2537,3269,4181,182,409,248,433
0.215,328,2586,3289,4205,169,419,251,428
0.225,312,2648,3293,4174,209,415,275,435
0.235,383,2698,3295,4150,254,394,272,448
0.245,389,2759,3293,4163,279,351,318,468
0.255,395,2761,3295,4046,305,386,361,463
0.265,419,2747,3293,4023,322,396,349,464
0.275,438,2722,3297,4033,285,421,348,479
0.285,455,2685,3293,4041,240,408,303,443
0.295,487,2648,3270,4018,259,401,300,429
0.305,516,2611,3257,4020,228,423,298,440
0.315,574,2562,3235,4067,219,417,271,440
0.325,601,2509,3222,4127,226,409,296,441
0.335,641,2485,3209,4119,228,387,301,432
0.345,670,2450,3197,4132,215,384,305,407
0.355,724,2438,3185,4168,222,353,279,408
0.365,769,2426,3175,4179,227,340,282,409
0.375,804,2409,3173,4215,206,339,286,413
0.385,839,2376,3157,4257,203,322,290,435
0.395,838,2361,3137,4273,188,330,285,457
0.405,836,2350,3138,4280,208,332,305,471
0.415,826,2339,3137,4293,191,324,319,470
0.425,806,2320,3135,4287,195,308,328,463
0.435,792,2302,3135,4269,193,306,344,473
0.445,802,2274,3137,4249,193,322,360,459
0.455,800,2253,3140,4238,190,312,363,450
0.465,805,2195,3137,4230,184,316,364,418
0.475,771,2154,3137,4174,187,321,338,420
0.485,736,2057,3135,4147,210,317,325,427
0.495,674,2006,3125,4090,233,312,334,447
0.505,528,1894,3078,4118,282,333,341,518
0.515,413,1814,3053,4204,270,293,330,538
0.525,381,1759,2968,4380,234,320,304,536
0.535,375,1646,2880,4502,199,290,306,514
0.545,351,1599,2800,4610,189,330,292,486
0.555,309,1573,2756,4543,210,327,344,453
0.565,319,1567,2727,4416,210,337,300,468
0.575,322,1561,2691,4313,234,354,274,466
0.585,334,1561,2631,4305,297,327,289,439
0.595,334,1565,2604,4258,308,295,304,456
0.605,395,1548,2559,4244,331,290,326,423
0.615,407,1515,2463,4222,284,299,344,432
0.625,467,1458,2453,4236,268,319,313,441
