sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,874,1754,3016,3435,243,309,394,421
0.015,869,1754,3021,3449,263,287,383,401
0.025,876,1752,3024,3517,268,308,359,429
0.035,876,1752,3024,3547,216,311,360,429
0.045,900,1752,3058,3554,232,326,347,430
0.055,929,1743,3024,3583,250,341,341,429
0.065,930,1741,3037,3616,247,337,350,390
0.075,939,1741,3035,3719,241,348,336,410
0.085,920,1743,3035,3776,243,329,340,436
0.095,907,1741,3048,3835,258,329,385,454
0.105,912,1741,3048,3848,225,321,369,460
0.115,907,1741,3058,3865,263,317,389,484
0.125,879,1741,3048,3883,267,333,370,502
0.135,839,1717,3058,3994,284,291,388,500
0.145,804,1717,3067,4114,312,293,354,518
0.155,790,1689,3058,4203,201,264,327,481
0.165,742,1694,3016,4267,168,279,320,451
0.175,690,1694,2977,4190,144,263,326,459
0.185,668,1682,2896,4040,180,313,358,474
0.195,595,1612,2804,3928,218,294,362,483
0.205,510,1438,2700,3862,208,322,300,465
0.215,461,1402,2607,3902,214,304,291,477
0.225,435,1263,2583,3987,214,336,276,488
0.235,437,1216,2572,4064,212,327,264,499
0.245,453,1216,2577,4150,220,330,306,502
0.255,437,1228,2619,4268,216,309,363,504
0.265,510,1275,2734,4421,222,306,429,482
0.275,560,1391,2885,4515,240,310,438,451
0.285,583,1449,3000,4617,272,305,421,447
0.295,668,1449,3011,4617,241,307,393,420
0.305,717,1461,3024,4650,214,305,339,429
0.315,717,1473,3070,4591,209,290,338,410
0.325,729,1461,3086,4606,211,319,329,387
0.335,693,1472,3058,4555,215,310,327,406
0.345,641,1461,3059,4554,286,313,373,487
0.355,583,1496,3062,4547,260,333,393,455
0.365,549,1510,3054,4623,266,334,397,472
0.375,510,1519,3035,4554,312,319,367,434
0.385,500,1566,3007,4507,310,313,364,441
0.395,506,1566,2966,4376,310,304,341,423
0.405,510,1531,2886,4132,312,313,288,395
0.415,506,1521,2850,4044,287,328,269,376
0.425,510,1508,2723,3940,295,334,289,424
0.435,506,1505,2664,3861,298,320,304,434
0.445,498,1484,2433,3835,293,311,327,435
0.455,520,1461,2248,3873,220,293,327,427
0.465,510,1473,2132,3969,160,300,353,419
0.475,473,1479,2091,4044,152,299,348,405
0.485,457,1473,2028,4126,165,303,327,407
0.495,437,1496,2017,4145,155,293,326,404
0.505,437,1516,2063,4168,161,285,317,400
0.515,441,1659,2144,4199,158,290,308,402
0.525,437,1799,2294,4214,171,312,300,396
0.535,441,1985,2387,4277,185,344,269,404
0.545,437,2067,2665,4330,198,357,253,405
0.555,437,2183,2815,4347,211,318,317,428
0.565,437,2288,2875,4430,184,279,352,442
0.575,450,2405,2931,4492,184,296,367,448
0.585,437,2428,3081,4475,200,315,363,460
0.595,423,2428,3174,4467,198,315,369,456
0.605,480,2370,3200,4518,248,309,406,461
0.615,497,2328,3220,4642,294,281,411,465
0.625,485,2288,3227,4672,264,276,437,419
