sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,598,1770,2799,3587,232,308,345,415
0.015,603,1776,2794,3621,241,341,352,422
0.025,631,1790,2802,3662,238,351,358,450
0.035,620,1808,2802,3690,265,334,340,434
0.045,607,1825,2783,3690,274,315,342,447
0.055,625,1824,2778,3768,283,314,321,424
0.065,631,1825,2802,3853,298,299,312,410
0.075,636,1859,2815,3835,285,335,286,441
0.085,631,1900,2825,3816,280,326,295,462
0.095,631,1929,2832,3708,294,296,339,465
0.105,630,1944,2825,3643,289,318,338,430
0.115,631,1952,2826,3743,280,314,319,463
0.125,643,1975,2825,3819,247,326,350,456
0.135,655,1998,2848,3935,206,356,341,451
0.145,657,2033,2837,4014,207,340,324,419
0.155,667,2048,2825,4096,206,310,312,435
0.165,674,2079,2848,4100,209,319,324,424
0.175,679,2137,2872,4111,208,325,323,421
0.185,674,2187,2913,4141,216,332,302,415
0.195,679,2218,2953,4187,225,335,298,435
0.205,666,2279,2965,4173,225,342,263,434
0.215,655,2322,2989,4137,225,336,256,424
0.225,647,2339,2976,4145,225,361,239,427
0.235,636,2334,2965,4165,255,374,237,418
0.245,595,2334,2945,4181,245,351,249,412
0.255,499,2299,2918,4140,217,339,248,401
0.265,441,2253,2845,4200,219,368,271,378
0.275,416,2195,2837,4215,193,356,259,365
0.285,380,1998,2821,4210,209,367,249,343
0.295,363,1887,2802,4212,222,372,255,340
0.305,380,1894,2794,4228,238,362,285,347
0.315,384,1894,2802,4241,201,358,262,362
0.325,380,1917,2802,4235,214,336,239,365
0.335,393,1929,2799,4239,204,356,245,369
0.345,368,1938,2802,4252,211,354,257,373
0.355,387,1940,2802,4246,245,358,321,375
0.365,392,1975,2783,4231,247,357,293,378
0.375,398,2009,2777,4165,241,349,297,399
0.385,392,2033,2778,4082,199,338,276,409
0.395,392,2036,2783,4004,203,342,289,415
0.405,392,1998,2783,3894,179,343,279,415
0.415,392,1987,2767,3846,184,324,287,408
0.425,381,1963,2756,3861,186,324,268,414
0.435,380,1911,2732,3817,187,325,281,401
0.445,387,1882,2685,3807,179,305,298,379
0.455,380,1836,2637,3808,185,306,316,375
0.465,392,1767,2626,3822,185,286,271,380
0.475,398,1697,2627,3896,181,258,254,379
0.485,404,1605,2626,3961,194,279,273,361
0.495,404,1466,2639,3916,189,287,272,390
0.505,414,1362,2720,3889,170,308,284,376
0.515,425,1257,2781,3920,153,314,290,373
0.525,440,1153,2778,3884,147,312,296,357
0.535,452,1099,2770,3864,179,298,306,363
0.545,457,1049,2813,3801,166,318,300,371
0.555,475,1018,2848,3778,160,312,288,368
0.565,484,991,2851,3800,202,296,310,387
0.575,506,953,2875,3804,189,318,302,377
0.585,523,933,2918,3732,210,298,317,404
0.595,522,933,2945,3675,194,320,338,378
0.605,517,931,2928,3708,186,327,347,386
0.615,522,933,2965,3694,205,321,351,384
0.625,523,933,3035,3726,212,318,346,384
0.635,533,933,3070,3750,204,309,323,401
0.645,535,931,3092,3743,190,292,306,420
0.655,538,933,3093,3770,197,303,316,411
0.665,535,933,3097,3745,206,304,335,396
0.675,533,936,3093,3761,222,311,338,428
0.685,533,933,3091,3762,216,309,317,443
0.695,523,945,3023,3754,219,305,294,444
0.705,544,953,2976,3750,202,309,281,420
0.715,535,957,2895,3732,204,308,289,419
0.725,560,996,2755,3638,215,290,353,408
0.735,571,1014,2680,3534,208,297,354,413
0.745,576,1038,2639,3428,198,303,337,421
0.755,576,1083,2510,3329,211,303,314,420
0.765,583,1107,2394,3315,223,310,313,410
0.775,576,1153,2301,3295,236,297,288,413
0.785,576,1223,2242,3278,229,310,302,429
0.795,571,1321,2161,3255,229,275,322,460
0.805,529,1396,2091,3259,255,250,330,473
0.815,538,1477,2079,3398,258,248,353,452
0.825,523,1524,2063,3456,252,238,356,446
0.835,473,1532,2044,3520,261,268,349,442
0.845,452,1524,2041,3515,220,284,367,425
0.855,446,1524,2033,3447,188,263,384,457
0.865,452,1523,2015,3371,204,290,365,449
0.875,484,1510,1998,3329,243,300,317,410
0.885,511,1477,1981,3336,251,301,296,408
0.895,533,1435,1971,3365,249,276,298,409
0.905,559,1408,1963,3370,246,291,293,404
0.915,565,1396,1928,3340,228,302,295,391
0.925,583,1408,1922,3343,239,278,284,383
0.935,576,1424,1904,3333,248,293,286,374
0.945,571,1408,1911,3347,248,297,296,359
0.955,559,1414,1916,3350,247,301,298,364
0.965,555,1408,1939,3381,246,277,299,384
0.975,547,1408,1960,3438,242,285,296,408
0.985,522,1408,1971,3403,247,289,316,422
0.995,511,1418,1974,3361,245,295,296,404
1.005,495,1419,2036,3386,243,283,312,400
1.015,475,1500,2091,3434,194,285,313,418
1.025,473,1709,2196,3538,166,275,317,437
1.035,473,1778,2324,3574,156,286,337,409
1.045,475,1859,2464,3648,123,277,346,418
1.055,490,1889,2615,3712,128,290,353,401
1.065,457,1917,2685,3762,161,324,357,427
1.075,440,1987,2732,3739,235,306,357,446
1.085,435,2025,2761,3705,265,327,339,450
1.095,440,2044,2790,3717,288,330,301,422
1.105,457,2052,2848,3792,300,336,298,433
1.115,475,2044,2880,3867,222,322,323,452
1.125,484,1999,2906,4007,196,303,358,448
1.135,511,2010,2929,4116,168,309,338,435
1.145,522,1963,2930,4182,164,309,306,429
1.155,535,1929,2906,4149,174,310,274,409
1.165,547,1894,2870,4158,175,285,294,417
1.175,547,1859,2848,4092,166,271,280,410
1.185,554,1846,2809,4187,176,295,281,429
1.195,523,1825,2813,4208,180,307,264,400
1.205,511,1767,2815,4218,194,299,258,395
1.215,487,1754,2802,4258,210,286,288,425
1.225,487,1749,2805,4349,243,323,365,452
1.235,490,1732,2810,4331,282,324,373,466
1.245,473,1743,2860,4409,263,331,402,486
1.255,464,1755,2918,4428,285,313,331,458
1.265,457,1813,2965,4435,282,337,304,472
1.275,428,1857,2988,4427,293,348,307,482
1.285,414,1873,2994,4427,295,338,330,503
1.295,414,1882,2988,4373,304,324,313,462
1.305,404,1884,2989,4378,310,333,324,460
1.315,403,1879,2978,4326,328,315,331,456
1.325,404,1871,2965,4239,311,352,352,428
1.335,403,1868,2940,4292,297,353,338,431
1.345,404,1848,2929,4324,288,342,358,431
1.355,416,1813,2907,4368,305,324,353,428
1.365,416,1743,2895,4448,264,340,372,430
1.375,430,1694,2853,4375,276,320,372,426
1.385,435,1686,2825,4397,224,308,407,445
1.395,440,1662,2767,4325,235,297,360,454
1.405,487,1662,2743,4247,243,328,383,446
1.415,490,1629,2716,4133,251,308,302,447
1.425,487,1608,2650,3965,224,300,292,432
1.435,479,1558,2545,3975,223,332,302,453
1.445,464,1466,2485,4024,259,332,351,488
1.455,441,1362,2301,4071,278,286,367,485
1.465,428,1304,2137,4086,298,310,376,495
1.475,416,1211,1870,4105,284,295,394,466
1.485,416,1142,1706,4143,250,302,350,484
1.495,419,1142,1700,4049,232,307,323,475
1.505,452,1164,1706,4005,208,314,272,524
1.515,499,1176,1823,3926,228,307,301,532
1.525,544,1257,1974,3803,269,318,285,517
1.535,583,1338,2068,3670,231,317,302,474
1.545,614,1424,2196,3643,205,316,325,382
1.555,631,1466,2301,3728,221,290,319,383
1.565,667,1500,2452,3788,216,305,314,366
1.575,655,1605,2650,3900,204,311,292,375
1.585,715,1640,2734,3964,200,304,288,385
1.595,733,1674,2778,4027,200,311,294,418
1.605,741,1705,2872,4109,238,314,342,445
1.615,741,1801,2988,4199,264,339,371,457
1.625,701,1830,3048,4271,305,302,378,434
1.635,655,1859,3070,4285,284,302,359,443
1.645,611,1917,3070,4307,255,348,362,428
1.655,576,1952,3075,4322,233,327,360,414
1.665,525,1954,3070,4349,232,308,363,416
1.675,468,1949,3054,4363,242,314,353,445
1.685,462,1960,3046,4288,259,302,357,464
1.695,438,1975,3011,4278,253,333,353,465
1.705,406,1971,2972,4170,264,319,328,457
1.715,419,1971,2953,4117,252,343,339,450
1.725,416,1960,2906,4097,275,334,326,432
1.735,416,1927,2891,4062,290,313,325,446
1.745,425,1916,2875,4180,313,334,335,448
1.755,416,1884,2848,4329,237,326,369,461
1.765,414,1851,2832,4276,242,289,350,433
1.775,416,1876,2837,4168,185,285,322,427
1.785,473,1851,2826,4052,183,318,320,405
1.795,514,1906,2805,3997,194,321,336,406
1.805,590,1981,2783,4011,202,345,317,399
1.815,666,2068,2761,4045,220,371,293,383
1.825,685,2198,2729,4066,225,370,280,382
1.835,622,2296,2718,4123,227,374,258,376
1.845,555,2393,2718,4300,230,385,265,354
1.855,514,2447,2675,4329,183,383,261,364
1.865,438,2447,2653,4336,199,378,242,353
1.875,384,2447,2641,4281,202,397,268,365
1.885,362,2447,2664,4215,207,376,255,380
1.895,438,2431,2664,4234,235,399,257,399
1.905,731,2415,2664,4118,279,374,275,411
1.915,771,2328,2685,4017,233,343,276,395
1.925,774,2144,2708,4037,195,305,282,396
1.935,741,2057,2740,4046,162,298,262,383
1.945,674,1922,2744,4102,146,259,281,369
1.955,644,1862,2794,4051,157,276,276,385
1.965,538,1776,2826,4004,210,276,290,447
1.975,503,1732,2870,4065,231,324,305,444
1.985,416,1689,2897,4072,221,311,350,441
1.995,387,1635,2935,4079,228,328,379,456
2.005,351,1613,2972,4081,253,351,391,457
2.015,354,1629,2994,4086,280,332,367,452
2.025,351,1646,3032,4154,302,325,324,474
2.035,360,1673,3070,4192,303,317,307,443
2.045,360,1711,3129,4294,332,317,320,462
2.055,351,1722,3157,4344,282,381,301,479
2.065,351,1732,3189,4301,327,338,329,441
2.075,343,1743,3205,4291,280,364,337,410
2.085,349,1743,3211,4274,291,356,332,397
2.095,354,1776,3205,4250,268,363,330,417
2.105,341,1781,3194,4289,251,324,346,440
2.115,338,1776,3184,4324,275,330,364,424
2.125,330,1776,3146,4289,243,374,337,419
2.135,354,1776,3129,4331,229,365,354,405
2.145,395,1787,3119,4309,219,313,369,376
2.155,446,1774,3075,4196,201,301,342,407
2.165,471,1795,3043,4177,171,269,325,416
2.175,517,1804,3021,4073,166,273,332,416
2.185,546,1804,3000,4050,168,281,317,424
2.195,611,1793,2972,3935,153,271,295,419
2.205,647,1773,2967,3807,178,305,317,431
2.215,666,1742,2945,3792,170,267,339,421
2.225,712,1701,2918,3702,170,291,354,403
2.235,752,1650,2870,3707,184,317,358,372
2.245,755,1592,2848,3754,186,333,364,393
2.255,755,1532,2826,3810,195,320,361,381
2.265,752,1474,2821,3816,194,310,357,391
2.275,741,1419,2815,3785,200,325,366,405
2.285,720,1367,2805,3665,201,308,357,454
2.295,728,1320,2805,3643,207,317,348,461
2.305,709,1279,2805,3628,204,318,325,448
2.315,706,1242,2799,3624,211,318,306,441
2.325,690,1213,2788,3630,219,314,295,440
2.335,636,1192,2772,3682,212,313,326,459
2.345,614,1182,2761,3715,218,313,331,439
2.355,576,1187,2761,3782,239,353,377,438
2.365,533,1205,2756,3740,247,370,373,423
2.375,481,1237,2740,3790,237,375,357,431
2.385,452,1290,2734,3799,236,382,411,434
2.395,406,1376,2718,3912,214,365,377,428
2.405,398,1492,2707,3907,240,319,364,433
2.415,398,1608,2707,3795,230,315,354,419
2.425,406,1694,2707,3829,201,307,403,424
2.435,392,1750,2712,3784,258,296,413,432
2.445,395,1784,2712,3828,211,326,388,403
2.455,392,1805,2712,3911,220,310,362,405
2.465,395,1820,2707,3953,225,300,364,407
2.475,381,1835,2702,4033,209,312,335,443
2.485,376,1853,2707,3920,248,308,361,462
2.495,373,1872,2702,3803,243,329,324,442
2.505,373,1894,2707,3757,249,308,298,430
2.515,370,1918,2707,3666,242,253,289,396
2.525,384,1943,2707,3616,225,299,330,423
2.535,395,1965,2696,3566,298,346,356,439
2.545,392,1984,2718,3632,279,353,361,427
2.555,395,2001,2740,3629,262,320,396,444
2.565,414,2016,2772,3590,289,340,389,461
2.575,438,2027,2783,3611,320,340,348,444
2.585,492,2037,2788,3691,307,330,321,427
2.595,522,2045,2794,3651,308,337,314,452
2.605,536,2051,2832,3746,231,358,294,455
2.615,582,2055,2870,3907,169,368,319,474
2.625,622,2054,2870,3982,205,327,341,431
2.635,644,2045,2853,4001,214,320,338,422
2.645,625,2025,2837,4017,197,325,332,413
2.655,633,1992,2826,4013,182,312,339,418
2.665,602,1942,2799,4022,184,301,310,427
2.675,680,1949,2772,4068,175,292,300,418
2.685,687,1884,2734,4107,172,303,288,405
2.695,684,1851,2729,4234,191,316,289,404
2.705,674,1824,2729,4231,208,301,251,407
2.715,658,1797,2740,4310,216,339,241,414
2.725,639,1765,2750,4275,219,327,248,421
2.735,618,1782,2826,4280,230,321,279,398
2.745,597,1776,2859,4219,214,299,254,389
2.755,579,1792,2870,4150,232,305,274,403
2.765,564,1808,2870,4100,267,378,324,456
2.775,553,1819,2870,4082,298,378,400,407
2.785,546,1836,2859,4099,295,358,364,422
2.795,543,1841,2859,4173,349,368,369,453
2.805,543,1868,2864,4191,308,400,395,412
2.815,547,1873,2870,4160,312,368,379,401
2.825,555,1920,2870,4072,295,383,365,394
2.835,566,1938,2853,4015,286,371,344,431
2.845,577,1960,2870,4018,265,324,334,433
2.855,587,1976,2853,3881,223,314,362,423
2.865,595,1981,2837,3826,210,321,326,425
2.875,601,1981,2794,3831,202,340,304,406
2.885,606,1938,2761,3737,214,350,289,416
2.895,610,1938,2718,3673,183,345,298,388
2.905,613,1927,2685,3649,189,356,295,411
2.915,616,1927,2610,3644,196,349,324,403
2.925,619,1916,2588,3631,198,344,328,420
2.935,620,1868,2534,3632,201,335,322,403
2.945,618,1830,2490,3620,200,336,312,442
2.955,612,1657,2461,3666,209,304,322,450
2.965,601,1494,2458,3724,201,323,349,433
2.975,587,1407,2442,3822,204,304,361,451
2.985,573,1415,2415,3797,198,351,349,442
2.995,560,1375,2398,3769,183,324,371,451
3.005,550,1386,2382,3693,193,287,349,452
3.015,544,1424,2371,3642,189,328,338,445
3.025,542,1451,2388,3613,230,304,363,420
3.035,544,1483,2404,3670,246,293,354,422
3.045,549,1689,2485,3635,261,306,284,385
3.055,556,1787,2534,3674,266,321,282,415
3.065,565,1916,2604,3802,242,351,274,387
3.075,574,2046,2664,3854,234,349,268,380
3.085,583,2198,2750,3908,226,328,276,379
3.095,592,2220,2822,3898,201,311,259,371
3.105,600,2306,2826,3892,185,313,277,377
3.115,607,2344,2902,3865,188,309,241,383
3.125,613,2382,2953,3939,187,313,248,391
3.135,618,2415,2956,3960,193,320,259,407
3.145,621,2458,3032,3983,193,334,247,426
3.155,623,2480,3054,3981,190,345,261,431
3.165,623,2486,3054,4004,182,339,261,423
3.175,621,2523,3054,4032,173,347,253,427
3.185,617,2550,3054,4046,176,339,276,412
3.195,612,2555,3064,4063,188,328,269,403
3.205,605,2566,3054,4058,182,332,247,423
3.215,597,2555,3028,4049,172,347,247,407
