sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,547,1088,2046,3634,264,295,338,435
0.015,547,1088,2046,3661,244,308,358,436
0.025,577,1088,2033,3768,263,259,356,407
0.035,555,1088,2033,3829,295,303,348,428
0.045,555,1088,2033,3821,286,337,328,443
0.055,544,1088,2033,3876,259,320,339,447
0.065,555,1088,2011,3902,261,323,317,464
0.075,555,1088,2011,3916,270,307,355,481
0.085,544,1077,2011,3804,280,330,343,470
0.095,555,1083,2011,3862,227,315,362,469
0.105,544,1077,2011,3890,191,325,329,449
0.115,544,1088,1998,3843,219,328,283,439
0.125,555,1088,2011,3922,220,316,284,444
0.135,555,1099,2000,4016,218,323,273,479
0.145,555,1099,1992,4125,206,304,304,448
0.155,542,1099,1989,4195,205,309,291,447
0.165,555,1074,1956,4206,213,296,287,451
0.175,501,1099,1923,4063,189,321,329,376
0.185,477,1077,1912,4012,184,323,351,382
0.195,490,1099,1890,3912,164,343,322,386
0.205,490,1099,1868,3903,137,352,304,380
0.215,501,1099,1846,3937,179,303,282,374
0.225,501,1099,1846,3920,203,289,344,367
0.235,493,1099,1813,3903,195,308,315,379
0.245,501,1099,1769,3921,203,297,305,385
0.255,501,1104,1758,3910,212,285,345,421
0.265,488,1099,1758,3862,213,290,320,398
0.275,480,1099,1754,3861,202,275,296,388
0.285,480,1099,1747,3967,214,322,305,424
0.295,469,1099,1780,4032,192,320,266,439
0.305,490,1088,1803,3967,194,330,265,451
0.315,490,1083,1824,3921,200,319,283,442
0.325,480,1077,1857,3984,183,295,304,422
0.335,480,1056,1901,4022,213,317,289,413
0.345,472,1045,1967,4058,215,303,279,400
0.355,469,1067,2044,4065,190,332,281,406
0.365,458,1067,2132,3961,203,311,240,377
0.375,434,1077,2188,4030,212,308,257,364
0.385,447,1077,2243,4106,198,322,274,357
0.395,437,1067,2331,4023,224,291,274,381
0.405,447,1099,2353,3986,206,325,271,358
0.415,423,1088,2408,3944,188,301,311,372
0.425,415,1056,2441,3837,203,324,274,332
0.435,383,1045,2441,3755,216,307,294,326
0.445,350,1035,2452,3646,204,330,290,307
0.455,321,1013,2458,3694,216,294,266,317
0.465,318,1013,2408,3680,208,295,235,349
0.475,318,970,2375,3699,222,291,248,331
0.485,315,960,2342,3644,216,329,271,321
0.495,318,953,2295,3671,225,332,279,380
0.505,329,970,2298,3672,243,300,233,377
0.515,361,1035,2276,3749,245,294,274,370
0.525,372,1110,2222,3777,230,304,300,393
0.535,437,1148,2188,3722,216,313,296,395
0.545,469,1185,2155,3771,206,302,287,372
0.555,466,1238,2149,3810,222,316,290,356
0.565,447,1292,2144,3908,241,317,268,371
0.575,389,1324,2177,3835,266,294,260,412
0.585,393,1313,2221,3868,261,266,283,409
0.595,350,1314,2243,3867,226,267,262,400
0.605,329,1313,2254,3889,222,303,282,402
0.615,329,1305,2268,3839,211,307,290,399
0.625,361,1335,2287,3799,243,316,329,453
0.635,361,1377,2301,3942,231,302,309,424
0.645,364,1442,2309,3810,187,306,311,355
0.655,385,1472,2309,3797,206,292,301,339
0.665,404,1527,2301,3731,212,320,302,332
0.675,415,1570,2309,3785,223,284,303,303
0.685,426,1613,2320,3792,215,282,304,328
0.695,447,1624,2342,3839,196,276,298,323
0.705,447,1645,2364,3876,182,302,329,321
0.715,450,1677,2364,3863,178,288,319,333
0.725,447,1720,2375,3842,170,293,291,349
0.735,445,1738,2364,3812,187,260,274,394
0.745,437,1720,2364,3934,198,267,306,368
0.755,426,1710,2353,3941,195,276,308,391
0.765,447,1720,2364,4032,198,289,314,415
0.775,447,1710,2355,4093,207,287,295,414
0.785,439,1710,2342,4063,190,286,286,382
0.795,447,1710,2342,3947,187,285,314,367
0.805,426,1699,2342,3941,193,288,333,364
0.815,426,1720,2342,3785,201,281,346,383
0.825,426,1727,2342,3734,198,279,327,341
0.835,426,1742,2344,3778,195,268,324,328
0.845,415,1742,2342,3745,187,251,308,307
0.855,415,1774,2353,3766,199,259,300,323
0.865,404,1774,2333,3740,196,240,284,312
0.875,385,1759,2320,3781,198,237,288,302
0.885,383,1752,2331,3755,206,254,318,317
0.895,361,1752,2342,3774,196,261,304,312
0.905,372,1742,2331,3771,201,276,303,313
0.915,361,1720,2320,3763,204,274,321,341
0.925,361,1710,2243,3749,210,271,330,365
0.935,361,1645,2077,3760,205,291,321,379
0.945,361,1495,2000,3795,253,339,339,431
0.955,364,1292,1890,3840,242,314,322,452
0.965,361,1077,1791,3820,247,283,362,480
0.975,372,1024,1714,3819,251,300,359,471
0.985,361,996,1515,3874,266,280,339,485
0.995,361,992,1494,3912,263,309,334,445
1.005,361,992,1471,3951,266,338,343,447
