sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,585,1196,2415,3688,234,310,366,432
0.015,568,1191,2420,3689,248,319,379,435
0.025,557,1197,2404,3697,260,329,386,438
0.035,557,1197,2404,3700,297,326,339,456
0.045,549,1196,2404,3668,312,330,330,450
0.055,546,1208,2404,3676,260,317,339,449
0.065,546,1208,2404,3688,253,304,355,449
0.075,557,1197,2404,3632,273,286,344,415
0.085,546,1197,2354,3681,265,315,339,441
0.095,546,1197,2333,3771,255,325,293,441
0.105,557,1186,2316,3849,271,287,301,422
0.115,549,1175,2266,3929,248,329,334,424
0.125,546,1164,2241,4121,265,278,338,449
0.135,557,1153,2229,4347,224,351,346,448
0.145,557,1164,2229,4403,244,319,324,430
0.155,557,1164,2179,4560,213,312,339,457
0.165,557,1153,2129,4691,185,310,328,470
0.175,546,1153,2084,4692,182,284,313,404
0.185,533,1164,2054,4744,190,274,347,385
0.195,524,1164,1841,4713,194,278,330,373
0.205,491,1142,1766,4612,194,289,325,394
0.215,469,1109,1678,4535,196,295,334,387
0.225,425,1077,1603,4563,178,307,348,381
0.235,403,1055,1566,4546,163,285,342,370
0.245,392,1033,1548,4534,154,307,345,368
0.255,403,978,1553,4507,160,293,305,412
0.265,414,967,1553,4529,144,289,283,430
0.275,447,945,1575,4513,157,300,282,422
0.285,447,945,1603,4517,155,302,266,425
0.295,447,945,1691,4551,135,320,268,431
0.305,480,953,1727,4680,148,341,268,415
0.315,513,945,1866,4744,130,376,273,421
0.325,524,945,1954,4641,135,401,285,414
0.335,535,945,2091,4667,144,403,277,421
0.345,524,958,2191,4655,165,375,257,416
0.355,502,945,2316,4538,217,349,242,415
0.365,469,934,2417,4471,226,322,252,430
0.375,458,923,2479,4458,215,306,287,457
0.385,447,912,2523,4412,214,311,288,457
0.395,447,901,2542,4366,209,307,294,450
0.405,447,901,2567,4286,204,315,300,436
0.415,414,879,2588,4115,216,326,303,423
0.425,403,807,2604,3961,220,327,302,402
0.435,392,814,2629,3940,242,330,312,427
0.445,392,792,2629,3913,237,332,313,432
0.455,392,806,2629,3961,229,309,318,443
0.465,403,825,2617,4050,205,286,332,451
0.475,392,879,2592,4104,223,305,335,431
0.485,392,901,2577,4105,233,295,342,427
0.495,414,890,2529,4076,236,315,345,424
0.505,425,890,2512,4072,228,288,324,440
0.515,414,893,2467,4074,211,315,339,440
0.525,392,879,2436,4055,196,316,350,439
0.535,370,858,2404,4040,194,314,354,472
0.545,347,833,2341,4024,202,314,342,493
0.555,347,803,2279,3993,188,346,337,501
0.565,358,759,2241,3900,198,365,338,465
0.575,370,752,2216,3896,182,375,365,465
0.585,369,759,2216,3991,210,369,375,489
0.595,369,759,2209,4091,220,346,390,483
0.605,380,763,2216,4119,192,358,387,474
0.615,381,781,2216,4091,164,366,378,473
0.625,380,803,2216,3969,166,364,389,459
0.635,380,792,2216,3932,164,370,391,474
0.645,369,796,2220,3934,167,371,397,463
0.655,370,792,2231,3973,176,381,400,462
0.665,369,792,2241,3957,198,374,367,416
0.675,347,803,2254,3954,214,340,337,395
0.685,369,836,2254,3980,218,304,302,394
0.695,392,858,2263,3956,187,299,291,393
0.705,414,890,2279,4025,218,300,274,403
0.715,491,956,2304,4026,233,303,285,393
0.725,568,1000,2341,4077,231,311,316,401
