sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,608,1493,2437,3585,232,324,371,437
0.015,622,1522,2423,3609,252,349,340,446
0.025,616,1580,2468,3626,228,351,350,449
0.035,651,1541,2444,3601,271,372,334,461
0.045,579,1585,2415,3595,244,352,349,434
0.055,579,1572,2371,3705,273,345,312,410
0.065,546,1566,2328,3772,297,308,336,419
0.075,557,1563,2275,3891,293,317,323,436
0.085,546,1564,2275,3893,274,322,299,435
0.095,449,1521,2275,3931,272,324,306,467
0.105,416,1456,2275,3887,303,333,322,466
0.115,416,1402,2274,3940,249,335,354,488
0.125,387,1370,2275,3921,243,286,388,491
0.135,387,1342,2264,3913,269,284,405,439
0.145,387,1315,2264,3910,236,293,414,471
0.155,387,1331,2264,3875,232,316,376,481
0.165,387,1331,2241,3821,243,327,369,481
0.175,387,1309,2229,3696,253,315,325,474
0.185,387,1309,2229,3687,276,289,338,454
0.195,387,1283,2229,3701,283,297,383,446
0.205,373,1277,2246,3798,245,348,319,451
0.215,387,1244,2229,3873,234,305,314,426
0.225,376,1211,2229,3888,259,294,287,425
0.235,376,1168,2234,3927,264,283,292,425
0.245,376,1146,2218,3970,264,282,285,416
0.255,342,1114,2218,3892,272,283,290,400
0.265,342,1110,2218,3903,279,278,269,404
0.275,365,1103,2229,3956,277,276,277,406
0.285,342,1110,2252,3977,280,271,274,417
0.295,342,1081,2264,3977,296,278,298,428
0.305,342,1059,2252,3955,289,279,289,427
0.315,349,1070,2229,3918,258,277,286,407
0.325,342,1092,2229,3915,257,293,311,409
0.335,387,1125,2229,3897,259,310,292,403
0.345,376,1190,2241,3889,250,333,309,405
0.355,365,1255,2229,3870,236,316,310,404
0.365,365,1331,2229,3904,223,315,312,386
0.375,353,1396,2229,3974,218,309,317,391
0.385,376,1483,2229,4048,202,285,323,368
0.395,353,1559,2287,4102,187,263,352,363
0.405,353,1603,2333,4060,194,284,362,378
0.415,309,1646,2309,4168,236,332,319,400
0.425,309,1662,2356,4180,272,318,334,396
0.435,309,1657,2379,4238,258,280,368,350
0.445,309,1657,2402,4230,261,274,365,413
0.455,331,1635,2402,4235,287,288,363,392
0.465,353,1570,2367,4241,331,307,358,367
0.475,376,1516,2356,4212,341,269,368,351
0.485,373,1429,2317,4215,335,268,365,403
0.495,376,1385,2264,4234,302,307,346,416
0.505,421,1375,2218,4154,312,347,327,410
0.515,465,1342,2172,4065,300,330,339,445
0.525,477,1331,2149,3952,345,264,331,430
0.535,477,1294,2149,3807,319,258,391,410
0.545,477,1277,2149,3685,274,292,400,404
0.555,477,1211,2149,3636,273,308,376,384
0.565,471,1146,2149,3626,292,307,357,396
0.575,421,1125,2160,3567,208,348,327,420
0.585,398,1092,2137,3589,181,349,292,416
0.595,398,1059,2114,3556,215,321,261,419
0.605,398,1027,2108,3464,226,284,290,428
0.615,406,1005,2091,3329,246,290,304,419
0.625,398,1016,2080,3315,248,279,311,389
0.635,398,1038,2068,3293,241,268,308,390
0.645,398,1081,2068,3318,239,282,307,386
0.655,398,1114,2110,3297,248,290,318,390
0.665,406,1157,2068,3293,240,303,321,386
0.675,421,1255,2068,3247,252,293,302,399
0.685,432,1309,2045,3228,225,301,311,430
0.695,449,1429,2045,3254,186,293,327,456
0.705,432,1467,2057,3331,178,285,315,465
0.715,421,1622,2057,3508,164,279,315,495
0.725,421,1760,2055,3643,184,297,311,511
0.735,365,1824,2060,3735,186,279,295,490
0.745,342,1797,2055,3699,208,380,282,463
0.755,342,1728,2060,3778,208,346,332,445
0.765,342,1663,2093,3880,230,346,368,469
0.775,342,1640,2171,4009,254,346,324,470
0.785,342,1699,2314,3960,268,330,319,458
0.795,376,1679,2310,3883,326,316,325,445
0.805,432,1679,2296,3768,339,313,367,413
0.815,454,1657,2310,3777,322,311,358,384
0.825,465,1646,2310,3700,326,298,370,422
0.835,409,1646,2367,3861,298,313,299,429
0.845,387,1625,2425,4091,221,300,309,431
0.855,365,1624,2448,4190,186,288,320,418
0.865,390,1635,2459,4221,203,340,339,420
0.875,365,1646,2505,4219,246,329,328,401
0.885,398,1657,2494,4141,256,305,366,405
0.895,443,1657,2505,4104,269,323,374,395
0.905,398,1646,2512,4087,294,356,354,391
0.915,384,1657,2505,4089,290,321,347,396
0.925,395,1657,2505,4021,307,326,351,403
0.935,409,1657,2505,3946,354,302,397,412
0.945,406,1657,2469,3825,352,300,402,412
