sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,583,1318,2566,3576,214,297,344,423
0.015,571,1307,2566,3645,214,327,327,421
0.025,555,1296,2561,3677,246,337,335,424
0.035,527,1280,2561,3709,255,316,323,441
0.045,500,1275,2561,3755,287,312,336,462
0.055,499,1264,2561,3718,227,338,305,443
0.065,506,1259,2561,3657,306,319,326,437
0.075,499,1237,2561,3744,274,295,332,434
0.085,500,1221,2572,3843,247,290,361,426
0.095,499,1183,2599,3970,213,310,359,434
0.105,488,1174,2599,4033,221,306,341,444
0.115,490,1163,2599,3956,241,322,345,434
0.125,488,1156,2597,3884,284,293,354,461
0.135,479,1152,2597,3792,228,324,355,449
0.145,476,1118,2599,3695,208,317,344,422
0.155,495,1145,2597,3604,211,304,335,403
0.165,476,1104,2610,3543,240,296,345,408
0.175,479,1118,2622,3591,243,287,340,419
0.185,476,1107,2622,3475,236,287,336,406
0.195,476,1106,2658,3524,236,288,333,394
0.205,488,1106,2684,3507,245,285,341,369
0.215,506,1095,2709,3494,244,288,348,363
0.225,488,1096,2729,3493,235,293,340,356
0.235,476,1073,2746,3526,229,295,341,366
0.245,479,1074,2767,3564,223,285,338,378
0.255,468,1061,2771,3583,218,295,335,367
0.265,453,1039,2799,3580,215,304,319,365
0.275,442,999,2833,3503,224,291,296,383
0.285,441,983,2871,3451,231,304,271,424
0.295,431,938,2880,3517,193,304,301,443
0.305,430,904,2883,3617,201,307,318,440
0.315,430,879,2880,3684,198,306,332,428
0.325,419,859,2871,3695,196,306,341,420
0.335,419,836,2853,3705,187,307,323,424
0.345,414,814,2846,3704,198,333,327,430
0.355,419,814,2837,3656,177,335,323,443
0.365,419,814,2832,3544,222,296,350,427
0.375,419,881,2821,3501,244,294,351,412
0.385,430,1005,2783,3523,241,301,350,418
0.395,419,1118,2734,3537,218,315,331,394
0.405,419,1253,2702,3489,217,330,322,390
0.415,414,1512,2697,3527,240,330,325,378
0.425,419,1760,2659,3523,227,344,321,388
0.435,419,1895,2622,3523,221,332,327,377
0.445,419,2007,2599,3505,196,302,315,374
0.455,414,2097,2572,3511,220,273,304,369
0.465,419,2154,2572,3541,188,298,307,365
0.475,408,2168,2597,3610,199,291,327,352
0.485,414,2176,2610,3617,179,319,313,353
0.495,398,2190,2631,3620,194,291,335,356
0.505,385,2199,2659,3670,201,309,352,339
0.515,387,2212,2675,3706,208,291,342,340
0.525,376,2210,2684,3693,215,285,348,362
0.535,385,2190,2703,3829,238,280,387,354
0.545,401,2165,2684,3853,232,331,347,427
0.555,396,2142,2647,3938,248,333,336,444
0.565,419,2097,2634,3773,275,368,323,424
0.575,425,2064,2626,3715,237,334,324,370
0.585,431,2044,2620,3699,218,316,320,359
0.595,430,2019,2622,3689,226,317,315,360
0.605,442,1984,2585,3532,222,308,348,373
0.615,441,1951,2577,3518,178,296,349,376
0.625,442,1895,2585,3629,197,309,330,369
0.635,441,1898,2583,3657,201,307,327,375
0.645,431,1895,2585,3617,203,309,328,397
0.655,431,1895,2585,3632,204,316,318,416
0.665,425,1895,2577,3706,202,317,317,399
0.675,425,1908,2560,3742,198,326,309,380
0.685,419,1917,2535,3811,194,331,295,375
0.695,385,1929,2512,3825,194,339,293,383
0.705,339,1941,2496,3834,195,361,281,389
0.715,327,1946,2485,3860,198,346,269,391
0.725,328,1929,2473,3862,202,348,287,406
0.735,328,1887,2442,3948,219,350,270,407
0.745,322,1861,2423,4024,224,327,323,398
0.755,316,1822,2377,3976,196,336,348,405
0.765,305,1805,2320,3974,211,344,324,410
0.775,305,1737,2323,3993,233,310,316,406
0.785,311,1715,2306,4093,257,291,347,395
0.795,305,1692,2286,4174,267,290,318,407
0.805,305,1681,2286,4276,281,284,322,412
0.815,305,1624,2285,4360,288,263,333,409
0.825,294,1579,2286,4290,318,302,365,403
0.835,305,1478,2261,4260,245,296,370,471
0.845,305,1343,2273,4124,176,348,360,501
0.855,328,1152,2274,4066,181,350,309,480
0.865,333,1039,2258,3995,198,364,284,489
0.875,328,971,2249,4007,190,357,303,481
0.885,333,928,2228,3961,216,366,276,480
0.895,328,926,2237,4024,212,353,298,485
0.905,328,917,2237,4092,201,367,260,475
0.915,333,926,2237,4073,216,361,291,447
0.925,333,939,2225,4100,207,347,285,415
0.935,328,955,2224,4078,199,336,325,408
0.945,333,960,2225,4082,250,310,292,396
0.955,339,961,2247,4126,287,295,282,433
0.965,349,949,2237,4145,300,295,275,417
0.975,362,971,2247,4128,266,335,284,418
0.985,365,969,2261,4066,305,286,290,419
0.995,362,985,2279,3963,283,336,289,427
1.005,385,983,2311,3877,267,328,273,434
1.015,392,983,2355,3777,260,339,292,424
1.025,392,971,2386,3663,238,357,251,451
1.035,385,963,2453,3530,210,387,278,435
1.045,392,971,2498,3484,224,387,280,388
1.055,392,974,2523,3463,191,410,285,379
1.065,385,994,2547,3469,204,436,287,392
1.075,387,1007,2547,3417,216,385,293,378
1.085,385,1039,2539,3383,240,306,297,375
1.095,360,1129,2535,3393,229,312,279,384
1.105,351,1365,2507,3347,209,320,309,375
1.115,328,1478,2498,3340,224,300,325,400
1.125,322,1624,2501,3331,219,298,333,390
1.135,316,1715,2510,3301,210,289,335,416
1.145,316,1805,2510,3334,211,288,316,398
1.155,311,1895,2518,3359,214,275,321,396
1.165,289,1962,2518,3375,223,282,331,391
1.175,282,2019,2535,3398,226,278,328,392
