sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,636,1835,2615,3595,222,298,389,446
0.015,625,1835,2626,3573,269,332,356,430
0.025,625,1835,2637,3611,279,286,337,438
0.035,625,1835,2637,3639,279,297,346,433
0.045,625,1824,2637,3601,275,321,310,449
0.055,625,1814,2637,3640,268,289,332,432
0.065,625,1824,2648,3693,285,340,345,430
0.075,625,1824,2658,3764,247,353,315,462
0.085,625,1835,2662,3834,243,360,295,450
0.095,625,1835,2662,3923,258,336,319,464
0.105,620,1856,2662,4052,262,347,337,452
0.115,620,1845,2685,4118,288,320,329,464
0.125,603,1845,2674,4118,271,306,362,474
0.135,603,1845,2651,4077,255,326,331,449
0.145,603,1834,2640,4167,247,336,353,468
0.155,558,1834,2640,4187,231,306,344,447
0.165,522,1812,2629,4171,209,298,345,439
0.175,502,1779,2584,4173,250,300,330,463
0.185,468,1765,2539,4097,263,307,355,489
0.195,430,1746,2506,3914,237,324,341,481
0.205,412,1702,2517,3763,233,281,345,470
0.215,367,1680,2506,3724,217,270,338,442
0.225,322,1658,2521,3758,227,281,338,414
0.235,311,1647,2495,3820,235,282,331,436
0.245,299,1647,2495,3768,251,290,325,455
0.255,299,1647,2497,3834,255,302,311,447
0.265,310,1647,2495,3889,230,330,305,452
0.275,305,1635,2517,3915,248,305,300,472
0.285,310,1581,2512,3885,262,331,319,466
0.295,310,1559,2528,3873,239,339,323,464
0.305,333,1548,2545,3719,252,310,330,477
0.315,349,1548,2573,3541,226,311,317,430
0.325,367,1559,2607,3500,210,309,282,386
0.335,412,1559,2620,3511,199,302,267,359
0.345,435,1570,2607,3534,183,286,291,364
0.355,457,1592,2620,3509,205,296,314,360
0.365,502,1608,2607,3503,187,292,285,351
0.375,491,1669,2584,3451,196,290,280,342
0.385,468,1694,2573,3428,203,292,293,349
0.395,468,1702,2561,3461,178,264,284,353
0.405,468,1735,2551,3423,194,255,288,359
0.415,468,1765,2528,3428,191,250,283,348
0.425,468,1779,2528,3411,181,248,288,347
0.435,468,1768,2551,3397,203,255,300,345
0.445,468,1768,2528,3403,173,254,321,327
0.455,468,1792,2528,3370,195,249,311,349
0.465,468,1768,2528,3380,180,257,312,336
0.475,468,1768,2528,3400,193,252,325,352
0.485,479,1746,2551,3407,181,285,319,372
0.495,468,1735,2517,3396,201,289,313,385
0.505,457,1691,2517,3379,197,294,314,404
0.515,446,1614,2496,3410,220,326,311,402
0.525,401,1393,2506,3382,242,304,323,380
0.535,378,1294,2573,3439,266,306,332,354
0.545,365,1195,2604,3477,254,291,326,354
0.555,378,1107,2640,3502,240,291,356,392
0.565,378,1018,2685,3513,216,302,318,381
0.575,378,1032,2696,3513,218,294,307,384
0.585,389,963,2696,3546,226,296,325,385
0.595,434,963,2696,3529,225,292,317,388
0.605,479,1018,2712,3564,223,297,316,390
0.615,547,1107,2696,3609,204,313,311,381
0.625,603,1173,2696,3628,214,312,308,378
0.635,614,1316,2651,3627,218,316,315,378
0.645,626,1349,2637,3615,206,311,325,380
0.655,657,1366,2607,3597,207,308,315,384
0.665,682,1382,2584,3590,208,304,312,382
0.675,693,1404,2555,3593,216,306,314,376
0.685,693,1382,2528,3584,214,313,314,380
0.695,706,1371,2484,3644,209,319,315,360
0.705,693,1371,2461,3695,212,322,320,357
0.715,693,1360,2461,3687,222,311,327,375
0.725,671,1327,2484,3680,223,309,321,359
0.735,657,1294,2501,3688,226,304,325,356
0.745,626,1272,2517,3686,227,288,322,350
0.755,620,1261,2595,3627,223,268,340,364
0.765,592,1250,2618,3633,244,261,341,353
0.775,569,1239,2640,3655,225,272,340,333
0.785,547,1228,2662,3680,241,286,334,330
0.795,502,1195,2675,3662,245,277,349,349
0.805,500,1175,2696,3652,227,282,345,350
0.815,491,1151,2734,3692,237,288,342,334
0.825,491,1129,2752,3763,229,294,344,370
0.835,473,1107,2785,3804,231,321,356,375
0.845,491,1088,2785,3747,244,290,340,379
0.855,502,1096,2785,3798,217,283,324,389
0.865,524,1140,2785,3792,208,286,321,383
0.875,524,1250,2785,3821,219,279,312,362
0.885,513,1349,2774,3898,202,319,335,387
0.895,502,1437,2774,3927,189,323,325,390
0.905,502,1516,2719,3875,178,297,332,397
0.915,479,1581,2685,3726,203,357,326,411
0.925,468,1636,2607,3530,202,331,322,411
0.935,468,1680,2551,3385,185,257,363,390
0.945,468,1722,2506,3316,206,249,371,342
0.955,457,1757,2496,3341,177,239,358,367
0.965,457,1845,2506,3358,199,256,347,375
0.975,434,1867,2528,3361,207,248,346,391
0.985,412,1895,2562,3404,214,258,350,379
0.995,378,1923,2584,3437,230,260,356,391
1.005,344,1945,2584,3417,232,264,348,380
1.015,322,1949,2573,3471,230,257,327,396
1.025,288,1934,2572,3523,227,248,309,370
1.035,277,1934,2551,3662,209,277,304,367
1.045,278,1900,2495,3660,241,345,327,389
1.055,277,1889,2480,3658,263,332,370,447
1.065,287,1851,2480,3700,310,377,347,444
1.075,276,1851,2480,3737,315,369,351,448
1.085,284,1851,2480,3805,336,342,363,449
1.095,287,1873,2501,3824,311,336,329,445
1.105,287,1884,2518,3881,287,337,358,467
1.115,284,1916,2534,3877,287,336,311,450
1.125,287,1927,2545,3775,279,310,342,455
1.135,276,1944,2555,3672,264,288,327,436
1.145,287,1949,2555,3564,265,286,316,415
1.155,295,1949,2555,3501,221,263,325,400
1.165,308,1916,2555,3481,222,257,332,381
1.175,330,1927,2555,3486,200,264,329,366
1.185,354,1916,2555,3509,215,259,335,381
1.195,351,1873,2555,3534,218,273,333,373
1.205,384,1830,2545,3597,205,282,329,360
1.215,406,1776,2555,3713,206,290,332,361
1.225,395,1754,2545,3814,218,316,317,381
1.235,384,1749,2555,3984,199,292,313,406
1.245,370,1732,2577,3958,227,332,331,423
1.255,341,1743,2577,3928,263,321,331,434
1.265,341,1738,2599,3972,281,282,355,473
1.275,341,1743,2642,4061,302,321,357,462
1.285,338,1754,2696,4098,324,321,342,451
1.295,330,1754,2718,4119,329,323,347,476
1.305,341,1765,2745,4149,326,318,314,454
1.315,330,1776,2761,4116,315,312,313,436
1.325,343,1787,2772,4149,267,339,366,462
1.335,341,1781,2772,4162,301,332,345,459
1.345,330,1787,2788,4161,294,350,319,441
1.355,341,1797,2740,4134,286,292,356,438
1.365,343,1797,2707,4106,265,294,333,416
1.375,341,1787,2685,4103,222,323,339,416
1.385,330,1787,2664,4097,196,295,328,404
1.395,341,1754,2632,4100,191,323,324,400
1.405,330,1711,2631,4059,194,315,318,419
1.415,319,1657,2566,4027,208,327,325,408
1.425,319,1602,2534,3985,203,318,315,412
1.435,308,1581,2490,3961,185,295,335,448
1.445,319,1548,2469,3964,164,310,387,442
1.455,308,1516,2447,3979,155,308,381,427
1.465,319,1516,2404,4014,176,343,338,438
1.475,330,1516,2393,4128,220,341,322,447
1.485,330,1527,2371,4076,270,321,319,444
1.495,351,1532,2328,4038,316,315,302,478
1.505,351,1527,2306,3963,335,325,292,473
1.515,351,1592,2301,3842,347,328,324,477
1.525,351,1646,2296,3772,338,352,301,445
1.535,381,1667,2306,3725,310,380,307,426
1.545,384,1700,2306,3716,296,364,299,416
1.555,427,1700,2285,3779,301,310,325,448
1.565,441,1700,2274,3749,270,313,355,444
1.575,438,1657,2231,3761,278,276,384,423
1.585,438,1602,2133,3611,277,295,389,429
1.595,438,1527,2025,3560,258,304,402,414
1.605,449,1386,1992,3618,214,306,392,393
1.615,460,1353,1938,3584,201,317,376,369
1.625,460,1332,1906,3558,221,317,346,366
1.635,460,1310,1862,3558,209,319,309,362
1.645,449,1310,1846,3533,215,313,287,353
1.655,427,1310,1851,3524,213,320,284,350
1.665,406,1342,1851,3525,206,318,290,340
1.675,395,1386,1862,3440,217,310,299,344
1.685,384,1407,1873,3349,222,309,291,347
1.695,376,1483,1938,3338,205,307,324,379
1.705,351,1593,2003,3419,215,299,324,410
1.715,341,1624,2046,3414,242,318,314,402
1.725,341,1711,2209,3468,238,313,321,398
1.735,341,1830,2317,3541,281,324,327,404
1.745,341,1857,2415,3599,285,314,318,433
1.755,341,1884,2458,3748,280,363,282,443
1.765,341,1916,2555,3770,287,392,265,459
1.775,351,1895,2599,3739,282,398,269,416
1.785,351,1873,2599,3791,299,361,285,412
1.795,362,1862,2610,3855,309,352,288,413
1.805,362,1851,2615,3805,313,346,294,388
1.815,362,1819,2610,3879,308,375,292,388
1.825,351,1819,2577,3803,289,342,331,385
1.835,362,1819,2566,3781,305,321,330,375
1.845,362,1819,2566,3822,293,329,308,358
1.855,351,1819,2561,3837,228,306,358,370
1.865,362,1819,2566,3869,242,306,363,372
1.875,362,1819,2588,3881,248,353,325,400
1.885,341,1797,2599,3906,278,348,345,402
1.895,341,1797,2610,3963,310,340,300,423
1.905,341,1787,2610,4056,251,329,287,438
1.915,351,1776,2588,4033,219,353,268,457
1.925,341,1765,2588,3968,231,312,285,433
1.935,349,1722,2588,3905,264,326,342,463
1.945,360,1711,2593,3823,280,324,327,457
1.955,376,1725,2620,3810,247,319,273,468
1.965,392,1700,2642,3848,249,290,243,482
1.975,398,1703,2685,3880,276,292,262,499
1.985,398,1644,2745,3854,257,301,277,485
1.995,398,1655,2777,3933,276,310,249,483
2.005,381,1656,2799,3978,234,279,277,471
2.015,398,1667,2810,3981,261,286,284,486
2.025,398,1617,2810,4016,269,294,272,476
2.035,398,1567,2821,3976,240,291,287,495
2.045,398,1589,2884,3941,228,271,310,476
