sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,641,1482,2471,3639,274,296,372,470
0.015,644,1489,2455,3636,308,316,318,470
0.025,641,1473,2455,3698,311,324,324,473
0.035,644,1502,2455,3792,322,296,323,442
0.045,647,1513,2455,3859,289,330,309,446
0.055,655,1516,2455,3888,280,310,306,438
0.065,655,1521,2455,3937,258,323,324,449
0.075,644,1510,2458,3931,229,307,343,458
0.085,641,1510,2455,3984,265,300,343,459
0.095,641,1518,2455,4038,240,323,378,487
0.105,644,1521,2458,4016,244,311,363,453
0.115,644,1521,2453,4108,202,337,342,466
0.125,644,1521,2447,4126,250,321,351,467
0.135,644,1521,2444,4182,243,328,350,468
0.145,633,1521,2450,4293,193,335,358,452
0.155,622,1521,2458,4378,236,301,339,450
0.165,622,1521,2455,4403,223,328,346,447
0.175,622,1521,2455,4341,253,308,310,458
0.185,628,1513,2458,4306,192,339,322,458
0.195,628,1510,2458,4324,189,342,334,443
0.205,633,1510,2461,4222,224,312,343,437
0.215,644,1510,2458,4121,247,291,363,427
0.225,644,1516,2450,4053,268,325,332,435
0.235,638,1513,2447,3884,307,285,381,452
0.245,633,1505,2450,3756,245,318,382,451
0.255,638,1500,2458,3671,219,322,336,421
0.265,644,1483,2461,3772,199,310,296,429
0.275,644,1476,2458,3702,211,298,299,424
0.285,638,1491,2461,3581,210,313,301,418
0.295,633,1497,2458,3543,200,304,322,425
0.305,633,1475,2458,3580,207,295,304,443
0.315,633,1483,2455,3634,210,308,294,452
0.325,628,1464,2447,3630,201,310,284,423
0.335,611,1432,2447,3603,200,295,307,430
0.345,603,1405,2458,3610,213,320,288,424
0.355,590,1379,2469,3602,201,323,292,431
0.365,579,1367,2482,3623,227,312,285,451
0.375,563,1366,2504,3596,242,304,295,459
0.385,536,1326,2512,3590,243,312,292,461
0.395,482,1298,2528,3652,249,298,305,443
0.405,446,1256,2536,3735,232,310,309,432
0.415,390,1250,2547,3860,260,292,289,456
0.425,343,1228,2534,3914,261,300,287,470
0.435,346,1246,2550,3818,252,311,300,482
0.445,325,1286,2555,3838,256,297,319,477
0.455,295,1271,2566,3903,252,309,337,473
0.465,285,1280,2580,3965,234,303,338,458
0.475,308,1250,2588,3928,237,324,339,476
0.485,319,1256,2588,3835,228,311,356,484
0.495,330,1261,2599,3651,233,305,352,457
0.505,351,1337,2591,3507,244,323,329,433
0.515,373,1388,2527,3366,250,341,344,402
0.525,379,1413,2381,3247,244,347,340,369
0.535,381,1470,2291,3218,240,345,329,354
0.545,384,1450,2219,3117,232,327,324,346
0.555,376,1449,2176,3160,240,336,328,310
0.565,348,1451,2136,3202,234,341,327,318
0.575,364,1420,2111,3235,243,338,311,328
0.585,330,1412,2087,3190,230,336,295,331
0.595,368,1428,2074,3230,224,326,308,328
0.605,360,1442,2068,3217,240,339,312,336
0.615,371,1448,2055,3239,234,329,306,337
0.625,366,1419,2036,3185,231,326,305,334
0.635,334,1376,2022,3205,248,332,309,331
0.645,375,1403,1998,3206,243,314,348,358
0.655,353,1416,1992,3193,227,318,323,376
0.665,369,1390,1990,3206,224,316,333,370
0.675,380,1429,1992,3212,230,318,325,360
0.685,372,1425,1982,3135,209,326,308,359
0.695,411,1426,2025,3195,209,336,301,352
