sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,560,1420,2404,3516,291,312,354,450
0.015,608,1475,2480,3523,310,267,356,457
0.025,630,1493,2456,3596,280,318,319,439
0.035,603,1549,2470,3623,286,339,328,448
0.045,605,1482,2412,3594,273,311,329,428
0.055,617,1368,2452,3592,309,273,338,433
0.065,648,1411,2363,3594,311,309,296,430
0.075,603,1454,2382,3605,256,335,297,431
0.085,540,1508,2408,3600,295,300,330,442
0.095,550,1471,2441,3636,267,316,331,446
0.105,460,1484,2423,3622,292,301,340,441
0.115,325,1418,2366,3565,277,295,333,412
0.125,271,1357,2374,3563,216,294,375,424
0.135,274,1398,2405,3568,217,301,358,413
0.145,412,1569,2306,3528,233,340,303,434
0.155,310,1734,2359,3464,236,340,291,401
0.165,354,1817,2390,3481,207,313,346,389
0.175,375,1914,2424,3517,192,297,339,374
0.185,379,2013,2460,3687,201,287,326,395
0.195,370,2137,2495,3908,202,314,288,354
0.205,353,2162,2526,4042,213,326,325,384
0.215,332,2183,2551,4084,226,329,326,400
0.225,312,2090,2566,4109,228,330,329,421
0.235,297,1982,2571,3991,256,347,324,434
0.245,292,1973,2568,3913,285,348,331,446
0.255,301,1871,2566,3908,361,351,331,477
0.265,319,1812,2571,3983,354,323,359,452
0.275,343,1920,2585,4062,373,359,311,450
0.285,364,2060,2598,4208,349,364,281,454
0.295,376,2103,2602,4304,318,380,293,425
0.305,379,2129,2590,4314,329,338,314,408
0.315,376,2072,2553,4298,326,322,308,430
0.325,372,2075,2491,4254,285,342,292,452
0.335,371,1974,2418,4195,293,315,337,462
0.345,372,1849,2349,4058,282,294,346,447
0.355,372,1800,2292,3793,230,280,344,409
0.365,371,1764,2245,3584,198,311,337,386
0.375,370,1705,2203,3570,187,274,360,365
0.385,376,1700,2165,3478,181,275,347,372
0.395,394,1664,2126,3511,177,273,345,366
0.405,429,1661,2084,3539,183,274,327,353
0.415,478,1597,2042,3546,180,280,339,358
0.425,530,1588,2001,3527,188,287,342,356
0.435,570,1554,1962,3538,192,293,355,336
0.445,589,1541,1928,3531,195,304,335,344
0.455,590,1527,1897,3490,199,308,290,349
0.465,580,1505,1870,3485,204,312,318,339
0.475,564,1464,1848,3482,209,317,304,343
0.485,547,1440,1835,3436,206,304,321,334
0.495,529,1431,1836,3490,213,334,328,369
0.505,510,1435,1857,3570,227,308,348,400
0.515,490,1450,1903,3600,255,280,383,434
0.525,468,1474,1968,3669,298,292,376,452
0.535,451,1506,2043,3660,305,303,320,431
0.545,445,1541,2122,3673,286,289,308,423
0.555,454,1578,2198,3716,259,330,306,438
0.565,478,1612,2265,3682,260,343,315,409
0.575,499,1640,2318,3711,233,367,292,441
0.585,510,1658,2356,3751,264,308,332,413
0.595,512,1666,2386,3774,267,320,329,431
0.605,508,1663,2414,3794,276,320,323,433
0.615,500,1645,2445,3756,202,318,318,420
0.625,493,1612,2485,3767,223,315,361,413
0.635,487,1559,2533,3850,235,324,381,436
0.645,484,1484,2582,3934,234,328,344,440
0.655,486,1391,2630,3906,161,364,373,465
0.665,491,1295,2671,3807,115,442,380,477
0.675,501,1209,2701,3710,128,442,375,481
0.685,515,1137,2720,3613,126,435,375,427
0.695,534,1080,2726,3581,117,402,393,392
0.705,555,1040,2716,3546,135,410,401,370
0.715,569,1019,2696,3529,106,422,404,338
0.725,570,1017,2670,3411,141,403,397,355
0.735,555,1029,2647,3290,136,380,359,387
0.745,523,1055,2629,3208,209,349,287,430
0.755,478,1085,2618,3118,233,314,264,414
0.765,429,1111,2611,3077,222,308,288,414
0.775,388,1121,2607,3071,210,302,299,408
0.785,367,1118,2604,3084,210,310,299,411
0.795,379,1111,2603,3131,213,306,287,419
0.805,434,1110,2605,3237,215,285,298,400
0.815,538,1126,2609,3345,231,281,332,379
0.825,640,1159,2616,3413,216,284,357,384
0.835,701,1199,2625,3521,216,302,361,398
0.845,703,1235,2635,3631,215,297,352,392
0.855,699,1257,2644,3657,213,302,332,384
0.865,738,1268,2652,3562,238,297,319,412
0.875,760,1272,2658,3574,215,311,314,419
0.885,757,1274,2661,3584,221,324,353,402
0.895,758,1276,2659,3583,218,326,347,390
0.905,738,1281,2651,3648,216,319,361,364
0.915,699,1287,2636,3594,211,322,342,383
0.925,671,1295,2616,3541,207,311,321,435
0.935,661,1303,2590,3760,175,325,325,449
0.945,571,1312,2561,3811,158,354,351,422
0.955,534,1321,2529,3749,251,345,373,436
0.965,466,1331,2497,3751,252,347,371,457
0.975,528,1344,2466,3736,285,335,382,451
0.985,508,1361,2439,3763,293,308,346,445
0.995,449,1383,2420,3752,308,333,342,462
1.005,390,1410,2411,3709,291,304,347,454
1.015,392,1438,2415,3668,287,280,361,450
1.025,473,1467,2431,3607,301,307,339,443
1.035,604,1496,2458,3564,273,314,334,412
1.045,610,1523,2494,3704,278,320,308,390
1.055,555,1545,2530,3673,275,318,310,407
1.065,411,1557,2547,3607,262,316,311,410
1.075,377,1553,2522,3525,233,334,325,415
1.085,370,1530,2448,3475,238,329,306,402
1.095,352,1491,2369,3429,250,331,295,387
1.105,392,1447,2331,3491,232,356,303,417
1.115,325,1407,2354,3627,206,326,316,443
1.125,316,1381,2383,3695,208,308,351,457
1.135,356,1370,2388,3660,222,321,306,454
1.145,446,1366,2375,3588,239,292,333,460
1.155,511,1364,2356,3516,268,306,329,442
1.165,579,1355,2339,3476,275,280,326,419
1.175,598,1334,2332,3564,300,295,329,421
1.185,528,1304,2340,3650,312,292,338,416
1.195,662,1272,2358,3750,251,324,330,433
1.205,690,1243,2382,3778,247,293,354,458
1.215,675,1225,2409,3856,193,339,341,441
1.225,633,1212,2433,3935,206,356,304,437
1.235,578,1190,2451,4000,180,342,315,468
1.245,521,1144,2460,4047,194,332,309,432
1.255,486,1073,2461,4018,186,328,329,436
1.265,548,1003,2458,3924,215,293,280,459
1.275,616,962,2453,3844,226,273,272,469
1.285,662,975,2449,3783,247,284,279,475
1.295,646,1029,2447,3713,217,296,272,441
1.305,639,1099,2448,3592,223,305,294,435
1.315,631,1157,2448,3609,208,301,291,434
1.325,659,1185,2450,3561,200,309,284,428
1.335,664,1186,2450,3559,200,304,296,431
1.345,663,1172,2450,3584,197,305,301,442
1.355,683,1152,2447,3547,210,302,303,433
1.365,676,1135,2441,3587,207,299,282,427
1.375,666,1120,2431,3542,199,308,289,430
1.385,666,1109,2415,3550,205,306,304,425
1.395,685,1099,2393,3628,196,319,297,435
1.405,677,1092,2367,3571,208,307,314,433
1.415,663,1086,2340,3580,217,306,316,428
1.425,641,1082,2316,3560,210,307,319,425
1.435,657,1080,2297,3574,199,306,295,416
1.445,640,1078,2287,3623,196,300,282,411
1.455,645,1078,2284,3608,199,314,306,417
1.465,663,1078,2287,3546,214,304,324,414
1.475,661,1079,2291,3587,215,307,333,406
1.485,650,1079,2294,3545,209,309,325,390
1.495,645,1079,2294,3501,213,310,322,371
1.505,635,1077,2288,3441,209,317,317,378
1.515,620,1074,2276,3458,206,298,295,348
1.525,605,1069,2259,3406,203,304,281,323
1.535,604,1063,2238,3389,203,294,284,330
1.545,609,1056,2215,3389,225,306,280,359
1.555,591,1047,2190,3270,218,286,281,381
1.565,572,1038,2164,3206,235,282,306,374
1.575,567,1028,2138,3232,247,285,295,313
1.585,522,1018,2113,3194,238,283,307,325
1.595,494,1007,2089,3224,216,266,332,315
1.605,481,997,2068,3221,221,281,334,326
1.615,493,988,2049,3225,211,270,336,343
1.625,473,981,2033,3283,210,283,311,349
1.635,484,977,2020,3182,198,285,327,383
1.645,461,978,2013,3223,190,292,340,370
1.655,456,985,2010,3230,200,288,323,377
1.665,449,998,2015,3228,203,280,317,391
1.675,438,1018,2027,3229,207,289,307,398
1.685,417,1044,2047,3272,209,294,296,391
1.695,394,1073,2078,3258,235,295,285,402
1.705,368,1101,2120,3234,235,306,292,406
1.715,369,1126,2172,3282,224,310,313,410
1.725,398,1145,2229,3374,213,338,321,418
1.735,370,1155,2287,3597,183,339,302,459
1.745,336,1154,2343,3738,197,335,318,459
1.755,375,1145,2392,3798,191,339,356,466
1.765,360,1132,2432,3703,195,325,402,507
1.775,380,1121,2463,3694,194,356,362,463
1.785,371,1117,2484,3725,191,325,337,476
1.795,366,1125,2496,3749,195,313,355,462
1.805,380,1141,2501,3760,206,314,348,447
1.815,416,1162,2500,3715,210,328,332,412
1.825,420,1184,2496,3729,210,333,349,409
1.835,435,1202,2492,3669,204,344,353,412
1.845,463,1215,2488,3645,210,299,350,403
1.855,514,1223,2489,3610,228,293,366,419
1.865,569,1229,2496,3553,244,270,354,411
1.875,632,1232,2508,3587,292,281,324,399
1.885,737,1235,2524,3604,283,311,324,410
1.895,828,1237,2545,3715,282,287,314,412
1.905,847,1242,2568,3758,238,322,338,424
1.915,903,1248,2592,3871,285,287,342,406
1.925,856,1258,2617,3960,254,310,352,421
1.935,899,1272,2642,4005,230,331,322,440
1.945,936,1291,2665,4047,258,296,320,464
1.955,935,1317,2686,4118,261,302,317,448
1.965,885,1346,2704,4164,254,322,336,429
1.975,829,1365,2717,4211,227,294,354,446
1.985,743,1360,2725,4217,218,341,354,432
1.995,729,1318,2727,4171,224,342,356,422
2.005,672,1248,2722,4154,202,351,344,421
2.015,669,1172,2709,4104,120,388,310,467
2.025,637,1110,2687,3959,139,410,328,473
2.035,642,1066,2657,3847,168,386,332,479
2.045,659,1041,2616,3799,205,317,314,452
2.055,696,1034,2566,3709,213,293,319,468
2.065,711,1042,2510,3749,212,310,283,455
2.075,723,1061,2457,3703,209,319,289,455
2.085,733,1088,2411,3646,206,322,295,456
2.095,717,1120,2380,3591,200,327,294,450
2.105,740,1153,2362,3504,204,327,306,451
2.115,727,1183,2355,3496,201,323,290,431
2.125,716,1211,2357,3595,192,323,289,418
2.135,720,1233,2366,3576,186,324,289,411
2.145,725,1250,2379,3501,193,328,293,388
2.155,705,1258,2393,3473,197,322,323,355
2.165,693,1253,2399,3401,194,322,323,363
2.175,684,1232,2391,3377,197,315,320,379
2.185,677,1194,2362,3392,200,314,312,366
2.195,641,1151,2309,3328,200,296,327,358
2.205,656,1112,2242,3311,216,293,349,336
2.215,644,1087,2167,3259,227,277,351,345
2.225,606,1074,2095,3267,216,285,344,319
2.235,576,1070,2032,3222,227,290,341,344
2.245,563,1071,1979,3250,216,296,318,327
2.255,540,1075,1934,3290,202,281,305,341
2.265,524,1079,1895,3327,202,296,301,341
2.275,534,1080,1862,3373,214,299,301,332
2.285,529,1079,1832,3352,193,305,327,367
2.295,521,1078,1805,3468,204,305,322,367
2.305,506,1077,1781,3443,197,310,297,381
2.315,522,1078,1761,3390,210,317,317,386
2.325,499,1081,1749,3389,209,312,341,381
2.335,466,1087,1744,3382,202,318,338,369
2.345,449,1094,1749,3424,199,304,338,356
2.355,419,1105,1763,3440,196,302,331,403
2.365,377,1118,1783,3515,208,317,349,420
2.375,326,1134,1807,3525,227,315,354,438
2.385,266,1153,1833,3604,205,357,329,436
2.395,317,1174,1858,3686,205,367,356,435
2.405,294,1197,1884,3713,197,342,347,438
2.415,336,1223,1909,3734,196,360,356,428
2.425,272,1251,1933,3725,185,305,386,436
2.435,233,1280,1957,3689,189,298,369,448
2.445,251,1309,1981,3632,181,325,350,428
2.455,242,1336,2003,3642,201,303,355,449
2.465,284,1360,2025,3641,197,296,363,467
2.475,431,1380,2046,3606,207,346,370,466
2.485,467,1398,2067,3532,214,309,378,428
2.495,476,1414,2088,3446,226,349,347,394
2.505,500,1431,2108,3493,214,339,336,370
2.515,503,1449,2129,3570,202,318,332,353
2.525,501,1470,2150,3630,204,313,339,346
2.535,529,1494,2171,3598,214,322,341,355
2.545,531,1520,2193,3604,226,334,319,375
2.555,537,1546,2216,3563,213,340,304,380
2.565,550,1569,2239,3509,216,330,311,390
2.575,564,1586,2263,3491,218,358,287,378
2.585,545,1597,2287,3504,228,337,310,397
2.595,532,1600,2310,3554,221,352,289,392
2.605,517,1598,2332,3615,224,335,302,381
2.615,501,1591,2351,3579,244,332,314,425
2.625,503,1580,2369,3667,243,344,281,416
2.635,510,1566,2384,3756,229,338,308,426
2.645,530,1548,2398,3815,251,351,302,435
2.655,539,1525,2410,3820,232,346,293,447
2.665,524,1497,2420,3769,217,349,304,448
2.675,497,1464,2430,3703,215,341,321,468
2.685,461,1425,2440,3652,219,316,284,491
2.695,424,1385,2451,3596,213,327,268,508
2.705,399,1346,2465,3630,224,336,273,510
2.715,404,1315,2479,3744,229,344,264,516
2.725,417,1293,2491,3835,233,360,275,500
2.735,390,1280,2498,3896,233,336,287,502
2.745,278,1275,2501,3882,205,350,310,474
2.755,243,1278,2498,3932,193,326,317,442
2.765,251,1286,2491,3961,182,331,338,461
2.775,226,1300,2479,3941,206,334,358,454
2.785,250,1316,2463,3952,202,321,367,456
2.795,304,1335,2446,3930,212,336,344,444
2.805,451,1356,2429,3988,246,348,391,443
2.815,503,1376,2414,4082,246,340,352,445
2.825,593,1395,2403,4152,225,355,367,443
2.835,622,1412,2399,4130,207,364,363,385
2.845,610,1425,2403,4203,250,326,376,377
2.855,623,1434,2417,4190,264,307,384,386
2.865,699,1509,2443,4148,279,352,358,378
2.875,684,1497,2483,4052,284,337,321,384
2.885,785,1519,2487,3975,255,366,334,406
2.895,801,1616,2567,3945,228,357,338,384
2.905,810,1701,2639,4038,229,335,325,392
2.915,818,1648,2654,3980,250,334,308,392
2.925,836,1623,2660,3926,232,327,320,412
2.935,806,1702,2596,4014,218,332,327,414
2.945,841,1639,2572,3973,273,309,328,397
2.955,824,1658,2504,3978,250,304,342,387
2.965,829,1598,2468,3956,266,296,349,412
2.975,862,1567,2446,3941,273,333,331,426
2.985,796,1586,2420,3836,228,314,340,421
2.995,727,1468,2464,3836,262,297,347,411
3.005,710,1418,2426,3877,242,334,319,424
3.015,688,1385,2497,3923,240,309,330,429
3.025,693,1446,2488,3945,261,302,311,435
3.035,638,1475,2442,3862,215,320,339,424
3.045,627,1370,2499,3917,241,295,326,419
3.055,567,1433,2422,3977,221,334,347,448
3.065,637,1366,2382,4029,233,336,334,465
3.075,591,1402,2365,4048,230,338,340,451
3.085,520,1398,2368,4066,240,313,343,449
3.095,503,1472,2418,4062,210,310,354,444
3.105,591,1500,2501,4047,219,315,355,448
3.115,624,1535,2526,4035,202,331,346,431
