sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,518,1514,2489,3510,242,279,376,449
0.015,492,1586,2447,3540,248,302,351,422
0.025,481,1508,2497,3552,286,301,336,407
0.035,492,1522,2516,3557,285,317,319,439
0.045,492,1564,2464,3567,277,333,322,429
0.055,481,1540,2481,3646,279,343,300,423
0.065,481,1592,2498,3708,284,338,308,471
0.075,481,1581,2507,3751,291,342,307,464
0.085,438,1563,2469,3701,286,348,332,474
0.095,427,1475,2412,3699,336,350,313,444
0.105,365,1393,2464,3699,316,362,285,454
0.115,307,1378,2531,3800,213,345,292,461
0.125,221,1390,2594,3880,206,306,306,441
0.135,233,1416,2640,3955,234,293,316,438
0.145,297,1451,2657,3992,250,312,339,446
0.155,427,1472,2673,3870,216,303,303,414
0.165,579,1516,2689,3854,228,300,292,398
0.175,619,1537,2641,3785,269,279,329,403
0.185,616,1602,2588,3767,288,278,389,427
0.195,585,1581,2415,3789,291,274,444,450
0.205,601,1483,2285,3852,293,315,409,464
0.215,568,1407,2176,3977,258,346,401,485
0.225,546,1321,2101,4086,244,351,401,464
0.235,546,1256,2090,4093,194,356,374,415
0.245,546,1158,2101,4054,200,344,313,401
0.255,531,1169,2111,3996,232,316,300,385
0.265,484,1212,2133,3948,237,289,327,413
0.275,468,1245,2101,4013,209,290,349,464
0.285,459,1321,2068,4145,201,265,375,442
0.295,474,1451,2036,4210,167,256,399,362
0.305,482,1516,2209,4317,233,285,370,351
0.315,471,1527,2555,4291,268,305,346,402
0.325,438,1459,2588,4323,277,333,347,397
0.335,438,1459,2577,4268,288,363,355,368
0.345,427,1472,2577,4283,265,396,364,405
0.355,427,1440,2554,4317,274,347,287,400
0.365,395,1429,2576,4276,247,358,267,389
0.375,360,1342,2590,4250,240,326,279,414
0.385,367,1191,2601,4271,230,323,266,398
0.395,330,1093,2631,4278,220,310,269,390
0.405,308,1028,2593,4223,212,310,282,364
0.415,308,996,2541,4143,193,318,308,386
0.425,308,953,2370,3882,196,324,329,418
0.435,351,1018,2394,3624,173,288,317,381
0.445,568,1093,2506,3606,183,273,338,344
0.455,644,1158,2662,3633,182,274,345,348
0.465,642,1267,2664,3713,172,319,337,346
0.475,614,1288,2653,3650,185,337,303,348
0.485,549,1358,2631,3652,176,357,287,352
0.495,548,1516,2566,3704,181,363,312,377
0.505,484,1564,2555,3720,205,326,356,401
0.515,402,1635,2534,3776,264,354,345,411
0.525,335,1700,2545,3837,289,381,350,385
0.535,336,1755,2588,3906,318,351,334,366
0.545,356,1804,2718,3881,367,390,342,350
0.555,408,1835,2828,3773,344,378,334,359
0.565,425,1891,2820,3891,337,369,353,339
0.575,435,2016,2848,3815,326,341,380,347
0.585,460,1969,2894,3798,336,329,334,344
0.595,487,2012,2936,3824,342,332,341,381
0.605,481,1995,2919,3815,265,303,322,392
0.615,482,1936,2853,3881,230,307,306,422
0.625,475,1901,2748,3964,226,317,282,428
0.635,459,1779,2653,4037,224,303,279,429
0.645,429,1732,2436,4136,224,320,310,442
0.655,362,1072,2025,4210,215,316,291,424
0.665,330,996,1927,4258,217,313,302,424
0.675,297,996,1873,4291,198,301,289,427
0.685,276,974,1862,4319,199,302,303,413
0.695,287,953,1830,4289,196,297,339,391
0.705,287,920,1787,4265,197,310,342,389
0.715,297,920,1765,4281,193,308,341,411
0.725,287,920,1732,4265,198,270,388,431
0.735,287,1007,1689,4097,215,248,430,438
0.745,384,1126,1700,3953,194,243,456,441
0.755,449,1180,1711,3781,201,243,473,453
0.765,492,1288,1743,3693,199,229,414,460
0.775,514,1332,1819,3610,216,229,411,408
0.785,514,1407,1862,3668,235,202,401,416
0.795,517,1429,1949,3727,224,210,390,402
0.805,514,1483,1971,3749,203,220,390,374
0.815,514,1537,2090,3794,215,244,383,380
0.825,526,1624,2155,3831,203,229,385,368
0.835,507,1667,2187,3852,200,232,373,358
0.845,486,1711,2285,3863,197,231,366,345
0.855,512,1754,2371,3980,213,242,354,384
0.865,470,1906,2425,4024,193,276,316,391
0.875,460,1964,2523,4127,221,306,341,411
0.885,448,1938,2555,4212,250,316,344,413
0.895,490,1927,2588,4240,286,318,362,416
0.905,483,1884,2607,4278,319,354,285,402
0.915,481,1851,2586,4360,308,345,309,413
0.925,507,1851,2576,4435,279,311,347,433
0.935,508,1851,2563,4537,285,299,374,448
0.945,541,1851,2565,4324,283,293,337,398
0.955,551,1884,2598,4258,299,352,319,403
0.965,536,1895,2654,4126,302,352,325,401
0.975,495,1962,2601,3894,255,364,317,408
0.985,527,1906,2631,3767,226,310,330,380
0.995,553,1916,2631,3763,212,294,336,392
1.005,534,1971,2631,3815,198,278,310,396
1.015,550,2025,2631,3820,214,287,308,397
1.025,524,2103,2642,3853,219,293,311,393
1.035,523,2126,2664,3826,232,284,329,399
1.045,499,2145,2685,3862,232,299,341,399
1.055,490,2172,2696,3938,232,288,359,404
1.065,462,2220,2675,4109,249,322,330,396
1.075,463,2291,2648,4189,237,324,279,393
1.085,430,2359,2660,4265,229,315,290,387
1.095,368,2396,2674,4188,193,331,260,380
1.105,278,2398,2617,4221,203,356,284,365
1.115,342,2377,2638,4223,206,382,267,383
1.125,344,2341,2612,4211,205,381,292,393
1.135,388,2274,2557,4202,219,399,315,418
1.145,406,2156,2528,4184,250,411,305,430
1.155,406,2004,2560,4156,311,381,288,419
1.165,395,1843,2569,4227,332,330,277,460
1.175,406,1696,2631,4184,341,334,258,421
1.185,406,1584,2631,4216,333,308,263,436
1.195,373,1512,2505,4220,304,333,298,395
1.205,362,1463,2490,4295,288,322,301,429
1.215,362,1421,2483,4313,277,326,292,421
1.225,341,1375,2502,4320,273,325,315,424
1.235,308,1325,2470,4325,303,324,329,414
1.245,297,1273,2441,4319,304,325,318,397
1.255,297,1220,2416,4397,267,337,313,410
1.265,308,1169,2402,4404,261,320,282,412
1.275,240,1122,2437,4315,241,321,274,411
1.285,228,1083,2528,4291,208,349,266,412
1.295,245,1055,2562,4323,197,370,260,420
1.305,249,1039,2578,4284,179,399,289,410
1.315,265,1038,2583,4309,169,385,262,419
1.325,265,1043,2602,4326,181,358,280,420
1.335,265,1042,2554,4338,209,335,273,456
1.345,276,1025,2562,4163,221,344,264,417
1.355,265,999,2595,4110,219,332,294,430
1.365,265,981,2612,4029,218,311,304,440
1.375,284,987,2688,3854,237,282,326,470
1.385,471,1033,2739,3656,228,250,304,409
1.395,644,1115,2733,3724,229,261,282,340
1.405,671,1215,2710,3717,229,294,283,357
1.415,666,1313,2707,3748,235,310,281,365
1.425,652,1389,2718,3858,229,284,283,389
1.435,608,1432,2718,3886,215,265,303,369
1.445,534,1466,2750,3994,217,259,306,393
1.455,452,1523,2805,3983,227,287,371,421
1.465,408,1602,2837,4047,207,311,366,435
1.475,384,1694,2859,4123,234,343,291,429
1.485,406,1785,2848,4219,247,329,308,436
1.495,406,1861,2859,4165,272,306,296,428
1.505,406,1913,2859,4155,283,350,335,426
1.515,416,1940,2826,4063,316,342,330,411
1.525,427,1943,2783,3883,307,334,304,384
1.535,471,1924,2761,3803,304,298,288,387
1.545,468,1885,2675,3860,341,300,339,398
1.555,471,1834,2620,3960,251,285,359,374
1.565,481,1777,2566,3933,211,279,374,343
1.575,502,1720,2523,3968,204,289,349,320
1.585,492,1670,2469,4166,223,317,309,352
1.595,535,1633,2470,4123,285,269,324,401
1.605,576,1614,2478,4152,319,247,328,426
1.615,588,1603,2560,4273,344,253,367,432
1.625,591,1584,2583,4336,360,243,349,417
1.635,579,1551,2622,4360,358,228,357,437
1.645,596,1519,2680,4363,381,264,347,434
1.655,624,1509,2740,4393,367,248,368,449
1.665,652,1534,2732,4390,367,268,370,449
1.675,655,1574,2702,4340,360,242,387,456
1.685,666,1600,2694,4342,374,243,368,429
1.695,644,1602,2701,4223,338,239,339,415
1.705,622,1588,2697,4122,334,220,332,394
1.715,622,1565,2671,4128,320,263,328,385
1.725,611,1540,2633,4135,290,270,346,392
1.735,611,1518,2635,4194,240,298,364,428
1.745,590,1504,2574,4179,239,302,350,423
1.755,590,1482,2545,4204,250,299,374,425
1.765,590,1417,2545,4108,260,325,324,399
1.775,590,1300,2523,4268,186,362,303,415
1.785,590,1202,2501,4244,184,348,304,411
1.795,636,1157,2426,4150,161,346,307,412
1.805,643,1137,2402,4004,174,300,295,412
1.815,690,1110,2347,3892,214,298,294,428
1.825,710,1081,2348,3796,209,292,280,414
1.835,678,1135,2393,3786,185,317,307,381
1.845,676,1312,2350,3764,193,292,323,378
1.855,648,1518,2393,3771,198,290,337,384
1.865,642,1656,2501,3748,196,292,330,379
1.875,601,1732,2545,3706,173,306,332,368
1.885,609,1791,2653,3675,178,326,317,389
1.895,618,1848,2707,3648,205,327,323,409
1.905,614,1898,2705,3677,228,314,302,383
1.915,645,1887,2599,3832,281,360,266,407
1.925,536,1745,2555,3950,256,411,254,412
1.935,438,1478,2523,3977,254,405,246,391
1.945,276,1387,2534,3972,248,389,268,389
1.955,276,1397,2534,3969,249,333,275,404
1.965,276,1416,2529,3894,238,386,336,415
1.975,330,1489,2588,3855,261,430,301,424
1.985,406,1708,2610,3886,270,396,287,381
1.995,438,2102,2664,3978,235,370,252,355
2.005,445,2257,2740,4045,213,359,272,345
2.015,442,2237,2761,4011,192,328,280,354
2.025,414,2210,2786,4067,180,333,295,385
2.035,439,2347,2679,4140,185,319,325,402
2.045,368,2187,2636,4177,207,348,308,415
2.055,346,2166,2625,4140,211,362,291,408
2.065,382,2133,2599,4095,217,393,277,428
2.075,458,2101,2626,4090,251,366,262,442
2.085,424,2101,2635,4026,247,326,315,434
2.095,470,2057,2558,4006,284,367,289,441
2.105,528,2057,2554,3988,247,339,297,438
2.115,598,2057,2499,4007,269,361,283,458
2.125,552,2057,2522,4042,263,351,282,448
2.135,551,2052,2511,4026,276,327,314,461
