sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,480,1566,2425,3549,261,295,359,395
0.015,435,1573,2425,3600,261,261,398,434
0.025,418,1514,2425,3692,256,285,371,430
0.035,482,1444,2425,3737,247,294,358,445
0.045,475,1419,2431,3696,259,271,382,460
0.055,512,1401,2425,3704,288,325,348,448
0.065,523,1380,2433,3600,286,301,322,435
0.075,538,1359,2425,3530,300,303,357,428
0.085,529,1348,2425,3549,300,314,344,417
0.095,557,1326,2425,3534,304,274,367,432
0.105,557,1305,2425,3547,301,305,356,448
0.115,557,1294,2425,3551,278,325,331,436
0.125,546,1283,2425,3665,273,361,332,431
0.135,568,1250,2425,3814,281,354,343,487
0.145,555,1250,2425,3820,301,355,353,472
0.155,557,1229,2415,3745,290,311,377,479
0.165,557,1207,2393,3700,275,364,360,468
0.175,557,1196,2393,3660,279,373,400,448
0.185,557,1207,2415,3702,228,345,382,419
0.195,557,1207,2382,3713,217,337,370,428
0.205,546,1196,2371,3760,186,381,359,399
0.215,536,1196,2361,3841,197,384,327,429
0.225,536,1175,2361,3844,167,375,346,449
0.235,525,1164,2350,3770,197,357,386,486
0.245,514,1153,2350,3804,174,344,395,457
0.255,525,1164,2350,3827,190,347,359,453
0.265,514,1142,2376,3868,188,387,342,453
0.275,600,1052,2346,3743,162,410,290,383
0.285,579,948,2317,3769,203,362,289,379
0.295,579,894,2328,3684,228,306,307,362
0.305,601,895,2339,3569,205,331,290,357
0.315,633,919,2350,3568,203,300,310,343
0.325,644,969,2390,3547,208,317,310,340
0.335,666,1036,2386,3497,193,284,323,350
0.345,687,1105,2330,3537,208,303,314,320
0.355,687,1196,2324,3468,186,301,328,331
0.365,690,1261,2328,3445,210,297,360,346
0.375,687,1326,2328,3453,222,316,366,360
0.385,705,1391,2328,3480,210,272,361,393
0.395,676,1456,2328,3509,205,271,353,392
0.405,654,1532,2328,3495,207,257,339,399
0.415,609,1586,2339,3519,190,238,345,373
0.425,598,1694,2382,3575,195,243,347,370
0.435,580,1781,2436,3625,205,264,368,393
0.445,564,1792,2469,3656,185,292,348,401
0.455,552,1792,2501,3731,185,299,343,404
0.465,572,1792,2523,3809,177,315,329,406
0.475,557,1749,2490,3873,187,332,329,373
0.485,557,1662,2490,3904,204,329,318,344
0.495,568,1543,2447,3995,216,310,327,346
0.505,557,1489,2393,4052,206,331,351,350
0.515,568,1391,2350,4075,201,311,343,357
0.525,557,1315,2436,4101,189,299,346,374
0.535,557,1185,2512,4095,198,315,342,397
0.545,557,1131,2555,4130,211,295,322,395
0.555,560,1099,2599,4217,203,310,305,402
0.565,557,1074,2675,4226,200,301,284,377
0.575,557,1110,2696,4341,207,301,300,375
0.585,565,1131,2718,4457,218,308,321,382
0.595,575,1153,2740,4461,196,316,384,422
0.605,568,1185,2729,4466,264,345,368,431
0.615,568,1207,2678,4374,287,352,356,433
0.625,579,1272,2565,4336,300,332,331,429
0.635,568,1305,2590,4406,314,298,342,428
0.645,568,1337,2601,4410,295,318,348,445
0.655,557,1337,2575,4332,305,299,350,461
0.665,514,1337,2488,4220,282,329,371,469
0.675,492,1337,2443,4105,264,331,389,456
0.685,492,1294,2408,3953,266,298,407,450
0.695,481,1250,2286,3837,224,328,378,462
0.705,449,1207,2256,3732,203,345,340,492
0.715,438,1164,2320,3696,243,314,361,461
0.725,406,1099,2361,3611,163,343,364,435
0.735,406,1034,2382,3571,173,337,341,411
0.745,384,1043,2425,3669,188,346,333,415
0.755,395,1068,2415,3619,207,311,302,413
0.765,416,1094,2371,3514,171,320,296,385
0.775,427,1165,2296,3539,183,319,345,436
0.785,427,1317,2155,3539,212,301,345,425
0.795,330,1560,2090,3629,198,277,367,441
0.805,254,1739,2555,3759,201,294,365,457
0.815,193,1793,2653,3822,193,350,339,462
0.825,175,1779,2675,3789,198,349,335,450
0.835,143,1745,2680,3772,216,338,325,468
0.845,148,1713,2675,3774,203,360,300,447
0.855,144,1698,2684,3778,208,369,327,452
0.865,200,1700,2641,3788,198,338,299,423
0.875,201,1706,2701,3745,209,317,337,429
0.885,215,1707,2649,3847,196,320,313,416
0.895,250,1692,2594,3905,221,340,338,423
0.905,330,1676,2638,4035,259,345,351,447
0.915,362,1681,2610,3857,236,349,325,385
0.925,373,1729,2610,3815,219,348,315,366
0.935,395,1818,2620,3733,194,305,303,358
0.945,427,1915,2631,3763,222,312,321,386
0.955,438,1987,2631,3639,200,277,357,383
0.965,471,1999,2653,3589,197,269,374,394
0.975,471,2036,2696,3545,207,278,376,391
0.985,481,2046,2696,3505,194,285,363,377
0.995,481,2017,2696,3515,193,291,348,355
1.005,481,2007,2696,3604,207,310,337,368
1.015,495,2048,2696,3641,205,311,326,397
1.025,492,2000,2685,3708,194,290,316,401
1.035,503,1926,2642,3806,245,312,300,410
1.045,460,1862,2566,3934,309,353,269,433
1.055,243,1570,2534,3969,281,376,216,430
1.065,243,1451,2534,3953,239,351,231,420
1.075,243,1483,2534,3869,219,295,335,405
1.085,254,1516,2555,3819,205,298,282,375
1.095,351,1862,2588,3722,203,314,267,369
1.105,427,2057,2653,3694,208,306,285,374
1.115,425,2187,2707,3653,200,290,287,375
1.125,427,2241,2733,3697,198,281,295,386
1.135,415,2274,2728,3795,209,282,302,372
1.145,407,2274,2743,3808,223,302,325,379
1.155,395,2263,2740,3824,216,291,314,368
1.165,384,2274,2729,3858,208,301,322,409
1.175,373,2263,2729,3953,194,288,357,409
1.185,384,2258,2711,3973,204,297,339,414
1.195,395,2195,2668,3941,219,294,344,417
1.205,425,2101,2682,3962,218,293,360,428
1.215,525,2052,2671,3900,201,288,334,424
1.225,579,2057,2664,3898,206,305,314,434
1.235,644,1981,2648,3925,251,292,337,463
1.245,752,1938,2673,3814,218,288,355,430
1.255,774,1862,2703,3795,240,266,340,428
1.265,785,1808,2698,3705,222,254,339,433
1.275,817,1743,2664,3709,232,268,337,401
1.285,806,1667,2653,3749,233,291,347,380
1.295,796,1581,2683,3844,245,286,339,373
1.305,774,1554,2686,3926,223,300,302,350
1.315,752,1537,2676,3890,217,276,305,353
1.325,763,1494,2684,3904,210,310,321,338
1.335,716,1457,2668,3883,230,284,311,342
1.345,706,1418,2642,3895,242,305,340,354
1.355,695,1326,2599,3896,208,299,315,391
1.365,709,1310,2566,3844,223,339,309,424
1.375,687,1267,2562,3790,178,333,317,467
1.385,627,1202,2545,3738,187,337,318,462
1.395,638,1158,2512,3725,213,308,316,415
1.405,627,1093,2515,3711,203,313,312,388
1.415,612,1104,2503,3705,207,311,303,378
1.425,597,1104,2494,3705,213,307,317,384
1.435,583,1104,2506,3700,196,304,344,380
1.445,557,1104,2480,3693,236,290,347,411
1.455,568,1115,2480,3708,242,278,338,396
1.465,598,1202,2480,3716,227,286,312,382
1.475,698,1277,2480,3696,191,300,308,381
1.485,698,1342,2523,3712,210,308,302,353
1.495,709,1418,2555,3716,214,319,322,378
1.505,698,1440,2555,3708,220,325,320,356
1.515,695,1440,2610,3744,202,334,307,353
1.525,698,1418,2631,3723,218,336,304,359
1.535,666,1375,2696,3767,202,340,300,375
1.545,666,1348,2696,3769,222,327,283,357
1.555,682,1321,2700,3807,208,314,288,381
1.565,625,1267,2684,3801,208,308,267,355
1.575,610,1223,2685,3786,195,309,302,359
1.585,606,1202,2675,3801,194,321,292,368
1.595,607,1191,2675,3868,198,334,297,372
1.605,611,1202,2680,3794,223,304,297,384
1.615,611,1197,2675,3789,219,290,286,359
1.625,611,1221,2664,3835,212,280,301,340
1.635,590,1268,2653,3858,193,273,296,318
1.645,568,1314,2680,3890,209,282,316,333
1.655,568,1288,2761,3983,207,280,309,351
1.665,549,1299,2826,4035,221,287,301,354
1.675,557,1342,2870,4071,234,298,291,381
1.685,514,1321,2902,4100,243,277,281,366
1.695,481,1310,2902,4110,218,277,278,358
1.705,481,1305,2913,4012,196,278,310,367
1.715,486,1440,2902,3930,181,284,316,365
1.725,496,1483,2914,3824,172,271,279,363
1.735,508,1516,2859,3767,204,279,278,327
1.745,497,1543,2794,3782,212,274,293,379
1.755,483,1548,2745,3766,213,266,302,406
1.765,461,1592,2664,3796,228,289,258,418
1.775,450,1608,2642,3848,229,293,263,455
1.785,430,1624,2610,3952,239,302,286,467
1.795,402,1722,2534,3987,283,337,290,458
1.805,438,1743,2507,3986,305,323,320,450
1.815,406,1754,2447,3780,293,319,326,471
1.825,419,1797,2415,3721,295,297,330,430
1.835,406,1819,2393,3733,298,289,322,416
1.845,427,1830,2523,3784,330,315,320,424
1.855,427,1830,2620,3948,315,335,303,447
1.865,438,1830,2774,3908,322,336,317,460
1.875,449,1819,2805,3880,358,343,337,509
1.885,449,1797,2799,3868,301,342,313,494
1.895,449,1787,2675,3840,339,331,297,463
1.905,450,1754,2512,3838,269,272,286,446
1.915,427,1722,2436,3809,230,253,312,416
1.925,396,1678,2371,3732,229,265,342,380
1.935,356,1624,2339,3746,234,258,363,380
1.945,221,1754,2317,3788,230,292,377,386
1.955,182,1797,2296,3870,193,339,331,384
1.965,195,1700,2328,3935,206,337,319,403
1.975,243,1667,2333,3891,247,285,329,418
1.985,240,1667,2378,3852,229,351,286,435
1.995,243,1722,2350,3807,234,324,326,375
2.005,243,1787,2350,3806,224,343,326,358
2.015,308,1873,2361,3811,226,305,349,348
2.025,362,1873,2371,3761,226,302,362,346
2.035,384,1819,2371,3793,213,311,354,348
2.045,427,1776,2382,3804,210,331,342,344
2.055,449,1711,2393,3755,214,345,318,345
2.065,503,1662,2404,3752,255,350,325,360
2.075,525,1613,2447,3706,281,365,330,348
2.085,568,1548,2447,3663,256,407,320,343
2.095,601,1543,2447,3655,228,404,306,346
2.105,601,1472,2447,3598,210,365,310,367
2.115,622,1429,2447,3612,197,374,307,395
2.125,601,1364,2447,3718,227,378,308,392
2.135,601,1342,2431,3783,203,367,292,379
2.145,590,1310,2422,3778,213,366,299,369
2.155,601,1237,2404,3786,222,358,299,386
2.165,605,1245,2404,3842,247,324,330,431
2.175,585,1202,2415,3893,249,317,327,445
2.185,597,1180,2458,3894,247,296,343,464
2.195,568,1148,2501,3955,246,292,327,477
2.205,568,1072,2523,3936,240,290,323,456
2.215,546,1066,2523,3941,241,285,346,455
2.225,546,1018,2523,4089,221,314,304,439
2.235,557,1007,2507,4147,226,314,325,435
2.245,546,974,2507,4127,236,324,335,445
2.255,536,953,2503,4160,207,334,315,444
2.265,536,942,2490,4179,211,331,305,435
