sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,592,1294,2421,3412,251,298,374,431
0.015,568,1288,2255,3472,254,309,324,417
0.025,565,1283,2240,3415,289,258,369,408
0.035,557,1277,2214,3462,311,262,367,419
0.045,536,1261,2181,3504,307,254,381,425
0.055,536,1277,2140,3494,259,272,383,429
0.065,549,1272,2093,3584,269,310,357,434
0.075,557,1283,2043,3613,257,318,347,440
0.085,544,1272,1991,3662,273,316,335,439
0.095,546,1267,1938,3643,286,306,332,416
0.105,546,1261,1886,3653,293,312,336,415
0.115,560,1229,1836,3659,255,297,348,440
0.125,536,1223,1790,3586,302,304,372,436
0.135,536,1212,1748,3565,243,333,339,405
0.145,536,1212,1708,3588,263,309,338,415
0.155,538,1207,1673,3623,266,279,357,406
0.165,546,1196,1641,3701,269,292,350,428
0.175,546,1196,1613,3775,260,334,343,439
0.185,549,1207,1590,3798,203,351,359,443
0.195,546,1153,1571,3871,234,334,344,433
0.205,549,1120,1556,3892,252,323,319,437
0.215,557,1099,1546,3769,234,312,333,457
0.225,546,1072,1542,3698,249,286,356,451
0.235,555,1045,1542,3635,231,271,393,428
0.245,557,1001,1549,3491,241,296,460,455
0.255,648,969,1561,3360,271,263,466,432
0.265,616,958,1579,3318,226,296,419,397
0.275,586,958,1606,3287,230,292,347,412
0.285,477,980,1641,3303,228,307,361,402
0.295,391,990,1685,3363,210,327,353,414
0.305,364,1012,1740,3439,219,297,352,431
0.315,330,1099,1804,3482,231,298,328,438
0.325,315,1126,1872,3476,226,326,297,446
0.335,345,1153,1942,3451,224,326,293,442
0.345,354,1196,2009,3333,228,297,322,407
0.355,362,1413,2070,3334,231,322,300,386
0.365,416,1510,2123,3378,236,337,288,402
0.375,430,1559,2169,3370,222,333,310,418
0.385,449,1597,2207,3396,221,335,302,416
0.395,449,1662,2239,3485,211,314,302,418
0.405,468,1678,2267,3646,208,307,289,421
0.415,464,1694,2291,3713,198,307,293,421
0.425,490,1727,2311,3724,204,334,284,413
0.435,499,1732,2328,3748,213,304,325,420
0.445,477,1738,2343,3705,193,280,317,428
0.455,497,1743,2356,3613,203,265,319,415
0.465,504,1741,2369,3547,216,282,320,420
0.475,534,1650,2381,3467,212,298,314,415
0.485,558,1570,2393,3458,215,298,315,416
0.495,560,1553,2405,3479,206,290,325,403
0.505,520,1550,2418,3472,196,312,333,416
0.515,493,1494,2431,3466,208,316,347,407
0.525,448,1503,2445,3531,218,317,339,403
0.535,419,1507,2460,3627,244,312,326,416
0.545,361,1529,2476,3773,237,322,341,408
0.555,345,1508,2492,3937,220,296,333,447
0.565,382,1495,2507,3949,235,341,378,476
0.575,449,1492,2520,3884,278,325,361,483
0.585,471,1428,2531,3864,313,334,357,505
0.595,495,1500,2539,3954,317,272,342,517
0.605,503,1582,2546,4017,306,314,360,496
0.615,500,1630,2553,3982,300,319,364,471
0.625,503,1649,2561,3884,297,307,371,465
0.635,490,1615,2571,3868,315,316,368,467
0.645,492,1547,2584,3733,289,322,322,468
0.655,490,1526,2603,3695,310,286,319,424
0.665,492,1617,2628,3776,308,317,327,401
0.675,490,1668,2656,3797,290,328,351,383
0.685,492,1735,2684,3953,275,374,383,400
0.695,500,1819,2709,4108,277,331,405,408
0.705,503,1770,2726,4212,270,334,413,424
0.715,492,1784,2734,4152,296,318,384,397
0.725,484,1784,2731,4128,256,332,348,356
0.735,492,1796,2720,4070,246,319,382,331
0.745,492,1738,2700,3924,248,341,315,330
0.755,495,1778,2672,3837,239,356,309,328
0.765,492,1694,2636,3839,252,352,306,339
0.775,500,1629,2593,3723,213,359,366,409
0.785,503,1510,2544,3789,251,335,328,435
0.795,492,1462,2493,3938,276,322,341,428
0.805,490,1348,2443,4004,329,336,335,437
0.815,495,1240,2396,4057,340,312,367,430
0.825,492,1164,2356,4086,251,334,328,430
0.835,514,1142,2327,4104,228,339,339,433
0.845,538,1120,2308,4118,227,327,365,463
0.855,546,1110,2298,4099,228,309,377,462
0.865,568,1099,2295,3956,249,310,373,447
0.875,582,1088,2294,3849,231,360,361,465
0.885,590,1077,2295,3767,182,400,421,497
0.895,587,1088,2293,3691,179,403,420,516
0.905,576,1077,2288,3667,137,414,427,511
0.915,579,1077,2280,3624,83,385,423,508
0.925,592,1088,2270,3571,88,380,405,498
0.935,579,1093,2262,3536,103,402,376,492
0.945,568,1099,2255,3508,94,400,347,483
0.955,560,1115,2252,3465,121,411,313,503
0.965,546,1120,2252,3370,130,401,312,486
0.975,522,1153,2254,3315,137,426,324,431
0.985,503,1185,2255,3326,155,429,309,396
0.995,481,1191,2254,3358,170,432,303,403
1.005,481,1196,2251,3364,199,420,308,397
1.015,479,1201,2245,3412,241,378,281,381
1.025,479,1172,2236,3468,296,296,288,378
1.035,460,1241,2224,3490,289,301,308,357
1.045,456,1364,2211,3484,250,305,348,389
1.055,467,1370,2196,3556,293,259,362,371
1.065,491,1402,2183,3534,322,268,359,355
1.075,521,1413,2175,3585,326,282,361,370
1.085,533,1424,2174,3616,359,283,354,355
1.095,514,1435,2182,3641,338,305,387,359
1.105,523,1440,2200,3708,355,312,379,363
1.115,556,1445,2222,3762,345,332,360,363
1.125,562,1456,2244,3752,338,301,367,355
1.135,575,1467,2264,3771,340,308,347,358
1.145,552,1467,2278,3782,347,287,378,365
