sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,605,1510,2553,3529,245,324,365,463
0.015,633,1527,2518,3500,293,318,330,461
0.025,682,1533,2548,3500,291,307,327,444
0.035,709,1572,2545,3534,267,314,352,423
0.045,723,1625,2595,3644,265,311,351,427
0.055,698,1648,2600,3749,275,335,360,467
0.065,644,1650,2536,3794,277,372,364,446
0.075,644,1710,2535,3821,264,357,375,443
0.085,611,1694,2566,3924,236,321,366,450
0.095,611,1684,2555,3871,269,330,361,455
0.105,622,1694,2577,3852,284,365,303,453
0.115,601,1716,2610,3910,280,369,350,444
0.125,611,1705,2631,4118,258,338,368,404
0.135,557,1716,2620,4046,271,374,351,420
0.145,546,1727,2599,4044,268,333,349,447
0.155,536,1705,2610,4048,258,320,348,460
0.165,546,1707,2610,4008,276,295,351,452
0.175,514,1724,2553,4004,293,246,386,470
0.185,454,1693,2428,3987,284,249,426,469
0.195,483,1606,2328,3975,235,249,405,420
0.205,462,1583,2155,3923,274,236,357,389
0.215,370,1594,2155,3941,269,254,371,398
0.225,465,1598,2166,4034,245,271,387,398
0.235,500,1582,2155,3999,266,342,356,430
0.245,552,1531,2220,3916,242,316,355,475
0.255,514,1508,2285,3878,271,318,326,461
0.265,546,1462,2331,3837,309,305,330,410
0.275,536,1489,2345,3898,341,239,346,390
0.285,557,1478,2328,3941,287,221,375,419
0.295,557,1467,2328,3908,331,217,369,406
0.305,557,1445,2317,3895,343,241,344,418
0.315,568,1424,2296,3906,308,285,338,419
0.325,546,1413,2209,3900,289,288,364,449
0.335,536,1359,2187,3856,286,286,373,470
0.345,546,1305,2176,3775,232,299,390,487
0.355,503,1272,2166,3637,217,334,340,514
0.365,471,1226,2111,3431,209,312,292,514
0.375,449,1156,2068,3286,195,313,276,504
0.385,373,1095,2079,3180,187,339,293,474
0.395,373,1076,2079,3113,207,340,304,433
0.405,341,1061,2090,3120,183,339,303,419
0.415,341,1048,2079,3141,201,340,315,410
0.425,341,1053,2090,3146,205,351,329,407
0.435,341,1048,2046,3166,183,349,332,425
0.445,341,1064,2008,3213,218,337,321,387
0.455,351,1119,2003,3177,235,324,307,394
0.465,351,1120,1971,3183,227,323,316,392
0.475,341,1164,1960,3171,222,290,324,390
0.485,391,1218,1938,3174,209,302,318,375
0.495,370,1229,1916,3130,214,311,287,387
0.505,368,1283,1862,3147,212,311,303,399
0.515,365,1326,1830,3176,215,308,303,388
0.525,363,1402,1787,3158,230,312,292,391
0.535,369,1445,1797,3161,232,277,290,390
0.545,366,1456,1787,3179,225,272,276,384
0.555,353,1467,1787,3215,228,271,277,393
0.565,361,1456,1797,3312,223,290,287,387
0.575,385,1413,1787,3320,232,322,318,399
0.585,405,1370,1743,3311,242,304,305,397
0.595,419,1359,1689,3367,225,331,307,412
0.605,419,1326,1646,3442,206,313,263,385
0.615,425,1261,1646,3510,212,323,296,366
0.625,450,1250,1646,3565,219,328,288,385
0.635,469,1164,1644,3577,226,318,333,426
0.645,475,1120,1645,3596,212,320,307,454
0.655,481,1120,1684,3609,193,339,317,461
0.665,503,1099,1765,3674,209,353,312,475
0.675,492,1088,1830,3701,192,330,289,481
0.685,479,1034,1873,3558,202,297,337,472
0.695,488,969,1960,3459,198,295,371,473
0.705,488,958,2036,3455,197,299,346,472
0.715,472,893,2111,3459,197,295,330,452
0.725,469,876,2111,3485,199,291,329,445
0.735,437,854,2133,3534,189,319,332,462
0.745,451,852,2187,3534,216,324,322,489
0.755,478,814,2176,3429,206,304,309,483
0.765,449,840,2176,3373,206,296,310,464
0.775,438,875,2155,3326,190,298,304,433
0.785,449,882,2149,3341,215,302,310,406
0.795,460,882,2146,3328,234,293,311,401
0.805,460,936,2101,3290,237,295,326,408
0.815,460,1055,2079,3250,237,300,361,431
0.825,495,1088,2133,3346,243,300,358,416
0.835,476,1185,2198,3543,241,297,329,428
0.845,419,1229,2371,3833,256,295,333,436
0.855,401,1264,2480,4047,280,321,339,406
0.865,458,1396,2520,4143,291,316,360,409
0.875,507,1430,2556,4168,310,305,337,394
0.885,508,1511,2567,4198,317,305,348,408
0.895,500,1505,2539,4205,294,334,322,370
0.905,441,1497,2529,4277,270,297,326,393
0.915,397,1490,2594,4216,234,321,353,422
0.925,427,1487,2594,4281,236,322,341,461
0.935,425,1504,2539,4297,249,332,350,476
0.945,391,1515,2516,4260,227,342,342,504
0.955,384,1457,2427,4241,247,343,294,493
0.965,341,1462,2333,4152,226,311,276,516
0.975,330,1469,2310,4074,226,300,286,497
0.985,308,1483,2296,4054,228,306,313,457
0.995,297,1483,2263,4121,231,304,328,463
1.005,301,1496,2209,4109,230,324,330,455
1.015,305,1348,2166,4024,225,318,334,445
1.025,373,1331,2111,3988,245,296,337,449
1.035,395,1337,2057,3882,288,300,323,466
1.045,395,1322,1949,3924,328,290,327,445
1.055,395,1278,1916,3856,250,330,363,475
1.065,384,1157,1906,3817,211,323,331,513
1.075,384,1088,1927,3733,182,352,301,510
1.085,395,995,1949,3605,193,367,329,507
1.095,416,886,2014,3499,204,354,320,472
1.105,395,837,2057,3395,227,331,331,454
1.115,401,773,2095,3350,235,310,297,404
1.125,362,735,2101,3373,241,293,300,385
1.135,351,708,2097,3371,242,310,299,385
1.145,351,698,2081,3332,228,298,298,432
1.155,297,699,2053,3279,250,310,288,403
1.165,341,710,2010,3251,232,306,298,408
1.175,330,731,1952,3228,231,327,309,379
