sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,560,1684,2805,3659,264,288,350,406
0.015,554,1689,2805,3719,265,297,347,425
0.025,582,1700,2805,3719,265,327,324,429
0.035,662,1700,2794,3727,277,327,310,423
0.045,699,1700,2794,3686,270,301,330,442
0.055,744,1700,2805,3753,272,315,322,455
0.065,795,1700,2794,3831,261,323,349,472
0.075,822,1711,2805,3909,297,313,352,475
0.085,854,1674,2805,3942,288,310,347,476
0.095,824,1743,2805,4000,287,319,354,449
0.105,859,1669,2783,3977,278,305,384,473
0.115,901,1738,2794,4018,270,334,363,454
0.125,826,1686,2805,4003,267,315,368,456
0.135,905,1665,2815,3844,257,325,289,394
0.145,914,1725,2815,3821,255,345,298,384
0.155,816,1772,2848,3878,239,319,360,431
0.165,880,1839,2859,3939,263,339,311,441
0.175,823,1898,2857,4064,232,349,364,452
0.185,853,1785,2912,4095,261,333,326,437
0.195,938,1724,2816,4081,263,356,330,460
0.205,867,1821,2766,4020,270,321,328,430
0.215,925,1844,2784,3987,257,324,361,438
0.225,883,1906,2804,3931,264,304,342,455
0.235,994,1906,2814,4044,222,293,321,441
0.245,960,1906,2850,4071,207,292,327,453
0.255,988,1906,2865,4127,214,305,301,449
0.265,1024,1906,2820,4240,197,299,313,446
0.275,946,1862,2748,4235,210,289,299,423
0.285,952,1808,2763,4211,204,315,319,401
0.295,950,1776,2770,4177,202,290,322,396
0.305,953,1732,2793,4173,200,311,325,405
0.315,918,1689,2803,4070,193,294,315,401
0.325,880,1602,2818,4080,197,322,339,424
0.335,868,1548,2837,4194,190,322,357,446
0.345,819,1516,2874,4191,200,316,322,413
0.355,758,1462,2889,4163,214,298,313,408
0.365,689,1418,2897,4107,229,302,324,409
0.375,596,1397,2967,4107,221,301,311,426
0.385,558,1381,3037,4087,199,311,324,394
0.395,507,1405,3058,4143,214,317,317,405
0.405,498,1432,3015,4222,211,311,312,440
0.415,479,1478,2956,4247,253,316,377,440
0.425,513,1487,2940,4241,294,317,379,456
0.435,526,1521,2935,4232,292,331,381,424
0.445,555,1445,2924,4156,289,289,363,425
0.455,616,1422,2924,4167,309,337,367,450
0.465,618,1434,2913,4172,282,329,324,441
0.475,620,1419,2913,4176,284,343,279,442
0.485,603,1507,2902,4291,327,316,311,433
0.495,638,1519,2902,4396,296,355,313,439
0.505,641,1556,2913,4475,287,331,304,459
0.515,702,1554,2924,4510,292,322,299,435
0.525,752,1604,2924,4543,224,370,322,440
0.535,799,1682,2913,4584,229,380,339,427
0.545,703,1595,2929,4588,197,341,349,449
0.555,777,1516,2924,4457,198,326,358,417
0.565,822,1527,3009,4428,200,332,321,403
0.575,860,1462,2979,4404,189,317,327,425
0.585,876,1451,2946,4347,190,326,322,425
0.595,885,1440,2891,4331,200,311,319,417
0.605,871,1429,2837,4279,208,305,312,425
0.615,868,1435,2775,4234,201,309,299,405
0.625,879,1429,2773,4196,200,294,298,399
0.635,863,1429,2795,4220,205,300,306,395
0.645,870,1451,2800,4209,205,290,302,395
0.655,862,1451,2781,4211,204,296,304,384
0.665,885,1440,2790,4217,202,299,310,377
0.675,869,1472,2744,4211,203,295,305,386
0.685,857,1483,2740,4213,200,308,316,388
0.695,867,1500,2706,4262,197,303,323,396
0.705,844,1505,2696,4213,196,300,318,403
0.715,822,1500,2696,4154,192,310,318,411
0.725,790,1528,2696,4150,186,319,307,403
0.735,770,1611,2707,4197,178,326,309,401
0.745,775,1722,2707,4255,178,324,305,395
0.755,778,1765,2729,4311,165,328,315,402
0.765,751,1797,2718,4308,168,307,342,384
0.775,727,1819,2759,4288,179,293,346,382
0.785,667,1884,2756,4246,172,295,344,394
0.795,557,1941,2781,4329,173,314,319,404
0.805,513,1900,2744,4252,196,295,303,370
0.815,444,1898,2715,4219,220,304,316,391
0.825,531,1923,2700,4234,264,340,317,395
0.835,485,1967,2806,4261,190,327,320,393
0.845,471,2019,2803,4289,181,345,336,417
0.855,471,2067,2833,4255,176,331,298,418
0.865,514,2097,2855,4196,157,323,315,415
0.875,568,2099,2883,4157,180,314,332,428
0.885,622,2063,2822,4110,165,312,320,429
0.895,666,1987,2657,4008,223,351,323,436
0.905,692,1865,2681,3859,290,291,355,432
0.915,789,1713,2551,3743,329,305,368,439
0.925,826,1559,2504,3699,265,308,361,417
0.935,831,1431,2444,3593,209,292,356,388
0.945,791,1360,2408,3604,217,319,356,382
0.955,791,1374,2363,3555,216,305,330,400
0.965,759,1275,2301,3513,211,296,312,367
0.975,781,1250,2316,3576,240,295,328,377
0.985,725,1215,2296,3571,222,305,322,407
0.995,714,1180,2296,3637,240,301,325,363
1.005,705,1159,2317,3655,222,292,326,368
1.015,685,1122,2328,3704,243,302,324,356
1.025,660,1122,2347,3740,254,295,305,365
1.035,672,1122,2347,3879,241,304,278,386
1.045,648,1122,2334,4030,251,316,289,392
1.055,576,1122,2337,4094,270,306,287,434
1.065,499,1122,2377,4059,271,304,282,466
1.075,460,1122,2444,3976,236,306,307,478
1.085,448,1122,2464,3911,219,306,298,480
1.095,435,1122,2467,3863,230,309,305,491
1.105,454,1123,2486,3934,215,317,321,493
1.115,427,1152,2462,4130,197,296,367,523
1.125,427,1270,2547,4350,217,363,334,492
1.135,435,1541,2768,4435,226,386,288,421
1.145,460,1971,2838,4384,261,428,252,383
1.155,460,2328,2844,4349,237,431,222,409
1.165,485,2377,2789,4278,245,437,243,399
1.175,493,2404,2787,4214,235,435,253,411
1.185,515,2431,2778,4179,245,431,212,405
1.195,562,2425,2756,4172,240,433,238,403
1.205,620,2393,2728,4174,256,439,237,382
1.215,667,2361,2719,4119,230,398,268,373
1.225,696,2241,2727,4063,209,351,284,382
1.235,689,2101,2730,4005,204,321,289,408
1.245,751,1992,2666,4011,218,316,285,423
1.255,743,1957,2640,3933,211,288,343,433
1.265,753,2014,2696,3975,223,306,327,419
1.275,815,2090,2756,4020,258,286,302,423
1.285,899,2111,2796,4023,239,319,300,399
1.295,878,2111,2858,4026,210,320,326,389
1.305,880,2117,2894,4079,229,330,314,388
1.315,949,2111,2948,4040,201,332,335,402
1.325,926,2107,2970,3993,199,345,355,425
1.335,805,2078,2937,3947,207,333,320,380
1.345,823,2125,2968,3971,208,357,287,393
1.355,854,2306,2981,4010,209,358,277,414
1.365,828,2404,2976,4094,255,372,253,428
1.375,711,2447,3028,4191,206,344,288,410
1.385,733,2480,3019,4216,225,323,307,405
1.395,710,2463,2945,4202,195,352,315,398
1.405,765,2425,2979,4199,188,316,308,405
1.415,792,2388,2944,4209,203,335,300,404
1.425,793,2339,2991,4208,196,309,330,406
1.435,792,2263,2998,4250,193,280,351,419
1.445,774,2209,2971,4189,197,249,338,391
1.455,782,2128,3021,4217,192,257,350,400
1.465,744,2090,3044,4263,188,244,340,394
1.475,713,1927,3061,4242,166,274,348,387
1.485,636,1777,3030,4312,183,294,346,393
1.495,569,1787,3000,4289,213,308,348,399
1.505,491,1814,2937,4327,233,321,384,449
1.515,410,1785,2904,4402,215,318,353,473
1.525,396,1791,2819,4539,222,357,303,471
1.535,413,1825,2730,4496,286,389,337,467
1.545,328,1757,2661,4338,261,336,370,461
1.555,360,1668,2570,4285,246,351,356,454
1.565,442,1716,2624,4361,291,321,371,416
1.575,471,1741,2633,4362,286,338,326,431
1.585,481,1764,2682,4345,285,342,348,445
1.595,490,1769,2680,4354,304,340,351,436
1.605,492,1741,2636,4260,338,317,325,472
1.615,514,1729,2680,4251,293,333,337,455
1.625,514,1665,2799,4241,277,322,329,448
1.635,514,1664,2798,4173,278,314,351,450
1.645,522,1608,2768,4163,269,322,352,444
1.655,525,1488,2715,4132,260,325,363,452
1.665,536,1416,2726,4142,258,339,388,425
1.675,546,1238,2714,4197,219,309,399,437
1.685,546,1090,2820,4278,169,329,359,439
1.695,546,1072,2913,4299,196,303,366,447
1.705,546,1072,3000,4335,187,290,339,453
1.715,517,1050,3038,4350,190,322,316,458
1.725,529,1039,3006,4241,191,309,316,462
1.735,504,1050,3032,4139,201,311,326,466
1.745,516,1045,3023,4216,180,311,328,458
1.755,537,1039,2980,4237,197,304,324,428
1.765,527,1061,2941,4255,180,303,303,431
1.775,498,1039,2831,4162,190,281,314,452
1.785,461,1083,2651,4011,235,274,365,411
1.795,392,1137,2587,4012,195,295,364,448
