sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,484,1347,2462,3635,252,273,386,451
0.015,481,1288,2397,3677,272,313,342,441
0.025,495,1288,2451,3702,237,326,351,456
0.035,481,1283,2566,3783,263,294,380,473
0.045,468,1277,2492,3799,275,344,367,451
0.055,460,1277,2613,3845,259,310,368,474
0.065,481,1261,2568,3903,246,344,382,462
0.075,481,1267,2478,3904,256,333,350,472
0.085,484,1256,2582,3955,241,307,340,475
0.095,481,1256,2688,3949,227,307,359,465
0.105,484,1245,2623,3982,199,375,341,488
0.115,492,1234,2566,4053,209,334,335,491
0.125,479,1196,2530,4075,270,325,324,460
0.135,464,1100,2549,4204,249,306,293,420
0.145,488,1083,2515,4327,224,318,293,422
0.155,493,1072,2477,4414,216,291,272,419
0.165,480,1061,2468,4534,203,316,307,416
0.175,473,1137,2414,4511,197,304,301,384
0.185,466,1483,2464,4527,187,301,294,374
0.195,453,1895,2601,4618,191,285,326,361
0.205,440,1933,2688,4580,207,296,312,369
0.215,444,2046,2780,4576,211,331,352,414
0.225,493,2046,2724,4556,275,326,369,435
0.235,550,2025,2699,4581,259,313,361,476
0.245,600,2014,2715,4548,261,333,345,458
0.255,634,1971,2715,4465,246,344,321,480
0.265,657,1960,2770,4393,246,324,343,485
0.275,714,1938,2690,4304,261,308,359,485
0.285,674,1862,2777,4314,289,276,378,484
0.295,622,1830,2770,4359,326,282,387,493
0.305,568,1819,2671,4342,344,246,408,477
0.315,449,1745,2546,4328,294,269,396,491
0.325,425,1729,2616,4313,298,290,372,477
0.335,427,1677,2630,4317,260,312,333,488
0.345,419,1751,2771,4382,238,313,301,485
0.355,427,1847,2831,4459,236,308,308,456
0.365,425,1884,2663,4563,204,351,286,399
0.375,438,1841,2760,4632,187,350,294,387
0.385,471,1819,2728,4646,198,347,301,365
0.395,546,1803,2686,4647,180,337,312,365
0.405,622,1787,2629,4598,170,330,313,372
0.415,647,1759,2582,4560,174,323,324,367
0.425,655,1743,2530,4555,175,306,328,364
0.435,685,1732,2529,4486,165,298,311,367
0.445,698,1700,2537,4499,183,307,311,376
0.455,709,1657,2529,4427,170,300,310,390
0.465,745,1635,2530,4347,176,302,307,403
0.475,746,1629,2507,4310,185,299,305,413
0.485,702,1567,2451,4266,178,332,302,419
0.495,693,1532,2402,4226,184,303,295,397
0.505,659,1431,2345,4252,178,307,325,396
0.515,622,1351,2295,4229,169,314,299,387
0.525,632,1328,2278,4234,166,297,327,391
0.535,610,1310,2277,4228,158,305,317,392
0.545,598,1267,2272,4252,140,295,327,384
0.555,592,1256,2266,4296,143,322,316,388
0.565,595,1288,2231,4311,150,294,316,381
0.575,573,1310,2236,4230,142,268,303,400
0.585,556,1483,2231,4168,172,273,304,390
0.595,517,1559,2328,4319,193,262,328,448
0.605,431,1570,2425,4519,216,262,347,451
0.615,453,1581,2599,4672,202,274,367,402
0.625,446,1598,2815,4690,196,286,349,374
0.635,447,1583,2891,4627,195,295,296,385
0.645,447,1592,2948,4551,195,303,275,398
