sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,636,1569,2532,3688,196,299,379,429
0.015,717,1633,2489,3685,213,305,373,453
0.025,730,1602,2546,3681,240,303,365,450
0.035,734,1608,2537,3583,245,314,381,450
0.045,787,1635,2488,3589,275,327,355,440
0.055,823,1663,2528,3662,266,305,350,443
0.065,931,1579,2615,3718,275,342,337,479
0.075,973,1643,2510,3725,270,325,385,445
0.085,882,1675,2510,3741,257,316,362,430
0.095,897,1610,2588,3765,241,333,346,446
0.105,853,1673,2556,3816,253,345,343,449
0.115,857,1667,2592,3799,255,322,355,454
0.125,843,1678,2616,3818,274,305,362,474
0.135,774,1711,2642,3833,276,255,356,508
0.145,716,1732,2664,3873,297,215,387,528
0.155,660,1732,2740,3900,306,210,410,512
0.165,644,1732,2826,4058,257,286,401,512
0.175,579,1667,2902,4217,319,268,390,470
0.185,568,1646,2989,4283,284,278,390,408
0.195,546,1613,3010,4313,320,279,367,401
0.205,546,1581,3021,4360,267,308,358,425
0.215,514,1559,2989,4462,187,277,341,440
0.225,522,1673,2913,4406,158,280,338,436
0.235,527,1691,2729,4321,147,253,348,466
0.245,529,1693,2633,4265,177,281,353,451
0.255,503,1706,2574,4258,158,296,315,433
0.265,514,1753,2524,4351,173,328,308,405
0.275,517,1827,2428,4413,166,308,310,397
0.285,522,1859,2344,4405,153,291,335,383
0.295,524,1824,2258,4424,137,266,347,367
0.305,528,1769,2176,4433,169,301,341,358
0.315,511,1731,2119,4408,144,299,346,362
0.325,480,1707,2122,4321,154,310,342,361
0.335,427,1685,2083,4270,196,307,344,415
0.345,424,1654,2036,4318,231,313,317,406
0.355,501,1601,2087,4292,255,338,328,401
0.365,511,1514,2140,4286,211,344,342,402
0.375,500,1379,2113,4279,294,282,352,406
0.385,495,1375,2035,4280,338,292,313,420
0.395,559,1375,1981,4339,296,302,324,427
0.405,457,1386,1945,4299,260,283,365,414
0.415,527,1462,1898,4318,181,250,376,420
0.425,459,1537,1908,4373,179,247,347,409
