sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,426,1489,2483,3683,270,302,338,461
0.015,426,1489,2453,3750,261,321,345,492
0.025,427,1489,2479,3827,282,306,360,477
0.035,415,1489,2469,3884,276,305,357,482
0.045,416,1497,2469,3891,246,327,372,487
0.055,427,1500,2469,3850,328,296,345,466
0.065,410,1502,2469,3802,330,263,348,491
0.075,406,1508,2469,3779,292,322,350,494
0.085,404,1500,2469,3783,252,327,362,463
0.095,406,1494,2474,3818,238,340,345,451
0.105,384,1489,2474,3847,244,333,340,457
0.115,388,1472,2472,3882,258,310,360,469
0.125,395,1467,2469,3950,257,325,364,462
0.135,396,1467,2458,4044,220,348,391,461
0.145,395,1459,2425,4233,143,398,410,436
0.155,395,1436,2417,4226,134,388,374,369
0.165,399,1423,2398,4235,153,360,348,380
0.175,395,1386,2382,4263,167,349,364,351
0.185,395,1253,2379,4270,196,335,344,358
0.195,388,1238,2382,4131,181,326,360,375
0.205,384,958,2366,4141,168,314,345,374
0.215,383,850,2325,4227,151,318,329,373
0.225,373,801,2299,4265,159,326,322,396
0.235,383,763,2327,4160,149,306,342,421
0.245,395,774,2298,4131,162,309,308,403
0.255,407,861,2341,4151,180,273,296,420
0.265,416,1066,2323,4249,208,284,297,459
0.275,426,1153,2338,4401,217,295,311,452
0.285,438,1250,2394,4533,192,323,332,435
0.295,448,1467,2434,4573,187,299,337,419
0.305,450,1532,2436,4541,168,279,330,442
0.315,467,1640,2443,4494,155,252,332,442
0.325,472,1705,2436,4410,161,279,334,447
0.335,472,1841,2447,4294,181,294,313,408
0.345,471,1857,2419,4231,199,282,335,410
0.355,469,1889,2425,4224,220,302,338,396
0.365,469,1889,2417,4213,258,316,319,405
0.375,439,1892,2394,4164,275,297,322,395
0.385,427,1882,2352,4148,307,297,317,410
0.395,406,1895,2387,4115,323,321,298,409
0.405,402,1889,2323,4047,339,310,324,435
0.415,395,1889,2320,3883,333,326,328,416
0.425,395,1887,2326,3795,334,342,341,414
0.435,391,1879,2373,3669,338,324,337,389
0.445,384,1851,2504,3642,319,314,363,373
0.455,385,1835,2622,3624,294,339,365,387
0.465,388,1822,2756,3685,314,328,390,384
0.475,395,1814,2758,3612,251,374,395,413
0.485,406,1806,2857,3844,282,353,375,402
0.495,407,1822,2864,3855,279,347,326,364
0.505,410,1827,2868,3791,285,375,356,357
0.515,407,1846,2908,3915,274,378,355,326
0.525,406,1846,3025,3888,269,369,370,341
0.535,395,1846,3039,3898,302,314,404,326
0.545,399,1849,2922,3912,280,334,387,320
0.555,406,1846,2771,3775,252,313,376,356
0.565,407,1835,2653,3707,205,285,388,346
0.575,406,1824,2577,3735,216,296,368,361
0.585,418,1819,2555,3723,215,312,333,358
0.595,416,1814,2555,3733,226,316,359,371
0.605,427,1805,2545,3727,216,335,369,385
0.615,429,1789,2550,3776,211,318,351,359
0.625,438,1722,2555,3714,200,320,354,362
0.635,456,1715,2555,3742,194,316,387,361
0.645,434,1675,2555,3730,189,314,360,353
0.655,433,1694,2545,3740,196,307,359,347
0.665,428,1667,2545,3802,188,281,330,355
0.675,424,1651,2534,3821,227,283,323,372
0.685,392,1600,2507,3800,250,304,363,406
0.695,396,1610,2490,3814,290,338,377,435
0.705,395,1594,2501,3747,338,341,373,449
0.715,368,1658,2512,3803,326,324,397,472
0.725,351,1647,2515,3838,331,289,420,492
0.735,338,1675,2534,3812,322,334,399,500
0.745,330,1701,2620,3867,338,291,375,492
0.755,327,1701,2837,3929,310,311,331,474
0.765,330,1669,2902,3983,329,297,326,487
0.775,333,1608,2978,4003,336,293,344,494
0.785,330,1613,2991,3984,308,260,354,446
0.795,330,1655,2991,3987,318,300,343,446
0.805,319,1689,2989,4052,366,278,320,438
0.815,314,1694,2986,4187,348,265,296,452
0.825,308,1679,2975,4123,331,322,306,421
0.835,351,1741,2967,4098,272,316,320,406
0.845,395,1847,2917,4196,233,351,309,442
0.855,416,1908,2826,4307,258,330,341,430
0.865,481,1934,2748,4300,274,299,343,426
0.875,536,1949,2681,4235,274,348,311,458
0.885,622,1903,2626,4195,254,313,303,495
0.895,665,1855,2581,4132,271,330,322,514
0.905,690,1857,2546,4154,222,323,351,522
0.915,703,1873,2521,4062,211,297,351,514
0.925,708,1879,2510,3898,223,329,324,497
0.935,724,1898,2514,3729,230,316,315,464
0.945,738,1922,2530,3641,225,309,306,432
0.955,716,1933,2547,3581,221,304,303,416
0.965,706,1965,2556,3536,223,313,311,396
0.975,689,2005,2558,3539,225,318,306,393
0.985,659,2030,2554,3559,228,323,303,398
0.995,631,2068,2549,3542,236,321,301,394
1.005,595,2101,2546,3536,235,318,305,388
1.015,550,2102,2548,3502,239,301,299,386
1.025,510,2087,2558,3502,228,298,304,392
1.035,488,2074,2574,3501,206,303,314,389
1.045,486,1954,2590,3532,213,318,324,401
1.055,491,1835,2595,3601,225,332,329,371
1.065,478,1662,2557,3722,203,365,333,406
1.075,462,1445,2436,3905,211,375,314,395
1.085,427,1440,2357,4009,176,376,328,361
1.095,384,1435,2327,4038,149,381,343,391
1.105,370,1440,2355,4104,185,351,323,376
1.115,360,1424,2397,4054,191,346,350,393
1.125,357,1407,2338,4036,246,308,318,431
1.135,351,1424,2273,3964,194,350,317,460
1.145,351,1440,2311,3963,221,368,318,441
1.155,349,1456,2377,3935,230,310,338,438
1.165,351,1441,2406,3947,292,307,337,464
1.175,360,1431,2378,3905,312,295,304,451
1.185,351,1533,2385,3778,295,350,317,447
1.195,346,1738,2307,3659,278,309,367,426
1.205,341,1787,2275,3623,278,295,374,371
1.215,351,1754,2334,3739,278,286,371,406
1.225,350,1689,2364,3793,253,281,375,411
1.235,432,1619,2359,3788,209,282,400,397
1.245,424,1570,2411,3866,227,310,344,431
1.255,431,1532,2471,3865,212,304,330,416
1.265,435,1451,2489,3827,220,305,329,414
1.275,431,1402,2453,3736,219,319,326,430
1.285,409,1342,2330,3660,214,331,339,431
1.295,372,1288,2226,3574,216,337,325,403
1.305,367,1207,2174,3500,207,341,336,384
1.315,351,1148,2139,3496,209,346,344,409
1.325,349,1132,2126,3563,218,349,341,424
1.335,338,1100,2160,3548,218,348,352,416
1.345,317,1048,2165,3541,217,334,337,408
1.355,329,1072,2185,3596,218,334,352,419
1.365,346,1066,2196,3702,214,343,329,471
1.375,360,1077,2216,3629,210,330,328,477
1.385,330,1077,2236,3582,206,335,345,467
1.395,330,1110,2239,3473,212,341,306,413
1.405,373,1294,2337,3472,210,365,292,395
1.415,427,1456,2428,3504,240,397,288,384
1.425,449,1738,2519,3545,246,388,275,374
1.435,471,1998,2572,3640,223,345,287,386
1.445,481,2074,2634,3686,204,334,296,401
1.455,481,2171,2639,3711,219,312,295,417
1.465,481,2236,2577,3748,211,303,285,434
1.475,484,2236,2542,3654,211,304,315,411
1.485,481,2182,2523,3735,207,289,300,423
1.495,479,2095,2480,3762,218,283,318,420
1.505,471,1868,2475,3715,242,284,346,445
1.515,462,1770,2461,3629,278,333,342,454
1.525,449,1619,2430,3541,297,306,341,403
1.535,419,1510,2387,3534,290,318,304,409
