sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,435,1792,2390,3612,268,339,378,431
0.015,438,1792,2356,3714,291,321,321,436
0.025,441,1792,2324,3741,294,330,325,433
0.035,427,1771,2317,3799,275,346,308,460
0.045,427,1808,2370,3787,257,337,309,463
0.055,438,1770,2489,3858,256,302,335,478
0.065,430,1820,2546,3866,217,301,339,477
0.075,416,1792,2611,3880,268,313,362,504
0.085,416,1776,2616,3854,253,330,349,476
0.095,416,1800,2593,3936,260,328,361,466
0.105,427,1781,2601,3959,285,318,356,477
0.115,441,1778,2613,4051,229,303,386,484
0.125,438,1758,2604,4100,231,299,355,479
0.135,438,1791,2635,4124,223,296,326,468
0.145,438,1789,2575,4196,201,308,285,453
0.155,435,1773,2612,4180,208,309,293,430
0.165,438,1745,2570,4148,220,324,299,457
0.175,404,1736,2591,4140,183,282,309,447
0.185,390,1688,2644,4096,198,273,319,430
0.195,397,1672,2606,4079,184,290,319,454
0.205,403,1680,2528,4180,224,314,349,455
0.215,442,1656,2492,4274,252,302,352,452
0.225,418,1602,2579,4314,271,331,320,451
0.235,462,1578,2602,4443,278,326,316,450
0.245,510,1549,2577,4522,281,321,347,442
0.255,558,1529,2533,4612,299,324,338,445
0.265,619,1561,2526,4593,319,342,333,445
0.275,620,1610,2546,4583,325,305,350,436
0.285,644,1559,2576,4497,317,303,344,469
0.295,622,1593,2564,4482,287,363,347,468
0.305,633,1585,2670,4468,304,319,316,460
0.315,633,1587,2703,4444,295,310,324,454
0.325,614,1602,2737,4509,281,311,288,477
0.335,611,1619,2705,4559,277,332,315,480
0.345,614,1624,2576,4597,236,336,297,454
0.355,611,1651,2577,4585,228,343,305,456
0.365,601,1640,2652,4593,262,322,319,453
0.375,592,1651,2680,4689,234,333,314,454
0.385,579,1651,2642,4658,244,315,284,441
0.395,556,1680,2626,4529,271,299,266,465
0.405,442,1694,2620,4236,228,319,271,501
0.415,418,1716,2620,4073,224,301,321,495
0.425,456,1716,2620,3879,231,285,327,465
0.435,487,1765,2620,3758,205,314,322,448
0.445,463,1781,2631,3722,211,312,297,443
0.455,443,1868,2653,3635,213,324,270,441
0.465,383,1923,2750,3607,224,329,245,447
0.475,397,1900,2815,3679,224,320,290,454
0.485,373,1924,2859,3714,214,289,307,465
0.495,355,1993,3065,3647,215,309,323,425
0.505,361,1974,3159,3579,200,327,315,381
0.515,352,1958,3178,3536,197,335,314,365
0.525,347,2052,3159,3456,197,336,303,390
0.535,361,2099,2967,3498,201,316,299,393
0.545,350,2041,2891,3574,213,296,323,384
0.555,359,2030,2761,3593,227,205,365,396
0.565,371,1965,2545,3714,243,214,400,383
0.575,352,1846,2350,3750,253,272,406,403
0.585,344,1716,2274,3715,247,304,394,395
0.595,348,1543,2187,3800,225,310,396,372
0.605,371,1380,2166,3862,207,303,376,388
0.615,408,1337,2144,3927,208,319,341,398
0.625,412,1272,2133,3917,223,319,342,432
0.635,431,1218,2160,3848,250,334,335,424
0.645,402,1245,2187,3859,290,355,341,407
0.655,428,1261,2231,3877,278,382,356,405
0.665,482,1294,2263,3888,226,380,407,381
0.675,487,1326,2328,3797,228,355,412,410
0.685,470,1386,2361,3973,225,327,385,382
0.695,455,1413,2393,4061,192,295,367,365
0.705,456,1467,2425,4148,206,314,287,361
0.715,470,1500,2425,4148,201,280,303,403
0.725,471,1495,2431,4297,263,330,327,414
0.735,508,1436,2436,4360,274,290,350,431
0.745,527,1408,2471,4359,237,338,353,455
0.755,527,1438,2464,4390,256,321,368,450
0.765,529,1488,2444,4452,262,300,366,444
0.775,549,1503,2376,4510,284,311,358,408
0.785,557,1512,2387,4411,302,320,360,368
0.795,557,1564,2400,4266,268,389,345,368
0.805,560,1607,2471,4199,251,388,318,404
0.815,546,1599,2471,4157,254,375,346,453
0.825,536,1543,2522,4060,238,357,338,444
0.835,525,1403,2477,3945,266,315,302,414
0.845,517,1319,2342,3829,262,374,276,422
0.855,455,1280,2373,3770,255,340,297,414
0.865,394,1333,2405,3817,223,335,291,428
0.875,360,1343,2397,3794,214,329,288,416
0.885,354,1365,2476,3821,216,326,303,426
0.895,338,1342,2464,3702,211,338,304,413
0.905,341,1331,2479,3730,210,327,298,413
0.915,362,1331,2447,3631,208,310,315,414
0.925,506,1309,2443,3530,222,291,297,400
0.935,588,1346,2447,3560,220,298,279,380
0.945,592,1316,2480,3649,238,297,279,375
0.955,590,1348,2507,3705,223,303,278,389
0.965,598,1321,2523,3724,227,304,288,387
0.975,579,1283,2555,3735,213,316,300,392
0.985,579,1229,2566,3807,202,318,286,382
0.995,576,1185,2566,3789,210,314,310,400
1.005,576,1120,2542,3699,211,301,340,416
1.015,568,1077,2496,3579,209,309,316,406
1.025,555,1034,2458,3532,215,298,305,383
1.035,536,1001,2442,3558,219,316,318,357
1.045,522,980,2438,3468,229,309,323,365
1.055,503,990,2403,3452,225,325,319,360
1.065,511,996,2373,3542,236,311,316,382
1.075,492,1001,2402,3690,217,296,323,382
1.085,495,1039,2389,3720,221,285,341,395
1.095,495,1103,2385,3748,223,279,353,412
1.105,481,1144,2396,3741,226,284,339,400
1.115,477,1231,2400,3777,199,307,339,373
1.125,453,1302,2396,3844,225,311,339,375
1.135,439,1361,2391,3855,248,299,316,392
1.145,408,1402,2409,3994,226,298,319,398
1.155,395,1504,2437,4055,197,305,351,406
1.165,408,1489,2548,4076,193,296,368,405
1.175,444,1622,2552,4138,212,321,332,385
1.185,420,1597,2566,4058,202,304,311,381
1.195,413,1673,2566,4041,208,278,287,387
1.205,420,1749,2615,4117,187,306,320,390
1.215,415,1835,2642,4148,208,297,307,383
1.225,417,1889,2691,4086,208,301,302,401
1.235,409,1954,2718,4008,217,297,292,429
1.245,409,1998,2750,3962,212,305,278,395
1.255,378,2041,2772,3886,228,298,273,412
1.265,362,2063,2810,3886,201,324,252,400
1.275,361,2074,2815,3848,201,300,277,442
1.285,381,2114,2848,3830,203,313,288,416
1.295,362,2106,2842,3730,186,335,283,416
1.305,358,2096,2826,3747,193,311,289,425
1.315,384,2033,2785,3927,181,336,256,457
1.325,411,1946,2691,3970,180,295,311,448
1.335,442,1832,2720,3982,169,293,326,441
1.345,459,1781,2712,3961,173,272,355,427
1.355,434,1724,2707,4083,199,301,371,426
1.365,418,1651,2675,4095,205,297,366,405
1.375,395,1586,2629,4174,198,307,309,398
1.385,383,1521,2656,4326,208,290,291,415
1.395,374,1483,2620,4413,229,306,306,411
1.405,384,1456,2588,4443,243,298,336,407
1.415,417,1404,2577,4460,232,317,340,426
1.425,438,1399,2566,4400,244,354,364,427
1.435,478,1361,2508,4336,222,365,338,415
1.445,462,1341,2534,4325,217,337,353,386
1.455,472,1278,2511,4388,225,317,304,361
1.465,464,1302,2538,4319,201,313,342,365
1.475,451,1311,2532,4305,214,301,316,342
1.485,477,1345,2524,4331,217,323,353,347
1.495,543,1336,2504,4257,266,330,325,338
1.505,598,1354,2528,4300,282,317,323,365
1.515,646,1354,2526,4175,288,312,319,339
1.525,672,1418,2458,4064,284,337,341,367
1.535,699,1434,2424,4070,266,365,345,376
