sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,504,1473,2525,3651,258,323,344,426
0.015,426,1431,2499,3702,279,310,318,424
0.025,462,1395,2454,3788,275,296,300,431
0.035,403,1431,2458,3824,273,307,294,445
0.045,426,1432,2458,3774,294,316,303,452
0.055,400,1401,2458,3743,250,311,305,455
0.065,351,1413,2447,3735,176,322,347,464
0.075,351,1413,2458,3740,218,333,308,433
0.085,351,1413,2447,3702,201,360,345,433
0.095,351,1403,2447,3677,193,331,340,433
0.105,351,1425,2480,3764,192,311,337,442
0.115,365,1480,2469,3717,198,304,357,448
0.125,351,1450,2499,3760,200,303,360,429
0.135,362,1486,2447,3758,231,304,336,452
0.145,365,1483,2436,3760,221,292,341,437
0.155,373,1537,2436,3912,187,289,328,414
0.165,395,1564,2436,3924,192,284,318,402
0.175,406,1581,2436,3852,192,303,298,387
0.185,438,1632,2469,3748,216,359,300,398
0.195,471,1613,2480,3823,190,345,331,394
0.205,503,1570,2490,3967,190,330,317,386
0.215,536,1599,2480,3925,168,308,351,401
0.225,601,1559,2480,3885,192,328,385,410
0.235,644,1559,2469,3884,193,349,392,405
0.245,676,1516,2453,3910,187,356,370,382
0.255,727,1537,2436,3964,177,352,354,391
0.265,719,1494,2428,3929,171,314,350,388
0.275,729,1451,2360,3849,181,322,330,387
0.285,722,1375,2305,3757,188,323,319,405
0.295,667,1321,2248,3857,169,314,333,404
0.305,640,1225,2176,3909,168,291,351,382
0.315,568,1234,2074,3953,176,295,334,380
0.325,546,1158,1946,4000,181,311,320,360
0.335,492,1104,1808,4057,199,306,316,354
0.345,471,1050,1685,4078,226,295,327,382
0.355,460,1028,1603,4102,224,297,337,393
0.365,427,996,1548,4071,216,305,338,410
0.375,416,1001,1486,3986,213,294,343,459
0.385,425,974,1422,3817,222,312,322,479
0.395,416,963,1389,3753,218,291,301,464
0.405,416,1003,1390,3738,228,298,319,442
0.415,481,996,1415,3734,225,308,314,424
0.425,514,1039,1453,3784,225,303,310,417
0.435,525,1077,1499,3819,227,289,304,414
0.445,557,1104,1558,3711,209,314,312,384
0.455,568,1169,1642,3619,192,321,301,376
0.465,601,1332,1759,3591,187,323,298,372
0.475,625,1380,1919,3614,189,340,302,361
0.485,588,1407,2085,3550,186,337,327,372
0.495,557,1505,2192,3499,172,324,345,382
0.505,539,1602,2255,3540,160,300,349,370
0.515,560,1678,2302,3535,182,295,365,393
0.525,535,1754,2360,3589,186,299,384,398
0.535,521,1895,2440,3618,204,290,363,402
0.545,482,1949,2518,3617,190,289,356,412
0.555,476,1992,2564,3557,202,271,361,408
0.565,428,2046,2571,3524,195,287,361,372
0.575,417,2111,2559,3517,214,290,370,340
0.585,343,2144,2550,3513,219,274,369,321
0.595,299,2137,2558,3525,214,280,368,352
0.605,224,2147,2578,3575,203,253,369,364
0.615,230,2083,2604,3703,201,304,329,403
0.625,268,1928,2630,3753,216,304,336,450
0.635,400,1823,2654,3788,236,356,343,443
0.645,352,1815,2672,3839,253,327,355,437
0.655,465,1818,2680,3906,261,320,348,442
0.665,494,1816,2680,3948,276,321,344,470
0.675,533,1809,2677,4024,278,328,370,446
0.685,570,1794,2674,4203,239,324,331,455
0.695,504,1778,2673,4246,181,301,315,428
0.705,538,1770,2674,4179,169,293,316,446
0.715,583,1770,2672,4161,193,335,335,448
0.725,610,1773,2664,4115,199,347,312,444
0.735,611,1776,2650,4124,285,310,328,459
0.745,686,1777,2633,4081,309,336,314,456
0.755,698,1776,2615,4019,209,308,361,424
0.765,731,1775,2598,3886,208,322,388,448
0.775,731,1775,2583,3825,194,329,347,431
0.785,720,1776,2574,3856,197,325,342,429
0.795,746,1776,2573,3894,170,309,331,453
0.805,713,1775,2584,3896,169,311,336,455
0.815,716,1770,2607,3859,176,318,339,439
0.825,748,1763,2631,3846,175,311,338,420
0.835,734,1755,2628,3827,179,318,341,409
0.845,755,1746,2593,3808,188,319,345,399
0.855,743,1739,2554,3816,175,310,343,396
0.865,718,1735,2540,3828,169,306,348,405
0.875,701,1734,2528,3854,181,312,364,386
0.885,629,1734,2482,3885,172,289,384,391
0.895,599,1733,2398,3916,164,263,380,401
0.905,516,1747,2310,3887,152,240,340,418
0.915,459,1817,2243,3857,145,208,313,449
0.925,421,1940,2217,3858,206,250,309,461
0.935,356,1989,2229,3932,206,304,333,477
0.945,366,1956,2254,3847,206,333,341,484
0.955,427,1930,2266,3751,240,385,329,507
0.965,416,1893,2259,3789,285,370,336,493
0.975,427,1794,2257,3830,306,349,336,506
0.985,416,1735,2285,3763,319,344,322,494
0.995,406,1743,2341,3687,315,278,328,520
1.005,408,1774,2395,3607,284,324,307,491
1.015,406,1771,2425,3585,299,337,349,453
1.025,395,1781,2430,3522,275,315,351,427
1.035,406,1823,2413,3614,323,319,376,383
1.045,384,1826,2375,3771,324,292,353,368
1.055,373,1802,2320,3783,284,265,401,355
1.065,362,1753,2248,3745,217,237,424,333
1.075,362,1666,2090,3728,166,233,431,302
1.085,362,1678,1960,3813,142,246,424,330
1.095,362,1646,1906,3905,155,240,420,293
1.105,397,1581,1895,3941,154,257,410,321
1.115,395,1623,1895,3852,188,268,409,405
1.125,427,1657,1981,3809,252,277,359,415
1.135,427,1676,2328,3772,304,285,350,423
1.145,449,1658,2675,3740,310,284,362,399
1.155,481,1636,2826,3783,332,304,333,387
1.165,492,1618,2936,3805,326,355,327,390
1.175,503,1598,2918,3902,320,309,294,358
1.185,503,1562,2828,3811,326,307,315,349
1.195,503,1565,2840,3837,340,307,341,358
1.205,511,1508,2873,3781,360,340,386,400
1.215,503,1518,2885,3691,359,310,388,360
1.225,492,1454,2902,3646,347,305,392,385
1.235,481,1443,2870,3763,325,355,382,371
1.245,471,1542,2837,3853,277,341,378,382
1.255,460,1595,2805,3890,271,316,363,365
1.265,471,1577,2788,3845,305,325,367,368
1.275,473,1463,2761,3738,245,307,346,343
1.285,471,1462,2674,3781,206,312,341,334
1.295,479,1429,2603,3735,206,326,325,350
1.305,492,1375,2592,3848,212,319,302,354
1.315,536,1364,2616,3941,192,313,332,384
1.325,579,1342,2575,3979,202,301,339,400
1.335,633,1321,2612,3949,206,316,346,408
1.345,676,1299,2644,3938,202,317,358,410
1.355,709,1299,2659,3766,208,322,326,407
1.365,722,1245,2670,3721,227,328,328,409
1.375,709,1223,2642,3735,234,317,317,411
1.385,698,1169,2620,3694,234,288,318,379
1.395,698,1158,2588,3643,231,305,309,364
1.405,722,1110,2534,3620,202,281,273,356
1.415,665,1083,2480,3607,188,307,258,363
1.425,510,1045,2436,3665,251,326,278,380
1.435,422,1039,2391,3742,223,319,301,391
1.445,444,1023,2413,3801,213,358,344,395
1.455,427,1039,2481,3775,250,318,313,409
1.465,427,1099,2480,3654,217,342,331,424
1.475,425,1164,2525,3618,250,301,308,432
1.485,416,1305,2574,3584,261,281,334,429
1.495,449,1391,2526,3622,249,320,331,436
1.505,452,1435,2491,3655,290,298,320,424
1.515,460,1489,2520,3666,313,310,303,436
1.525,449,1521,2634,3585,270,314,319,450
1.535,438,1568,2667,3495,276,285,385,427
1.545,441,1496,2600,3442,315,283,356,394
1.555,438,1418,2454,3459,251,314,402,381
1.565,427,1299,2264,3638,219,326,424,364
1.575,430,1169,2071,3689,182,354,371,335
1.585,416,1083,2006,3855,213,355,290,352
1.595,427,996,2038,4016,219,330,292,357
1.605,427,931,2123,4089,213,306,296,369
1.615,406,866,2158,4075,221,316,282,350
1.625,408,833,2130,4066,213,320,297,379
