sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,679,2621,3106,3661,254,365,357,438
0.015,794,2546,3120,3625,268,339,362,460
0.025,459,2558,3095,3595,222,370,328,441
0.035,367,2579,3118,3573,210,353,315,445
0.045,353,2572,3110,3573,201,345,313,447
0.055,339,2543,3046,3698,274,300,315,413
0.065,308,2497,3039,3755,272,321,315,428
0.075,317,2454,3028,3800,230,336,346,430
0.085,285,2458,2981,3798,216,376,319,430
0.095,256,2487,2921,3736,205,395,277,426
0.105,283,2477,2886,3706,231,408,285,426
0.115,314,2437,2885,3768,248,412,299,445
0.125,330,2408,2880,3814,263,425,281,416
0.135,375,2429,2842,3865,232,459,308,398
0.145,392,2448,2847,3872,247,472,315,386
0.155,414,2419,2799,3850,253,483,320,382
0.165,431,2393,2758,3871,224,472,321,387
0.175,431,2365,2760,3881,223,427,344,398
0.185,430,2298,2722,3899,186,356,355,390
0.195,431,2199,2673,3858,165,346,354,380
0.205,429,2104,2595,3811,157,316,340,362
0.215,434,2017,2502,3810,168,304,327,365
0.225,435,1903,2436,3828,169,304,319,399
0.235,390,1782,2365,3915,191,305,324,402
0.245,388,1685,2341,3983,223,340,333,448
0.255,421,1576,2399,3847,228,331,298,475
0.265,441,1577,2406,3812,251,316,299,468
0.275,434,1623,2363,3843,257,325,324,466
0.285,407,1623,2429,3756,265,336,303,452
0.295,391,1598,2469,3783,221,327,325,470
0.305,414,1531,2529,3907,227,363,304,501
0.315,442,1495,2594,3973,191,358,334,483
0.325,455,1284,2616,3940,164,327,332,450
0.335,473,1151,2671,3977,163,323,336,450
0.345,503,1067,2728,4060,177,307,330,444
0.355,513,1068,2704,4072,177,294,294,433
0.365,509,1155,2708,4083,183,312,283,420
0.375,510,1165,2698,4086,178,300,267,416
0.385,502,1238,2685,4103,179,293,251,410
0.395,503,1345,2656,4083,166,309,276,385
0.405,539,1470,2652,4100,171,293,294,405
0.415,582,1582,2591,4129,182,286,320,424
0.425,584,1685,2590,4202,178,273,330,410
0.435,555,1782,2589,4229,192,298,329,389
0.445,538,1877,2614,4255,186,307,339,383
0.455,547,1970,2634,4308,185,320,363,388
0.465,576,2048,2682,4406,188,319,383,387
0.475,591,2093,2723,4385,192,306,376,394
0.485,561,2104,2717,4408,251,283,399,442
0.495,548,2090,2684,4434,314,339,378,444
0.505,541,2057,2596,4345,324,310,378,453
0.515,510,2014,2593,4275,364,358,365,467
0.525,514,1968,2508,4328,350,356,381,464
0.535,540,1924,2491,4306,327,347,362,483
0.545,551,1889,2511,4343,272,350,339,488
0.555,522,1869,2598,4375,302,330,340,482
0.565,501,1861,2702,4395,261,309,346,442
0.575,506,1858,2863,4483,275,292,371,434
