sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,694,1598,2377,3663,252,321,325,418
0.015,753,1740,2391,3817,214,352,320,442
0.025,779,1760,2391,3828,233,319,342,452
0.035,750,1712,2741,3797,217,301,348,449
0.045,824,1654,2759,3754,275,281,376,467
0.055,892,1704,2725,3742,243,333,355,468
0.065,847,1728,2677,3731,216,341,327,455
0.075,818,1763,2653,3779,237,325,306,430
0.085,761,1841,2669,3839,234,320,326,442
0.095,728,1887,2712,3851,238,339,331,433
0.105,717,1932,2758,3917,289,343,342,428
0.115,717,1895,2778,3974,281,323,344,460
0.125,722,1981,2774,4053,310,333,334,458
0.135,725,2002,2774,3985,319,307,337,463
0.145,722,1947,2792,4013,312,297,367,466
0.155,708,1867,2810,4095,293,306,380,459
0.165,685,1849,2813,4115,278,329,353,449
0.175,659,1732,2810,4133,275,296,341,420
0.185,644,1818,2812,4130,268,326,371,421
0.195,645,1837,2811,4131,280,321,362,443
0.205,645,1765,2793,4052,285,321,343,418
0.215,643,1852,2774,4072,247,333,346,424
0.225,646,1795,2778,4089,241,328,341,433
0.235,650,1743,2805,4178,256,243,354,454
0.245,633,1647,2833,4255,278,247,381,441
0.255,608,1620,2856,4265,261,278,409,420
0.265,608,1538,2877,4240,286,300,373,396
0.275,590,1453,2912,4264,280,343,301,420
0.285,560,1407,2976,4181,263,330,340,426
0.295,539,1371,3059,4189,274,289,370,428
0.305,527,1325,3099,4174,289,338,373,418
0.315,528,1297,3109,4213,283,297,383,444
0.325,555,1289,3143,4295,268,324,388,434
0.335,569,1290,3191,4381,196,315,435,386
0.345,537,1296,3225,4423,206,305,420,338
0.355,539,1359,3239,4405,198,347,411,324
0.365,496,1524,3173,4418,211,345,364,333
0.375,520,1717,3157,4350,210,340,327,350
0.385,474,1872,3071,4345,204,361,273,372
0.395,463,1981,2999,4350,192,363,261,384
0.405,474,2058,2934,4354,182,359,247,393
0.415,497,2108,2794,4321,171,337,265,388
0.425,521,2127,2684,4255,155,320,285,389
0.435,535,2106,2624,4137,156,307,299,394
0.445,535,2062,2540,4039,151,293,318,392
0.455,529,2014,2447,4002,142,290,313,389
0.465,527,1965,2336,3944,150,288,327,388
0.475,541,1845,2332,3892,143,282,333,377
0.485,565,1725,2231,3903,141,262,330,346
0.495,568,1598,2133,3967,156,344,311,370
0.505,521,1479,2034,4033,179,327,330,416
0.515,263,1381,1935,4050,213,351,362,452
0.525,322,1318,1878,4072,201,373,344,473
0.535,437,1302,1926,4094,231,305,336,487
0.545,521,1325,2052,4082,252,319,333,491
0.555,540,1368,2180,3995,254,314,348,462
0.565,619,1414,2269,4051,278,332,360,496
0.575,711,1448,2328,3995,314,307,364,502
0.585,786,1471,2370,3965,335,261,357,478
0.595,835,1499,2409,3950,304,310,359,488
0.605,849,1543,2445,3901,315,242,344,437
0.615,893,1609,2476,3910,308,249,368,432
0.625,850,1683,2499,3921,274,270,377,421
0.635,742,1746,2517,4056,237,289,365,435
0.645,632,1787,2535,4183,227,298,375,421
0.655,502,1814,2559,4325,204,303,350,413
0.665,492,1835,2596,4338,194,314,330,402
0.675,501,1855,2656,4289,183,295,309,409
0.685,520,1877,2749,4260,186,298,307,388
0.695,591,1897,2861,4206,202,300,332,389
0.705,710,1912,2961,4199,218,317,380,375
0.715,794,1918,3037,4143,207,308,398,403
0.725,815,1912,3088,4100,183,285,400,420
0.735,784,1898,3117,4126,159,277,381,415
0.745,784,1883,3140,4211,146,267,340,428
0.755,751,1873,3164,4277,144,267,322,418
0.765,713,1863,3170,4293,146,266,310,405
0.775,624,1843,3147,4318,177,261,330,439
0.785,537,1807,3093,4376,191,286,332,437
0.795,495,1763,3013,4426,189,303,318,407
0.805,458,1721,2929,4489,177,307,319,408
0.815,362,1689,2861,4485,206,353,353,440
0.825,263,1665,2811,4346,216,337,403,487
0.835,293,1642,2779,4262,228,343,398,484
0.845,253,1620,2756,4279,260,323,343,452
0.855,275,1606,2727,4265,327,335,346,437
0.865,347,1605,2693,4172,311,333,331,428
0.875,419,1625,2658,4163,310,352,300,436
0.885,458,1665,2626,4169,301,358,298,439
0.895,458,1720,2601,4240,293,349,292,466
0.905,452,1786,2588,4280,305,338,297,456
0.915,462,1857,2596,4320,244,368,266,456
0.925,486,1931,2634,4428,256,349,310,447
0.935,499,2007,2707,4493,239,364,321,452
0.945,497,2085,2798,4531,224,361,327,462
0.955,491,2161,2888,4552,200,355,340,393
0.965,493,2234,2970,4503,190,357,315,398
0.975,483,2299,3042,4453,178,336,334,395
0.985,499,2352,3099,4438,166,350,321,401
0.995,518,2387,3140,4436,156,368,297,421
1.005,569,2403,3168,4423,179,336,307,416
1.015,601,2409,3187,4434,194,333,305,434
1.025,622,2413,3202,4443,185,323,301,425
1.035,643,2418,3215,4447,188,313,299,429
1.045,639,2417,3226,4430,189,315,302,420
1.055,626,2405,3228,4437,193,308,294,427
1.065,596,2381,3213,4471,199,314,287,424
1.075,560,2353,3177,4463,203,329,284,410
1.085,534,2329,3127,4515,193,340,288,415
1.095,519,2309,3075,4555,197,304,316,402
1.105,518,2285,3032,4542,215,295,332,401
1.115,465,2252,3010,4423,251,283,383,433
1.125,483,2213,3009,4353,284,265,385,417
1.135,486,2170,3017,4329,286,253,399,411
1.145,473,2126,3023,4394,275,264,366,386
1.155,480,2085,3025,4396,285,311,361,409
1.165,496,2048,3024,4374,321,347,326,419
1.175,514,2018,3019,4405,323,324,339,440
1.185,523,1995,3011,4436,322,318,346,423
1.195,529,1982,3002,4480,343,333,364,425
1.205,556,1980,2991,4451,358,354,373,410
1.215,541,1991,2979,4519,334,342,360,406
1.225,524,2016,2967,4549,313,369,350,437
1.235,492,2082,2955,4603,320,357,366,416
1.245,560,2062,2944,4610,297,327,365,397
1.255,572,1975,2933,4642,225,349,344,412
1.265,558,1915,2923,4550,212,343,368,391
1.275,595,1873,2914,4562,218,354,381,400
1.285,524,1784,2907,4531,206,366,371,408
1.295,504,1756,2903,4477,217,326,338,389
1.305,491,1770,2900,4520,196,294,332,388
1.315,499,1793,2902,4524,184,303,341,378
1.325,525,1814,2908,4503,187,318,367,371
1.335,586,1911,2919,4487,193,320,416,360
1.345,622,1964,2937,4515,172,293,429,382
1.355,650,1956,2962,4557,162,268,415,399
1.365,649,1955,2995,4531,158,280,397,413
1.375,656,1923,3034,4536,154,265,378,413
1.385,663,1876,3070,4535,157,271,370,420
1.395,630,1837,3095,4520,156,272,356,426
1.405,608,1822,3104,4476,192,288,360,424
1.415,528,1818,3098,4360,216,319,370,448
1.425,455,1845,3080,4277,209,327,352,439
1.435,398,1851,3054,4288,227,325,366,467
1.445,423,1825,3024,4259,244,335,397,475
1.455,450,1836,2992,4243,309,364,388,475
1.465,474,1870,2961,4126,309,361,404,471
1.475,491,1798,2929,4004,342,347,402,433
1.485,537,1842,2897,3991,336,334,425,440
1.495,591,1854,2866,3973,342,344,409,462
1.505,554,1868,2836,4100,276,368,390,473
1.515,533,1828,2806,4227,214,292,403,473
1.525,534,1741,2777,4317,180,271,404,432
1.535,477,1658,2749,4282,191,306,396,464
1.545,337,1666,2721,4287,234,324,385,476
1.555,290,1592,2693,4228,209,296,338,451
1.565,353,1555,2662,4151,232,340,362,439
1.575,438,1545,2630,4067,254,334,357,457
1.585,449,1548,2595,4090,285,351,363,455
1.595,497,1550,2558,4143,272,361,354,456
1.605,526,1529,2520,4215,279,335,367,458
1.615,542,1507,2480,4220,326,280,367,453
1.625,562,1508,2441,4153,339,285,325,421
1.635,554,1508,2403,4191,331,264,385,433
1.645,560,1512,2365,4143,297,271,379,417
1.655,564,1542,2326,4156,271,284,336,403
1.665,512,1596,2274,4179,207,269,342,415
1.675,530,1654,2198,4253,186,303,337,376
1.685,531,1697,2096,4239,169,305,320,345
1.695,521,1732,2031,4276,173,318,291,331
1.705,502,1774,2080,4269,169,311,308,314
1.715,484,1829,2219,4287,170,306,322,319
1.725,479,1900,2366,4242,172,311,320,314
1.735,473,1987,2450,4233,175,321,320,333
1.745,465,2073,2481,4219,178,323,328,358
1.755,458,2108,2491,4182,190,314,342,374
1.765,459,2121,2498,4143,198,301,356,399
1.775,481,2152,2512,4133,215,310,369,395
1.785,441,2160,2538,4015,285,330,347,376
1.795,439,2153,2583,4121,274,319,366,375
1.805,460,2173,2655,4125,312,346,362,367
1.815,445,2226,2759,4232,293,328,375,366
1.825,413,2272,2832,4257,287,351,386,364
1.835,406,2307,2869,4268,317,349,384,349
1.845,407,2336,2910,4159,302,368,387,339
1.855,420,2356,2953,4145,333,391,350,338
1.865,449,2372,2983,4190,336,363,362,380
1.875,454,2389,2997,4274,328,359,364,376
1.885,465,2408,2999,4201,306,382,360,371
1.895,478,2427,2998,4274,309,347,348,405
1.905,488,2445,3007,4301,300,321,366,397
1.915,468,2460,3024,4263,222,334,334,391
1.925,437,2471,3041,4313,193,370,315,396
1.935,444,2478,3056,4308,155,374,305,393
1.945,442,2481,3069,4380,152,372,314,366
1.955,467,2480,3084,4428,188,343,338,376
1.965,496,2480,3101,4494,164,340,348,382
1.975,500,2481,3118,4514,156,354,333,369
1.985,547,2484,3133,4482,145,343,332,373
1.995,562,2484,3144,4383,142,346,326,392
2.005,573,2479,3153,4325,136,336,349,403
2.015,590,2467,3158,4299,150,339,336,398
2.025,614,2449,3154,4247,160,345,323,401
2.035,636,2430,3140,4234,169,345,324,391
2.045,636,2411,3122,4204,170,349,324,379
2.055,645,2392,3113,4209,170,356,324,387
2.065,652,2373,3114,4226,179,355,323,389
2.075,640,2355,3115,4276,177,369,313,386
