sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,503,1436,2487,3645,284,332,327,432
0.015,438,1491,2444,3605,290,311,313,421
0.025,396,1465,2485,3626,275,323,323,453
0.035,430,1501,2490,3600,261,341,324,456
0.045,363,1519,2540,3617,251,312,341,481
0.055,515,1576,2484,3632,258,322,357,443
0.065,642,1624,2300,3585,282,336,343,435
0.075,664,1661,2324,3568,257,303,351,444
0.085,682,1732,2354,3538,244,314,364,481
0.095,602,1743,2428,3546,258,286,343,463
0.105,511,1723,2464,3566,273,329,313,476
0.115,320,1684,2426,3658,252,294,334,454
0.125,309,1662,2456,3745,209,284,343,444
0.135,439,1736,2615,3791,210,275,328,492
0.145,477,1660,2669,3894,218,296,345,517
0.155,514,1724,2667,4005,217,327,324,530
0.165,530,1808,2685,4051,185,323,337,535
0.175,562,1908,2791,4072,185,324,324,525
0.185,573,2025,2845,4057,185,314,312,514
0.195,573,2154,2855,4042,176,322,315,528
0.205,586,2287,2923,4050,174,320,279,515
0.215,600,2382,2977,4026,170,316,281,504
0.225,618,2400,2979,4018,168,305,279,508
0.235,611,2367,2956,4010,151,289,290,492
0.245,600,2328,2933,4021,144,288,302,488
0.255,586,2181,2920,4021,133,295,301,490
0.265,589,1789,2902,4060,157,264,299,477
0.275,575,1562,2868,4083,142,312,288,468
0.285,560,1429,2829,4090,139,311,291,460
0.295,556,1321,2800,4130,176,321,339,463
0.305,576,1197,2785,4223,193,300,339,453
0.315,573,1082,2786,4279,201,317,326,440
0.325,558,1002,2798,4247,203,310,323,448
0.335,559,968,2813,4174,195,286,321,445
0.345,531,990,2823,4106,188,309,265,436
0.355,519,1101,2819,4047,152,330,270,451
0.365,548,1336,2812,3994,178,295,273,470
0.375,502,1595,2828,4047,159,269,312,494
0.385,482,1755,2875,4091,182,274,332,504
0.395,457,1830,2918,4161,192,317,356,492
0.405,450,1844,2928,4130,211,321,363,463
0.415,447,1822,2899,4169,266,329,395,467
0.425,392,1786,2830,4217,323,337,379,481
0.435,392,1761,2748,4227,332,333,371,486
0.445,392,1748,2683,4232,353,352,365,483
0.455,392,1716,2652,4289,246,321,376,459
0.465,391,1686,2648,4345,252,276,386,472
0.475,389,1667,2667,4410,193,269,385,486
0.485,392,1644,2701,4349,171,299,318,438
0.495,404,1602,2739,4265,158,291,326,437
0.505,423,1530,2773,4171,161,311,294,427
0.515,447,1450,2799,4100,170,304,292,406
0.525,475,1386,2819,4022,187,304,291,409
0.535,503,1344,2832,3921,192,273,301,408
0.545,528,1304,2843,3812,176,294,301,412
0.555,546,1246,2855,3796,172,285,316,397
0.565,554,1178,2875,3797,180,287,281,388
0.575,546,1113,2902,3782,203,308,313,374
0.585,526,1067,2935,3825,200,308,310,355
0.595,509,1049,2970,3879,199,310,316,370
0.605,511,1058,3006,3877,189,321,330,382
0.615,511,1083,3041,3847,182,315,330,417
0.625,491,1117,3076,3843,194,314,346,422
0.635,468,1153,3109,3849,208,319,326,427
0.645,464,1191,3135,3864,225,304,352,425
0.655,469,1226,3138,3901,226,320,344,442
0.665,468,1251,3105,3882,225,309,301,474
0.675,462,1259,3054,3906,211,323,323,491
0.685,467,1265,3007,3931,230,314,307,502
0.695,493,1299,2975,4001,197,320,342,490
0.705,513,1374,2958,4013,277,289,350,481
0.715,510,1473,2948,4028,279,309,397,482
0.725,511,1571,2941,4044,276,290,407,489
0.735,502,1655,2933,4077,297,339,361,489
0.745,478,1727,2921,4047,268,324,383,486
0.755,467,1789,2905,3983,264,326,379,503
0.765,470,1833,2884,3911,261,313,369,469
0.775,471,1850,2866,3939,246,305,346,485
0.785,470,1844,2860,3933,194,328,374,487
0.795,469,1824,2875,3991,243,302,379,471
0.805,470,1797,2905,4014,209,343,364,481
0.815,472,1763,2936,4061,251,336,373,522
0.825,474,1726,2955,4009,216,285,404,550
0.835,472,1697,2967,4009,200,301,393,518
0.845,466,1684,2978,3990,191,261,331,519
0.855,469,1697,2999,3986,185,270,326,514
0.865,496,1711,3027,4018,189,290,314,509
0.875,516,1685,3059,4061,186,310,297,496
0.885,514,1591,3092,4047,173,312,282,478
0.895,509,1468,3120,4077,162,310,289,465
0.905,512,1363,3138,4111,181,330,256,473
0.915,510,1279,3144,4143,169,295,294,457
0.925,492,1204,3141,4142,176,309,281,455
0.935,470,1133,3137,4026,181,288,275,429
0.945,463,1061,3137,4042,180,294,274,415
0.955,466,998,3146,4119,183,300,269,414
0.965,470,966,3159,4138,199,302,282,409
0.975,468,967,3172,4186,202,289,286,407
0.985,469,992,3176,4225,206,275,295,411
0.995,488,1033,3168,4203,229,289,333,422
1.005,519,1085,3151,4241,219,300,315,408
1.015,550,1142,3127,4238,218,304,286,411
1.025,573,1189,3102,4226,220,302,260,413
1.035,596,1224,3078,4210,205,317,272,409
1.045,618,1252,3052,4220,230,287,270,411
1.055,627,1281,3021,4177,219,298,290,436
1.065,610,1301,2979,4127,222,279,287,417
1.075,555,1299,2919,4035,232,286,354,440
1.085,465,1261,2835,3947,212,294,357,448
1.095,366,1212,2736,3882,207,287,375,455
1.105,291,1185,2659,3805,205,296,364,444
1.115,269,1176,2628,3772,200,302,382,460
1.125,305,1176,2625,3844,211,310,356,465
1.135,368,1176,2627,3856,202,321,383,469
1.145,404,1175,2614,3855,203,372,390,479
1.155,402,1178,2589,3852,270,333,375,465
1.165,392,1183,2559,3906,260,322,387,491
1.175,401,1165,2534,4022,231,284,381,520
1.185,425,1124,2532,4076,189,334,343,512
1.195,435,1094,2485,4124,182,310,331,516
1.205,404,1094,2442,4192,185,295,324,523
1.215,350,1097,2400,4330,194,295,343,518
1.225,310,1082,2361,4402,212,272,368,519
1.235,309,1055,2323,4533,193,304,391,511
1.245,359,1029,2287,4595,226,287,350,487
1.255,408,1015,2252,4619,207,299,392,453
1.265,425,1017,2219,4547,213,264,392,435
1.275,434,1030,2186,4525,211,286,400,446
1.285,439,1055,2153,4478,228,251,396,451
1.295,405,1091,2122,4443,229,236,400,459
1.305,338,1136,2093,4497,244,271,344,467
1.315,280,1183,2067,4538,240,267,292,461
1.325,281,1224,2044,4512,229,249,324,447
1.335,351,1254,2025,4433,253,264,362,438
1.345,431,1271,2012,4434,220,242,362,470
1.355,503,1288,2002,4460,189,271,324,454
1.365,566,1325,1995,4543,151,264,367,449
1.375,617,1390,1992,4621,153,305,385,439
1.385,630,1448,1991,4650,155,298,371,443
1.395,629,1454,1992,4660,200,308,299,488
1.405,621,1427,1995,4586,238,327,333,505
1.415,574,1399,1997,4560,224,336,365,510
1.425,517,1380,1998,4452,250,365,381,519
1.435,484,1357,1995,4488,248,333,344,501
1.445,472,1334,1987,4578,254,326,359,515
1.455,466,1328,1980,4664,244,307,368,518
1.465,470,1358,1982,4719,226,257,368,483
1.475,494,1425,2004,4732,213,258,335,480
1.485,534,1519,2057,4710,213,269,298,467
1.495,580,1628,2159,4703,209,268,306,492
1.505,624,1742,2323,4797,225,275,317,476
1.515,656,1849,2508,4951,249,290,332,426
1.525,669,1943,2644,5079,245,301,327,409
1.535,660,2023,2730,5199,225,325,321,414
1.545,634,2097,2793,5245,222,335,297,389
1.555,598,2166,2843,5242,216,331,290,391
1.565,563,2233,2882,5219,230,328,298,411
1.575,545,2297,2914,5114,227,292,297,439
1.585,546,2354,2937,4948,215,302,290,465
1.595,553,2391,2951,4747,208,298,266,459
1.605,557,2400,2954,4580,208,305,259,434
1.615,556,2404,2945,4577,192,321,261,414
1.625,548,2434,2923,4592,187,338,270,418
1.635,533,2494,2893,4694,186,324,283,435
1.645,517,2504,2862,4694,220,322,298,440
1.655,509,2415,2837,4603,227,298,330,425
1.665,509,2308,2827,4552,237,314,336,473
1.675,510,2237,2832,4536,240,342,364,502
1.685,510,2194,2848,4578,225,363,361,466
1.695,509,2170,2870,4613,188,348,393,502
1.705,509,2158,2890,4644,178,382,299,451
1.715,529,2156,2903,4600,178,377,260,437
1.725,494,2158,2905,4539,154,358,251,428
1.735,499,2161,2896,4522,132,402,202,450
1.745,501,2161,2880,4479,142,417,261,472
1.755,495,2153,2860,4441,157,414,245,452
1.765,490,2144,2841,4384,173,412,248,425
