sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,629,1567,2479,3511,222,296,404,481
0.015,707,1574,2394,3466,261,278,374,467
0.025,713,1552,2413,3482,216,294,340,465
0.035,735,1557,2426,3473,209,287,364,442
0.045,739,1541,2430,3457,238,322,359,426
0.055,691,1536,2432,3532,234,341,324,421
0.065,633,1505,2494,3585,294,334,314,428
0.075,561,1504,2480,3580,274,303,313,421
0.085,558,1470,2511,3633,261,338,299,430
0.095,589,1499,2574,3695,239,306,317,436
0.105,608,1552,2618,3751,225,318,328,453
0.115,651,1546,2553,3747,250,310,356,453
0.125,662,1526,2508,3782,260,305,367,429
0.135,720,1590,2393,3762,239,352,368,433
0.145,668,1650,2417,3743,267,317,358,456
0.155,472,1639,2404,3635,257,321,335,473
0.165,494,1717,2387,3475,161,292,343,478
0.175,423,1609,2451,3380,127,261,368,461
0.185,459,1586,2527,3310,158,296,367,432
0.195,426,1578,2507,3439,208,310,328,456
0.205,462,1580,2388,3351,271,332,357,413
0.215,489,1564,2419,3436,305,315,328,413
0.225,510,1640,2420,3578,249,337,303,410
0.235,524,1688,2537,3588,222,352,316,436
0.245,533,1771,2538,3579,260,329,317,451
0.255,538,1733,2613,3650,265,302,331,450
0.265,539,1740,2599,3610,269,290,346,414
0.275,538,1791,2539,3591,264,303,362,410
0.285,538,1738,2527,3569,264,341,350,416
0.295,543,1718,2543,3672,239,343,312,442
0.305,550,1712,2578,3661,251,303,333,446
0.315,558,1690,2566,3639,247,319,319,409
0.325,564,1763,2525,3626,247,305,353,416
0.335,567,1723,2531,3667,281,282,333,452
0.345,566,1633,2522,3660,285,257,370,443
0.355,564,1598,2588,3617,242,296,357,465
0.365,564,1590,2627,3538,244,287,397,479
0.375,568,1577,2749,3410,198,256,428,481
0.385,578,1506,2860,3392,188,285,410,461
0.395,595,1415,3056,3470,176,305,368,468
0.405,617,1280,3068,3533,177,293,329,492
0.415,644,1207,3080,3661,195,308,322,512
0.425,674,1152,3089,3863,177,275,316,507
0.435,702,1135,3094,4045,194,274,310,466
0.445,726,1170,3093,4100,206,291,301,419
0.455,742,1172,3083,4094,203,294,304,413
0.465,751,1185,3063,4072,206,294,293,403
0.475,758,1202,3031,4033,196,288,298,392
0.485,765,1192,2985,4003,205,292,301,393
0.495,774,1203,2924,3990,195,292,300,401
0.505,783,1255,2855,3933,200,277,265,408
0.515,789,1274,2786,3847,209,288,260,400
0.525,791,1282,2728,3836,181,312,263,407
0.535,787,1284,2672,3834,178,303,283,402
0.545,775,1287,2597,3777,184,308,302,414
0.555,752,1294,2481,3710,189,286,308,447
0.565,719,1312,2342,3622,204,300,294,414
0.575,688,1346,2257,3556,216,296,336,392
0.585,666,1401,2230,3547,209,306,301,398
0.595,643,1482,2206,3538,184,306,318,402
0.605,614,1578,2181,3546,169,311,313,427
0.615,596,1671,2201,3540,153,313,334,445
0.625,590,1752,2308,3557,155,295,289,428
0.635,555,1830,2448,3523,140,301,312,436
0.645,552,1913,2542,3444,155,307,296,447
0.655,508,1991,2590,3324,139,303,314,467
0.665,466,2035,2610,3233,153,300,341,449
0.675,462,2026,2613,3255,175,268,336,440
0.685,431,1968,2598,3462,198,313,328,428
0.695,463,1875,2568,3565,227,357,303,450
0.705,373,1778,2538,3614,258,364,302,460
0.715,364,1710,2521,3586,280,327,345,482
0.725,350,1676,2521,3574,280,297,336,514
0.735,335,1668,2525,3568,268,331,319,491
0.745,322,1676,2520,3655,235,352,324,468
0.755,317,1677,2502,3760,279,324,333,422
0.765,319,1624,2472,3767,279,321,321,414
0.775,320,1518,2433,3717,244,302,342,434
0.785,312,1446,2386,3675,290,296,337,428
0.795,297,1410,2333,3699,331,338,315,464
0.805,285,1377,2278,3613,304,312,323,447
0.815,280,1320,2221,3586,268,301,324,455
0.825,282,1252,2165,3543,251,315,358,451
0.835,291,1202,2113,3347,226,286,379,450
0.845,308,1197,2066,3197,220,278,357,416
0.855,350,1261,2027,3170,214,292,328,408
0.865,433,1367,1998,3176,210,305,302,410
0.875,535,1434,1987,3210,203,311,304,409
0.885,595,1476,2001,3215,206,310,290,410
0.895,631,1524,2043,3258,208,310,313,416
0.905,671,1572,2110,3333,195,296,292,430
0.915,709,1604,2198,3467,184,283,316,447
0.925,736,1612,2295,3589,178,285,323,460
0.935,745,1602,2385,3732,174,287,320,459
0.945,740,1575,2453,3816,186,298,300,438
0.955,724,1533,2502,3885,208,284,292,434
0.965,702,1474,2536,3944,218,318,264,430
0.975,678,1396,2557,4060,221,295,275,446
0.985,656,1295,2565,4216,244,291,287,465
0.995,542,1177,2555,4297,238,282,298,469
1.005,440,1111,2533,4298,244,291,312,468
1.015,427,1144,2505,4233,256,293,321,486
