sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,571,1444,2593,3762,216,325,351,442
0.015,656,1404,2531,3873,234,345,327,464
0.025,731,1411,2529,3984,243,328,306,453
0.035,470,1413,2532,4099,242,343,287,445
0.045,465,1476,2518,4142,232,352,308,441
0.055,470,1588,2490,4188,284,339,324,453
0.065,457,1614,2523,4177,275,332,328,429
0.075,430,1681,2488,4118,269,332,346,449
0.085,423,1709,2580,3979,244,310,331,447
0.095,427,1714,2641,3927,241,325,348,474
0.105,426,1731,2693,3910,254,329,360,493
0.115,442,1765,2702,3970,265,323,357,459
0.125,464,1844,2655,3925,271,332,339,470
0.135,467,1860,2648,3968,273,320,343,462
0.145,467,1890,2686,4040,251,314,361,467
0.155,466,1857,2789,4175,224,299,375,457
0.165,461,1828,2897,4339,190,263,393,434
0.175,500,1863,2962,4406,201,249,369,403
0.185,550,2004,3000,4425,212,275,351,389
0.195,564,2117,2979,4436,189,282,335,373
0.205,577,2170,2947,4519,179,294,324,376
0.215,629,2249,2949,4576,180,295,323,386
0.225,682,2330,2868,4590,171,310,291,384
0.235,703,2349,2838,4606,163,321,287,377
0.245,694,2285,2837,4555,178,315,299,357
0.255,667,2122,2896,4549,211,354,278,369
0.265,644,1818,2907,4577,223,363,292,352
0.275,598,1518,2909,4607,180,357,323,344
0.285,500,1319,2823,4602,231,298,379,363
0.295,427,1123,2704,4569,208,297,400,367
0.305,368,983,2618,4492,213,310,416,369
0.315,293,930,2553,4459,202,313,388,381
0.325,267,929,2581,4415,206,303,379,355
0.335,278,939,2616,4344,179,334,356,346
0.345,320,952,2703,4335,167,289,339,333
0.355,408,994,2748,4284,198,304,323,327
0.365,514,1067,2698,4124,219,312,293,342
0.375,581,1145,2689,4152,210,300,268,334
0.385,613,1205,2655,4141,197,293,253,338
0.395,651,1256,2610,4134,194,278,284,334
0.405,700,1324,2562,4144,206,266,281,338
0.415,738,1408,2559,4155,187,288,296,355
0.425,750,1475,2531,4147,208,293,311,379
0.435,742,1512,2449,4158,193,295,300,381
0.445,725,1522,2409,4171,209,296,305,379
0.455,706,1519,2345,4167,210,291,319,393
0.465,687,1521,2288,4155,218,294,316,393
0.475,671,1516,2223,4150,226,301,307,396
0.485,660,1479,2176,4188,229,284,315,397
0.495,656,1433,2130,4238,227,284,323,383
0.505,658,1396,2101,4278,232,296,315,375
0.515,662,1350,2095,4287,218,305,305,377
0.525,666,1299,2122,4202,203,287,298,369
0.535,664,1301,2182,4132,199,293,329,379
0.545,652,1414,2217,4099,178,302,302,397
0.555,633,1576,2265,4027,176,306,323,453
0.565,617,1687,2302,3979,173,300,319,505
0.575,593,1731,2359,4105,173,310,321,534
0.585,529,1762,2466,4297,199,326,291,553
0.595,450,1833,2626,4543,198,310,301,509
0.605,399,1888,2766,4633,194,276,278,459
0.615,391,1903,2839,4666,206,267,320,407
0.625,425,1909,2893,4705,183,263,343,397
0.635,490,1927,2953,4660,164,262,318,385
0.645,558,1946,2997,4691,162,256,321,388
0.655,587,1952,3015,4700,165,269,318,376
0.665,566,1947,3020,4778,170,274,304,395
0.675,529,1934,3019,4804,176,276,309,378
0.685,491,1912,3014,4759,199,284,299,407
0.695,439,1876,2997,4707,207,309,294,425
0.705,381,1823,2961,4578,242,307,348,442
0.715,347,1724,2910,4545,282,319,373,455
0.725,349,1737,2859,4510,330,355,393,443
0.735,341,1732,2826,4583,353,374,378,430
0.745,271,1719,2822,4482,334,358,367,417
0.755,294,1793,2828,4319,291,354,370,447
0.765,277,1845,2825,4150,281,310,349,450
0.775,254,1966,2804,4143,250,336,383,442
0.785,233,1903,2776,4181,269,370,367,460
0.795,218,1829,2750,4215,219,372,381,435
0.805,212,1691,2734,4298,225,423,343,409
0.815,229,1477,2725,4464,170,423,342,397
0.825,284,1269,2720,4598,173,394,319,381
0.835,368,1165,2714,4581,192,315,322,348
0.845,442,1228,2706,4483,201,281,295,359
0.855,493,1353,2700,4470,196,293,273,369
0.865,536,1452,2702,4414,182,291,254,382
0.875,579,1508,2717,4369,172,282,255,380
0.885,612,1527,2749,4366,173,278,262,369
0.895,629,1518,2790,4316,174,286,290,346
0.905,644,1494,2833,4296,170,310,307,330
0.915,671,1483,2872,4249,163,333,314,344
0.925,702,1471,2908,4160,179,322,323,360
0.935,724,1450,2943,4117,193,286,304,369
0.945,726,1408,2971,4094,197,288,313,380
0.955,708,1350,2984,4070,192,291,311,385
0.965,673,1286,2982,4054,180,287,306,387
0.975,624,1220,2966,4025,176,296,319,387
0.985,567,1152,2940,3997,178,291,322,393
0.995,506,1086,2906,4029,200,302,320,406
1.005,448,1051,2869,3983,173,338,337,457
1.015,492,1085,2836,3892,226,361,375,476
1.025,518,1164,2809,3819,291,322,380,460
1.035,531,1248,2789,3805,307,296,348,443
1.045,517,1324,2773,3765,327,319,352,483
1.055,588,1389,2760,3764,319,284,348,475
1.065,718,1466,2747,3810,288,340,371,477
1.075,797,1575,2737,3946,241,334,363,486
1.085,837,1684,2741,4084,247,311,355,497
1.095,860,1761,2767,4277,235,308,332,463
1.105,764,1846,2817,4451,185,304,349,444
1.115,723,1961,2874,4497,188,301,337,442
1.125,723,2057,2924,4445,184,315,339,413
1.135,695,2114,2951,4384,182,347,329,400
1.145,696,2168,2940,4334,180,342,332,390
1.155,684,2257,2993,4291,184,343,323,371
1.165,644,2287,3012,4256,183,349,321,357
1.175,628,2328,2991,4244,179,352,321,351
1.185,608,2373,2984,4253,178,339,328,339
1.195,590,2426,2976,4287,183,337,323,345
1.205,598,2453,2993,4312,185,328,332,347
1.215,574,2474,2969,4372,186,331,332,358
1.225,555,2459,2993,4429,187,324,323,347
1.235,533,2464,2995,4438,184,339,325,336
1.245,511,2444,2998,4441,182,324,321,334
1.255,497,2432,2999,4462,167,323,312,376
1.265,469,2383,3017,4469,185,307,306,415
1.275,466,2271,3032,4349,197,297,313,423
1.285,465,2219,3076,4254,191,289,311,434
1.295,462,2209,3136,4174,198,298,303,427
1.305,462,2162,3137,4010,183,318,287,426
1.315,467,2111,3155,3886,187,300,282,443
1.325,479,2064,3113,3797,181,306,261,478
1.335,472,2057,3137,3771,183,296,270,500
1.345,453,2027,3160,3786,191,279,269,492
1.355,437,2020,3142,3814,199,284,269,511
1.365,398,2035,3142,3907,216,308,312,501
1.375,402,2018,3129,4024,229,313,333,495
1.385,404,2000,3013,4063,242,339,335,448
1.395,366,1985,2826,4089,288,351,340,442
1.405,388,1951,2813,4103,342,363,380,464
1.415,385,1911,2743,4145,317,374,352,451
1.425,392,1875,2725,4158,343,337,355,441
1.435,419,1850,2777,4169,251,320,355,456
1.445,432,1836,2789,4058,229,332,344,459
1.455,427,1822,2819,4025,227,298,366,468
1.465,433,1814,2971,4212,223,248,394,496
1.475,458,1805,3022,4391,163,303,368,460
1.485,489,1861,3081,4497,180,281,343,432
1.495,506,1960,3087,4580,178,276,340,406
1.505,503,2076,3088,4612,180,283,335,382
1.515,518,2186,3036,4566,184,297,332,386
1.525,543,2277,3010,4531,199,324,314,381
1.535,534,2340,3004,4499,188,331,290,382
1.545,493,2375,3006,4444,170,354,289,383
1.555,437,2386,3004,4366,170,357,322,411
1.565,390,2378,3092,4246,185,340,333,440
1.575,383,2355,3158,4074,254,335,319,421
1.585,448,2323,3198,4208,289,332,295,421
1.595,456,2287,3226,4108,280,305,316,382
1.605,472,2254,3212,4168,311,322,279,377
1.615,475,2229,3287,4039,291,317,297,390
1.625,461,2219,3227,4097,315,346,275,394
1.635,475,2221,3133,4117,311,354,310,380
1.645,470,2223,3191,4008,322,361,339,427
1.655,447,2210,3239,4047,312,333,318,402
1.665,464,2184,3277,4012,320,342,269,413
1.675,458,2151,3202,3992,302,323,304,386
1.685,457,2116,3142,3998,292,316,292,407
1.695,456,2087,3045,4094,224,320,323,397
1.705,527,2061,2939,4128,193,309,313,375
1.715,500,2036,2877,4103,186,305,304,360
1.725,517,2004,2885,3959,179,302,288,374
1.735,515,1963,2804,3857,190,283,310,392
1.745,501,1917,2764,3718,195,258,298,437
1.755,448,1878,2703,3578,192,259,253,475
1.765,341,1853,2637,3572,233,305,276,472
1.775,322,1842,2612,3611,213,306,290,497
1.785,443,1843,2632,3584,228,382,299,471
1.795,517,1846,2685,3558,210,327,314,427
1.805,544,1834,2741,3733,178,291,302,428
1.815,551,1809,2780,3948,175,289,314,438
1.825,562,1795,2800,4171,156,288,320,434
1.835,548,1796,2875,4337,147,284,306,425
1.845,533,1804,2949,4332,140,274,297,409
1.855,533,1809,2922,4337,167,262,286,400
1.865,498,1807,2898,4323,169,257,271,404
1.875,508,1790,2902,4369,197,282,290,422
1.885,494,1757,2837,4295,184,277,281,446
1.895,466,1707,2804,4306,212,323,312,430
1.905,380,1638,2865,4252,258,307,356,454
1.915,331,1706,2919,4266,316,347,365,439
1.925,311,1735,2907,4307,354,364,352,434
1.935,309,1726,2904,4346,342,395,333,446
1.945,319,1736,2860,4425,312,420,327,430
1.955,330,1744,2876,4339,372,393,339,458
1.965,336,1798,2881,4249,331,322,365,418
1.975,335,1857,2824,4228,269,336,349,408
1.985,322,1892,2794,4204,263,338,327,426
1.995,295,1907,2778,4139,262,335,320,424
2.005,266,1895,2770,4053,264,316,340,438
2.015,247,1904,2772,4051,249,323,360,455
2.025,251,1794,2783,4086,223,315,371,456
2.035,281,1814,2733,4135,212,338,325,448
2.045,327,2002,2810,4254,208,317,337,415
2.055,379,2109,2919,4362,199,280,344,408
2.065,430,2101,3000,4381,175,251,364,399
2.075,475,2123,3103,4351,176,243,367,386
2.085,514,2094,3125,4385,184,253,350,366
2.095,547,2122,3117,4368,196,272,343,378
2.105,578,2111,3139,4346,178,247,356,373
2.115,610,2123,3180,4369,173,267,354,346
2.125,639,2137,3222,4368,165,258,349,352
2.135,659,2100,3236,4358,169,261,315,356
2.145,663,2098,3246,4383,166,263,311,363
2.155,648,2058,3207,4396,201,275,314,393
2.165,616,2046,3206,4400,212,299,335,409
2.175,571,2033,3041,4474,250,333,345,414
2.185,517,2058,2873,4544,256,357,355,431
2.195,462,2063,2845,4512,250,339,331,407
2.205,412,2081,2745,4600,210,350,330,431
2.215,375,2046,2750,4503,195,320,362,412
2.225,357,2022,2704,4587,211,331,364,425
