sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,507,1384,2496,3538,259,288,369,439
0.015,536,1381,2501,3573,299,299,312,431
0.025,565,1474,2452,3642,301,307,322,428
0.035,658,1450,2487,3711,276,316,316,447
0.045,696,1446,2546,3666,269,322,337,443
0.055,717,1501,2520,3646,253,307,359,429
0.065,684,1543,2461,3713,225,316,339,427
0.075,671,1523,2496,3753,268,303,328,422
0.085,671,1579,2571,3763,228,301,370,414
0.095,748,1549,2550,3799,279,310,355,432
0.105,839,1536,2492,3838,269,322,364,453
0.115,831,1557,2451,3808,230,344,362,469
0.125,872,1557,2505,3868,241,339,325,457
0.135,852,1557,2516,4004,220,345,310,466
0.145,855,1644,2453,4050,239,346,313,465
0.155,925,1700,2482,3985,234,335,330,481
0.165,1027,1702,2455,4015,235,362,334,510
0.175,947,1733,2439,3948,221,373,317,499
0.185,909,1687,2490,3903,229,342,350,480
0.195,985,1684,2486,3918,248,314,327,452
0.205,962,1763,2464,3909,231,327,351,473
0.215,992,1782,2538,3884,223,329,351,467
0.225,1033,1863,2659,3852,227,371,363,428
0.235,1048,1971,2794,3855,230,412,370,431
0.245,1018,1993,2787,3904,241,377,331,445
0.255,954,2004,2809,3886,216,334,351,456
0.265,886,1957,2840,3791,259,299,374,432
0.275,857,1984,2929,3790,257,294,372,413
0.285,872,2086,2993,3860,236,328,331,408
0.295,847,2140,3064,3875,219,327,328,394
0.305,821,2204,3144,3944,209,311,329,404
0.315,901,2200,3195,3973,230,289,334,434
0.325,936,2145,3151,3962,270,293,303,429
0.335,911,2006,3124,3991,276,317,284,444
0.345,896,2067,3176,3998,275,292,313,477
0.355,835,2164,3180,4014,220,336,296,450
0.365,838,2213,3251,4061,203,297,320,458
0.375,832,2154,3215,4015,215,306,306,447
0.385,871,2121,3221,3999,216,311,314,466
0.395,914,2097,3103,4025,229,312,330,447
0.405,899,1991,3047,4062,245,298,329,444
0.415,921,1984,2940,4001,219,336,331,424
0.425,833,1995,2912,3895,198,340,346,460
0.435,822,1887,2832,3875,207,306,353,450
0.445,975,1961,2783,3942,204,337,367,467
0.455,946,1862,2837,3978,233,322,347,474
0.465,848,1751,2829,3941,233,293,337,459
0.475,834,1799,2872,3938,198,334,327,452
0.485,882,1895,2964,3959,202,332,345,462
0.495,907,2013,2977,4078,174,377,321,498
0.505,856,2108,2966,4167,207,360,334,486
0.515,664,2110,2953,4200,220,386,328,456
0.525,574,2184,3024,4285,170,364,367,453
0.535,483,2271,3047,4405,169,343,380,479
0.545,514,2269,3124,4553,184,295,384,498
0.555,516,2260,3170,4660,177,290,363,437
0.565,520,2209,3253,4655,191,287,356,397
0.575,495,2118,3262,4635,201,282,330,393
0.585,435,2116,3201,4600,213,285,308,384
0.595,366,2103,3166,4546,216,312,339,424
0.605,376,2089,3002,4475,190,367,382,456
0.615,428,2127,2919,4492,253,342,387,486
0.625,401,2043,2856,4525,305,332,375,460
0.635,393,2020,2791,4494,345,330,360,441
0.645,421,2024,2686,4430,381,345,350,463
0.655,461,1931,2667,4409,340,340,345,451
0.665,487,1894,2670,4426,281,311,361,470
0.675,488,1930,2654,4440,300,309,379,481
0.685,482,1964,2733,4392,277,297,429,424
0.695,488,1906,2834,4286,264,326,383,421
0.705,512,1906,2900,4283,266,338,353,440
0.715,538,1931,2874,4236,223,345,354,450
0.725,556,1889,2953,4192,247,324,364,450
0.735,560,1893,2927,4100,228,324,347,422
0.745,548,1847,2907,4051,258,327,349,419
0.755,529,1877,2921,4108,226,313,352,430
0.765,517,1924,2794,4222,204,302,307,404
0.775,515,1902,2776,4353,181,288,302,409
0.785,528,1966,2805,4423,190,293,275,398
0.795,551,2011,2819,4427,189,291,261,368
0.805,578,2043,2856,4451,179,295,287,359
0.815,604,2070,2840,4496,186,302,286,347
0.825,631,2099,2855,4494,170,284,289,353
0.835,657,2134,2848,4508,168,275,299,350
0.845,683,2147,2867,4540,152,268,305,339
0.855,710,2181,2979,4543,156,283,305,340
0.865,738,2047,2984,4550,152,286,334,349
0.875,765,1922,2993,4506,174,296,318,388
0.885,785,1829,3004,4484,187,287,334,402
0.895,794,1773,3015,4411,192,299,343,416
0.905,788,1707,3025,4353,210,291,359,423
0.915,768,1610,3030,4312,213,324,361,440
0.925,739,1543,3030,4243,196,286,356,446
0.935,707,1544,3022,4186,165,254,356,437
0.945,678,1611,3005,4094,149,237,359,408
0.955,652,1736,2980,4079,141,286,334,410
0.965,631,1897,2950,4079,161,358,284,404
0.975,615,2061,2918,4093,184,418,242,404
0.985,603,2175,2885,4126,184,428,250,405
0.995,595,2238,2851,4169,171,427,249,417
1.005,610,2285,2819,4189,188,433,233,396
1.015,636,2327,2787,4139,169,415,238,390
1.025,626,2349,2757,4169,189,372,278,391
1.035,587,2338,2730,4189,161,357,297,387
1.045,551,2276,2706,4178,150,335,298,390
1.055,534,2222,2687,4133,138,335,302,394
1.065,520,2202,2672,4085,169,339,308,404
1.075,499,2187,2665,4055,162,332,320,418
1.085,484,2175,2668,4057,194,306,330,443
1.095,488,2159,2686,4128,209,307,347,488
1.105,488,2133,2717,4174,220,352,336,474
1.115,452,2108,2754,4152,193,345,354,448
1.125,404,2106,2789,4086,212,329,365,450
1.135,381,2111,2815,4101,260,344,356,454
1.145,356,2111,2833,4219,319,354,382,462
1.155,325,2108,2845,4368,322,378,401,439
1.165,320,2105,2856,4425,321,359,393,418
1.175,332,2108,2866,4323,259,330,377,397
1.185,357,2121,2877,4208,214,320,323,424
1.195,409,2116,2876,4097,145,298,309,419
1.205,493,2063,2848,4011,159,271,291,417
1.215,586,1972,2798,3929,119,219,288,404
1.225,646,1871,2751,3896,111,287,295,422
1.235,680,1789,2725,3927,143,365,336,438
