sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,483,1410,2428,3585,274,315,357,453
0.015,532,1428,2461,3520,269,299,335,430
0.025,567,1445,2498,3487,306,277,313,449
0.035,578,1489,2451,3422,298,302,326,445
0.045,595,1465,2454,3440,254,340,288,415
0.055,609,1487,2446,3467,266,298,292,396
0.065,668,1479,2462,3441,256,326,300,406
0.075,704,1459,2453,3479,274,329,306,415
0.085,720,1521,2346,3388,283,338,336,400
0.095,777,1515,2373,3406,260,337,353,422
0.105,725,1587,2395,3498,289,310,336,416
0.115,757,1575,2444,3437,303,316,340,414
0.125,730,1621,2536,3466,253,338,328,423
0.135,783,1607,2556,3558,283,323,323,424
0.145,816,1589,2537,3604,278,320,333,424
0.155,702,1537,2472,3688,239,313,354,442
0.165,524,1549,2526,3829,220,317,396,474
0.175,565,1534,2601,3902,183,310,400,481
0.185,557,1499,2659,4057,174,326,403,479
0.195,566,1414,2776,4179,173,353,403,436
0.205,594,1280,2899,4250,183,384,419,418
0.215,546,1181,3047,4205,176,348,385,409
0.225,540,1110,3116,4242,186,305,371,397
0.235,509,1095,3094,4288,191,286,355,406
0.245,504,1074,3131,4334,191,308,378,414
0.255,485,1073,3153,4401,195,315,347,407
0.265,487,1077,3128,4345,193,335,354,404
0.275,503,1070,3134,4387,194,327,362,405
0.285,532,1027,3175,4398,187,319,353,411
0.295,556,1029,3248,4423,210,291,360,402
0.305,591,1090,3321,4432,217,311,335,404
0.315,655,1155,3314,4497,222,305,318,408
0.325,680,1256,3286,4532,217,300,307,411
0.335,712,1305,3248,4504,222,279,321,404
0.345,733,1311,3242,4504,228,289,330,459
0.355,709,1349,3150,4483,225,286,302,439
0.365,725,1369,3124,4414,220,287,318,434
0.375,723,1435,3074,4387,202,281,340,438
0.385,736,1477,3080,4435,208,261,325,434
0.395,738,1522,3066,4378,206,277,335,455
0.405,711,1585,3050,4325,197,313,338,448
0.415,691,1657,3043,4277,185,315,324,449
0.425,674,1736,3013,4270,179,319,316,408
0.435,602,1771,2938,4153,163,270,331,419
0.445,569,1736,2802,3994,139,250,334,411
0.455,513,1621,2591,3813,155,262,316,414
0.465,444,1611,2596,3756,210,302,329,414
0.475,386,1718,2630,3774,207,312,384,449
0.485,333,1727,2566,3703,214,329,332,414
0.495,378,1682,2544,3772,225,333,321,407
0.505,420,1605,2551,3835,196,299,327,409
0.515,531,1594,2489,3810,181,293,309,388
0.525,540,1634,2381,3779,149,259,309,362
0.535,574,1631,2316,3844,170,246,302,364
0.545,584,1707,2271,3817,149,258,300,362
0.555,596,1709,2244,3833,142,269,310,369
0.565,609,1714,2233,3847,158,270,318,364
0.575,602,1710,2237,3871,138,264,302,362
