sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,667,1501,2423,3501,251,353,372,449
0.015,764,1494,2385,3493,247,358,321,417
0.025,663,1512,2434,3545,217,346,333,415
0.035,584,1470,2456,3595,239,325,331,435
0.045,577,1471,2392,3660,269,312,329,430
0.055,583,1470,2456,3633,286,290,328,424
0.065,352,1859,2738,3703,299,290,344,424
0.075,340,1859,2730,3821,276,328,311,444
0.085,363,1863,2752,3880,253,331,333,472
0.095,368,1870,2775,4013,290,313,298,466
0.105,358,1881,2779,4075,239,318,305,457
0.115,344,1894,2775,4124,262,309,327,439
0.125,338,1910,2774,4163,208,316,329,429
0.135,343,1927,2779,4212,183,334,342,428
0.145,336,1944,2790,4184,186,311,370,427
0.155,312,1963,2808,4127,186,302,375,424
0.165,341,1982,2828,4008,190,334,341,404
0.175,406,2008,2843,4022,217,341,362,420
0.185,452,2054,2848,4098,255,373,346,424
0.195,511,2123,2875,4131,244,385,332,448
0.205,585,2199,2944,4184,220,374,360,454
0.215,585,2259,2997,4282,205,354,357,464
0.225,588,2283,3042,4356,197,350,332,469
0.235,605,2285,3112,4452,192,333,347,474
0.245,609,2288,3162,4504,183,335,344,478
0.255,606,2295,3161,4570,186,324,350,455
0.265,611,2304,3134,4596,181,315,341,455
0.275,623,2311,3099,4538,177,312,329,452
0.285,629,2312,3072,4448,177,304,332,444
0.295,621,2304,3067,4424,186,294,329,445
0.305,603,2284,3068,4463,175,284,325,432
0.315,580,2249,3057,4519,181,263,328,435
0.325,564,2197,3040,4545,198,254,299,409
0.335,564,2136,3017,4604,196,311,290,384
0.345,564,2077,2972,4669,174,343,281,384
0.355,524,2038,2851,4668,169,354,265,363
0.365,456,2036,2899,4664,169,372,277,350
0.375,421,2082,2950,4545,194,337,292,358
0.385,430,2161,3052,4506,205,312,303,351
0.395,443,2241,3086,4484,196,338,304,364
0.405,476,2297,3098,4499,189,360,313,382
0.415,525,2320,3141,4533,180,361,341,392
0.425,572,2334,3096,4490,172,336,321,401
0.435,600,2338,3008,4442,161,300,296,417
0.445,609,2289,2919,4401,140,323,256,439
0.455,598,2186,2835,4408,164,344,246,456
0.465,577,2044,2752,4417,159,330,282,448
0.475,555,1805,2709,4497,191,304,271,457
0.485,543,1573,2740,4591,179,310,297,426
0.495,539,1450,2804,4656,184,304,310,403
0.505,540,1334,2835,4651,195,290,328,400
0.515,539,1233,2877,4554,194,315,332,403
0.525,530,1184,3052,4481,203,283,362,410
0.535,520,1180,3108,4493,208,303,369,433
0.545,517,1188,3167,4472,209,314,373,412
0.555,523,1180,3235,4448,198,296,390,439
0.565,534,1167,3321,4443,190,319,387,447
0.575,539,1167,3404,4439,178,319,382,431
0.585,533,1169,3456,4408,184,323,380,449
0.595,515,1152,3501,4437,188,313,353,463
0.605,492,1119,3536,4489,197,284,324,438
0.615,468,1087,3535,4469,190,270,344,416
0.625,447,1065,3506,4499,182,276,350,434
0.635,433,1047,3468,4557,184,287,330,433
0.645,426,1032,3434,4626,189,292,334,407
0.655,428,1033,3411,4656,187,287,325,370
0.665,430,1055,3391,4664,188,298,319,348
0.675,426,1078,3369,4605,200,295,320,392
0.685,417,1097,3338,4658,194,317,331,393
0.695,430,1153,3298,4593,172,314,311,395
0.705,487,1293,3252,4598,158,331,315,398
0.715,571,1498,3213,4520,165,309,328,403
0.725,660,1626,3193,4358,183,313,314,404
0.735,723,1670,3183,4391,167,305,326,400
0.745,753,1687,3164,4456,168,310,337,412
0.755,762,1706,3144,4579,154,307,339,428
0.765,765,1722,3121,4577,164,305,345,423
0.775,765,1729,3090,4632,152,309,358,418
0.785,764,1725,3051,4591,152,301,336,422
0.795,760,1709,2993,4597,156,317,313,433
0.805,746,1680,2943,4535,137,296,302,420
0.815,708,1650,2946,4497,154,306,300,405
0.825,646,1632,2918,4408,215,314,322,399
0.835,582,1602,2889,4384,242,311,344,431
0.845,490,1472,2890,4380,225,342,349,470
0.855,392,1272,2920,4364,268,371,361,450
0.865,347,1156,2976,4280,234,383,349,425
0.875,356,1060,3056,4380,168,351,335,442
0.885,366,939,3147,4359,152,316,339,409
0.895,402,881,3229,4426,174,308,389,398
0.905,472,887,3287,4476,165,321,416,410
0.915,506,908,3328,4448,186,310,410,409
0.925,528,925,3359,4440,187,307,422,434
0.935,560,944,3387,4396,176,305,422,449
0.945,588,970,3413,4453,170,302,409,472
0.955,603,1003,3439,4535,174,320,421,507
0.965,606,1043,3466,4577,192,264,411,472
0.975,602,1094,3488,4536,214,268,409,422
0.985,591,1163,3496,4396,252,236,430,434
0.995,576,1255,3480,4288,272,252,441,423
1.005,559,1360,3445,4265,264,278,433,390
1.015,542,1454,3401,4285,234,292,433,431
1.025,529,1528,3359,4281,191,311,423,384
1.035,521,1596,3309,4308,185,299,401,386
1.045,516,1674,3229,4334,196,309,376,394
1.055,515,1766,3144,4321,205,310,395,380
1.065,509,1866,3082,4364,218,315,381,393
1.075,490,1962,3020,4391,233,329,352,376
1.085,458,2017,2951,4423,235,349,358,383
1.095,431,1999,2893,4395,220,336,348,413
1.105,428,1924,2862,4461,203,300,357,423
1.115,441,1816,2852,4476,214,367,327,396
1.125,450,1661,2845,4536,217,358,328,382
1.135,443,1434,2826,4447,201,350,309,364
1.145,431,1220,2806,4408,193,333,296,370
1.155,426,1101,2796,4465,188,304,293,366
1.165,428,968,2758,4443,205,305,311,349
1.175,427,854,2635,4302,201,297,345,379
1.185,419,849,2553,4291,158,305,370,391
1.195,423,885,2446,4325,133,322,347,433
1.205,456,918,2277,4254,147,331,345,486
1.215,495,962,2102,4180,133,302,377,512
1.225,512,1031,1983,4198,187,273,383,472
1.235,517,1137,1932,4210,179,281,361,432
1.245,523,1278,1933,4229,189,290,315,425
1.255,519,1389,1965,4200,223,284,339,400
1.265,490,1405,2007,4235,272,269,369,408
1.275,432,1367,2049,4130,285,256,343,391
1.285,380,1343,2099,4122,269,295,304,422
1.295,362,1352,2151,4073,271,316,287,429
1.305,361,1319,2191,4156,269,293,315,430
1.315,351,1199,2218,4353,254,306,335,402
1.325,339,1071,2237,4358,206,291,353,374
1.335,342,997,2255,4366,190,315,337,363
1.345,360,956,2279,4287,183,327,357,386
1.355,379,929,2312,4332,230,322,347,390
1.365,385,920,2356,4422,171,365,319,411
1.375,394,932,2401,4429,211,320,287,369
1.385,437,957,2437,4384,191,299,284,361
1.395,489,984,2465,4394,219,299,280,343
1.405,504,1019,2486,4507,233,279,297,361
1.415,519,1074,2501,4439,223,308,322,393
1.425,579,1139,2510,4422,224,272,303,413
1.435,643,1197,2509,4453,232,296,309,402
1.445,692,1254,2497,4420,226,296,300,420
1.455,724,1315,2476,4395,216,290,310,426
1.465,742,1373,2443,4348,213,289,313,430
1.475,754,1419,2397,4316,208,286,309,426
1.485,761,1457,2336,4378,203,293,325,441
1.495,765,1492,2265,4440,205,298,326,427
1.505,767,1531,2192,4464,199,306,320,424
1.515,766,1567,2147,4515,191,307,306,418
1.525,761,1592,2145,4571,196,316,300,426
1.535,753,1611,2152,4576,187,315,318,381
1.545,745,1631,2150,4615,173,315,296,380
1.555,739,1658,2157,4485,179,320,307,393
1.565,734,1687,2160,4449,172,316,307,413
1.575,724,1709,2126,4388,166,322,340,428
1.585,704,1720,2084,4324,149,306,337,436
1.595,681,1726,2100,4242,126,299,354,428
1.605,672,1729,2161,4232,116,303,387,418
1.615,672,1722,2232,4399,113,317,392,439
1.625,654,1705,2296,4498,157,361,377,467
1.635,589,1686,2351,4451,210,363,350,392
1.645,496,1676,2399,4450,250,366,350,370
1.655,431,1678,2437,4507,279,340,338,387
1.665,400,1692,2468,4457,308,348,358,380
1.675,376,1715,2497,4465,280,347,338,402
1.685,348,1742,2528,4415,301,338,343,400
1.695,335,1765,2565,4353,269,327,371,392
1.705,347,1772,2614,4412,254,305,377,408
1.715,381,1766,2680,4293,187,333,369,423
1.725,432,1754,2762,4226,166,291,371,417
1.735,483,1748,2772,4231,192,308,346,405
1.745,517,1753,2775,4340,195,286,351,447
1.755,535,1764,2742,4316,198,297,344,488
1.765,549,1770,2690,4327,218,306,352,425
1.775,561,1765,2619,4392,215,274,340,415
1.785,564,1748,2515,4426,221,267,384,444
1.795,563,1723,2393,4478,223,248,388,480
1.805,562,1698,2285,4504,220,247,415,456
1.815,563,1668,2206,4561,229,244,412,437
1.825,560,1601,2158,4608,232,282,428,455
1.835,552,1512,2112,4591,230,360,404,410
1.845,573,1464,2064,4532,251,338,398,446
1.855,533,1440,2097,4469,243,367,385,450
1.865,505,1365,2209,4413,260,363,361,467
1.875,462,1350,2257,4357,262,342,348,463
1.885,407,1332,2250,4346,294,329,348,457
1.895,375,1310,2279,4278,277,342,349,460
1.905,366,1285,2332,4197,269,312,341,469
1.915,368,1261,2360,4166,317,292,328,434
1.925,383,1244,2367,4159,270,307,326,438
1.935,391,1234,2365,4136,296,285,318,430
1.945,390,1228,2371,4077,294,304,334,461
1.955,407,1251,2386,3991,279,288,358,440
1.965,439,1316,2386,3970,298,281,391,478
1.975,469,1345,2297,3876,245,284,405,458
1.985,494,1345,2117,3731,232,245,407,434
1.995,511,1345,2032,3893,182,271,381,383
2.005,533,1346,1980,4030,158,274,382,385
2.015,572,1343,1962,4135,134,276,369,391
2.025,600,1342,1952,4192,151,304,329,388
2.035,601,1353,1989,4261,137,300,311,381
2.045,595,1375,2062,4241,132,285,315,384
2.055,595,1391,2077,4275,148,288,307,374
2.065,596,1387,2057,4338,157,294,306,379
2.075,589,1361,2047,4404,168,305,291,388
2.085,571,1345,2068,4343,267,295,353,438
2.095,544,1360,2100,4307,235,358,313,438
2.105,515,1365,2122,4239,258,303,352,413
2.115,489,1323,2138,4232,277,299,344,425
2.125,463,1271,2159,4182,278,336,320,412
2.135,429,1235,2178,4167,256,302,336,439
2.145,407,1225,2186,4167,271,282,336,426
2.155,409,1232,2175,4231,260,296,344,441
2.165,419,1243,2152,4283,176,334,352,462
2.175,432,1256,2131,4391,178,278,344,452
2.185,453,1275,2114,4378,160,295,341,406
2.195,473,1319,2095,4388,181,290,335,415
2.205,484,1426,2089,4410,159,295,325,416
2.215,481,1619,2214,4430,152,298,333,401
2.225,465,1778,2413,4408,152,296,329,416
2.235,459,1916,2526,4446,170,325,303,423
2.245,468,2097,2588,4470,165,348,288,433
2.255,480,2207,2660,4525,179,356,307,442
2.265,481,2242,2741,4528,182,360,299,411
2.275,470,2267,2773,4634,167,368,276,433
