sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,630,1456,2288,3641,268,320,337,436
0.015,732,1455,2283,3657,260,316,322,456
0.025,715,1569,2275,3627,192,326,314,448
0.035,706,1620,2277,3652,199,317,304,428
0.045,755,1679,2270,3620,229,330,308,435
0.055,753,1667,2225,3644,220,324,319,432
0.065,713,1691,2214,3644,224,326,339,439
0.075,705,1710,2224,3677,227,324,334,447
0.085,717,1668,2254,3652,265,315,339,445
0.095,722,1618,2315,3691,272,294,346,455
0.105,744,1733,2383,3729,280,283,340,470
0.115,824,1660,2490,3722,291,317,354,464
0.125,877,1650,2540,3740,315,302,383,440
0.135,858,1770,2508,3791,286,302,404,438
0.145,823,1675,2436,3892,297,263,363,444
0.155,807,1755,2805,3929,269,293,334,484
0.165,591,1841,2717,3962,248,302,309,499
0.175,568,1922,2738,4031,230,307,303,493
0.185,536,1992,2795,4052,283,324,323,463
0.195,484,2043,2830,4129,317,349,322,471
0.205,402,2067,2874,4266,297,335,362,471
0.215,334,2057,2922,4443,262,363,370,473
0.225,312,2017,2928,4607,212,361,373,446
0.235,306,1972,2906,4645,215,352,345,399
0.245,324,1928,2884,4698,190,307,337,391
0.255,365,1871,2886,4643,190,357,349,406
0.265,388,1826,2872,4651,191,370,347,414
0.275,354,1823,2805,4582,254,370,344,417
0.285,346,1830,2725,4445,324,356,388,429
0.295,352,1816,2725,4387,364,333,387,445
0.305,346,1789,2725,4305,359,333,348,441
0.315,357,1763,2725,4224,348,312,372,441
0.325,408,1751,2725,4196,312,280,374,422
0.335,457,1763,2725,4166,304,282,362,433
0.345,468,1790,2725,4209,259,323,342,439
0.355,471,1814,2724,4347,188,381,371,468
0.365,505,1835,2724,4308,200,348,365,468
0.375,535,1854,2725,4237,177,333,348,438
0.385,545,1871,2728,4222,183,361,331,442
0.395,578,1894,2729,4226,177,380,329,437
0.405,702,1950,2726,4280,175,362,347,408
0.415,735,1985,2715,4366,175,351,366,393
0.425,791,1945,2701,4441,178,328,387,372
0.435,862,1913,2689,4413,174,319,385,337
0.445,892,1906,2683,4416,186,304,379,341
0.455,939,1908,2689,4396,176,308,343,352
0.465,943,1906,2714,4373,176,308,334,369
0.475,865,1911,2760,4368,151,300,335,390
0.485,779,1917,2813,4310,152,291,323,418
0.495,675,1878,2845,4072,171,299,334,460
0.505,550,1797,2838,3865,180,294,364,437
0.515,469,1718,2802,3740,196,304,384,462
0.525,344,1646,2752,3576,199,302,381,460
0.535,306,1558,2701,3498,190,341,363,410
0.545,316,1515,2658,3501,193,345,338,380
0.555,296,1695,2630,3554,210,356,324,393
0.565,264,1717,2629,3613,222,398,272,397
0.575,278,1851,2674,3647,204,385,317,377
0.585,354,2030,2755,3804,199,401,337,407
0.595,416,2003,2826,3981,206,394,351,423
0.605,452,1985,2842,4157,210,406,349,449
0.615,488,2188,2806,4286,220,382,354,458
0.625,507,2199,2765,4349,219,374,343,442
0.635,506,1695,2758,4339,183,320,366,436
0.645,489,1414,2784,4352,195,296,364,451
0.655,419,1293,2830,4329,193,292,379,440
0.665,380,1157,2886,4330,195,277,369,434
0.675,391,1093,2938,4284,197,269,369,438
0.685,385,1120,2976,4299,206,274,359,417
0.695,392,1201,2995,4315,194,308,382,408
0.705,447,1304,3001,4333,153,329,394,407
0.715,489,1471,3000,4391,145,327,402,397
0.725,515,1729,2998,4478,153,348,380,409
0.735,543,1978,2999,4533,164,364,352,422
0.745,534,2175,3009,4587,171,364,365,421
0.755,490,2336,3023,4551,198,382,305,421
0.765,429,2462,3036,4444,219,397,284,437
0.775,378,2532,3040,4282,220,417,266,452
0.785,342,2556,3032,4081,216,412,286,459
0.795,320,2565,3011,3896,238,415,285,417
0.805,310,2587,2984,3929,258,407,289,424
0.815,309,2618,2956,4034,292,398,293,397
0.825,314,2643,2933,3980,336,361,281,389
0.835,314,2645,2920,3962,335,348,294,413
0.845,296,2614,2922,3977,337,304,339,452
0.855,273,2564,2936,3927,335,293,347,451
0.865,270,2512,2960,3963,331,295,355,428
0.875,271,2476,2990,4175,316,293,309,456
0.885,267,2459,3024,4179,311,301,314,435
0.895,287,2451,3060,4243,303,311,307,418
0.905,331,2442,3097,4254,298,337,309,390
0.915,370,2427,3133,4206,269,356,318,391
0.925,388,2407,3167,4218,276,352,332,385
0.935,387,2379,3198,4211,241,360,342,393
0.945,395,2343,3225,4168,212,346,344,413
0.955,419,2298,3247,4256,211,334,328,405
0.965,430,2250,3264,4405,205,326,365,429
0.975,427,2207,3273,4470,203,320,362,406
0.985,430,2176,3275,4465,206,309,345,384
0.995,424,2154,3269,4511,211,291,320,382
1.005,402,2141,3257,4457,215,303,342,400
1.015,382,2133,3244,4347,226,306,382,436
1.025,382,2131,3235,4280,238,330,325,417
1.035,403,2134,3235,4284,237,327,327,421
1.045,434,2143,3244,4268,233,319,332,426
1.055,460,2150,3251,4156,182,313,337,437
1.065,493,2143,3243,4159,168,314,340,435
1.075,542,2113,3206,4218,159,331,344,454
1.085,584,2065,3148,4270,155,350,343,463
1.095,584,2016,3089,4342,179,350,337,466
1.105,532,1970,3041,4404,181,329,364,485
1.115,443,1929,3003,4471,227,313,369,501
1.125,372,1894,2976,4439,320,345,366,484
1.135,348,1865,2959,4420,350,357,362,482
1.145,351,1843,2953,4435,349,322,373,512
1.155,369,1828,2953,4396,365,288,362,461
1.165,402,1819,2957,4365,338,301,364,485
1.175,446,1817,2960,4345,346,283,341,467
1.185,475,1819,2960,4369,296,323,352,454
1.195,465,1823,2954,4356,262,331,346,430
1.205,505,1827,2948,4315,268,333,335,442
1.215,499,1829,2944,4306,273,280,365,470
1.225,514,1826,2946,4307,310,240,364,481
1.235,512,1817,2958,4329,236,272,341,472
1.245,468,1797,2981,4323,260,294,313,443
1.255,431,1760,3010,4246,310,252,342,457
1.265,465,1701,3035,4123,312,242,362,446
1.275,542,1614,3047,3928,315,290,351,414
1.285,607,1508,3036,3911,301,301,383,424
1.295,634,1403,2998,3841,274,309,406,428
1.305,622,1319,2941,3879,227,290,388,450
1.315,577,1274,2877,3921,262,293,379,471
1.325,501,1262,2818,4041,276,261,332,448
1.335,411,1272,2768,4113,284,281,322,434
1.345,339,1294,2725,4075,266,289,328,431
1.355,309,1316,2685,4024,204,299,327,448
1.365,323,1330,2646,4118,181,298,353,487
1.375,349,1337,2605,4284,198,330,316,476
1.385,347,1336,2557,4319,199,370,278,472
1.395,346,1330,2504,4311,209,365,341,441
1.405,404,1318,2450,4308,225,349,318,445
1.415,445,1303,2402,4315,234,348,272,426
1.425,435,1286,2366,4188,293,312,287,386
1.435,426,1271,2346,4076,291,336,279,388
1.445,429,1260,2337,3982,197,386,286,424
1.455,435,1256,2333,3868,196,386,309,456
1.465,429,1264,2331,3699,203,393,303,466
1.475,404,1285,2340,3505,220,386,311,416
1.485,382,1325,2371,3438,241,424,311,390
1.495,362,1389,2430,3371,238,425,322,380
1.505,324,1486,2499,3383,248,399,336,413
1.515,323,1611,2559,3474,235,386,345,413
1.525,355,1738,2618,3583,206,344,327,459
1.535,351,1851,2686,3517,206,351,344,426
1.545,371,2002,2776,3544,237,371,306,378
1.555,391,2203,2895,3568,218,413,319,379
1.565,365,2297,3019,3495,220,437,333,411
