sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,597,1007,2459,3681,276,268,357,452
0.015,375,993,2523,3656,330,272,354,444
0.025,349,994,2564,3724,296,301,349,452
0.035,335,1001,2461,3716,261,356,399,456
0.045,330,1005,2434,3715,266,317,356,450
0.055,331,995,2341,3728,244,336,329,462
0.065,333,973,2388,3707,271,310,346,457
0.075,333,957,2418,3733,274,315,341,461
0.085,333,957,2460,3776,271,309,330,434
0.095,332,961,2497,3833,271,315,342,452
0.105,334,956,2530,3876,258,308,332,441
0.115,347,939,2497,3988,259,326,318,470
0.125,303,916,2441,4052,247,341,326,453
0.135,328,889,2706,4142,141,353,353,448
0.145,361,861,2705,4311,123,360,381,453
0.155,340,855,2706,4509,158,304,340,434
0.165,339,924,2706,4611,177,294,312,397
0.175,383,1035,2704,4609,157,303,304,372
0.185,361,1248,2704,4536,179,323,308,380
0.195,344,1644,2712,4464,170,363,258,399
0.205,372,2036,2734,4411,170,400,231,417
0.215,387,2134,2775,4395,165,413,191,444
0.225,382,2256,2832,4348,178,402,188,438
0.235,391,2380,2887,4294,193,401,218,442
0.245,415,2418,2897,4230,179,362,261,459
0.255,446,2379,2845,4161,155,325,286,458
0.265,484,2294,2774,4068,138,316,282,427
0.275,543,2168,2700,3943,188,315,291,399
0.285,622,1989,2620,3749,177,322,318,402
0.295,665,1783,2527,3520,179,311,312,409
0.305,658,1611,2384,3362,171,297,307,384
0.315,602,1524,2202,3257,187,284,363,423
0.325,540,1471,2082,3227,186,307,325,423
0.335,523,1404,2012,3195,196,313,307,409
0.345,539,1354,1978,3179,197,320,305,400
0.355,561,1375,1969,3182,193,333,315,401
0.365,583,1457,1986,3231,182,303,322,412
0.375,605,1542,2032,3275,174,331,336,439
0.385,630,1591,2120,3354,173,304,368,423
0.395,651,1591,2259,3498,175,271,430,444
0.405,655,1530,2440,3693,181,292,421,436
0.415,646,1417,2633,3881,189,330,413,441
0.425,618,1307,2810,4049,195,299,429,455
0.435,567,1244,2949,4155,210,282,432,413
0.445,526,1211,3041,4257,210,300,410,407
0.455,487,1184,3094,4240,202,295,386,406
0.465,407,1158,3115,4265,240,308,387,406
0.475,360,1158,3117,4254,226,313,386,428
0.485,334,1209,3111,4306,241,283,359,440
0.495,305,1315,3096,4294,258,274,339,424
0.505,334,1418,3068,4285,267,327,359,407
0.515,363,1486,3028,4265,243,339,321,396
0.525,383,1536,2987,4181,220,353,325,374
0.535,413,1593,2959,4234,228,278,353,428
0.545,416,1673,2950,4252,201,299,351,433
0.555,409,1768,2955,4227,195,330,339,408
0.565,481,1863,2964,4279,223,359,356,442
0.575,582,1945,2966,4533,187,389,373,481
0.585,412,2005,2947,4746,168,349,352,435
0.595,275,2050,2911,4786,196,318,341,363
0.605,308,2091,2884,4717,200,341,313,313
0.615,306,2130,2887,4676,227,328,344,344
0.625,347,2131,2925,4721,224,332,363,324
0.635,461,2128,2992,4725,226,329,357,376
0.645,594,2273,3071,4718,206,320,346,387
0.655,662,2353,3130,4722,186,318,335,390
0.665,655,2331,3140,4704,176,314,328,403
0.675,649,2335,3083,4668,184,315,325,408
0.685,654,2279,2944,4569,191,315,293,426
0.695,636,2110,2749,4429,209,320,305,473
0.705,613,1858,2552,4285,255,350,284,483
0.715,582,1596,2397,4180,235,307,316,451
0.725,399,1387,2303,4071,219,315,354,443
0.735,383,1275,2259,3990,188,318,372,459
0.745,381,1281,2255,3788,177,308,356,462
0.755,381,1343,2282,3616,175,335,322,425
0.765,386,1400,2335,3595,195,352,263,405
0.775,379,1542,2416,3639,206,390,274,403
0.785,352,1885,2561,3771,225,409,275,391
0.795,340,2166,2739,3945,224,404,284,367
0.805,349,2322,2871,4023,225,403,259,342
0.815,378,2555,2985,4066,213,398,291,381
0.825,439,2695,3099,4100,229,393,283,405
0.835,454,2692,3157,4095,234,400,295,403
0.845,391,2601,3121,4217,238,368,335,447
0.855,361,2471,3033,4343,205,305,328,445
0.865,328,2299,2953,4421,167,303,288,465
0.875,258,2085,2922,4466,174,302,327,433
0.885,230,1877,2921,4479,189,284,318,404
0.895,267,1692,2926,4484,195,291,304,400
0.905,266,1517,2934,4556,202,283,311,411
0.915,268,1368,2949,4555,226,291,344,368
0.925,262,1278,2974,4515,244,260,359,343
0.935,302,1232,3005,4404,258,242,388,427
0.945,451,1169,3034,4280,246,241,379,470
0.955,578,1134,3055,4171,235,290,365,471
0.965,667,1320,3072,4112,214,327,369,451
0.975,733,1613,3092,4076,189,330,392,427
0.985,769,1792,3112,4035,185,335,394,413
0.995,772,1913,3116,4064,191,334,389,442
1.005,767,1992,3100,4131,204,311,407,442
1.015,769,2036,3070,4257,235,295,412,447
1.025,748,2056,3037,4497,230,319,440,469
1.035,660,2063,3009,4688,220,310,419,458
1.045,493,2062,2985,4718,228,301,406,393
1.055,377,2055,2968,4680,226,329,389,384
1.065,339,2043,2958,4650,235,349,356,407
1.075,340,2028,2954,4635,211,369,339,420
1.085,351,2013,2957,4477,246,342,360,418
1.095,374,2003,2964,4391,254,324,368,445
1.105,420,2012,2940,4540,263,379,337,441
1.115,460,2054,2949,4589,220,364,356,409
1.125,462,2153,2985,4577,186,369,319,391
