sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,417,1547,2501,3638,232,297,348,452
0.015,401,1522,2493,3629,256,327,326,444
0.025,400,1505,2520,3638,251,311,322,450
0.035,406,1471,2541,3677,238,329,324,472
0.045,435,1459,2589,3729,264,287,334,462
0.055,495,1467,2526,3704,263,316,357,456
0.065,494,1477,2505,3669,285,311,381,456
0.075,511,1508,2475,3675,294,314,364,442
0.085,526,1523,2460,3660,308,301,315,445
0.095,536,1486,2466,3672,284,286,304,456
0.105,569,1485,2445,3607,294,320,324,452
0.115,575,1458,2436,3593,296,331,318,470
0.125,565,1457,2426,3594,293,299,317,454
0.135,642,1469,2411,3608,256,276,357,490
0.145,628,1395,2403,3658,202,278,364,442
0.155,665,1400,2464,3695,262,246,357,452
0.165,751,1438,2493,3819,283,271,293,463
0.175,674,1487,2439,3942,238,295,307,459
0.185,560,1522,2347,3896,192,299,338,410
0.195,557,1519,2351,3842,158,285,329,389
0.205,571,1470,2361,3783,169,297,312,395
0.215,604,1498,2381,3723,179,285,291,386
0.225,627,1667,2415,3685,189,344,256,381
0.235,645,1790,2470,3664,192,345,265,392
0.245,618,1863,2545,3613,186,344,268,400
0.255,665,1920,2619,3614,204,350,263,390
0.265,688,1947,2663,3640,172,368,291,383
0.275,729,1945,2677,3652,176,340,320,397
0.285,778,1946,2691,3726,177,346,336,428
0.295,839,1948,2722,3771,149,336,352,485
0.305,859,1927,2773,3809,109,330,393,505
0.315,871,1892,2839,3901,166,280,411,526
0.325,835,1862,2897,4034,134,297,410,539
0.335,875,1844,2926,4165,194,284,392,523
0.345,809,1841,2922,4345,189,281,378,505
0.355,722,1843,2899,4539,175,298,350,470
0.365,637,1837,2869,4642,168,313,331,444
0.375,582,1817,2847,4511,178,279,335,397
0.385,463,1784,2834,4518,211,302,345,434
0.395,499,1746,2803,4519,280,375,355,464
0.405,504,1710,2744,4544,338,375,351,452
0.415,500,1679,2686,4448,353,380,340,381
0.425,498,1652,2656,4458,333,352,343,364
0.435,510,1631,2649,4476,285,341,372,397
0.445,531,1612,2647,4522,260,341,323,430
0.455,536,1596,2639,4571,231,369,354,443
0.465,530,1581,2628,4550,281,328,352,486
0.475,541,1566,2617,4476,276,301,342,470
0.485,572,1553,2613,4442,263,312,358,483
0.495,580,1541,2613,4389,244,326,377,479
0.505,562,1535,2615,4315,235,319,367,480
0.515,532,1537,2616,4242,245,324,384,461
0.525,506,1553,2614,4199,235,328,359,437
0.535,502,1580,2611,4157,238,335,315,410
0.545,517,1610,2610,4241,222,335,330,438
0.555,534,1641,2616,4286,260,325,339,438
0.565,537,1678,2632,4344,238,318,344,440
0.575,517,1725,2655,4440,249,325,339,460
0.585,496,1778,2682,4625,182,300,357,489
0.595,492,1831,2711,4738,184,305,345,426
0.605,503,1883,2751,4799,189,278,341,407
0.615,524,1934,2812,4859,164,284,328,406
0.625,547,1983,2903,4842,176,289,321,372
0.635,565,2034,3008,4861,171,278,321,377
0.645,570,2081,3088,4884,177,302,314,377
0.655,570,2113,3134,4926,182,306,322,389
0.665,572,2121,3166,4872,186,318,319,376
0.675,560,2110,3184,4892,205,302,318,403
0.685,537,2088,3171,4781,228,304,379,431
0.695,514,2056,3126,4659,264,345,353,441
0.705,490,2017,3226,4591,313,369,355,444
0.715,470,1975,3186,4475,335,372,343,453
0.725,476,1931,3182,4521,320,345,358,502
0.735,499,1894,3182,4546,337,345,361,454
0.745,505,1876,3165,4458,355,361,351,440
0.755,501,1881,3127,4413,302,340,355,470
0.765,501,1887,3078,4343,283,346,372,495
0.775,502,1865,3038,4261,272,364,363,496
0.785,502,1834,3018,4286,240,366,371,467
0.795,505,1880,3015,4405,207,359,349,444
0.805,508,1985,3026,4545,199,338,393,471
0.815,500,2035,3055,4679,196,342,384,497
0.825,480,2023,3095,4785,206,321,420,437
0.835,467,2003,3117,4726,202,264,451,423
0.845,470,1982,3102,4722,228,280,433,426
0.855,475,1920,3077,4757,246,283,396,433
0.865,465,1814,3055,4743,291,327,381,441
0.875,440,1739,3018,4615,293,343,372,438
0.885,435,1745,2986,4558,283,302,386,431
0.895,472,1791,2987,4578,282,297,369,419
0.905,502,1818,3009,4589,319,315,372,436
