sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,451,1426,2488,3638,216,303,350,434
0.015,329,1433,2408,3661,276,322,295,452
0.025,440,1394,2365,3642,329,320,308,478
0.035,475,1393,2387,3640,300,297,310,464
0.045,518,1423,2465,3733,305,275,317,486
0.055,575,1436,2391,3767,314,344,280,476
0.065,538,1582,2418,3811,305,308,289,454
0.075,571,1600,2455,3888,295,317,297,478
0.085,534,1644,2479,3923,310,300,351,492
0.095,536,1616,2508,3985,301,311,350,475
0.105,626,1549,2417,3996,298,367,334,470
0.115,618,1550,2544,3989,238,343,346,475
0.125,502,1557,2485,3917,266,364,335,459
0.135,470,1582,2505,3891,275,390,320,418
0.145,488,1719,2473,3991,216,398,348,444
0.155,518,1841,2487,4115,222,369,358,440
0.165,530,1798,2526,4144,275,282,374,455
0.175,521,1806,2568,4246,265,291,375,457
0.185,497,1733,2592,4261,288,264,363,431
0.195,478,1646,2590,4341,258,305,358,425
0.205,478,1541,2572,4463,206,294,347,436
0.215,477,1453,2551,4498,187,285,338,424
0.225,477,1401,2546,4555,200,293,309,409
0.235,519,1388,2562,4489,198,299,297,412
0.245,573,1393,2582,4321,194,278,309,417
0.255,607,1401,2580,4151,176,303,314,435
0.265,632,1438,2556,4008,170,315,309,388
0.275,663,1535,2535,3937,155,355,291,384
0.285,709,1651,2531,3765,173,367,282,421
0.295,737,1734,2546,3640,187,397,257,422
0.305,687,1832,2575,3531,226,433,284,490
0.315,524,1964,2586,3407,236,421,283,523
0.325,349,2077,2593,3317,235,425,295,498
0.335,253,2136,2667,3342,200,417,305,445
0.345,241,2161,2788,3408,210,375,296,453
0.355,272,2184,2889,3512,211,364,316,405
0.365,338,2229,3071,3482,181,365,328,400
0.375,455,2287,3176,3541,173,367,348,386
0.385,630,2336,3192,3581,179,369,356,414
0.395,690,2372,3206,3627,196,368,323,421
0.405,677,2402,3254,3704,203,365,312,423
0.415,679,2433,3325,3785,211,363,325,443
0.425,662,2467,3370,3900,200,357,336,443
0.435,622,2498,3382,4024,218,358,325,444
0.445,578,2519,3377,4137,209,380,291,462
0.455,539,2537,3365,4222,204,382,286,466
0.465,504,2565,3349,4337,194,387,272,457
0.475,479,2588,3329,4418,195,379,276,458
0.485,486,2573,3299,4442,182,406,284,459
0.495,514,2514,3244,4500,196,410,289,448
0.505,511,2442,3148,4604,191,420,291,443
0.515,483,2374,3002,4694,191,393,303,422
0.525,481,2303,2878,4526,215,394,362,376
0.535,476,2229,2835,4418,220,377,348,372
0.545,432,2187,2808,4331,226,364,320,400
0.555,399,2204,2767,4345,206,372,311,395
0.565,418,2242,2743,4373,183,345,314,423
0.575,469,2266,2766,4457,174,350,311,446
0.585,519,2256,2826,4540,168,346,322,440
0.595,554,2213,2890,4662,164,320,327,444
0.605,565,2156,2929,4699,177,285,347,431
0.615,562,2097,2942,4723,168,272,353,428
0.625,557,2044,2943,4724,158,282,350,420
0.635,556,2004,2943,4758,160,281,345,425
0.645,558,1981,2946,4795,160,304,360,398
0.655,559,1967,2944,4829,164,315,393,409
0.665,559,1932,2930,4863,176,296,377,377
0.675,558,1879,2911,4916,181,337,367,402
0.685,553,1848,2893,4948,206,323,376,410
0.695,535,1836,2878,4910,193,321,365,424
0.705,496,1820,2862,4843,230,344,378,428
0.715,444,1794,2841,4770,259,346,401,416
0.725,401,1763,2826,4667,303,344,393,403
0.735,374,1737,2825,4685,323,365,421,439
0.745,360,1716,2843,4620,316,318,414,441
0.755,359,1700,2870,4708,253,342,388,439
0.765,366,1686,2899,4823,170,279,367,459
0.775,390,1671,2926,4746,194,311,320,415
0.785,442,1654,2949,4618,168,304,293,423
0.795,514,1638,2967,4572,159,307,301,433
0.805,588,1626,2979,4521,166,300,282,413
0.815,656,1617,2984,4497,194,309,312,416
0.825,715,1609,2984,4469,197,318,319,415
0.835,759,1597,2982,4484,206,311,332,419
0.845,785,1580,2980,4481,211,297,327,416
0.855,797,1562,2981,4465,220,299,326,420
0.865,802,1551,2984,4473,220,281,330,419
0.875,797,1552,2993,4515,218,276,338,413
0.885,782,1549,3008,4549,212,289,335,417
0.895,759,1546,3031,4591,210,313,338,428
0.905,732,1556,3056,4494,208,302,324,427
0.915,705,1583,3061,4521,217,297,277,411
