sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,678,1504,2478,3635,234,309,342,414
0.015,789,2059,2481,3589,242,308,339,441
0.025,751,2058,2450,3613,207,322,325,450
0.035,787,2055,2465,3647,218,331,315,447
0.045,800,2052,2534,3708,221,313,311,479
0.055,791,2053,2470,3697,217,319,333,465
0.065,744,2062,2567,3733,228,330,327,477
0.075,697,2077,2551,3681,246,307,393,474
0.085,669,2093,2512,3637,252,297,409,428
0.095,667,2102,2459,3682,289,319,375,446
0.105,676,2103,2481,3670,305,311,362,457
0.115,662,2101,2499,3638,253,308,353,447
0.125,734,2098,2462,3595,238,343,292,456
0.135,696,2098,2566,3611,197,345,296,434
0.145,701,2234,2663,3629,218,351,296,412
0.155,707,2256,2709,3607,237,371,271,406
0.165,706,2289,2678,3667,257,392,261,401
0.175,675,2328,2686,3642,247,422,257,419
0.185,525,2369,2735,3645,265,412,268,415
0.195,460,2412,2748,3811,257,421,215,413
0.205,464,2437,2815,3849,247,392,271,403
0.215,455,2412,2818,3873,218,339,302,395
0.225,428,2354,2731,3891,229,302,325,384
0.235,358,2319,2659,3961,233,294,341,410
0.245,316,2309,2680,3961,206,332,333,423
0.255,207,2157,2585,3971,212,315,350,434
0.265,237,2022,2531,3967,203,317,348,416
0.275,255,1987,2534,4024,295,358,370,454
0.285,282,1971,2514,4039,302,357,365,461
0.295,344,1996,2525,4072,277,352,336,480
0.305,336,2033,2609,4060,266,364,308,484
0.315,393,2056,2667,3996,201,312,330,435
0.325,424,2044,2769,4139,200,309,329,425
0.335,462,2005,2752,4123,173,310,297,403
0.345,460,1976,2737,4158,182,311,315,408
0.355,444,1941,2673,4203,185,313,336,438
0.365,399,1882,2553,4249,245,332,352,430
0.375,386,1793,2461,4375,223,358,337,446
0.385,457,1742,2529,4421,243,337,317,444
0.395,403,1684,2607,4437,246,325,327,424
0.405,404,1633,2657,4490,241,372,297,387
0.415,414,1626,2657,4488,219,391,269,384
0.425,424,1658,2766,4526,237,383,277,364
0.435,440,1688,2785,4504,241,345,279,373
0.445,458,1721,2784,4496,209,304,301,411
0.455,447,1739,2809,4366,217,293,377,431
0.465,554,1712,2837,4356,206,286,419,443
0.475,660,1679,2855,4233,212,264,419,453
0.485,717,1650,2868,4097,246,258,414,457
0.495,738,1613,2875,3935,221,256,400,452
0.505,765,1569,2866,3804,206,258,374,459
0.515,795,1543,2835,3772,205,266,343,437
0.525,811,1545,2781,3848,204,291,314,439
0.535,808,1542,2720,3986,211,270,290,458
0.545,820,1522,2682,4111,200,275,296,443
0.555,847,1502,2669,4184,196,274,312,428
0.565,846,1495,2665,4234,199,270,299,413
0.575,814,1507,2680,4280,207,292,299,426
