sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,539,1376,2523,3661,286,280,351,439
0.015,549,1430,2554,3718,314,295,327,476
0.025,612,1448,2544,3744,287,309,326,447
0.035,618,1409,2557,3707,341,300,341,460
0.045,635,1431,2577,3672,315,309,357,469
0.055,637,1490,2527,3710,312,308,333,448
0.065,595,1395,2477,3759,298,315,303,456
0.075,546,1348,2444,3722,288,303,299,455
0.085,614,1411,2462,3718,286,349,300,476
0.095,689,1378,2477,3727,308,296,294,476
0.105,736,1511,2400,3709,274,345,319,458
0.115,770,1561,2424,3745,240,355,311,457
0.125,754,1599,2507,3718,237,329,346,475
0.135,737,1651,2614,3784,261,321,348,465
0.145,739,1664,2628,3794,258,334,355,450
0.155,595,1618,2745,3923,226,306,348,445
0.165,493,1520,2776,3960,173,287,330,429
0.175,512,1487,2783,3936,143,318,306,415
0.185,419,1563,2810,3933,141,289,297,430
0.195,423,1597,2838,3982,165,318,319,435
0.205,461,1663,2916,4117,212,314,351,437
0.215,474,1579,2895,4159,233,268,322,420
0.225,467,1597,2922,4184,227,334,371,417
0.235,498,1581,2895,4194,236,353,373,427
0.245,521,1511,2847,4231,241,359,386,445
0.255,513,1560,2796,4276,214,350,381,449
0.265,514,1598,2782,4329,217,343,351,482
0.275,518,1583,2784,4411,237,352,323,496
0.285,488,1551,2782,4409,267,336,329,471
0.295,477,1488,2786,4384,260,315,329,489
0.305,513,1424,2810,4315,236,353,357,455
0.315,488,1450,2837,4315,260,342,358,478
0.325,470,1484,2860,4251,252,333,356,485
0.335,468,1501,2879,4138,204,345,358,458
0.345,431,1539,2881,3997,204,309,335,447
0.355,386,1488,2843,3878,218,286,340,483
0.365,376,1483,2767,3738,204,325,347,484
0.375,460,1501,2675,3633,205,310,343,487
0.385,508,1533,2582,3558,207,321,357,484
0.395,531,1560,2500,3435,194,308,369,459
0.405,563,1465,2430,3375,182,295,387,433
0.415,598,1460,2368,3320,184,283,392,411
0.425,651,1467,2310,3318,193,278,360,416
0.435,684,1464,2252,3379,221,297,346,414
0.445,669,1440,2203,3408,219,319,314,401
0.455,628,1422,2174,3496,235,277,314,413
0.465,556,1427,2156,3537,249,284,327,415
0.475,436,1390,2147,3579,243,302,344,416
0.485,393,1293,2157,3637,236,296,342,432
0.495,354,1202,2195,3610,245,325,316,414
0.505,344,1174,2251,3642,215,296,309,416
0.515,388,1182,2303,3629,224,307,319,404
0.525,415,1220,2348,3519,216,296,338,410
0.535,473,1288,2410,3465,210,294,360,411
0.545,564,1362,2514,3472,217,303,376,403
0.555,607,1453,2642,3572,207,283,384,396
0.565,597,1553,2732,3665,210,262,381,442
0.575,600,1584,2741,3825,206,293,336,444
0.585,587,1578,2647,3866,182,286,362,394
0.595,540,1556,2435,3926,208,298,337,393
0.605,488,1511,2585,3969,192,304,290,390
0.615,435,1555,2557,3948,212,324,280,416
0.625,460,1604,2619,3972,196,314,330,454
0.635,530,1659,2720,3827,173,276,356,503
0.645,551,1696,2815,3628,136,261,355,487
0.655,582,1729,2876,3457,132,237,382,450
0.665,639,1784,2904,3410,149,249,412,411
0.675,707,1795,2931,3462,171,298,423,420
0.685,767,1793,2953,3547,201,287,380,412
0.695,801,1801,2958,3569,198,276,365,417
0.705,793,1793,2949,3590,205,285,341,416
0.715,766,1738,2931,3553,201,282,333,421
0.725,766,1670,2905,3527,202,324,328,410
0.735,729,1597,2870,3479,221,336,378,413
0.745,618,1501,2825,3544,246,317,317,426
0.755,485,1388,2767,3660,253,305,288,477
0.765,347,1302,2706,3781,212,303,309,439
0.775,293,1212,2648,3826,208,302,315,433
0.785,310,1238,2580,3820,219,303,293,425
0.795,307,1257,2522,3917,237,329,305,465
0.805,321,1265,2511,3893,272,332,305,456
0.815,358,1259,2549,3915,296,343,322,443
0.825,388,1244,2619,4005,266,316,337,447
0.835,395,1276,2673,3963,249,304,331,423
0.845,388,1362,2693,3969,240,325,323,424
0.855,389,1420,2705,4128,218,305,365,444
0.865,417,1455,2726,4217,201,294,326,429
0.875,438,1518,2742,4357,208,321,337,434
0.885,416,1623,2735,4302,244,338,375,476
0.895,364,1683,2710,4254,261,333,347,470
0.905,317,1669,2677,4282,261,322,316,458
0.915,299,1635,2645,4352,272,329,348,419
0.925,310,1600,2622,4363,282,325,356,422
0.935,340,1571,2614,4275,287,360,354,429
0.945,372,1553,2616,4240,257,329,374,403
0.955,397,1546,2621,4261,268,321,355,423
0.965,416,1549,2619,4249,236,335,352,407
0.975,446,1545,2609,4310,195,362,339,447
0.985,473,1521,2608,4256,222,336,341,429
0.995,466,1488,2641,4197,233,297,374,411
1.005,486,1465,2705,4163,175,303,354,415
1.015,550,1467,2770,4109,160,309,308,390
1.025,582,1452,2807,4075,153,314,307,392
1.035,593,1461,2820,4080,144,310,297,398
1.045,623,1470,2828,4049,155,307,287,403
1.055,662,1470,2839,3957,142,317,321,410
1.065,684,1460,2829,3964,148,307,310,407
1.075,680,1437,2785,3929,155,298,286,406
1.085,674,1408,2744,3912,179,303,294,410
1.095,690,1384,2748,3933,172,292,301,427
1.105,729,1386,2780,3870,168,304,311,416
1.115,762,1415,2804,3840,164,305,308,418
1.125,764,1454,2824,3880,164,305,323,421
1.135,743,1491,2848,3941,176,305,308,416
1.145,715,1517,2865,4033,179,312,328,425
1.155,691,1533,2860,4079,172,300,319,443
1.165,678,1548,2838,3967,152,296,313,420
1.175,678,1567,2817,4054,151,293,309,423
1.185,681,1588,2804,4159,155,305,290,423
1.195,678,1607,2793,4229,155,302,338,439
1.205,658,1623,2779,4218,151,301,321,446
1.215,618,1636,2760,4244,187,338,339,441
1.225,563,1639,2745,4263,223,356,369,462
1.235,504,1617,2743,4215,265,336,363,474
1.245,456,1573,2748,4279,262,301,343,469
1.255,426,1527,2737,4310,279,354,358,436
1.265,420,1500,2703,4298,268,352,371,430
1.275,436,1505,2660,4337,268,335,368,449
1.285,464,1546,2623,4316,277,329,341,447
1.295,480,1590,2611,4298,235,373,349,421
1.305,479,1609,2642,4263,259,332,345,443
1.315,472,1624,2700,4219,243,346,340,422
1.325,468,1660,2747,4270,242,328,353,418
1.335,469,1703,2759,4174,187,293,351,379
1.345,477,1726,2750,4163,150,279,330,415
1.355,496,1740,2743,4128,148,282,364,446
1.365,536,1770,2748,4145,187,325,410,432
1.375,560,1795,2735,4372,214,331,389,496
1.385,484,1761,2691,4498,204,351,322,438
1.395,348,1701,2646,4527,213,359,321,414
1.405,348,1740,2622,4531,194,367,300,409
1.415,358,1800,2619,4561,161,355,264,424
1.425,338,1875,2632,4510,171,355,288,465
1.435,311,1956,2661,4334,205,389,331,417
1.445,318,2061,2751,4220,239,434,292,410
1.455,359,2144,2843,4165,266,427,280,420
1.465,390,2200,2864,4043,274,411,271,401
1.475,375,2234,2843,4026,245,347,259,417
1.485,346,2252,2813,3994,227,277,288,419
1.495,343,2261,2791,3961,227,256,321,428
1.505,362,2261,2785,3948,213,283,309,424
1.515,391,2253,2791,3997,233,267,301,436
1.525,401,2238,2786,3963,229,265,287,465
1.535,386,2222,2759,3977,233,289,285,463
1.545,384,2212,2747,3968,222,275,301,446
1.555,382,2211,2774,3979,210,256,336,439
1.565,400,2216,2781,3922,200,260,349,412
1.575,411,2222,2746,3934,201,310,343,421
1.585,268,2217,2733,4036,218,322,342,422
1.595,321,2192,2741,3958,197,337,336,449
1.605,404,2147,2748,3894,249,342,333,482
1.615,301,2085,2747,3899,272,287,349,438
1.625,275,2010,2748,3951,332,312,371,443
1.635,293,1925,2749,4037,311,309,361,463
1.645,322,1835,2740,4043,360,321,336,441
1.655,332,1742,2719,3971,359,326,325,451
1.665,327,1658,2697,3935,364,304,390,483
1.675,320,1563,2678,3902,343,312,344,459
1.685,325,1473,2653,3846,314,331,393,471
1.695,348,1403,2602,3882,276,318,363,460
1.705,366,1347,2494,3907,262,307,352,466
1.715,366,1301,2352,3845,246,314,351,476
1.725,365,1257,2232,3806,210,328,339,457
1.735,378,1211,2130,3737,192,316,308,426
1.745,404,1170,2031,3717,210,300,319,411
1.755,443,1177,1946,3744,209,321,308,422
1.765,479,1188,1903,3717,204,306,312,411
1.775,497,1191,1894,3645,201,311,312,391
1.785,497,1200,1895,3597,215,305,303,413
1.795,483,1221,1890,3535,205,316,324,395
1.805,463,1236,1889,3486,203,312,306,399
1.815,446,1254,1909,3492,211,312,302,387
1.825,442,1263,1951,3507,203,308,313,401
1.835,445,1252,2000,3621,220,296,301,409
1.845,445,1351,2043,3777,250,289,336,407
1.855,433,1266,2071,3845,257,306,333,439
1.865,413,1232,2084,3876,256,341,325,454
1.875,393,1295,2090,3870,242,321,315,456
1.885,377,1388,2091,3860,298,277,340,456
1.895,367,1444,2089,3839,357,326,319,463
1.905,364,1442,2087,3897,316,325,309,487
1.915,365,1429,2086,3976,285,326,281,462
1.925,362,1430,2089,3950,261,337,315,497
1.935,361,1431,2095,3977,217,342,328,490
1.945,371,1412,2094,3964,250,337,345,461
1.955,392,1358,2076,3968,242,339,346,462
1.965,407,1280,2043,3958,250,324,362,481
1.975,410,1213,2009,3898,199,308,349,490
1.985,421,1187,1988,3763,200,310,274,485
1.995,461,1225,1975,3619,196,324,307,464
2.005,525,1287,1967,3446,198,324,290,436
2.015,575,1315,1982,3454,205,320,315,407
2.025,595,1328,2028,3492,214,318,277,413
2.035,617,1304,2078,3582,221,315,304,410
2.045,638,1238,2117,3620,245,303,268,421
2.055,611,1189,2142,3633,267,298,308,413
2.065,506,1162,2157,3550,278,289,268,406
2.075,398,1146,2171,3536,265,287,299,430
2.085,364,1123,2188,3600,234,291,266,452
2.095,393,1088,2203,3613,232,313,298,432
2.105,424,1087,2213,3536,220,298,284,399
2.115,468,1153,2222,3498,205,318,304,421
2.125,539,1240,2240,3512,189,296,310,431
2.135,591,1308,2273,3466,190,280,321,451
2.145,608,1365,2309,3392,190,264,321,469
2.155,598,1431,2331,3382,202,262,327,448
2.165,575,1498,2341,3448,203,275,340,447
2.175,561,1534,2357,3503,213,286,342,433
2.185,561,1555,2393,3524,206,301,323,439
2.195,565,1577,2436,3556,185,302,315,424
2.205,559,1589,2468,3601,175,284,295,427
2.215,538,1587,2495,3618,177,265,312,415
2.225,494,1584,2525,3579,197,300,315,422
2.235,438,1568,2547,3547,231,320,334,452
2.245,396,1507,2513,3551,235,303,338,449
2.255,375,1392,2403,3594,241,318,373,434
2.265,360,1313,2298,3734,244,333,326,448
2.275,353,1335,2303,3687,206,297,311,413
2.285,402,1385,2399,3568,182,290,304,378
2.295,491,1434,2472,3610,164,276,317,411
2.305,559,1492,2507,3668,145,267,295,402
2.315,596,1527,2563,3672,152,271,291,399
2.325,635,1541,2601,3672,160,272,287,401
2.335,675,1557,2596,3678,172,286,304,423
2.345,705,1584,2590,3633,178,299,277,397
2.355,722,1612,2594,3621,192,288,299,437
2.365,728,1629,2596,3623,196,287,315,413
2.375,727,1622,2584,3584,184,297,306,439
2.385,725,1593,2556,3515,181,292,328,418
2.395,723,1591,2521,3457,191,287,337,404
2.405,724,1637,2488,3424,188,278,324,413
2.415,725,1696,2458,3390,204,278,316,392
2.425,725,1736,2426,3368,236,282,340,387
2.435,719,1741,2391,3441,213,323,295,375
2.445,705,1717,2351,3530,237,332,288,394
2.455,683,1686,2309,3556,262,270,361,425
2.465,653,1665,2274,3609,237,278,339,414
2.475,620,1666,2251,3641,256,255,365,427
2.485,590,1694,2244,3629,265,285,355,403
2.495,570,1731,2255,3616,293,290,372,403
2.505,563,1760,2283,3675,302,279,359,382
2.515,567,1774,2325,3750,293,268,353,403
2.525,563,1779,2381,3701,300,250,385,397
2.535,544,1778,2448,3728,317,204,432,396
2.545,526,1777,2515,3757,332,252,378,407
2.555,529,1785,2562,3878,307,308,306,402
2.565,550,1802,2583,3787,343,287,329,409
2.575,564,1820,2596,3876,322,300,308,410
2.585,554,1834,2612,3890,276,307,318,422
2.595,533,1837,2626,3808,270,303,306,412
2.605,525,1824,2631,3834,229,330,327,429
2.615,551,1790,2622,3757,205,310,312,418
2.625,567,1740,2605,3632,194,301,326,425
2.635,552,1685,2587,3541,195,312,362,428
2.645,549,1634,2572,3523,189,320,335,447
2.655,525,1598,2560,3592,192,314,340,441
2.665,513,1585,2547,3708,202,329,342,429
2.675,439,1591,2533,3765,203,325,336,422
2.685,410,1600,2515,3817,198,329,333,407
2.695,370,1563,2473,3830,198,308,355,404
2.705,353,1540,2429,3816,197,313,331,412
2.715,326,1544,2493,3770,184,319,314,410
2.725,321,1529,2538,3863,180,307,344,415
2.735,301,1590,2530,3905,200,312,380,416
2.745,326,1548,2445,3928,221,322,334,400
2.755,349,1602,2430,3880,219,265,334,423
2.765,507,1609,2459,3946,232,279,334,425
2.775,533,1613,2534,3963,229,265,348,455
2.785,539,1570,2498,3937,242,275,334,428
2.795,545,1559,2381,4010,286,283,349,439
2.805,538,1614,2395,4006,278,307,320,431
