sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,708,1612,2610,3579,234,354,380,486
0.015,842,1694,2640,3581,219,349,347,497
0.025,874,1699,2677,3596,190,321,327,504
0.035,890,1689,2706,3684,193,348,326,472
0.045,908,1767,2721,3775,216,329,349,451
0.055,905,1790,2745,3913,257,305,333,455
0.065,933,1829,2798,3943,254,320,362,457
0.075,867,1766,2845,3954,269,301,352,447
0.085,825,1731,2832,3952,261,300,322,453
0.095,875,1741,2854,3965,314,290,337,466
0.105,934,1778,2845,3986,292,309,340,461
0.115,948,1785,2832,4038,279,306,349,439
0.125,994,1753,2798,3955,254,321,367,434
0.135,944,1821,2764,3891,257,329,365,451
0.145,864,1792,2743,3813,241,327,358,464
0.155,663,1827,2739,3792,231,338,317,501
0.165,482,1963,2711,3735,164,348,292,529
0.175,484,2049,2704,3709,184,358,301,520
0.185,511,2113,2897,3668,168,354,320,507
0.195,510,2183,2956,3651,167,360,324,477
0.205,568,2278,3029,3668,176,383,301,458
0.215,596,2357,3088,3688,184,411,298,450
0.225,582,2381,3107,3750,181,421,250,445
0.235,562,2395,3095,3822,174,446,250,444
0.245,520,2426,3071,3813,190,414,300,477
0.255,483,2421,3053,3794,181,429,243,466
0.265,343,2388,3038,3775,193,424,247,469
0.275,310,2365,3009,3781,204,425,247,470
0.285,323,2329,2962,3745,186,438,285,443
0.295,302,2276,2926,3728,185,428,283,469
0.305,340,2222,2899,3727,197,420,291,481
0.315,513,2159,2854,3733,204,417,290,485
0.325,594,2095,2812,3666,198,379,319,490
0.335,646,2062,2788,3626,194,339,313,490
0.345,712,2038,2777,3583,170,314,307,497
0.355,705,1982,2775,3545,152,299,307,502
0.365,727,1938,2785,3517,144,298,308,483
0.375,738,1921,2805,3497,141,308,307,487
0.385,663,1917,2835,3511,140,304,297,497
0.395,621,1933,2872,3594,146,294,292,493
0.405,627,1956,2905,3654,155,284,308,445
0.415,568,1955,2903,3563,171,273,339,432
0.425,460,1914,2838,3610,261,287,310,473
0.435,357,1832,2716,3676,236,307,339,454
0.445,286,1704,2558,3728,240,339,348,447
0.455,240,1557,2423,3768,200,339,324,449
0.465,235,1495,2368,3768,220,328,323,482
0.475,215,1482,2345,3720,257,328,327,470
0.485,194,1509,2319,3732,308,274,308,457
0.495,217,1569,2307,3734,308,308,310,458
0.505,279,1596,2315,3798,284,319,291,453
0.515,330,1613,2335,3873,269,331,331,477
0.525,347,1642,2356,4010,224,322,334,473
0.535,356,1662,2368,4188,173,262,336,422
0.545,387,1650,2356,4205,175,312,312,375
0.555,447,1597,2313,4174,175,292,314,348
0.565,475,1550,2275,4171,181,331,311,356
0.575,469,1527,2273,4205,192,293,298,401
0.585,494,1500,2268,4292,227,342,287,436
0.595,456,1470,2248,4260,220,350,279,426
0.605,324,1436,2232,4270,223,341,288,400
0.615,270,1395,2231,4280,224,330,241,399
0.625,273,1346,2235,4223,229,333,272,396
0.635,283,1303,2236,4185,235,323,272,402
0.645,268,1277,2234,4206,248,330,273,400
0.655,235,1261,2231,4234,244,330,253,398
0.665,253,1241,2233,4246,250,320,252,398
0.675,328,1220,2245,4364,241,296,285,407
0.685,400,1212,2268,4388,233,269,314,429
0.695,480,1225,2300,4438,182,282,315,450
0.705,527,1264,2339,4498,171,300,307,422
0.715,521,1321,2379,4578,185,291,301,427
0.725,488,1365,2412,4660,210,307,297,406
0.735,452,1375,2430,4718,241,272,288,403
0.745,429,1340,2425,4823,240,279,280,413
0.755,427,1296,2404,4884,236,285,276,420
0.765,432,1291,2391,4845,237,304,273,416
0.775,433,1314,2406,4804,225,325,261,423
0.785,432,1337,2428,4775,230,298,288,426
0.795,431,1342,2425,4774,244,310,289,417
0.805,431,1333,2403,4865,243,280,284,443
0.815,431,1322,2391,4874,240,298,305,409
0.825,431,1333,2410,4919,240,319,349,404
0.835,431,1384,2432,4956,210,327,367,405
0.845,425,1456,2431,4997,225,316,362,432
0.855,399,1549,2433,4917,252,359,345,428
0.865,345,1672,2457,4923,254,370,370,436
0.875,297,1741,2472,4841,244,361,331,442
0.885,277,1729,2450,4806,257,371,358,457
0.895,270,1714,2428,4816,295,371,375,459
0.905,271,1718,2447,4725,282,377,400,433
0.915,285,1736,2487,4594,289,362,382,434
0.925,308,1762,2527,4511,288,358,370,463
0.935,331,1788,2557,4452,275,382,340,477
0.945,353,1806,2583,4432,223,362,340,485
0.955,374,1811,2610,4343,200,355,349,507
0.965,389,1808,2626,4305,247,346,322,512
0.975,393,1804,2620,4287,224,341,341,487
0.985,392,1803,2599,4168,228,357,367,507
0.995,395,1804,2583,4129,238,362,347,505
1.005,393,1801,2581,4013,216,381,347,499
1.015,376,1799,2585,3878,231,355,366,437
1.025,354,1802,2588,3888,231,363,311,435
1.035,347,1816,2588,3875,216,370,316,476
1.045,351,1835,2588,3882,234,350,348,476
1.055,354,1854,2594,3905,252,360,354,489
1.065,353,1871,2607,3952,241,344,300,477
1.075,351,1887,2626,3916,238,352,271,480
