sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,570,1438,2482,3645,282,320,350,431
0.015,589,1476,2558,3673,283,308,317,441
0.025,592,1402,2594,3686,299,321,298,456
0.035,539,1440,2646,3641,321,286,314,445
0.045,587,1458,2542,3659,320,310,348,467
0.055,622,1439,2511,3657,325,295,337,437
0.065,661,1563,2451,3599,305,302,335,416
0.075,678,1616,2524,3661,288,302,318,422
0.085,722,1633,2635,3705,285,311,324,410
0.095,783,1656,2616,3719,280,344,338,428
0.105,868,1685,2648,3692,283,345,371,445
0.115,920,1725,2761,3756,276,321,341,447
0.125,907,1756,2829,3877,248,320,336,417
0.135,470,1781,2896,4029,265,357,338,393
0.145,444,1835,3009,4233,234,389,345,396
0.155,423,1787,3019,4231,253,360,305,383
0.165,408,1805,3086,4143,270,359,299,373
0.175,401,2430,3071,4004,224,388,269,400
0.185,401,2367,3010,3974,189,418,225,386
0.195,407,2365,2943,4045,188,389,233,392
0.205,410,2403,2902,4117,174,369,233,370
0.215,395,2458,2889,4158,188,369,244,381
0.225,361,2511,2878,4234,179,356,255,371
0.235,331,2543,2868,4251,201,347,264,384
0.245,326,2556,2896,4284,169,318,303,400
0.255,355,2566,2974,4346,197,306,293,402
0.265,392,2582,3057,4388,194,294,311,421
0.275,412,2602,3113,4408,192,295,321,456
0.285,410,2620,3149,4438,199,288,291,454
0.295,403,2637,3176,4485,189,293,271,442
0.305,401,2655,3197,4518,197,293,260,434
0.315,402,2672,3202,4516,183,297,259,433
0.325,404,2690,3267,4508,182,309,258,433
0.335,402,2696,3270,4500,180,321,290,428
0.345,400,2668,3301,4472,174,321,265,428
0.355,403,2609,3325,4444,178,313,317,438
0.365,412,2557,3307,4364,167,337,282,461
0.375,414,2515,3245,4353,167,371,259,498
0.385,389,2475,3167,4365,192,392,268,482
0.395,338,2434,3102,4394,211,374,330,494
0.405,287,2405,3063,4411,214,356,321,495
0.415,258,2401,3041,4499,198,381,313,511
0.425,243,2429,3025,4611,203,326,352,479
0.435,232,2466,3013,4761,194,373,311,465
0.445,238,2496,3005,4842,179,335,292,435
0.455,277,2519,3000,4913,169,365,292,458
0.465,330,2531,2999,4994,186,338,301,456
0.475,373,2532,3001,5018,182,335,322,415
0.485,405,2517,3037,4987,193,299,315,404
0.495,428,2486,3033,5019,182,296,321,403
0.505,441,2446,3002,5017,185,293,326,384
0.515,443,2405,2952,4993,181,289,329,384
0.525,441,2368,2892,4988,182,294,335,380
0.535,444,2334,2828,4907,193,303,339,397
0.545,461,2299,2769,4810,195,307,334,429
0.555,480,2259,2720,4729,191,305,328,420
0.565,552,2211,2681,4691,184,309,333,436
0.575,477,2153,2647,4633,178,319,348,420
0.585,504,2084,2618,4601,170,313,365,406
0.595,577,2016,2607,4695,160,309,340,407
0.605,639,1961,2625,4807,158,305,319,413
0.615,646,1924,2660,4929,151,299,310,399
0.625,647,1892,2695,4984,175,291,299,383
0.635,645,1848,2718,4911,203,287,289,368
0.645,586,1796,2725,4873,218,305,301,385
0.655,441,1752,2716,4822,208,305,317,414
0.665,298,1726,2689,4876,202,290,304,443
0.675,277,1728,2690,4950,186,294,301,427
0.685,336,1751,2683,5083,178,277,313,402
0.695,414,1779,2706,5118,178,278,336,376
0.705,464,1806,2743,5089,185,298,365,347
0.715,484,1837,2780,5068,276,338,376,402
0.725,483,1866,2809,5044,362,345,354,440
0.735,442,1886,2832,4932,355,320,367,416
0.745,446,1895,2848,4929,345,301,389,423
0.755,446,1894,2858,4931,337,307,361,430
0.765,438,1884,2858,4925,295,300,323,434
0.775,422,1869,2845,4911,281,309,334,462
0.785,406,1850,2818,4855,284,295,366,460
0.795,397,1830,2786,4772,273,316,367,416
0.805,399,1804,2763,4684,261,319,345,441
0.815,414,1766,2758,4610,250,315,353,413
0.825,437,1712,2842,4569,241,323,373,429
0.835,456,1651,2854,4571,244,339,380,459
0.845,469,1593,2870,4572,228,313,368,439
0.855,478,1535,2885,4617,249,315,322,446
0.865,485,1471,2894,4597,208,336,363,426
0.875,493,1400,2890,4802,162,373,324,421
0.885,505,1323,2869,4854,145,377,318,398
0.895,525,1258,2825,4848,167,329,301,405
0.905,552,1230,2751,4788,204,297,276,407
0.915,567,1239,2665,4687,202,342,286,406
0.925,565,1286,2607,4579,197,336,294,414
0.935,561,1532,2623,4530,188,328,309,404
0.945,561,1790,2699,4490,172,304,326,422
0.955,563,1889,2765,4453,164,301,325,436
0.965,565,1975,2804,4477,189,315,329,463
0.975,565,2059,2830,4510,197,324,313,437
0.985,563,2116,2880,4526,179,344,319,426
0.995,556,2110,2957,4507,182,343,308,417
1.005,534,2043,2922,4439,180,330,305,415
1.015,492,1957,2795,4282,192,357,303,427
1.025,442,1840,2734,4231,253,338,314,438
1.035,402,1573,2704,4138,210,284,363,413
1.045,371,1432,2634,4166,203,293,386,469
1.055,342,1439,2537,4045,203,305,371,445
1.065,324,1439,2509,4032,200,278,341,444
1.075,333,1494,2489,4125,236,315,304,434
1.085,365,1645,2483,4302,218,320,291,448
1.095,407,1803,2494,4473,187,282,302,438
1.105,453,1846,2521,4555,153,269,318,419
1.115,498,1845,2562,4612,145,260,328,413
1.125,537,1853,2607,4605,149,262,332,411
1.135,565,1818,2645,4580,159,286,312,418
1.145,579,1735,2668,4594,167,297,295,411
1.155,588,1652,2681,4533,179,302,290,406
1.165,603,1582,2690,4443,179,306,287,411
1.175,627,1497,2700,4357,187,306,287,417
1.185,644,1411,2712,4301,189,301,289,435
1.195,637,1354,2727,4274,190,303,295,442
1.205,614,1321,2746,4237,193,312,304,449
1.215,587,1296,2763,4318,178,321,312,440
1.225,562,1262,2772,4392,193,298,304,440
1.235,540,1217,2773,4375,205,284,306,411
1.245,522,1175,2767,4395,224,294,340,413
1.255,507,1144,2752,4457,217,287,384,474
1.265,483,1127,2729,4443,228,354,407,454
1.275,444,1119,2702,4457,258,324,383,440
1.285,405,1116,2671,4456,288,307,391,417
1.295,383,1119,2638,4315,266,311,355,426
1.305,372,1126,2603,4125,300,309,355,407
1.315,360,1137,2568,3949,314,364,342,401
1.325,342,1154,2533,3895,306,372,300,420
1.335,326,1180,2502,3798,284,339,286,457
1.345,320,1211,2480,3720,308,307,286,443
1.355,322,1241,2470,3709,328,311,321,432
1.365,324,1263,2470,3730,334,285,353,425
1.375,321,1277,2480,3745,353,278,381,437
1.385,319,1283,2493,3752,314,331,377,438
1.395,326,1284,2462,3682,283,305,415,436
1.405,345,1320,2339,3711,234,266,418,420
1.415,370,1332,2169,3802,217,290,378,406
1.425,396,1339,2034,3851,172,260,375,412
1.435,417,1355,1967,3876,154,254,357,418
1.445,438,1390,1976,3901,150,285,332,427
1.455,472,1457,2041,3875,169,290,334,426
1.465,509,1566,2125,3889,149,263,311,426
1.475,535,1706,2213,3959,154,282,288,433
1.485,547,1843,2292,4068,166,326,329,456
1.495,553,1965,2339,4267,187,335,319,470
1.505,564,2065,2359,4536,206,330,303,451
1.515,579,2137,2388,4686,246,346,328,444
1.525,566,2174,2431,4829,197,357,329,459
1.535,497,2168,2475,4943,211,358,311,435
1.545,412,2174,2518,4930,200,378,281,390
1.555,367,2192,2557,4766,191,397,265,397
1.565,390,2228,2591,4659,179,413,252,397
1.575,485,2276,2617,4576,183,423,216,383
1.585,571,2316,2633,4568,197,410,263,400
1.595,576,2331,2641,4586,196,376,299,398
1.605,553,2326,2644,4581,222,328,336,393
1.615,538,2318,2643,4530,261,274,373,400
1.625,519,2309,2642,4547,242,313,375,398
1.635,503,2294,2645,4618,264,296,376,403
1.645,532,2265,2650,4577,275,318,375,426
1.655,601,2225,2650,4582,268,322,371,457
1.665,564,2183,2642,4579,197,327,388,450
1.675,439,2140,2621,4448,207,359,354,490
1.685,374,2091,2587,4407,186,381,341,481
1.695,318,2023,2543,4349,183,374,314,478
1.705,282,1924,2496,4217,172,392,284,458
1.715,286,1809,2454,4123,178,396,268,438
1.725,261,1735,2423,4111,185,333,318,434
1.735,244,1719,2405,4113,188,313,331,454
1.745,300,1736,2397,4084,171,363,299,470
1.755,338,1759,2397,4036,218,330,266,488
1.765,328,1759,2402,4005,246,302,300,475
1.775,317,1737,2345,4030,278,313,266,458
1.785,325,1712,2428,4042,256,309,320,460
1.795,356,1708,2353,4100,231,332,295,466
1.805,873,1745,2408,4157,215,338,275,461
1.815,788,1506,2436,4120,205,361,329,438
1.825,878,1539,2413,4032,222,352,302,439
1.835,914,1598,2437,3932,240,311,290,459
1.845,942,1632,2432,3916,238,305,279,445
1.855,976,1618,2389,3925,202,405,270,458
1.865,954,1681,2393,4002,213,386,300,474
1.875,965,1684,2449,3996,253,326,301,475
1.885,900,1670,2411,3928,253,300,316,483
1.895,974,1663,2381,3942,218,345,295,477
1.905,930,1652,2443,4035,201,346,305,452
1.915,894,1692,2438,4050,223,333,339,442
1.925,936,1699,2400,3975,228,331,333,459
1.935,850,1700,2413,3930,241,292,344,461
1.945,798,1652,2409,3889,218,302,373,480
1.955,871,1620,2366,3793,232,340,336,472
1.965,801,1652,2316,3813,255,314,355,457
1.975,802,1624,2319,3845,280,294,345,456
1.985,837,1617,2306,3799,264,327,346,467
1.995,868,1648,2335,3828,244,347,320,466
2.005,908,1676,2297,3809,252,369,314,467
2.015,892,1675,2466,3740,241,334,329,440
2.025,962,1856,2541,3586,276,363,328,412
2.035,967,1883,2530,3584,262,347,349,415
2.045,988,1906,2538,3582,237,352,337,429
2.055,946,1777,2638,3596,228,308,382,434
2.065,871,1869,2607,3676,225,318,370,414
2.075,896,1839,2527,3779,247,316,346,420
2.085,936,1837,2502,3804,247,302,359,445
2.095,887,1836,2466,3802,247,317,365,485
2.105,825,1735,2437,3833,246,309,392,497
2.115,869,1762,2378,3853,257,339,355,497
2.125,832,1721,2352,3777,267,324,343,502
2.135,883,1683,2287,3838,272,343,316,477
2.145,822,1632,2337,3733,233,345,329,477
2.155,781,1607,2320,3687,258,315,308,444
