sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,558,1477,2459,3686,255,331,347,427
0.015,596,1475,2493,3727,286,295,312,440
0.025,591,1544,2473,3792,249,324,318,442
0.035,519,1486,2479,3825,309,325,302,442
0.045,472,1490,2539,3753,299,307,320,449
0.055,552,1507,2478,3710,287,311,336,476
0.065,556,1528,2453,3615,285,303,319,456
0.075,594,1517,2530,3580,293,296,323,464
0.085,593,1537,2599,3551,272,322,312,434
0.095,611,1599,2539,3544,260,311,334,423
0.105,633,1620,2518,3579,265,325,337,436
0.115,651,1649,2521,3661,250,326,310,439
0.125,734,1620,2471,3631,299,336,305,470
0.135,806,1643,2490,3588,279,316,318,460
0.145,865,1653,2483,3576,280,292,306,483
0.155,859,1725,2483,3516,246,328,307,454
0.165,878,1700,2490,3494,264,304,332,409
0.175,882,1708,2529,3622,261,316,330,419
0.185,922,1679,2620,3682,261,310,357,444
0.195,941,1725,2605,3788,238,335,347,451
0.205,929,1835,2588,3848,241,350,340,443
0.215,897,1914,2644,3941,271,306,363,436
0.225,901,1848,2766,3966,271,294,379,454
0.235,879,1867,2835,3874,252,311,345,483
0.245,864,1908,2871,3905,261,312,297,430
0.255,830,1857,2847,3858,293,302,274,401
0.265,912,1862,2911,3966,295,305,257,390
0.275,816,1848,2951,3972,276,274,314,377
0.285,852,1810,2916,4041,270,323,289,351
0.295,839,1907,3020,4045,271,309,313,399
0.305,791,1915,3115,3934,241,280,341,461
0.315,837,1882,3103,3958,264,321,299,459
0.325,881,1887,3156,4023,283,291,314,467
0.335,818,1940,3157,4080,265,297,313,455
0.345,796,1893,3144,4068,258,332,292,468
0.355,784,1895,3176,4051,274,301,332,463
0.365,752,1879,3139,3992,243,300,332,461
0.375,774,1857,3124,3984,257,302,330,464
0.385,746,1873,3091,4014,253,292,339,455
0.395,723,1842,3100,3924,255,299,359,452
0.405,671,1762,3067,3901,260,287,346,469
0.415,715,1753,3005,3942,265,316,350,450
0.425,677,1759,2996,3977,254,286,346,444
0.435,698,1745,2959,4053,282,306,348,460
0.445,834,1766,2960,4108,298,329,369,461
0.455,871,1804,2950,4088,245,343,361,440
0.465,836,1882,2930,4061,223,337,338,442
0.475,834,1917,2903,3992,245,321,382,475
0.485,875,1833,2869,3942,266,326,386,470
0.495,962,1758,2831,3989,223,347,384,456
0.505,960,1555,2791,3972,197,353,346,451
0.515,870,1421,2750,3894,211,359,322,449
0.525,802,1336,2710,3859,225,344,328,469
0.535,712,1222,2674,3792,182,340,312,508
0.545,711,1227,2642,3733,216,346,351,525
0.555,685,1207,2616,3710,215,347,339,509
0.565,513,1137,2596,3631,228,352,364,491
0.575,495,1008,2581,3633,207,326,318,465
0.585,399,810,2570,3613,234,284,293,429
0.595,318,867,2563,3535,227,288,305,373
0.605,340,1059,2560,3522,208,305,313,346
0.615,370,1179,2559,3456,212,340,302,342
0.625,324,1500,2563,3531,220,341,287,322
0.635,329,1726,2571,3535,211,318,300,365
0.645,373,1901,2582,3650,229,310,337,438
0.655,406,2067,2596,3769,278,319,326,468
0.665,483,2193,2610,3914,254,340,349,438
0.675,337,2224,2624,3951,263,326,369,457
0.685,350,2187,2636,4113,327,318,384,458
0.695,329,2120,2645,4284,331,325,375,469
0.705,308,2062,2649,4451,303,299,367,443
0.715,306,2016,2648,4538,340,300,353,436
0.725,312,1968,2644,4557,320,307,398,425
0.735,313,1902,2638,4554,352,304,362,438
0.745,309,1815,2629,4632,335,272,356,435
0.755,305,1717,2620,4636,323,362,354,420
0.765,320,1616,2611,4652,328,318,368,413
0.775,351,1526,2603,4617,317,280,410,403
0.785,374,1457,2597,4738,270,305,383,431
0.795,386,1414,2591,4777,264,289,373,460
0.805,389,1387,2586,4665,256,306,329,437
0.815,389,1362,2581,4633,237,364,337,488
0.825,389,1327,2575,4562,262,344,352,518
0.835,390,1282,2569,4367,269,354,346,533
0.845,386,1234,2561,4132,296,302,347,536
0.855,388,1188,2552,3822,295,268,333,519
0.865,418,1149,2541,3570,280,287,321,452
0.875,461,1124,2528,3431,239,297,306,361
0.885,491,1115,2513,3514,228,290,310,369
0.895,505,1123,2495,3589,220,306,299,343
0.905,507,1139,2475,3552,221,297,293,327
0.915,501,1155,2453,3507,234,325,304,314
0.925,498,1167,2430,3531,215,300,288,368
0.935,515,1180,2409,3569,200,298,306,433
0.945,546,1204,2392,3665,221,293,348,389
0.955,565,1241,2379,3733,220,299,320,401
0.965,588,1289,2372,3784,201,322,328,403
0.975,628,1339,2373,3840,185,312,354,411
0.985,663,1387,2380,3751,161,281,373,459
0.995,674,1431,2393,3737,170,309,356,475
1.005,662,1473,2409,3831,144,282,381,478
1.015,632,1514,2429,3825,159,344,356,466
1.025,606,1554,2450,3949,193,360,345,478
1.035,589,1594,2471,3890,202,340,367,470
1.045,575,1635,2491,3723,173,293,363,465
1.055,558,1676,2510,3627,163,292,370,446
1.065,537,1719,2527,3618,197,301,344,423
1.075,514,1762,2542,3540,256,261,382,427
1.085,505,1803,2558,3548,242,284,384,418
1.095,510,1836,2574,3663,255,298,355,426
1.105,497,1860,2591,3683,274,297,343,433
1.115,458,1872,2609,3607,266,277,379,420
1.125,426,1884,2629,3615,215,308,350,389
1.135,422,1909,2652,3507,157,300,343,347
1.145,428,1963,2678,3526,156,303,345,356
1.155,422,2047,2707,3632,159,299,345,346
1.165,431,2144,2740,3646,179,294,335,380
1.175,465,2235,2777,3626,206,287,320,371
1.185,443,2305,2818,3696,195,302,332,365
1.195,369,2356,2861,3681,199,312,323,353
1.205,318,2390,2899,3688,197,304,345,344
1.215,311,2408,2927,3682,188,314,335,338
1.225,337,2412,2940,3767,167,342,332,321
1.235,357,2400,2942,3850,157,338,341,307
1.245,355,2377,2935,3920,196,331,316,322
1.255,338,2347,2922,4005,199,309,319,331
1.265,312,2312,2905,4127,205,305,312,375
1.275,283,2277,2888,4172,215,331,307,402
1.285,258,2243,2873,4181,218,322,346,420
1.295,240,2209,2862,4198,221,310,334,437
1.305,231,2173,2851,4169,245,304,361,439
1.315,232,2135,2842,4024,279,341,344,418
1.325,233,2092,2832,3925,303,343,355,471
1.335,230,2047,2819,3948,313,337,347,481
1.345,229,2001,2804,3891,322,365,357,495
1.355,238,1955,2785,3851,308,367,352,479
1.365,257,1912,2763,3813,322,367,340,487
1.375,279,1873,2740,3782,300,334,350,472
1.385,298,1838,2716,3739,337,327,365,472
1.395,315,1805,2694,3667,307,322,345,466
1.405,331,1776,2673,3649,299,303,322,449
1.415,347,1748,2654,3638,288,314,332,443
1.425,362,1722,2635,3691,252,331,300,453
1.435,377,1697,2613,3711,266,321,290,479
1.445,391,1673,2586,3782,214,324,325,482
1.455,405,1650,2552,3841,231,322,371,446
1.465,430,1628,2509,3898,245,306,339,430
1.475,462,1605,2457,3948,273,290,352,393
1.485,469,1583,2397,4005,238,286,338,401
1.495,474,1560,2332,3937,226,275,333,447
1.505,529,1535,2263,3817,226,283,301,488
1.515,630,1506,2200,3721,177,294,336,490
1.525,678,1479,2159,3583,169,279,338,507
1.535,666,1482,2156,3464,149,281,351,481
1.545,660,1549,2206,3314,169,284,355,452
1.555,665,1666,2300,3288,166,288,350,405
1.565,645,1779,2400,3323,167,272,356,386
1.575,603,1857,2488,3368,182,288,359,388
1.585,565,1896,2559,3393,186,271,358,397
1.595,546,1913,2612,3418,177,298,338,393
1.605,546,1934,2651,3470,193,311,330,394
1.615,530,1977,2683,3529,197,300,317,383
1.625,506,2009,2712,3657,217,340,306,369
1.635,490,1973,2736,3690,214,315,351,346
1.645,381,1824,2754,3646,228,286,342,349
1.655,319,1646,2763,3650,239,352,301,355
1.665,393,1623,2762,3599,232,342,306,384
1.675,480,1937,2757,3692,215,345,289,362
1.685,474,2283,2761,3661,212,325,294,362
1.695,471,2377,2788,3715,204,327,302,357
1.705,501,2357,2828,3722,206,310,306,358
1.715,529,2307,2866,3798,209,283,332,365
1.725,543,2229,2882,3886,186,303,315,347
1.735,545,2127,2864,3878,173,318,305,387
1.745,546,2011,2815,3885,179,301,290,439
1.755,541,1896,2745,3817,168,301,338,489
1.765,531,1795,2664,3826,180,302,344,488
1.775,547,1672,2572,3708,175,272,348,491
1.785,605,1478,2468,3554,172,292,341,453
1.795,661,1423,2389,3477,159,292,322,397
1.805,672,1539,2379,3436,153,285,315,391
1.815,647,1681,2445,3459,158,298,331,381
1.825,620,1773,2539,3504,176,300,365,381
1.835,607,1834,2608,3562,213,332,335,403
1.845,568,1882,2643,3500,241,310,328,407
1.855,487,1912,2670,3576,207,300,334,434
1.865,416,1918,2711,3733,200,284,329,444
1.875,386,1893,2762,3939,222,301,331,443
1.885,398,1916,2801,4117,263,322,344,450
1.895,423,1912,2806,4187,307,325,333,447
1.905,342,1901,2786,4232,331,331,323,444
1.915,333,1876,2758,4228,324,313,369,427
1.925,317,1810,2735,4195,335,284,364,414
1.935,300,1726,2714,4166,307,292,371,439
1.945,284,1664,2693,4203,284,287,416,475
1.955,271,1641,2668,4094,279,303,368,481
1.965,266,1640,2640,3919,272,308,348,445
1.975,271,1640,2609,3825,250,277,365,439
1.985,286,1639,2578,3835,238,296,352,455
1.995,311,1647,2547,3716,213,324,329,400
2.005,344,1666,2519,3792,181,306,312,391
2.015,374,1686,2492,3800,220,303,297,360
2.025,390,1692,2467,3774,247,312,342,404
2.035,390,1668,2443,3749,273,251,362,421
2.045,379,1608,2422,3729,310,302,317,439
2.055,361,1528,2402,3695,357,253,321,419
2.065,345,1446,2386,3707,323,271,303,393
2.075,338,1379,2380,3676,273,317,304,408
2.085,340,1341,2387,3566,222,325,317,415
2.095,346,1317,2413,3650,187,335,349,399
2.105,354,1284,2461,3785,218,327,330,391
2.115,369,1235,2527,3900,207,322,322,390
2.125,396,1190,2604,3989,231,305,310,408
2.135,431,1164,2686,3913,218,317,341,412
2.145,462,1154,2762,3942,231,295,328,408
2.155,484,1147,2817,4022,229,301,353,425
2.165,494,1132,2847,4149,256,281,388,419
2.175,495,1114,2855,4181,223,323,364,421
2.185,483,1103,2846,4259,231,338,338,420
2.195,454,1103,2828,4247,270,329,328,418
2.205,407,1107,2801,4234,259,322,379,433
2.215,361,1114,2768,4155,257,343,363,434
2.225,340,1128,2731,4118,253,366,368,442
2.235,350,1159,2690,4133,228,372,399,476
2.245,375,1205,2647,4156,228,334,410,478
2.255,398,1255,2604,4086,246,311,402,440
2.265,413,1295,2564,4058,247,312,376,467
2.275,420,1318,2530,4001,262,283,347,462
2.285,421,1344,2504,3947,236,318,348,452
2.295,419,1399,2490,3881,219,321,368,446
2.305,417,1480,2491,3836,213,319,361,420
2.315,417,1538,2508,3789,251,307,318,417
2.325,421,1543,2535,3742,284,383,329,422
2.335,427,1508,2568,3744,236,329,330,438
2.345,429,1443,2601,3671,224,321,315,465
2.355,421,1356,2630,3655,207,331,285,444
2.365,400,1253,2653,3644,215,319,281,414
