sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,539,1552,2503,3633,250,298,339,449
0.015,606,1563,2483,3650,255,294,341,453
0.025,528,1540,2506,3554,260,319,330,435
0.035,527,1559,2471,3511,255,313,352,401
0.045,532,1624,2488,3519,218,339,349,418
0.055,524,1579,2521,3586,259,309,341,420
0.065,500,1560,2478,3611,282,307,332,412
0.075,491,1560,2559,3622,219,286,370,416
0.085,510,1672,2478,3704,200,312,353,424
0.095,532,1716,2396,3754,213,300,353,447
0.105,537,1573,2377,3814,244,282,350,463
0.115,527,1464,2372,3830,212,300,336,483
0.125,509,1481,2372,3737,226,292,326,500
0.135,492,1516,2369,3712,218,301,323,473
0.145,485,1562,2366,3687,209,296,331,452
0.155,494,1614,2372,3618,184,284,336,450
0.165,518,1667,2393,3608,173,287,344,425
0.175,549,1715,2410,3599,180,286,334,419
0.185,568,1754,2405,3585,182,291,331,401
0.195,567,1780,2380,3625,186,303,344,414
0.205,571,1787,2351,3641,188,285,357,419
0.215,580,1776,2332,3674,193,303,349,412
0.225,523,1748,2333,3797,187,313,303,428
0.235,432,1703,2348,3841,200,298,339,408
0.245,381,1648,2365,3979,198,289,353,421
0.255,373,1587,2375,3948,200,302,410,430
0.265,381,1524,2375,4027,246,345,400,440
0.275,341,1457,2372,4059,256,306,377,414
0.285,287,1388,2374,3984,286,299,394,417
0.295,286,1316,2376,3916,275,290,403,445
0.305,294,1246,2367,3924,272,284,392,454
0.315,290,1177,2344,3981,248,308,345,456
0.325,306,1110,2318,3968,223,323,319,463
0.335,338,1045,2297,4001,202,336,336,451
0.345,358,979,2291,3908,183,359,323,489
0.355,370,920,2295,3860,186,368,324,456
0.365,376,885,2296,3856,202,361,328,462
0.375,378,888,2282,3823,202,340,319,463
0.385,373,922,2255,3750,230,294,297,481
0.395,359,976,2223,3668,244,271,291,440
0.405,330,1060,2194,3623,242,308,308,418
0.415,288,1187,2178,3596,246,355,277,411
0.425,254,1387,2183,3501,265,376,242,406
0.435,246,1659,2221,3545,256,352,276,387
0.445,251,1862,2292,3575,245,312,325,370
0.455,254,1974,2377,3575,230,292,319,359
0.465,250,2019,2455,3583,223,274,327,354
0.475,265,2020,2516,3602,234,264,335,366
0.485,301,2000,2562,3608,217,265,328,366
0.495,332,1972,2596,3577,212,265,347,356
0.505,336,1947,2623,3631,209,264,351,367
0.515,333,1934,2649,3634,190,267,346,389
0.525,342,1937,2679,3606,204,272,343,401
0.535,359,1951,2707,3569,204,261,341,392
0.545,373,1973,2727,3608,193,258,337,377
0.555,379,2001,2734,3612,210,260,334,367
0.565,371,2029,2731,3671,207,286,327,375
0.575,351,2056,2724,3720,209,286,322,367
0.585,327,2079,2713,3766,212,285,325,355
0.595,306,2093,2695,3846,228,292,327,366
0.605,292,2097,2667,3902,233,293,332,369
0.615,286,2088,2623,3882,207,291,314,385
0.625,296,2062,2566,3810,211,300,297,444
0.635,310,2017,2501,3751,203,337,295,421
0.645,276,1949,2437,3813,211,373,300,427
0.655,209,1847,2384,3836,223,327,304,438
0.665,200,1702,2354,3835,267,342,339,491
0.675,216,1515,2341,3797,305,371,294,483
0.685,215,1315,2333,3800,266,378,297,441
0.695,213,1127,2321,3846,197,373,317,462
0.705,216,966,2301,3862,179,355,327,443
0.715,224,846,2278,3906,233,343,284,457
0.725,242,788,2253,3967,255,290,293,464
0.735,275,800,2228,4011,260,295,281,443
0.745,294,892,2206,4013,238,304,319,419
0.755,271,1080,2193,3912,232,328,310,422
0.765,248,1305,2205,3847,244,327,316,435
0.775,247,1456,2253,3743,253,351,298,446
0.785,255,1716,2321,3665,215,319,321,446
0.795,261,1970,2381,3584,205,320,299,430
0.805,249,2016,2412,3636,208,321,303,403
0.815,222,2065,2432,3616,218,312,321,394
0.825,209,2106,2457,3526,226,316,332,414
0.835,216,2090,2487,3617,227,346,330,401
0.845,236,2038,2482,3653,267,352,347,442
0.855,260,1975,2447,3696,339,357,362,460
0.865,278,1920,2408,3753,352,347,355,466
0.875,291,1866,2385,3760,335,355,344,455
0.885,294,1802,2372,3854,359,373,331,406
0.895,293,1724,2362,3904,280,347,387,405
0.905,295,1643,2353,3966,300,329,351,421
0.915,306,1562,2345,4000,328,300,370,429
0.925,330,1476,2336,4047,305,314,361,450
0.935,367,1379,2326,4073,262,316,341,431
0.945,402,1266,2319,4053,211,344,327,449
0.955,418,1152,2320,3986,227,357,325,480
0.965,415,1059,2333,3971,237,323,312,460
0.975,410,1000,2362,3952,224,294,301,489
0.985,411,966,2396,3853,225,321,304,480
0.995,411,950,2424,3802,223,308,318,463
1.005,410,941,2445,3748,228,344,338,455
1.015,411,929,2465,3703,219,319,348,453
1.025,419,905,2492,3703,222,312,336,451
1.035,433,860,2528,3778,198,319,317,463
1.045,451,835,2559,3888,197,303,324,486
1.055,469,834,2568,3916,198,293,317,494
1.065,483,840,2549,4010,205,301,322,483
1.075,490,844,2514,4074,187,289,332,471
1.085,487,847,2477,4136,185,311,336,474
1.095,483,855,2439,4223,181,297,319,464
1.105,491,876,2384,4354,197,302,313,468
1.115,516,918,2300,4479,222,302,329,471
1.125,488,972,2215,4502,244,303,379,469
1.135,486,1031,2164,4377,288,266,368,446
1.145,491,1084,2142,4273,273,269,378,405
1.155,494,1128,2134,4218,261,302,344,395
1.165,491,1161,2132,4200,235,311,362,405
1.175,476,1186,2137,4158,276,304,351,451
1.185,452,1204,2149,4114,243,297,358,443
1.195,429,1216,2173,4065,250,334,364,441
1.205,411,1226,2210,4059,193,326,351,459
1.215,405,1239,2257,4012,228,330,348,470
1.225,407,1255,2309,3895,254,312,340,458
1.235,411,1268,2362,3863,266,310,364,460
1.245,411,1274,2411,3834,261,315,375,453
1.255,409,1270,2455,3799,259,336,370,412
1.265,413,1267,2493,3876,236,326,391,385
1.275,426,1276,2526,3822,254,300,409,362
1.285,441,1305,2554,3768,236,340,379,358
1.295,451,1345,2577,3786,296,330,375,355
1.305,452,1387,2597,3659,268,352,384,373
1.315,451,1419,2616,3668,229,334,378,391
1.325,453,1431,2633,3717,264,312,378,414
1.335,459,1419,2646,3851,274,275,374,407
1.345,469,1396,2652,3815,278,269,413,443
1.355,481,1376,2651,3833,239,328,387,432
1.365,492,1362,2645,3899,258,273,366,435
1.375,502,1354,2633,3902,236,318,371,449
1.385,512,1352,2620,3940,267,280,386,465
1.395,521,1354,2609,3898,294,314,387,477
1.405,530,1361,2603,3905,269,305,384,481
1.415,540,1372,2605,3937,264,324,386,473
1.425,551,1385,2618,4019,248,324,369,457
1.435,563,1447,2639,4055,225,319,332,475
1.445,578,1414,2662,4055,258,310,321,449
1.455,595,1501,2681,4080,252,344,312,451
1.465,615,1555,2690,4117,244,329,321,469
1.475,648,1581,2689,4158,266,300,329,466
1.485,648,1636,2686,4241,252,343,312,468
1.495,646,1657,2686,4213,297,292,325,450
1.505,643,1703,2694,4200,293,303,298,429
1.515,642,1649,2706,4209,286,297,329,425
1.525,645,1694,2718,4168,292,287,356,414
1.535,654,1614,2725,4157,275,328,362,423
1.545,667,1619,2726,4148,290,295,362,428
1.555,679,1546,2724,4191,285,326,349,435
1.565,686,1538,2725,4267,263,297,379,425
1.575,682,1583,2735,4332,296,305,352,404
1.585,671,1591,2748,4311,306,280,378,411
1.595,657,1604,2760,4227,263,332,364,419
1.605,645,1570,2765,4172,293,311,354,413
1.615,637,1583,2760,4195,267,301,345,430
1.625,636,1550,2743,4287,304,307,325,433
1.635,640,1457,2721,4320,279,341,330,419
1.645,649,1534,2700,4286,282,353,343,419
1.655,665,1543,2686,4293,295,313,330,407
1.665,686,1569,2684,4351,268,326,305,404
1.675,710,1598,2691,4406,276,326,305,400
1.685,725,1522,2703,4459,312,322,333,427
1.695,718,1581,2716,4330,304,344,347,428
