sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,577,1592,2561,3539,221,315,370,448
0.015,657,1535,2471,3496,295,327,342,452
0.025,643,1587,2505,3515,256,303,330,436
0.035,633,1577,2473,3515,283,295,349,426
0.045,603,1565,2533,3491,290,283,344,445
0.055,554,1533,2585,3485,246,300,346,443
0.065,595,1450,2573,3460,288,304,341,433
0.075,658,1412,2568,3397,331,287,380,437
0.085,737,1434,2508,3497,331,306,358,416
0.095,799,1480,2601,3547,310,267,333,434
0.105,858,1587,2585,3521,295,298,358,411
0.115,939,1644,2582,3589,264,300,379,393
0.125,947,1673,2562,3657,225,335,368,401
0.135,889,1705,2560,3701,246,339,384,406
0.145,856,1693,2579,3729,246,331,382,414
0.155,810,1663,2576,3754,237,347,367,451
0.165,735,1478,2567,3727,287,330,357,469
0.175,560,1331,2500,3674,261,288,345,442
0.185,467,1364,2515,3648,250,315,343,437
0.195,398,1378,2449,3597,219,312,353,437
0.205,360,1325,2382,3572,257,308,327,454
0.215,327,1322,2338,3510,298,287,326,450
0.225,325,1444,2367,3534,275,303,338,457
0.235,340,1398,2416,3483,299,278,339,449
0.245,403,1403,2249,3482,327,276,306,446
0.255,374,1425,2253,3453,326,281,317,419
0.265,325,1435,2250,3432,308,295,334,423
0.275,323,1407,2247,3430,296,288,333,412
0.285,356,1391,2251,3479,311,292,333,429
0.295,370,1469,2266,3448,297,319,312,412
0.305,364,1474,2283,3490,279,295,326,422
0.315,353,1493,2292,3466,277,310,297,402
0.325,357,1525,2290,3549,258,315,331,434
0.335,385,1569,2289,3637,253,315,330,421
0.345,392,1621,2300,3774,235,297,328,452
0.355,365,1680,2327,3817,239,313,307,490
0.365,360,1743,2369,3707,205,274,312,493
0.375,396,1808,2405,3563,190,284,318,467
0.385,431,1867,2418,3489,193,263,300,439
0.395,425,1913,2456,3517,184,276,284,419
0.405,378,1938,2530,3494,200,286,307,415
0.415,331,1936,2524,3500,213,282,301,378
0.425,310,1906,2480,3543,204,297,303,360
0.435,325,1850,2426,3660,210,367,280,396
0.445,355,1773,2344,3660,202,418,277,454
0.455,336,1679,2307,3668,218,408,284,456
0.465,312,1572,2303,3693,269,354,289,463
0.475,317,1459,2275,3696,254,321,297,457
0.485,319,1352,2208,3709,233,322,301,462
0.495,316,1262,2151,3728,259,312,312,485
0.505,314,1199,2130,3729,290,294,282,470
0.515,316,1152,2134,3684,267,281,293,475
0.525,318,1112,2155,3608,247,289,291,459
0.535,299,1071,2186,3528,237,294,288,429
0.545,278,1031,2209,3537,214,293,333,398
0.555,287,996,2202,3559,144,349,368,423
0.565,313,966,2167,3503,153,363,365,420
0.575,322,941,2133,3465,142,354,374,432
0.585,317,919,2124,3599,135,353,398,424
0.595,317,898,2130,3673,141,358,357,417
0.605,314,878,2131,3673,152,372,353,423
0.615,294,859,2129,3694,235,336,322,443
0.625,277,843,2155,3608,209,338,350,478
0.635,285,830,2205,3469,135,386,338,446
0.645,312,819,2261,3407,158,382,316,420
0.655,342,811,2313,3395,206,317,297,402
0.665,365,804,2352,3411,213,308,297,398
0.675,380,800,2371,3426,216,325,303,386
0.685,393,799,2362,3443,211,318,312,373
0.695,412,802,2337,3464,203,311,347,372
0.705,434,812,2332,3472,205,329,344,405
0.715,455,833,2356,3427,209,312,349,410
0.725,473,870,2370,3406,210,310,359,406
0.735,482,928,2338,3380,230,308,326,410
0.745,484,1004,2283,3356,240,306,332,397
0.755,477,1088,2242,3364,235,309,336,404
0.765,462,1174,2237,3406,218,317,337,404
0.775,441,1252,2249,3444,204,323,323,399
0.785,420,1352,2257,3507,201,325,307,394
0.795,401,1435,2243,3548,220,325,295,383
0.805,386,1507,2213,3536,223,317,298,375
0.815,372,1565,2212,3500,235,312,297,385
0.825,351,1601,2251,3471,248,360,290,401
0.835,321,1543,2220,3477,207,340,309,418
0.845,289,1338,2165,3548,216,320,321,432
0.855,262,1153,2172,3627,204,331,342,433
0.865,240,1145,2154,3676,207,340,373,448
0.875,219,1104,2120,3738,214,326,321,431
0.885,201,1005,2095,3861,214,332,340,470
0.895,191,987,2097,3956,211,345,361,487
0.905,196,983,2123,3999,206,367,379,469
0.915,218,955,2133,4040,236,345,313,463
0.925,254,897,2127,4033,170,369,340,507
0.935,297,855,2140,4055,169,380,322,500
0.945,340,826,2184,4001,199,310,323,515
0.955,372,769,2222,3883,229,302,323,507
0.965,390,750,2241,3796,235,331,312,510
0.975,395,780,2270,3649,228,311,341,501
0.985,391,792,2336,3526,230,310,341,458
0.995,389,783,2427,3469,223,297,340,424
1.005,402,796,2504,3429,213,299,338,409
1.015,432,846,2525,3418,221,288,339,403
1.025,464,878,2480,3439,220,303,316,400
1.035,484,895,2414,3477,214,305,313,414
1.045,486,973,2367,3522,209,296,316,427
1.055,470,1131,2340,3575,214,326,342,450
1.065,439,1262,2325,3611,193,320,341,482
1.075,406,1371,2311,3545,199,325,341,474
1.085,384,1508,2288,3600,191,294,402,456
1.095,368,1532,2257,3679,241,331,345,458
1.105,339,1611,2247,3752,256,296,338,437
1.115,299,1721,2263,3766,260,303,383,447
1.125,272,1697,2292,3792,286,318,350,440
1.135,269,1727,2324,3719,294,311,332,480
1.145,276,1726,2357,3649,283,265,335,481
1.155,278,1697,2389,3544,295,291,326,468
1.165,277,1727,2418,3546,290,306,314,455
1.175,277,1761,2441,3531,334,300,302,376
1.185,280,1780,2453,3497,280,298,358,391
1.195,277,1796,2453,3606,313,313,366,359
1.205,261,1826,2444,3539,301,365,318,389
1.215,242,1883,2427,3465,294,283,383,389
1.225,236,1936,2410,3557,305,287,341,399
1.235,240,1902,2398,3591,304,300,332,411
1.245,238,1777,2387,3604,310,306,316,411
1.255,219,1642,2371,3657,293,312,325,440
1.265,198,1522,2343,3628,258,347,298,427
1.275,198,1386,2312,3548,230,342,291,411
1.285,231,1279,2287,3520,222,313,266,384
1.295,274,1214,2276,3531,223,262,259,388
1.305,303,1132,2276,3469,227,279,273,381
1.315,315,1041,2284,3477,251,286,289,364
1.325,316,968,2296,3480,262,274,303,366
1.335,314,919,2311,3481,245,281,301,364
1.345,318,907,2326,3510,274,286,300,385
1.355,334,948,2343,3508,254,281,308,398
1.365,365,1031,2360,3499,255,285,299,390
1.375,412,1139,2377,3489,243,287,292,384
1.385,471,1232,2392,3501,252,282,288,392
1.395,525,1274,2403,3465,231,296,285,379
1.405,564,1291,2408,3396,220,324,300,397
1.415,592,1313,2405,3365,212,325,328,387
1.425,613,1355,2395,3334,199,306,320,390
1.435,627,1401,2381,3344,205,302,331,385
1.445,632,1437,2365,3345,214,321,341,387
1.455,630,1458,2350,3323,213,286,327,415
1.465,627,1458,2408,3346,223,316,330,403
1.475,631,1425,2343,3416,223,310,336,402
1.485,648,1353,2283,3479,187,347,311,425
1.495,666,1273,2232,3443,161,346,309,429
1.505,670,1228,2196,3553,229,360,346,470
1.515,513,1233,2180,3596,207,360,308,449
1.525,477,1191,2180,3595,182,382,322,441
1.535,466,1146,2181,3637,237,329,335,447
1.545,467,1086,2179,3650,278,260,352,442
1.555,466,1012,2181,3692,305,279,360,446
1.565,455,959,2192,3656,274,308,341,445
1.575,437,938,2210,3591,222,335,332,454
1.585,419,926,2230,3548,92,366,300,456
1.595,403,912,2256,3542,124,383,333,424
1.605,390,897,2298,3545,199,314,344,394
1.615,383,886,2363,3578,216,311,349,381
1.625,384,891,2441,3588,211,314,345,394
1.635,397,924,2516,3635,199,312,324,392
1.645,417,929,2566,3662,215,327,332,402
1.655,429,893,2575,3662,231,305,321,408
1.665,428,865,2571,3718,237,315,332,407
1.675,428,855,2589,3751,229,324,341,396
1.685,434,868,2626,3799,235,300,384,403
1.695,427,907,2670,3758,241,286,393,396
1.705,398,975,2709,3799,246,301,351,411
1.715,382,1044,2727,3925,279,305,331,394
1.725,387,1074,2713,3962,282,320,336,368
1.735,392,1095,2673,3997,280,329,297,405
1.745,390,1162,2616,3947,286,321,306,429
1.755,377,1268,2548,3931,277,312,338,402
1.765,360,1336,2480,4042,292,312,367,400
1.775,347,1359,2421,4031,289,316,402,389
1.785,343,1363,2375,4069,261,349,410,448
1.795,349,1362,2341,4241,281,376,376,467
1.805,365,1357,2325,4414,205,402,304,460
1.815,382,1368,2335,4501,218,399,255,439
1.825,392,1397,2371,4544,221,383,256,442
1.835,392,1418,2409,4500,234,342,276,432
1.845,389,1432,2419,4408,244,364,301,442
1.855,387,1453,2403,4372,169,386,333,440
1.865,387,1485,2381,4339,226,326,360,453
1.875,388,1515,2371,4320,233,335,386,450
1.885,390,1537,2364,4332,261,335,318,444
1.895,391,1558,2336,4318,319,312,339,437
1.905,388,1577,2273,4364,273,322,362,446
1.915,382,1533,2204,4443,256,320,371,429
1.925,382,1425,2163,4347,235,300,351,447
1.935,394,1351,2118,4340,200,311,345,464
1.945,419,1293,1992,4258,210,324,332,484
1.955,447,1189,1841,4235,213,327,359,480
1.965,466,1111,1768,4240,215,319,353,468
1.975,466,1095,1732,4282,251,256,359,475
1.985,452,1072,1676,4234,260,264,367,470
1.995,432,1061,1690,4096,268,269,382,476
2.005,413,1146,1806,3911,240,254,420,470
2.015,397,1296,1937,3729,194,243,419,464
2.025,381,1418,2037,3601,213,229,391,457
2.035,364,1586,2118,3583,204,263,351,401
2.045,343,1724,2212,3573,209,258,322,380
2.055,321,1782,2330,3560,208,260,321,378
2.065,310,1815,2429,3555,210,264,345,383
2.075,320,1830,2484,3533,228,265,351,390
2.085,345,1813,2490,3556,198,284,361,402
2.095,367,1768,2460,3547,218,295,347,410
2.105,391,1711,2417,3554,209,314,346,420
2.115,429,1660,2383,3550,220,308,330,423
2.125,477,1615,2358,3622,216,313,322,431
2.135,530,1549,2337,3713,181,315,316,455
2.145,579,1441,2317,3768,171,310,327,491
2.155,615,1374,2300,3794,158,308,328,494
2.165,624,1395,2291,3851,189,297,329,482
2.175,598,1465,2290,3863,209,295,325,483
2.185,556,1535,2296,3846,221,289,335,481
2.195,520,1593,2309,3840,200,288,340,467
2.205,491,1644,2324,3783,183,255,337,444
2.215,458,1695,2335,3715,192,263,340,434
2.225,415,1748,2338,3669,187,265,306,423
2.235,375,1794,2337,3685,210,249,312,418
2.245,352,1822,2338,3781,205,266,309,429
2.255,352,1830,2354,3842,219,288,310,428
2.265,377,1817,2400,3858,267,335,317,413
2.275,409,1783,2471,3886,341,355,315,406
2.285,429,1738,2537,3937,342,310,332,399
2.295,418,1711,2581,3931,348,315,321,414
2.305,382,1716,2619,4052,355,322,329,382
2.315,350,1716,2663,4138,350,296,354,371
2.325,344,1679,2700,4122,360,292,404,380
2.335,350,1621,2722,4094,353,304,385,386
2.345,349,1578,2727,4043,340,326,359,413
2.355,328,1563,2715,3982,352,351,388,392
2.365,310,1568,2697,3963,375,311,406,382
2.375,317,1583,2685,3879,348,277,403,381
2.385,336,1599,2685,3810,343,322,353,362
2.395,353,1605,2688,3803,323,297,372,368
2.405,356,1593,2684,3849,273,310,331,391
2.415,352,1593,2667,3870,239,286,308,389
2.425,347,1577,2639,4023,223,302,313,404
2.435,349,1538,2602,4151,221,352,331,392
2.445,360,1526,2564,4241,242,354,361,390
2.455,376,1514,2530,4283,263,328,345,387
2.465,387,1507,2506,4246,289,357,309,380
2.475,388,1553,2494,4193,337,285,339,400
2.485,386,1556,2494,4142,327,300,366,380
2.495,399,1537,2505,4113,328,320,354,405
2.505,426,1498,2520,4143,333,307,360,414
2.515,453,1492,2536,4254,341,333,371,394
2.525,469,1477,2549,4219,286,358,347,370
2.535,468,1504,2559,4171,273,333,366,401
2.545,466,1498,2568,4170,286,362,343,393
2.555,475,1513,2574,4171,243,355,337,399
2.565,495,1569,2577,4152,274,321,337,414
2.575,512,1632,2574,4145,260,326,346,408
2.585,524,1664,2561,4127,301,315,361,372
2.595,536,1656,2534,4113,278,302,386,374
2.605,555,1679,2492,4080,285,312,368,376
2.615,576,1757,2446,4041,250,352,384,402
2.625,583,1695,2431,3956,280,318,401,449
2.635,571,1689,2371,3919,214,341,394,457
2.645,553,1623,2353,3864,260,317,373,453
2.655,543,1510,2343,3780,256,317,367,462
2.665,545,1500,2377,3683,259,291,397,436
2.675,546,1507,2464,3650,261,305,378,411
2.685,537,1559,2518,3647,296,287,407,412
2.695,541,1516,2514,3591,248,333,389,415
2.705,602,1570,2491,3572,229,341,380,422
2.715,765,1529,2576,3624,244,319,367,429
2.725,741,1542,2532,3613,271,313,413,429
2.735,711,1533,2497,3619,225,319,373,410
2.745,672,1521,2440,3567,235,322,347,387
2.755,727,1524,2384,3547,236,349,314,404
2.765,762,1493,2386,3510,244,329,321,395
2.775,748,1480,2447,3598,237,326,325,404
